Symbol,Market Cap,Volume
AAL,8528129954,34059561
AAON,2959779597,240181
AAPL,2.40868E+12,71001070
AAWW,1731453078,346163
ABCB,2835757214,454595
ABMD,11614500848,218377
ABNB,54516833230,5992188
ABSI,309197267,163289
ABTX,792706301,79785
ACAD,2319739903,1576007
ACAH,421762500,172
ACCD,678625925,5057537
ACHC,6479900184,525594
ACIW,2969528385,565653
ACLS,1583329139,948652
ACLX,814430462,79846
ACMR,919369166,745287
ACQR,607488623,50970
ACRS,920827718,214915
ACT,3536932997,161142
ACTD,387203518,173504
ACVA,1020982781,1714389
ADAL,301271250,7
ADBE,1.74107E+11,2471557
ADER,337562500,40650
ADGI,384090606,469244
ADI,74285479461,3175031
ADMA,398594408,1768690
ADP,89076225221,1552928
ADPT,1197559356,973791
ADSK,37774945561,1203096
ADTN,893005872,339925
ADUS,1359962545,85592
ADV,1251347107,428557
AEIS,2604738773,253220
AEP,50301652039,2833598
AERI,406488171,641192
AFCG,310359017,92601
AFRM,4923738043,18998318
AGEN,554403793,4877832
AGGR,380525000,11
AGIO,1279869335,494284
AGNC,6008170160,11450176
AGYS,1218298334,155400
AHCO,2440032347,570469
AIMC,2337573355,277274
AINV,701246647,145726
AIRS,342186947,66129
AKAM,14767314379,772433
AKRO,381114098,295692
AKYA,496182126,119796
ALBO,413647620,305751
ALEC,907242680,641758
ALGM,3808434946,428137
ALGN,19491763995,681769
ALGT,2090909630,154630
ALHC,2174050206,299029
ALKT,1265670222,173422
ALLO,1652839614,1504738
ALNY,17910610122,568298
ALRM,3124445088,207713
ALRS,409739228,19134
ALT,486649971,1581183
ALTR,4153614684,247541
ALTU,371250000,9277
ALXO,334804194,197139
AMAL,622941836,41136
AMAT,75050351587,13120943
AMBA,2412621382,424772
AMCX,1264818775,251476
AMD,1.19888E+11,87632980
AMED,3609719912,360688
AMEH,1742193702,262889
AMGN,1.31173E+11,2745500
AMKR,3779390138,1229801
AMLX,1139641910,509849
AMNB,371062993,5694
AMOT,364748648,37827
AMPH,1726133183,408505
AMPL,1644917522,682796
AMRK,743805046,115246
AMRS,617048861,3571891
AMSF,1018572648,68312
AMSWA,549674307,62164
AMTB,962237845,70550
AMWD,782298923,107125
AMZN,1.11498E+12,72951328
ANAB,576968751,191045
ANDE,1115374572,207733
ANGI,2295699832,1315634
ANGO,757763174,118156
ANIK,327382289,84300
ANIP,543878753,106324
ANSS,20894156923,409884
ANZU,520625000,162
APA,11956515764,5854295
APEI,302644450,34874
APLS,4839286192,843683
APOG,881420950,131781
APP,13224046666,2141619
APPF,3271856531,135811
APPH,371333619,1486670
APPN,3410489340,345289
APPS,1691394424,3054110
APTM,350198200,551
ARCB,1733481289,160029
ARCC,9329165406,4270734
ARGU,380556563,100
ARHS,626082580,242644
ARKO,1006130495,165605
ARLP,2382366452,365861
AROW,517517832,22345
ARQT,1117312336,366574
ARRW,351648438,600
ARRY,1665442846,1900082
ARTNA,475509363,26642
ARVN,2263806662,232665
ARWR,3802273752,731753
ASLE,748959946,116708
ASO,2977535422,2241613
ASTE,947951383,111652
ASTR,351323852,1499049
ASTS,328531906,281741
ATAX,405129618,24069
ATEC,679751256,366982
ATEX,775346727,47670
ATLC,547769659,31274
ATNI,763932213,43668
ATRA,775267526,1323802
ATRC,1898268583,276372
ATRI,1141111711,3843
ATRO,331652298,56020
ATSG,2107703557,397378
ATVC,338100000,400286
ATVI,61432427255,4208970
AUB,2589486836,412524
AUR,2228806889,2395209
AURA,415784259,104784
AVAH,437815475,164258
AVAV,2143565066,327436
AVDX,1257897520,1126396
AVGO,1.9296E+11,2131477
AVID,1173764345,170614
AVIR,607780414,285034
AVO,1030868720,98786
AVPT,786086191,758499
AVT,4129006685,661088
AVTE,413267953,34348
AVXL,797312453,635570
AXGN,342981559,122425
AXNX,2728182822,231718
AXON,6620397577,279034
AXSM,1581446672,1535214
AZPN,11889140084,172924
AZTA,5314453776,648274
BAND,498213336,449251
BANF,3223089022,142853
BANR,1994124205,195516
BASE,746230540,247427
BATRA,1364257573,24723
BATRK,1299771163,102012
BBBY,376602180,15435309
BBCP,346241266,37318
BBIO,1465123071,2500294
BBSI,538323978,30272
BCOR,888726209,276920
BCPC,4187179204,129022
BCRX,2011729433,2533126
BEAM,2795914420,1106004
BECN,3611688340,492706
BFC,577304574,4963
BFST,488749388,19124
BGCP,1315785129,1690708
BGRY,344450653,410484
BGXX,361189787,195445
BHF,3191228610,1066697
BIGC,1262334683,915593
BIIB,30847187498,800735
BIRD,580439860,1773628
BJRI,517767311,630243
BKNG,71821104143,356282
BKR,28641317673,5441388
BL,4033820206,345491
BLDE,313747073,354822
BLEU,336030000,2111
BLFS,620878286,355430
BLFY,344551800,55032
BLI,370333039,547846
BLKB,3043166342,288610
BLMN,1514157974,1577970
BLNK,681326688,582475
BLTE,908152498,101231
BLUE,305821977,3995536
BMBL,3802722438,1542907
BMEA,325230793,134344
BMRC,520708209,21394
BMRN,15720904673,885541
BNGO,388194040,5850819
BOKF,5228347381,296998
BOOM,355043903,98303
BPMC,2974357412,1070730
BPOP,6007148241,441714
BRKH,392504640,14025
BRKL,1044553237,383163
BRKR,9483689641,592384
BRLT,427885719,157227
BRP,1477945617,286938
BRY,623469933,698576
BRZE,3675999364,839994
BSKY,365625000,2522
BSRR,331288824,18104
BSY,9672653717,615454
BTAI,399348019,772134
BTRS,825234968,515409
BUSE,1291821620,173957
BVS,436271122,185421
BWB,458237756,40026
BYND,1630498651,2339038
BYTS,407862074,33
CAC,656170923,27282
CACC,6513420706,79627
CAKE,1462711754,932374
CALM,2454355192,317549
CAR,7287032218,567829
CARA,461956360,682162
CARE,329345629,100042
CARG,2654136323,563686
CASA,368244426,191757
CASH,1192805569,304230
CASS,467610078,37962
CASY,6938967509,254686
CATC,582544223,20832
CATY,2995482587,327870
CBNK,307592051,10773
CBRL,1932928798,336616
CBSH,8026417461,218854
CBTX,671849776,91224
CCAP,482460563,107905
CCB,502017018,38823
CCBG,479448368,21665
CCCC,391841725,532310
CCD,544117204,33932
CCMP,4940543336,712987
CCNE,414240569,16256
CCOI,2957611218,338339
CCRN,813573250,376678
CCSI,900691650,98062
CCXI,1905134100,1015416
CDEV,1704256047,10192058
CDK,6399817142,1061960
CDLX,769636882,288190
CDMO,947926104,487446
CDNA,1192685411,618440
CDNS,41264576760,1509260
CDW,21213168040,798076
CDXS,710508173,474863
CEG,18817858771,1531893
CELH,4970858062,874700
CELU,502548905,516927
CENT,2364514553,87818
CENTA,2219107648,181641
CENX,664166128,2223412
CERE,3917806371,405693
CERS,969402284,1412921
CERT,3530898779,427911
CEVA,762569040,101799
CFB,668234002,59331
CFFN,1295519800,654352
CFIV,624840000,23603
CFLT,6830515257,1771428
CFVI,381618000,207771
CG,11592383017,1458081
CGBD,683897219,294569
CGEM,579037751,145200
CGNX,7552398772,960497
CHCO,1217043591,81844
CHDN,7504710706,99181
CHEF,1489523317,321753
CHI,802146140,165085
CHK,10543694281,1197283
CHNG,7555921675,1878685
CHRS,606221855,826628
CHRW,12988783983,955732
CHTR,98540112203,887776
CHUY,392218758,109329
CHW,419944584,84470
CHX,4002924713,1167677
CHY,835366609,109123
CIFR,326686244,177328
CIIG,355421875,30717
CINC,768528007,357341
CINF,19300357529,527534
CISO,458912807,252545
CIVB,312883664,13781
CLAR,730308636,745021
CLBK,2456037580,136641
CLDX,1061323700,4400421
CLFD,867199667,141330
CLIN,311413813,101
CLMT,808914104,146801
CLNE,1018093774,3945294
CLOV,991575000,6368152
CLRM,352906250,255963
CLVS,410055549,75850199
CMAX,353840287,570885
CMCO,821971486,126866
CMCSA,1.805E+11,16175876
CME,73422578670,1822170
CNDT,924942953,1014174
CNOB,989296158,297728
CNSL,819309243,298099
CNXC,7041041880,235183
CNXN,1157851520,42415
COCO,555956630,116134
COGT,598321072,594477
COHR,6605562985,758482
COHU,1208561262,588320
COIN,12843576000,8529908
COKE,5390433596,35424
COLB,2345027564,3217115
COLI,422629313,156901
COLL,616955764,217311
COLM,4495120487,327069
COMM,1239422155,5189384
CONX,928422000,51518
COOL,493000000,4
COOP,2785520721,777891
CORT,2703018215,894267
CORZ,491361095,2922374
COST,2.15174E+11,2659788
COUP,4493006909,1148975
COVA,368437500,111363
COWN,667654193,546117
CPAA,432460875,3
CPAR,439464184,526
CPRT,26184387698,833619
CPRX,725627866,1248356
CPSI,479232429,75269
CPZ,322556947,31525
