name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014
OperatingCashFlow,"179,611,000","199,498,000","57,208,000","-2,018,000","-75,077,000","84,808,000","44,448,000","39,759,000","-15,711,000","167,712,000","65,440,000","82,367,000","-12,440,000","88,178,000","59,780,000","93,481,000","-47,824,000","24,883,000","34,370,000","23,510,000","5,853,000","30,368,000","35,649,000","31,311,000","-30,620,000","29,845,000","20,229,000","16,084,000","-18,411,000","46,823,000","9,620,000","1,509,000","-9,929,000"
	CashFlowFromContinuingOperatingActivities,"179,611,000","199,498,000","57,208,000","-2,018,000","-75,077,000","84,808,000","44,448,000","39,759,000","-15,711,000","167,712,000","65,440,000","82,367,000","-12,440,000","88,178,000","59,780,000","93,481,000","-47,824,000","24,883,000","34,370,000","23,510,000","5,853,000","30,368,000","35,649,000","31,311,000","-30,620,000","29,845,000","20,229,000","16,084,000","-18,411,000","46,823,000","9,620,000","1,509,000","-9,929,000"
		NetIncomeFromContinuingOperations,"273,442,000","76,496,000","61,383,000","74,361,000","61,202,000","33,746,000","16,126,000","28,469,000","27,219,000","-41,456,000","10,879,000","29,138,000","24,820,000","16,625,000","5,815,000","24,912,000","8,650,000","9,919,000","19,686,000","18,023,000","15,343,000","14,272,000","8,227,000","17,224,000","9,163,000","9,615,000","-2,437,000","2,600,000","2,786,000","1,611,000","-11,538,000","2,203,000","-6,073,000"
		OperatingGainsLosses,"-913,000","-439,000","-252,000","-144,000","-78,000","-482,000","-1,404,000","481,000","394,000","1,530,000","-130,000","-586,000","-156,000","-113,000","-118,000","-173,000","-121,000","139,000","-50,000","-208,000","-390,000","-94,000","-112,000","69,000","-199,000","-348,000","-291,000","119,000","-125,000","77,000","312,000","77,000","450,000"
		DepreciationAmortizationDepletion,"119,232,000","32,365,000","29,750,000","29,403,000","27,714,000","28,221,000","25,562,000","27,245,000","27,097,000","28,318,000","29,422,000","29,518,000","29,275,000","30,130,000","30,220,000","30,787,000","26,322,000","15,982,000","16,490,000","16,713,000","16,345,000","17,761,000","18,316,000","17,368,000","15,795,000","16,879,000","15,998,000","15,267,000","16,071,000","15,979,000","15,519,000","15,817,000","16,850,000"
			DepreciationAndAmortization,"119,232,000","32,365,000","29,750,000","29,403,000","27,714,000","28,221,000","25,562,000","27,245,000","27,097,000","28,318,000","29,422,000","29,518,000","29,275,000","30,130,000","30,220,000","30,787,000","26,322,000","15,982,000","16,490,000","16,713,000","16,345,000","17,761,000","18,316,000","17,368,000","15,795,000","16,879,000","15,998,000","15,267,000","16,071,000","15,979,000","15,519,000","15,817,000","16,850,000"
				Depreciation,,,,,,,,,,,"29,422,000","29,518,000","29,275,000","30,130,000","30,220,000","30,787,000","26,322,000","47,509,000","6,008,000","6,023,000","5,990,000","6,170,000","6,465,000","6,548,000","6,382,000","6,460,000","6,458,000","6,470,000","7,279,000","7,181,000","7,635,000","8,102,000","9,290,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,"10,482,000","10,690,000","10,355,000","11,591,000","11,851,000","10,820,000","9,413,000","10,419,000","9,540,000","8,797,000","8,792,000","8,798,000","7,884,000","7,715,000","7,560,000"
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,"10,482,000","10,690,000","10,355,000","11,591,000","11,851,000","10,820,000","9,413,000","10,419,000","9,540,000","8,797,000","8,792,000","8,798,000","7,884,000","7,715,000","7,560,000"
		DeferredTax,"-351,000","1,389,000","-1,022,000","-578,000","-140,000","-684,000","-349,000",,,,,,,,,,,,,,,"-5,341,000","-2,400,000","-9,151,000","-3,222,000","-14,517,000","4,657,000","-6,773,000","-3,866,000","12,265,000","-25,732,000","3,474,000","-9,571,000"
