name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,07/31/1990,07/31/1989,07/31/1988,07/31/1987,07/31/1986
			ReceivablesAdjustmentsAllowances,"-761,000","-724,000","-1,539,000","-1,527,000","-4,237,000","-1,676,000","-1,751,000","-1,605,000","-5,166,000","-4,582,000","-4,557,000","-924,000","-1,372,000","-939,000","-946,000","-948,000","-976,000","-995,000","-835,000","-1,372,000","-1,307,000","-1,589,000","-1,603,000","-2,179,000","-1,651,000","-1,686,000","-1,216,000","-998,000","-1,032,000","-830,000","-836,000","-471,000","-608,000","-272,000","-129,000","-193,000","-279,000",,,,"-409,000","-376,000",,,"-546,000",,,,"-605,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"94,067,000","81,291,000","69,876,000","69,685,000","71,059,000","70,849,000","70,827,000","77,754,000","92,622,000","98,324,000","104,923,000","107,353,000","105,166,000","94,385,000","90,819,000","87,785,000","84,260,000","83,877,000","83,204,000","88,175,000","84,535,000","81,054,000","73,606,000","61,304,000","57,916,000","57,686,000","48,650,000","45,205,000","43,768,000","47,003,000","49,095,000","42,512,000","43,426,000","39,273,000","35,999,000","35,047,000","34,909,000","25,142,000","26,274,000","29,795,000","30,263,000","25,716,000","20,558,000","17,648,000","16,106,000","15,139,000","16,058,000","13,091,000","10,814,000","7,774,000","8,303,000","9,153,000","9,639,000","10,135,000","8,994,000","8,854,000","9,538,000","9,349,000","8,268,000","9,119,000","8,350,000","9,108,000","7,981,000","9,474,000","9,752,000","8,619,000","8,116,000","7,217,594","6,120,687","6,246,819","5,352,586","4,996,000","3,741,617","3,068,041","2,669,796","2,766,329","2,779,181","5,763,480","5,643,275","9,260,505","6,177,893","6,513,712","7,558,578","9,864,027","11,857,261","12,645,216","14,563,649","13,018,319","12,400,000","14,200,000","10,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000","400,000","300,000"
		PrepaidAssets,"45,604,000","28,723,000","36,108,000","39,434,000","46,524,000","27,666,000","37,000,000","48,327,000","47,213,000",,"30,411,000","29,564,000","34,182,000","29,076,000","33,338,000",,,"28,802,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,"1,372,000","1,372,000","1,372,000","1,372,000","1,372,000","1,372,000","1,372,000","1,372,000","1,372,000",,"1,556,000","1,556,000","1,556,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,"0","26,524,000","22,614,000","20,886,000","24,021,000","22,733,000","20,581,000","19,152,000","21,974,000","20,630,000","19,278,000","18,732,000","21,022,000","19,932,000","17,156,000","16,334,000","17,718,000","16,853,000","16,622,000","15,422,000","16,074,000","15,633,000","15,653,000","15,393,000","15,971,000","15,957,000","14,869,000","14,843,000","14,937,000","14,944,000","14,033,000","13,425,000","15,335,000","15,779,000","15,695,000","16,784,000","16,779,000","19,347,000","19,229,000","19,448,000","16,634,000","15,478,000","14,275,000","14,216,000","14,331,000","13,223,000","15,068,000","13,553,000","12,052,000","12,535,000","12,154,671","12,950,239","13,005,612","11,922,558","16,081,000","11,594,972","9,269,856","8,778,775","7,907,353","9,099,537","8,997,077","8,680,848","6,774,332","7,690,507","7,098,216","7,176,551","7,036,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,"0","26,524,000","22,614,000","20,886,000","24,021,000","22,733,000","20,581,000","19,152,000","21,974,000","20,630,000","19,278,000","18,732,000","21,022,000","19,932,000","17,156,000","16,334,000","17,718,000","16,853,000","16,622,000","15,422,000","16,074,000","15,633,000","15,653,000","15,393,000","15,971,000","15,957,000","14,869,000","14,843,000","14,937,000","14,944,000","14,033,000","13,425,000","15,335,000","15,779,000","15,695,000","16,784,000","16,779,000","19,347,000","19,229,000","19,448,000","16,634,000","15,478,000","14,275,000","14,216,000","14,331,000","13,223,000","15,068,000","13,553,000","12,052,000","12,535,000","12,154,671","12,950,239","13,005,612","11,922,558","16,081,000","11,594,972","9,269,856","8,778,775","7,907,353","9,099,537","8,997,077","8,680,848","6,774,332","7,690,507","7,098,216","7,176,551","7,036,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"47,182,000","30,876,000","37,498,000","43,556,000","48,012,000","29,072,000","38,462,000","49,840,000","48,585,000","31,991,000","32,483,000","31,971,000","38,242,000","29,145,000","34,010,000","31,116,000","32,165,000","29,710,000","23,603,000","24,070,000","20,863,000","21,416,000","16,106,000","18,730,000","19,431,000","20,866,000","16,199,000","20,112,000","23,837,000","14,467,000","12,727,000","18,656,000","16,142,000","16,192,000","10,608,000","13,014,000","13,923,000","12,822,000","135,787,000","12,278,000","12,641,000","11,240,000","10,938,000","10,890,000","13,796,000","76,908,000","74,696,000","71,079,000","13,516,000","12,724,000","7,323,000","10,182,000","13,465,000","12,563,000","7,968,000","9,799,000","12,671,000","12,300,000","7,573,000","11,009,000","18,798,000","12,730,000","9,384,000","16,471,000","26,396,000","15,616,000","11,286,000","14,152,476","16,185,541","14,215,800","10,275,142","12,901,000","13,710,428","10,562,491","7,378,452","7,599,337","6,917,930","8,437,765","6,107,688","5,898,088","6,458,885","6,096,224","4,909,130","6,665,853","11,917,112","9,786,937","7,570,236","7,806,230","8,100,000","7,200,000","4,700,000","13,000,000","9,900,000","7,700,000","5,800,000","4,400,000","3,900,000","3,600,000","3,800,000","3,200,000","2,700,000","2,400,000","2,600,000","9,300,000","7,400,000","8,800,000","7,000,000","6,700,000","6,500,000","6,200,000","5,700,000","8,200,000","9,100,000","8,400,000","4,600,000","4,200,000","11,200,000","4,700,000","9,600,000","10,900,000","3,100,000","3,200,000","2,700,000","300,000","100,000","100,000",
	TotalNonCurrentAssets,"762,161,000","762,134,000","755,692,000","764,142,000","764,967,000","775,535,000","799,558,000","838,052,000","881,989,000","959,338,000","983,646,000","1,020,524,000","1,032,691,000","1,001,063,000","984,285,000","947,123,000","946,928,000","959,152,000","960,789,000","925,775,000","878,114,000","871,459,000","868,482,000","750,502,000","736,916,000","713,865,000","662,232,000","636,228,000","609,168,000","609,423,000","606,618,000","601,586,000","603,544,000","608,946,000","613,074,000","595,399,000","603,125,000","389,825,000","395,246,000","394,230,000","396,982,000","390,257,000","394,444,000","374,068,000","379,083,000","353,065,000","356,795,000","357,239,000","363,363,000","359,367,000","366,250,000","374,443,000","385,684,000","477,198,000","483,955,000","502,279,000","502,470,000","503,206,000","497,327,000","495,195,000","486,959,000","476,770,000","405,707,000","406,679,000","418,936,000","354,212,000","354,830,000","377,637,819","383,814,321","374,455,555","375,801,490","376,404,000","378,758,387","224,115,466","231,070,000","236,427,290","239,126,685","248,762,167","257,817,106","277,167,754","256,107,145","259,310,117","266,327,493","273,935,354","264,330,895","199,592,902","189,571,038","191,318,580","182,700,000","158,800,000","143,400,000","134,900,000","67,200,000","59,900,000","48,100,000","47,100,000","35,100,000","36,100,000","33,000,000","26,500,000","26,900,000","26,000,000","25,300,000","23,900,000","24,300,000","23,500,000","24,200,000","24,800,000","24,500,000","25,300,000","25,500,000","28,500,000","30,600,000","31,700,000","57,700,000","59,000,000","60,600,000","58,900,000","60,000,000","62,300,000","59,100,000","59,800,000","55,000,000","15,500,000","14,400,000","11,700,000","9,500,000"
		NetPPE,"361,132,000","355,899,000","346,239,000","343,613,000","340,548,000","337,139,000","354,204,000","385,544,000","422,132,000","446,206,000","462,984,000","491,723,000","498,375,000","424,751,000","428,305,000","423,680,000","416,258,000","423,330,000","422,107,000","378,408,000","344,120,000","337,653,000","326,670,000","309,783,000","290,536,000","265,485,000","231,564,000","226,328,000","207,148,000","206,139,000","205,413,000","205,703,000","203,639,000","203,916,000","202,703,000","189,145,000","187,242,000","154,701,000","158,247,000","155,036,000","156,315,000","147,616,000","149,439,000","127,068,000","130,000,000","134,674,000","136,028,000","137,740,000","142,559,000","136,811,000","142,132,000","148,186,000","156,801,000","164,597,000","170,479,000","177,027,000","174,251,000","172,793,000","164,544,000","160,548,000","154,354,000","141,890,000","126,646,000","127,645,000","120,693,000","113,129,000","117,145,000","107,382,963","110,531,156","101,979,439","100,352,913","94,383,000","98,167,997","80,665,828","86,893,826","91,753,595","90,851,063","100,815,413","110,451,873","118,753,157","97,592,451","102,348,369","109,563,716","116,171,478","116,406,069","109,427,636","101,092,862","99,926,628","91,800,000","86,800,000","79,400,000","72,900,000","58,100,000","51,600,000","42,900,000","42,200,000","29,800,000","30,500,000","27,500,000","20,900,000","21,100,000","20,100,000","19,600,000","18,800,000","19,000,000","18,200,000","18,800,000","19,500,000","19,100,000","19,800,000","20,000,000","21,300,000","23,600,000","24,700,000","26,200,000","27,100,000","28,500,000","26,400,000","26,300,000","28,500,000","25,200,000","25,700,000","24,700,000","11,600,000","13,600,000","11,200,000","9,300,000"
			GrossPPE,"1,324,724,000","1,303,254,000","1,270,614,000","1,239,940,000","1,208,139,000","1,180,408,000","1,193,422,000","1,201,949,000","1,212,917,000","1,205,413,000","1,189,628,000","1,187,059,000","1,170,105,000","1,073,379,000","1,045,696,000","1,013,424,000","984,347,000","951,069,000","935,273,000","881,835,000","838,605,000","813,298,000","781,493,000","751,190,000","721,951,000","675,827,000","624,106,000","614,702,000","586,561,000","573,039,000","558,710,000","554,297,000","551,316,000","535,746,000","522,141,000","497,402,000","483,117,000","438,988,000","435,872,000","432,465,000","439,676,000","425,392,000","423,961,000","403,256,000","406,080,000","405,352,000","399,943,000","396,536,000","405,738,000","390,642,000","387,644,000","391,317,000","399,783,000","397,832,000","394,954,000","403,267,000","399,049,000","386,403,000","370,076,000","363,919,000","357,803,000","339,930,000","315,437,000","314,215,000","305,905,000","284,846,000","288,862,000","302,596,603","306,654,598","289,672,275","279,689,478","268,555,000","268,051,978","237,349,649","243,577,647","243,580,291","236,547,027","241,469,468","247,583,868","249,041,038","225,910,052","225,429,036","225,284,709","225,755,602","223,404,865","210,197,754","194,671,175","187,471,519","170,100,000","160,400,000","148,100,000","136,400,000","119,500,000","100,200,000","97,800,000","95,300,000","71,100,000","71,500,000","66,500,000","53,000,000","54,200,000","52,200,000","50,400,000","48,700,000","48,900,000","48,100,000","48,700,000","49,400,000","48,600,000","49,300,000","49,500,000","47,700,000","50,000,000","51,100,000","46,000,000","46,900,000","50,000,000","46,200,000","41,800,000","44,000,000","40,700,000","41,200,000","29,600,000","24,600,000","22,600,000","16,500,000","12,000,000"
