name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015
TotalAssets,"2,304,120,000","2,267,293,000","2,210,099,000","1,977,359,000","1,770,048,000","1,614,573,000","1,558,525,000","1,491,777,000","1,493,567,000","1,500,142,000","1,436,995,000","1,413,014,000","1,349,909,000","1,344,784,000","1,324,060,000","1,294,255,000","1,252,042,000","1,172,051,000","1,215,092,000","1,094,282,000","1,050,599,000","1,019,236,000","1,164,568,000","1,160,216,000","1,118,605,000","1,089,341,000","1,113,799,000"
	CurrentAssets,"1,490,040,000","1,448,649,000","1,421,452,000","1,230,923,000","1,018,417,000","892,055,000","828,676,000","755,534,000","743,137,000","730,951,000","699,537,000","690,886,000","639,428,000","625,639,000","647,138,000","604,472,000","554,550,000","470,551,000","505,759,000","519,362,000","487,475,000","447,892,000","582,921,000","557,795,000","507,528,000","466,272,000","481,492,000"
		CashCashEquivalentsAndShortTermInvestments,"390,399,000","498,959,000","576,289,000","397,142,000","304,469,000","280,420,000","284,471,000","237,309,000","137,202,000","164,135,000","123,415,000","100,734,000","51,498,000","75,919,000","126,662,000","109,519,000","76,892,000","39,761,000","45,718,000","96,200,000","77,931,000","87,973,000","200,279,000","131,109,000","134,477,000","127,210,000","80,598,000"
			CashAndCashEquivalents,"390,399,000","498,959,000","576,289,000","397,142,000","304,469,000","280,420,000","284,471,000","237,309,000","137,202,000","164,135,000","123,415,000","100,734,000","51,498,000","75,919,000","126,662,000","109,519,000","76,892,000","39,761,000","45,718,000","96,200,000","77,931,000","87,973,000","200,279,000","131,109,000","134,477,000","127,210,000","80,598,000"
		Receivables,"623,361,000","541,685,000","524,926,000","524,857,000","431,161,000","350,255,000","298,242,000","268,354,000","305,617,000","291,880,000","315,353,000","322,156,000","319,769,000","294,181,000","265,147,000","260,564,000","245,355,000","203,733,000","224,427,000","210,290,000","196,349,000","158,952,000","192,090,000","235,812,000","191,552,000","169,035,000","216,992,000"
			AccountsReceivable,"623,361,000","541,685,000","524,926,000","524,857,000","431,161,000","350,255,000","298,242,000","268,354,000","305,617,000","291,880,000","315,353,000","322,156,000","319,769,000","294,181,000","265,147,000","260,564,000","245,355,000","203,733,000","224,427,000","210,290,000","196,349,000","158,952,000","192,090,000","235,812,000","191,552,000","169,035,000","216,992,000"
				GrossAccountsReceivable,"626,864,000","544,532,000","527,436,000","527,570,000","433,615,000","352,710,000","301,410,000","272,675,000","309,027,000","294,872,000","317,961,000","323,604,000","321,747,000","2,534,000","266,909,000","262,111,000","246,704,000","204,963,000","225,666,000","211,363,000","197,376,000","159,910,000","193,096,000","237,113,000","192,945,000","170,698,000","218,165,000"
				AllowanceForDoubtfulAccountsReceivable,"-3,503,000","-2,847,000","-2,510,000","-2,713,000","-2,454,000","-2,455,000","-3,168,000","-4,321,000","-3,410,000","-2,992,000","-2,608,000","-1,448,000","-1,978,000","291,647,000","-1,762,000","-1,547,000","-1,349,000","-1,230,000","-1,239,000","-1,073,000","-1,027,000","-958,000","-1,006,000","-1,301,000","-1,393,000","-1,663,000","-1,173,000"
		Inventory,"411,356,000","362,099,000","285,989,000","241,022,000","237,892,000","221,261,000","199,095,000","201,933,000","246,235,000","242,690,000","226,090,000","224,771,000","220,787,000","226,587,000","221,753,000","207,535,000","202,517,000","203,841,000","200,003,000","180,499,000","184,890,000","178,836,000","161,465,000","164,302,000","154,224,000","147,715,000","161,924,000"
			RawMaterials,"126,227,000","102,737,000","105,460,000","70,894,000","58,536,000","56,864,000","49,192,000","51,165,000","54,173,000","53,141,000","52,742,000","48,742,000","49,664,000","61,342,000","58,572,000","50,601,000","42,816,000","46,875,000","49,168,000","41,575,000","44,215,000",,"47,754,000",,"30,656,000","35,295,000","42,562,000"
			WorkInProcess,"61,589,000","57,595,000","35,043,000","33,803,000","27,713,000","26,759,000","24,113,000","20,528,000","22,461,000","24,678,000","21,424,000","24,730,000","24,276,000","21,843,000","21,769,000","21,452,000","18,967,000","20,398,000","17,598,000","15,103,000","15,913,000",,"17,082,000",,"16,065,000","15,640,000","13,360,000"
			FinishedGoods,"223,540,000","201,767,000","145,486,000","136,325,000","151,643,000","137,638,000","125,790,000","130,240,000","169,601,000","164,871,000","151,924,000","151,299,000","146,847,000","143,402,000","141,412,000","135,482,000","140,734,000","136,568,000","133,237,000","123,821,000","124,762,000",,"115,062,000",,"108,166,000","103,461,000","111,743,000"
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,"-18,433,000",,"-663,000","-6,681,000","-5,741,000"
		PrepaidAssets,"64,924,000","45,906,000","34,248,000","67,902,000","44,895,000","40,119,000","46,868,000","47,938,000","54,083,000","32,246,000","34,679,000","43,225,000","47,374,000","28,952,000","33,576,000","26,854,000","29,786,000","23,216,000","35,611,000","32,373,000","28,305,000","18,818,000","22,407,000","18,098,000","20,612,000","18,999,000","18,665,000"
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,"0","0","0","3,313,000","6,680,000","8,474,000","6,663,000","3,313,000","3,313,000"
	TotalNonCurrentAssets,"814,080,000","818,644,000","788,647,000","746,436,000","751,631,000","722,518,000","729,849,000","736,243,000","750,430,000","769,191,000","737,458,000","722,128,000","710,481,000","719,145,000","676,922,000","689,783,000","697,492,000","701,500,000","709,333,000","574,920,000","563,124,000","571,344,000","581,647,000","602,421,000","611,077,000","623,069,000","632,307,000"
		NetPPE,"323,693,000","317,742,000","316,735,000","291,098,000","291,250,000","281,852,000","282,583,000","281,336,000","287,933,000","299,367,000","260,703,000","237,565,000","240,188,000","241,699,000","213,108,000","212,585,000","211,840,000","207,487,000","208,619,000","199,153,000","195,419,000","198,062,000","202,692,000","209,248,000","214,212,000","220,517,000","224,284,000"
			GrossPPE,"682,691,000","666,454,000","654,402,000","620,622,000","609,655,000","589,660,000","580,576,000","570,294,000","565,794,000","569,874,000","520,533,000","488,771,000","485,048,000","476,485,000","438,792,000","430,524,000","421,767,000","409,942,000","404,929,000","388,671,000","377,254,000","372,637,000","373,717,000","372,009,000","369,822,000","368,638,000","365,000,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"22,768,000","22,965,000","23,043,000","23,854,000","23,170,000","23,378,000","20,460,000","20,150,000","20,053,000","20,058,000","19,897,000","19,901,000","19,815,000","19,939,000","13,295,000","13,295,000","13,295,000","13,295,000","13,296,000","13,295,000","13,294,000","13,294,000","12,804,000","12,804,000","12,804,000","13,294,000","13,294,000"
				BuildingsAndImprovements,"137,401,000","136,860,000","136,680,000","134,356,000","131,188,000","130,435,000","129,538,000","128,702,000","128,511,000","128,376,000","127,061,000","122,452,000","121,477,000","121,017,000","108,758,000","107,581,000","106,067,000","105,290,000","105,154,000","104,053,000","103,631,000","103,322,000","103,256,000","103,215,000","102,909,000","104,795,000","104,315,000"
				MachineryFurnitureEquipment,"414,338,000","407,463,000","400,791,000","391,482,000","390,952,000","366,494,000","359,288,000","350,124,000","343,373,000","345,895,000","343,256,000","320,245,000","316,680,000","310,460,000","292,580,000","275,630,000","273,027,000","266,106,000","263,575,000","253,778,000","246,557,000","244,532,000","245,011,000","237,964,000","236,715,000","235,195,000","231,237,000"
				OtherProperties,"37,757,000","40,884,000","41,113,000","33,512,000","35,034,000","36,857,000","38,692,000","40,638,000","41,629,000","44,142,000","260,703,000",,,,"213,108,000",,,,"208,619,000",,,,"202,692,000",,,,
				ConstructionInProgress,"60,259,000","48,447,000","43,055,000","26,896,000","18,846,000","22,227,000","22,736,000","21,554,000","23,287,000","22,487,000","21,264,000","17,826,000","18,971,000","17,234,000","16,777,000","26,868,000","22,301,000","18,443,000","16,160,000","10,884,000","7,278,000","5,272,000","6,148,000","12,176,000","11,591,000","9,671,000","10,582,000"
				Leases,"10,168,000","9,835,000","9,720,000","10,522,000","10,465,000","10,269,000","9,862,000","9,126,000","8,941,000","8,916,000","9,055,000","8,347,000","8,105,000","7,835,000","7,382,000","7,150,000","7,077,000","6,808,000","6,744,000","6,661,000","6,494,000","6,217,000","6,498,000","5,850,000","5,803,000","5,683,000","5,572,000"
			AccumulatedDepreciation,"-358,998,000","-348,712,000","-337,667,000","-329,524,000","-318,405,000","-307,808,000","-297,993,000","-288,958,000","-277,861,000","-270,507,000","-259,830,000","-251,206,000","-244,860,000","-234,786,000","-225,684,000","-217,939,000","-209,927,000","-202,455,000","-196,310,000","-189,518,000","-181,835,000","-174,575,000","-171,025,000","-162,761,000","-155,610,000","-148,121,000","-140,716,000"
		GoodwillAndOtherIntangibleAssets,"454,396,000","463,303,000","440,252,000","452,857,000","458,503,000","438,819,000","443,588,000","448,485,000","456,661,000","467,853,000","471,915,000","480,238,000","467,290,000","474,000,000","462,045,000","470,746,000","479,268,000","485,128,000","492,005,000","367,827,000","359,684,000","365,178,000","370,766,000","376,349,000","381,915,000","387,487,000","393,004,000"
			Goodwill,"212,167,000","211,928,000","199,048,000","201,545,000","199,513,000","189,984,000","188,239,000","186,609,000","186,779,000","188,105,000","186,231,000","189,050,000","179,489,000","178,797,000","170,129,000","170,340,000","169,107,000","148,061,000","147,716,000","118,790,000","115,829,000","115,829,000","115,829,000","115,829,000","115,829,000","115,829,000","115,829,000"
			OtherIntangibleAssets,"242,229,000","251,375,000","241,204,000","251,312,000","258,990,000","248,835,000","255,349,000","261,876,000","269,882,000","279,748,000","285,684,000","291,188,000","287,801,000","295,203,000","291,916,000","300,406,000","310,161,000","337,067,000","344,289,000","249,037,000","243,855,000","249,349,000","254,937,000","260,520,000","266,086,000","271,658,000","277,175,000"
		NonCurrentAccountsReceivable,,,,,,,"2,991,000",,,,"4,263,000",,,,"1,607,000","6,452,000","6,384,000","7,004,000","7,052,000","6,999,000","7,078,000","7,160,000","7,244,000","14,517,000","14,141,000","14,180,000","13,932,000"
		NonCurrentDeferredAssets,"33,970,000","35,045,000","29,693,000","1,295,000","999,000","955,000","687,000","1,115,000","1,016,000","735,000","577,000","1,074,000","1,076,000","1,249,000","162,000","0","0","1,881,000","1,657,000","941,000","943,000","944,000","945,000","2,307,000","809,000","885,000","1,087,000"
			NonCurrentDeferredTaxesAssets,"33,970,000","35,045,000","29,693,000","1,295,000","999,000","955,000","687,000","1,115,000","1,016,000","735,000","577,000","1,074,000","1,076,000","1,249,000","162,000","0","0","1,881,000","1,657,000","941,000","943,000","944,000","945,000","2,307,000","809,000","885,000","1,087,000"
		OtherNonCurrentAssets,"2,021,000","2,554,000","1,967,000","1,186,000","879,000","892,000","2,991,000","5,307,000","4,820,000","1,236,000",,"3,251,000","1,927,000","2,197,000",,,,,,,,,,,,,
TotalLiabilitiesNetMinorityInterest,"1,280,846,000","1,324,672,000","1,345,363,000","1,300,322,000","1,199,886,000","1,177,226,000","1,180,115,000","1,167,582,000","1,198,133,000","1,228,011,000","1,204,059,000","1,210,496,000","1,191,412,000","1,220,629,000","1,202,001,000","1,220,492,000","1,189,967,000","783,383,000","854,221,000","750,911,000","743,907,000","738,781,000","907,322,000","960,338,000","939,398,000","924,248,000","957,522,000"
	CurrentLiabilities,"458,276,000","500,019,000","524,936,000","397,945,000","325,881,000","309,504,000","276,170,000","229,486,000","255,110,000","280,010,000","287,534,000","269,018,000","252,709,000","287,548,000","272,747,000","252,877,000","217,672,000","192,099,000","211,837,000","190,723,000","185,056,000","177,128,000","204,822,000","211,069,000","193,257,000","171,455,000","210,498,000"
