name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002
TotalRevenue,"131,695,000","34,391,000","34,057,000","32,790,000","30,457,000","25,402,000","28,145,000","24,960,000","23,606,000","23,615,000","28,312,000","23,471,000","18,400,000","16,969,000","21,401,000","21,413,000","17,494,000","17,569,000","21,601,000","24,044,000","20,575,000","21,287,000","21,196,000","17,846,000","17,103,000","16,508,000","16,071,000","16,235,000","13,359,000","13,834,000","13,821,000","14,098,000","9,215,000","13,674,000","13,966,000","10,005,000","12,813,000","12,116,000","12,967,000","12,006,000","13,592,000","15,112,000","15,952,000","14,847,000","14,388,000","15,052,000","13,026,000","10,675,000","10,609,000","10,601,000","10,185,000","9,659,000","9,110,000","9,513,000","10,009,000","10,206,000","10,083,000","10,067,000","8,241,000","8,729,000","8,515,000","7,726,000","8,066,000","7,893,000","8,412,000","8,134,000","7,681,000","8,386,000","9,528,000","10,041,000","9,169,000","9,714,000","9,576,000","9,214,000","9,604,000","9,302,000","9,087,000","8,843,000","5,662,000","4,852,000"
	OperatingRevenue,"131,695,000","34,391,000","34,057,000","32,790,000","30,457,000","25,402,000","28,145,000","24,960,000","23,606,000","23,615,000","28,312,000","23,471,000","18,400,000","16,969,000","21,401,000","21,413,000","17,494,000","17,569,000","21,601,000","24,044,000","20,575,000","21,287,000","21,196,000","17,846,000","17,103,000","16,508,000","16,071,000","16,235,000","13,359,000","13,834,000","13,821,000","14,098,000","9,215,000","13,674,000","13,966,000","10,005,000","12,813,000","12,116,000","9,488,000","12,006,000","13,592,000","15,112,000","15,952,000","14,847,000","14,388,000","15,052,000","13,026,000","10,675,000","10,609,000","10,601,000","10,185,000","9,659,000","9,110,000","9,513,000","10,009,000","10,206,000","10,083,000","10,067,000","8,241,000","8,729,000","8,515,000","7,726,000","8,066,000","7,893,000","8,412,000","8,134,000","7,681,000","8,386,000","9,528,000","10,041,000","9,169,000","9,714,000","9,576,000","9,214,000","9,604,000","9,302,000","9,087,000","8,843,000","5,662,000","4,852,000"
CostOfRevenue,"20,850,000","6,404,000","5,923,000","4,830,000","3,693,000","2,381,000","2,490,000","2,503,000","3,005,000","2,751,000","2,823,000","2,767,000","2,493,000","2,023,000","1,985,000","2,006,000","1,988,000","1,972,000","1,923,000","1,726,000","1,608,000","1,696,000","1,633,000","1,422,000","1,403,000","1,628,000","1,408,000","1,281,000","1,550,000","1,185,000","1,263,000","1,255,000","1,370,000","1,112,000","1,364,000","1,131,000","1,093,000","1,575,000","1,025,000","1,046,000","1,011,000","870,000","924,000","811,000","876,000","948,000","1,134,000","1,001,000","863,000","714,000","906,000","849,000","1,152,000","1,210,000","1,125,000","1,105,000","1,268,000","1,170,000","925,000","1,001,000","918,000","1,007,000","1,013,000","992,000","1,135,000","895,000","805,000","1,003,000","1,116,000","1,293,000","1,018,000","1,199,000","1,451,000","1,510,000","1,407,000","1,415,000","1,601,000","1,638,000","1,230,000","322,000"
GrossProfit,"110,845,000","27,987,000","28,134,000","27,960,000","26,764,000","23,021,000","25,655,000","22,457,000","20,601,000","20,864,000","25,489,000","20,704,000","15,907,000","14,946,000","19,416,000","19,407,000","15,506,000","15,597,000","19,678,000","22,318,000","18,967,000","19,591,000","19,563,000","16,424,000","15,700,000","14,880,000","14,663,000","14,954,000","11,809,000","12,649,000","12,558,000","12,843,000","7,845,000","12,562,000","12,602,000","8,874,000","11,720,000","10,541,000","11,942,000","10,960,000","12,581,000","14,242,000","15,028,000","14,036,000","13,512,000","14,104,000","11,892,000","9,674,000","9,746,000","9,887,000","9,279,000","8,810,000","7,958,000","8,303,000","8,884,000","9,101,000","8,815,000","8,897,000","7,316,000","7,728,000","7,597,000","6,719,000","7,053,000","6,901,000","7,277,000","7,239,000","6,876,000","7,383,000","8,412,000","8,748,000","8,151,000","8,515,000","8,125,000","7,704,000","8,197,000","7,887,000","7,486,000","7,205,000","4,432,000","4,530,000"
OperatingExpense,"105,539,000","27,519,000","26,578,000","26,266,000","25,176,000","24,351,000","23,248,000","22,455,000","22,110,000","22,527,000","22,031,000","20,971,000","18,090,000","17,878,000","17,244,000","17,255,000","18,167,000","18,505,000","16,531,000","16,108,000","16,797,000","15,245,000","13,434,000","12,636,000","13,053,000","13,058,000","12,435,000","11,463,000","11,779,000","12,086,000","12,195,000","11,613,000","10,109,000","10,429,000","9,840,000","10,001,000","9,905,000","9,232,000","9,524,000","8,812,000","9,378,000","9,644,000","10,103,000","9,314,000","9,474,000","9,228,000","8,125,000","7,386,000","7,851,000","7,963,000","7,779,000","7,214,000","7,204,000","7,183,000","8,372,000","8,317,000","8,757,000","8,504,000","8,340,000","7,732,000","7,643,000","7,543,000","7,475,000","7,303,000","8,094,000","8,461,000","7,850,000","8,245,000","9,414,000","8,296,000","8,044,000","7,930,000","7,658,000","7,364,000","11,786,000","7,669,000","7,270,000","7,184,000","6,298,000","3,155,000"
	SellingGeneralAndAdministration,"27,534,000","6,559,000","7,266,000","6,657,000","7,052,000","6,182,000","6,358,000","6,277,000","6,556,000","6,832,000","7,035,000","6,341,000","5,490,000","5,338,000","5,020,000","5,133,000","6,232,000","6,130,000","6,250,000","5,768,000","5,979,000","5,063,000","5,358,000","4,981,000","4,933,000","4,835,000","5,173,000","4,567,000","4,214,000","4,398,000","4,544,000","4,834,000","4,058,000","4,433,000","4,903,000","4,382,000","4,284,000","4,193,000","4,829,000","4,175,000","3,953,000","4,158,000","4,373,000","4,156,000","4,069,000","3,978,000","3,459,000","3,257,000","3,346,000","3,354,000","3,350,000","3,153,000","3,208,000","3,108,000","3,333,000","3,527,000","3,502,000","3,363,000","3,195,000","2,986,000","2,992,000","2,801,000","2,824,000","2,991,000","3,080,000","3,255,000","2,983,000","3,018,000","3,171,000","3,147,000","3,160,000","3,323,000","3,213,000","3,132,000","3,491,000","2,891,000","2,934,000","2,851,000","2,319,000","1,747,000"
		GeneralAndAdministrativeExpense,"15,052,000","3,636,000","3,762,000","3,495,000","4,159,000","2,880,000","3,223,000","3,566,000","3,663,000","3,664,000","3,481,000","3,509,000","2,534,000","2,317,000","2,161,000","2,406,000","2,833,000","2,954,000","3,100,000","2,711,000","2,552,000","2,125,000","2,281,000","2,218,000","2,078,000","1,990,000","2,363,000","2,183,000","1,666,000","1,972,000","1,930,000","2,223,000","1,861,000","2,040,000","2,082,000","2,006,000","1,744,000","1,838,000","2,226,000","1,940,000","1,849,000","1,869,000","2,086,000","2,057,000","1,742,000","1,754,000","1,399,000","1,593,000","1,570,000","1,546,000","1,532,000","1,525,000","1,558,000","1,472,000",,,,,,,,,,,,,,,,,,,,,,,,,,"1,013,000"
			OtherGandA,"15,052,000","3,636,000","3,762,000","3,495,000","4,159,000","2,880,000","3,223,000","3,566,000","3,663,000","3,664,000","3,481,000","3,509,000","2,534,000","2,317,000","2,161,000","2,406,000","2,833,000","2,954,000","3,100,000","2,711,000","2,552,000","2,125,000","2,281,000","2,218,000","2,078,000","1,990,000","2,363,000","2,183,000","1,666,000","1,972,000","1,930,000","2,223,000","1,861,000","2,040,000","2,082,000","2,006,000","1,744,000","1,838,000","2,226,000","1,940,000","1,849,000","1,869,000","2,086,000","2,057,000","1,742,000","1,754,000","1,399,000","1,593,000","1,570,000","1,546,000","1,532,000","1,525,000","1,558,000","1,472,000",,,,,,,,,,,,,,,,,,,,,,,,,,"1,013,000"
		SellingAndMarketingExpense,"12,482,000","2,923,000","3,504,000","3,162,000","2,893,000","3,302,000","3,135,000","2,711,000","2,893,000","3,168,000","3,554,000","2,832,000","2,956,000","3,021,000","2,859,000","2,727,000","3,399,000","3,176,000","3,150,000","3,057,000","3,427,000","2,938,000","3,077,000","2,763,000","2,855,000","2,845,000","2,810,000","2,384,000","2,548,000","2,426,000","2,614,000","2,611,000","2,197,000","2,393,000","2,821,000","2,376,000","2,540,000","2,355,000","2,603,000","2,235,000","2,104,000","2,289,000","2,287,000","2,099,000","2,327,000","2,224,000","2,060,000","1,664,000","1,776,000","1,808,000","1,818,000","1,628,000","1,650,000","1,636,000",,,,,,,,,,,,,,,,,,,,,,,,,,"734,000"
	ResearchAndDevelopment,"75,121,000","20,210,000","18,694,000","18,760,000","17,457,000","17,593,000","16,315,000","15,603,000","14,979,000","15,113,000","14,250,000","13,873,000","12,390,000","12,330,000","11,999,000","11,897,000","11,843,000","12,016,000","9,972,000","10,031,000","10,509,000","9,873,000","7,767,000","7,346,000","7,811,000","7,914,000","6,938,000","6,571,000","7,241,000","7,363,000","7,328,000","6,453,000","6,051,000","5,996,000","4,937,000","5,619,000","5,621,000","5,039,000","4,695,000","4,637,000","5,425,000","5,486,000","5,730,000","5,158,000","5,405,000","5,250,000","4,666,000","4,129,000","4,505,000","4,609,000","4,429,000","4,061,000","3,996,000","4,075,000","5,039,000","4,778,000","5,235,000","5,120,000","5,121,000","4,705,000","4,610,000","4,700,000","4,610,000","4,270,000","4,873,000","5,016,000","4,676,000","5,036,000","5,515,000","4,926,000","4,661,000","4,384,000","4,222,000","4,009,000","4,791,000","4,490,000","4,052,000","4,049,000","3,790,000","1,408,000"
