name,ttm,03/31/2022
MarketCap,"19,412,450,836","18,376,815,206"
EnterpriseValue,"23,626,450,836","26,068,815,206"
PeRatio,"27.972"
ForwardPeRatio,"19.608","17.825"
PegRatio,"1.015"
PsRatio,"0.986","0.933"
PbRatio,"1.748","1.638"
EnterprisesValueRevenueRatio,"1.2","4.663"
EnterprisesValueEBITDARatio,"4.511","36.257"
