name,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,06/30/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015
TotalAssets,"28,123,000,000","27,936,100,000","27,344,300,000","26,781,900,000","26,598,000,000","26,319,300,000","26,469,600,000","25,987,800,000","25,987,800,000","24,735,100,000","24,991,600,000","24,698,500,000","24,981,200,000","20,776,600,000","20,981,700,000","21,816,800,000","21,820,200,000","21,812,300,000","22,334,500,000","23,183,200,000","23,755,000,000","23,451,500,000","23,773,900,000","24,426,900,000","23,770,000,000","24,354,800,000","24,007,500,000","24,469,400,000","25,761,800,000"
	CurrentAssets,"8,366,400,000","8,379,700,000","7,988,300,000","7,377,500,000","6,988,000,000","7,444,200,000","7,578,600,000","7,132,800,000","7,132,800,000","5,731,300,000","5,979,600,000","5,630,600,000","5,906,800,000","6,250,000,000","6,112,600,000","6,845,700,000","6,488,900,000","6,148,600,000","5,923,200,000","6,427,600,000","6,793,200,000","6,478,200,000","6,369,400,000","6,867,800,000","6,113,300,000","6,466,500,000","6,124,300,000","6,368,500,000","7,104,700,000"
		CashCashEquivalentsAndShortTermInvestments,"2,902,000,000","2,661,000,000","2,849,800,000","2,173,800,000","1,717,000,000","1,836,100,000","2,389,600,000","2,022,200,000","2,022,200,000","470,700,000","406,400,000","435,300,000","662,100,000","926,100,000","462,600,000","1,661,900,000","1,237,000,000","670,300,000","572,200,000","1,063,400,000","1,219,200,000","806,100,000","930,600,000","1,476,200,000","579,700,000","727,800,000","777,700,000","989,300,000","1,125,800,000"
			CashAndCashEquivalents,"2,902,000,000","2,661,000,000","2,849,800,000","2,173,800,000","1,717,000,000","1,836,100,000","2,389,600,000","2,022,200,000","2,022,200,000","470,700,000","406,400,000","435,300,000","662,100,000","926,100,000","462,600,000","1,661,900,000","1,237,000,000","670,300,000","572,200,000","1,063,400,000","1,219,200,000","806,100,000","930,600,000","1,476,200,000","579,700,000","727,800,000","777,700,000","989,300,000","1,125,800,000"
		Receivables,"560,600,000","607,400,000","544,700,000","618,700,000","550,900,000","549,500,000","547,100,000","530,000,000","530,000,000","525,300,000","501,200,000","518,600,000","497,400,000","586,200,000","566,900,000","527,900,000","551,300,000","615,300,000","608,800,000","599,000,000","631,000,000","614,400,000","648,100,000","620,600,000","647,800,000","666,800,000","645,000,000","644,300,000","631,900,000"
			AccountsReceivable,"560,600,000","607,400,000","544,700,000","618,700,000","550,900,000","549,500,000","547,100,000","530,000,000","530,000,000","525,300,000","501,200,000","518,600,000","497,400,000","586,200,000","566,900,000","527,900,000","551,300,000",,,,,,,,,,,,
		Inventory,"4,500,800,000","4,671,000,000","4,179,100,000","4,271,900,000","4,301,300,000","4,638,000,000","4,267,100,000","4,271,600,000","4,271,600,000","4,352,500,000","4,624,200,000","4,340,300,000","4,385,400,000","4,332,800,000","4,639,500,000","4,308,100,000","4,323,200,000","4,421,100,000","4,420,600,000","4,436,700,000","4,464,000,000","4,666,400,000","4,434,600,000","4,419,300,000","4,421,800,000","4,682,700,000","4,252,100,000","4,185,100,000","4,156,600,000"
		PrepaidAssets,"301,600,000",,,,"317,200,000",,,,,"255,000,000",,,,"316,200,000",,,,"368,600,000",,,"345,300,000",,,,"362,400,000",,,,"392,900,000"
		OtherCurrentAssets,"101,400,000","440,300,000","414,700,000","313,100,000","101,600,000","420,600,000","374,800,000","309,000,000","309,000,000","127,800,000","447,800,000","336,400,000","361,900,000","88,700,000","443,600,000","347,800,000","377,400,000","73,300,000","321,600,000","328,500,000","133,700,000","391,300,000","356,100,000","351,700,000","101,600,000","389,200,000","449,500,000","549,800,000","797,500,000"
	TotalNonCurrentAssets,"19,756,600,000","19,556,400,000","19,356,000,000","19,404,400,000","19,610,000,000","18,875,100,000","18,891,000,000","18,855,000,000","18,855,000,000","19,003,800,000","19,012,000,000","19,067,900,000","19,074,400,000","14,526,600,000","14,869,100,000","14,971,100,000","15,331,300,000","15,663,700,000","16,411,300,000","16,755,600,000","16,961,800,000","16,973,300,000","17,404,500,000","17,559,100,000","17,656,700,000","17,888,300,000","17,883,200,000","18,100,900,000","18,657,100,000"
