name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015
TotalRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
	OperatingRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
CostOfRevenue,"1,103,000","266,000","275,000","283,000","279,000","252,000","372,000","488,000","511,000","427,000","376,000","834,000","494,000","469,000","346,000","347,000","298,000","279,000","276,000","276,000",,,,,,,,"0","0","0"
GrossProfit,"-1,103,000","-266,000","-275,000","-283,000","-279,000","-252,000","-372,000","-488,000","-511,000","-427,000","-376,000","-834,000","-494,000","-469,000","-346,000","-347,000","-298,000","-279,000","-276,000","-276,000",,,,,,,,"0","0","0"
OperatingExpense,"21,917,000","4,868,000","7,578,000","2,937,000","6,533,000","1,369,000","3,631,000","5,069,000","4,700,000","6,814,000","12,143,000","3,579,000","5,087,000","12,019,000","11,794,000","10,632,000","3,318,000","16,001,000","16,159,000","14,014,000","306,012","317,306","240,217","125,641","121,410","202,301","108,488","112,316","109,511","8,217"
	SellingGeneralAndAdministration,"18,757,000","3,323,000","5,963,000","2,937,000","6,533,000","1,369,000","3,631,000","5,069,000","4,700,000","6,814,000","12,143,000","3,579,000","-5,076,000","12,019,000","9,649,000","6,214,000","3,318,000","16,001,000","16,159,000","14,014,000","306,012","317,306","240,217","125,641","121,410","202,301","108,488","112,316","109,511","8,217"
		GeneralAndAdministrativeExpense,"18,757,000","3,323,000","5,963,000","2,937,000","6,533,000","1,369,000","3,631,000","5,069,000","4,700,000","6,814,000","12,143,000","3,579,000","-5,076,000","12,019,000","9,649,000","6,214,000","3,318,000","16,001,000","16,159,000","14,014,000","306,012","317,306","240,217","125,641","121,410","202,301","108,488","112,316","109,511","8,217"
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,"248,000","250,000",,,,,,,,,,
			OtherGandA,"18,757,000","3,323,000","5,963,000","2,937,000","6,533,000","1,369,000","3,631,000","5,069,000","4,700,000","6,814,000","12,143,000","3,579,000","-5,076,000","12,019,000","9,649,000","6,214,000","3,318,000","16,001,000","16,159,000","14,014,000","306,012","317,306","240,217","125,641","121,410","202,301","108,488","112,316","109,511","8,217"
	ResearchAndDevelopment,"3,160,000","1,545,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,"28,000","26,000",,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,"28,000","26,000",,,,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,"28,000","26,000",,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,"0",,"10,163,000",,"2,145,000","4,418,000",,,,,,,,,,,,,,
OperatingIncome,"-23,020,000","-5,134,000","-7,853,000","-3,220,000","-6,812,000","-1,621,000","-4,003,000","-5,557,000","-5,211,000","-7,241,000","-12,519,000","-4,413,000","-5,581,000","-12,488,000","-12,140,000","-10,979,000","-3,616,000","-16,280,000","-16,435,000","-14,290,000","-306,012","-317,306","-240,217","-125,641","-121,410","-202,301","-108,488","-112,316","-109,511","-8,217"
NetNonOperatingInterestIncomeExpense,,,"0","0","0","1,000","2,000","7,000","2,000","233,000","525,000","319,000","409,000","466,000","544,000","222,000","131,000","122,000","107,000","145,000","197,791","135,094","81,328","71,155","56,291","46,096","35,618","22,574","17,127","24"
