name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
		RestrictedCash,"95,106,000","53,879,000","42,182,000","33,697,000","42,219,000","29,173,000","38,788,000","34,680,000","43,116,000","53,008,000","42,295,000","39,316,000","54,433,000","37,949,000","29,699,000","34,812,000","37,337,000","22,805,000","27,713,000","20,002,000","18,320,000","16,334,000","16,406,000","14,885,000","28,872,000","36,993,000","44,191,000","56,704,000","26,884,000","24,245,000","24,519,000","30,454,000","27,709,000","30,654,000","30,914,000","30,008,000","39,947,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"31,763,436,000","29,512,140,000","27,907,742,000","26,406,661,000","24,471,052,000","22,100,048,000","21,268,362,000","19,753,649,000","19,104,146,000","18,054,420,000","16,527,682,000","15,714,943,000","15,079,373,000","14,116,687,000","13,795,647,000","13,173,938,000","12,472,728,000","11,755,961,000","11,335,536,000","11,038,976,000","10,630,786,000","10,152,761,000","9,013,637,000","8,764,924,000","8,708,671,000","8,613,844,000","8,402,804,000","8,247,249,000","8,012,593,000","7,918,216,000","7,718,775,000","7,639,996,000","7,434,441,000","7,265,205,000","7,038,593,000","6,964,649,000","6,960,749,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetPPE,"1,469,282,000","1,261,975,000","1,207,520,000","1,174,849,000","1,105,755,000","982,988,000","954,334,000","782,409,000","822,607,000","743,682,000","660,472,000","567,419,000","523,719,000","228,717,000","224,167,000","203,188,000","148,654,000","108,122,000","104,894,000","96,224,000","90,427,000","96,138,000","56,607,000","41,045,000","41,679,000",,,,,,,,,,,,,"6,300,027,000","6,208,354,000","6,087,382,000","6,008,440,000","5,925,292,000","5,855,352,000","5,498,465,000","5,444,814,000","5,237,709,000","5,120,553,000","5,055,223,000","5,039,128,000","4,971,165,000","4,890,130,000","4,791,558,000","4,722,470,000","4,564,460,000","4,436,104,000","4,326,193,000","4,290,217,000","3,952,271,000","3,507,609,000","3,394,872,000","3,322,582,000","3,009,614,000","2,310,088,000","2,256,099,000","2,118,156,000","1,975,381,000","1,882,018,000","1,803,558,000","1,680,102,000","1,348,967,000","1,230,383,000","1,148,340,000","1,135,676,000","1,086,081,000","1,107,752,000","1,092,599,000","1,044,808,000","966,569,000","938,066,000","876,024,000","861,876,000","829,780,000","776,114,000","732,577,000","705,745,000","693,769,000","643,098,000","610,472,000","598,800,000","579,100,000","526,000,000","515,400,000","493,700,000","441,700,000","390,500,000","349,000,000","230,000,000","214,900,000","198,800,000","147,300,000"
			GrossPPE,"1,469,282,000","1,261,975,000","1,207,520,000","1,174,849,000","1,105,755,000","982,988,000","954,334,000","782,409,000","822,607,000","743,682,000","660,472,000","567,419,000","523,719,000","228,717,000","224,167,000","203,188,000","148,654,000","108,122,000","104,894,000","96,224,000","90,427,000","96,138,000","56,607,000","41,045,000","41,679,000",,,,,,,,,,,,,"7,154,359,000","7,030,723,000","6,866,559,000","6,750,975,000","6,635,872,000","6,534,433,000","6,145,499,000","6,060,821,000","5,825,876,000","5,683,308,000","5,593,793,000","5,559,775,000","5,471,930,000","5,367,100,000","5,244,097,000","5,151,160,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,572,014,000",,"4,162,394,000","3,979,016,000","3,937,876,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,509,897,000","520,593,000","506,136,000",,,,"514,719,000","888,778,000",,"309,514,000",,"474,859,000","470,156,000","587,273,000","532,962,000","537,117,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,682,998,000","4,600,499,000","4,473,337,000",,,,,"3,906,689,000",,,,"3,249,866,000","3,216,373,000","3,192,277,000","3,078,854,000","3,036,222,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"25,930,000","26,429,000","27,333,000","29,872,000","30,830,000","31,130,000","32,332,000","31,027,000","29,826,000","23,031,000","17,511,000","16,725,000","15,893,000","14,787,000","12,958,000","11,538,000","10,904,000","11,070,000","11,443,000","11,787,000","12,304,000","12,839,000","13,379,000","14,185,000","13,682,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"1,443,352,000","1,235,546,000","1,180,187,000","1,144,977,000","1,074,925,000","951,858,000","922,002,000","751,382,000","792,781,000","720,651,000","642,961,000","550,694,000","507,826,000","213,930,000","211,209,000","191,650,000","137,750,000","97,052,000","93,451,000","84,437,000","78,123,000","83,299,000","43,228,000","26,860,000","27,997,000",,,,,,,,,,,,,"211,299,000","1,165,635,000","1,119,968,000",,,,"37,462,000","219,818,000","306,577,000","3,979,016,000","329,052,000","434,255,000","435,745,000","181,099,000","180,715,000","180,398,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"750,165,000","743,996,000","767,118,000",,,,"1,021,304,000","1,045,536,000","1,356,905,000","1,394,778,000","1,326,865,000","1,400,795,000","1,349,656,000","1,406,451,000","1,451,566,000","1,397,423,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-854,332,000","-822,369,000","-779,177,000","-742,535,000","-710,580,000","-679,081,000","-647,034,000","-616,007,000","-588,167,000","-562,755,000","-538,570,000","-520,647,000","-500,765,000","-476,970,000","-452,539,000","-428,690,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentProperties,"27,100,009,000","24,980,669,000","23,071,514,000","21,692,385,000","20,253,418,000","18,092,372,000","17,600,648,000","16,281,125,000","15,832,182,000","14,844,038,000","13,618,280,000","12,872,824,000","12,410,350,000","11,913,693,000","11,587,312,000","11,190,771,000","10,671,227,000","10,298,019,000","10,046,521,000","9,819,413,000","9,470,667,000","9,077,972,000","7,939,179,000","7,741,466,000","7,629,922,000","7,654,209,000","7,442,875,000","7,388,059,000","7,226,016,000","7,197,630,000","7,030,117,000","6,930,262,000","6,776,914,000","6,613,761,000","6,453,379,000","6,375,182,000","6,424,578,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
