name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,12/31/2014
TotalAssets,"12,960,000,000","12,521,000,000","13,117,000,000","13,064,000,000","13,000,000,000","12,423,000,000","12,796,000,000","13,529,000,000","11,984,000,000","11,288,000,000","11,526,000,000","9,339,000,000","9,391,000,000","9,186,000,000","9,273,902,000","9,135,255,000","9,173,774,000","9,037,158,000","9,358,234,000","9,208,096,000","9,177,596,000","8,944,450,000","9,108,291,000","8,995,635,000","9,023,609,000","9,239,359,000","9,496,729,000","9,057,114,000"
	CurrentAssets,"4,050,000,000","3,594,000,000","4,235,000,000","4,166,000,000","4,084,000,000","3,465,000,000","3,805,000,000","4,422,000,000","3,923,000,000","3,262,000,000","3,560,000,000","3,042,000,000","3,081,000,000","2,979,000,000","3,072,832,000","2,912,949,000","2,931,112,000","2,819,381,000","3,134,171,000","3,021,523,000","2,993,671,000","2,789,171,000","2,972,000,000","2,829,076,000","2,834,047,000","3,060,433,000","3,386,474,000","2,829,913,000"
		CashCashEquivalentsAndShortTermInvestments,"190,000,000","148,000,000","772,000,000","699,000,000","912,000,000","828,000,000","1,019,000,000","1,668,000,000","1,077,000,000","90,000,000","90,000,000","96,000,000","92,000,000","104,000,000","88,082,000","100,203,000","85,286,000","118,849,000","147,362,000","149,972,000","151,817,000","131,090,000","149,976,000","115,406,000","142,108,000","517,802,000","698,509,000","343,659,000"
			CashAndCashEquivalents,"190,000,000","148,000,000","772,000,000","699,000,000","912,000,000","828,000,000","1,019,000,000","1,668,000,000","1,077,000,000","90,000,000","90,000,000","96,000,000","92,000,000","104,000,000","88,082,000","100,203,000","85,286,000","118,849,000","147,362,000","149,972,000","151,817,000","131,090,000","149,976,000","115,406,000","142,108,000","517,802,000","698,509,000","343,659,000"
		Receivables,"1,857,000,000","1,614,000,000","1,753,000,000","1,733,000,000","1,531,000,000","1,205,000,000","1,340,000,000","1,239,000,000","1,260,000,000","1,598,000,000","1,747,000,000","1,561,000,000","1,578,000,000","1,453,000,000","1,550,344,000","1,480,253,000","1,525,294,000","1,398,829,000","1,579,404,000","1,523,066,000","1,524,674,000","1,331,574,000","1,500,843,000","1,425,301,000","1,422,690,000","1,335,427,000","1,445,470,000","1,350,406,000"
			AccountsReceivable,"1,658,000,000","1,469,000,000","1,549,000,000","1,539,000,000","1,354,000,000","1,084,000,000","1,185,000,000","1,089,000,000","1,124,000,000","1,455,000,000","1,548,000,000","1,391,000,000","1,408,000,000","1,347,000,000","1,390,462,000","1,338,894,000","1,370,804,000","1,301,631,000","1,410,694,000","1,366,470,000","1,371,503,000","1,226,032,000","1,346,535,000","1,271,192,000","1,278,110,000","1,233,978,000","1,308,889,000","1,252,738,000"
				GrossAccountsReceivable,"1,691,000,000","1,502,000,000","1,588,000,000","1,584,000,000","1,405,000,000","1,151,000,000","1,273,000,000","1,209,000,000","1,322,000,000","1,485,000,000","1,578,000,000","1,419,000,000","1,438,000,000","1,376,000,000","1,417,930,000","1,365,494,000","1,396,693,000","1,327,602,000","1,435,094,000","1,391,153,000","1,395,740,000","1,251,420,000","1,368,483,000","1,293,505,000","1,300,733,000","1,256,601,000","1,330,506,000","1,277,727,000"
				AllowanceForDoubtfulAccountsReceivable,"-33,000,000","-33,000,000","-39,000,000","-45,000,000","-51,000,000","-67,000,000","-88,000,000","-120,000,000","-198,000,000","-30,000,000","-30,000,000","-28,000,000","-30,000,000","-29,000,000","-27,468,000","-26,600,000","-25,889,000","-25,971,000","-24,400,000","-24,683,000","-24,237,000","-25,388,000","-21,948,000","-22,313,000","-22,623,000","-22,623,000","-21,617,000","-24,989,000"
			OtherReceivables,"199,000,000","145,000,000","204,000,000","194,000,000","177,000,000","121,000,000","155,000,000","150,000,000","136,000,000","143,000,000","199,000,000","170,000,000","170,000,000","106,000,000","159,882,000","141,359,000","154,490,000","97,198,000","168,710,000","156,596,000","153,171,000","105,542,000","154,308,000","154,109,000","144,580,000","101,449,000","136,581,000","97,668,000"
			ReceivablesAdjustmentsAllowances,,,,,,,,,"-5,000,000",,"-5,000,000","-3,000,000","-3,000,000","-3,000,000","-3,068,000","-2,851,000","-3,490,000","-2,934,000","-4,036,000","-2,907,000","-2,970,000","-1,819,000","-2,156,000","-2,298,000","-1,566,000","-1,566,000","-2,294,000","-2,802,000"
		Inventory,"1,826,000,000","1,686,000,000","1,565,000,000","1,560,000,000","1,451,000,000","1,273,000,000","1,314,000,000","1,332,000,000","1,426,000,000","1,432,000,000","1,468,000,000","1,277,000,000","1,272,000,000","1,279,000,000","1,300,585,000","1,208,250,000","1,207,080,000","1,207,830,000","1,304,154,000","1,236,167,000","1,197,984,000","1,223,037,000","1,218,765,000","1,182,495,000","1,168,109,000","1,112,967,000","1,151,474,000","1,050,898,000"
		PrepaidAssets,"148,000,000","120,000,000","115,000,000","144,000,000","160,000,000","132,000,000","93,000,000","137,000,000","121,000,000","109,000,000","101,000,000","94,000,000","111,000,000","106,000,000","99,737,000","95,885,000","90,229,000","80,255,000","73,520,000","80,754,000","87,514,000","72,650,000","68,040,000","69,836,000","75,199,000","73,787,000","67,173,000","67,791,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,987,000","0"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,987,000","0"
		AssetsHeldForSaleCurrent,"8,000,000","8,000,000","12,000,000","9,000,000","10,000,000","1,000,000","10,000,000","20,000,000","15,000,000","1,000,000","143,000,000","1,000,000","7,000,000","7,000,000","7,817,000","5,178,000","5,178,000","5,178,000","21,538,000","21,638,000","21,039,000","21,039,000","24,685,000","21,923,000","5,459,000","5,459,000","5,556,000","5,360,000"
		OtherCurrentAssets,"21,000,000","18,000,000","18,000,000","21,000,000","20,000,000","26,000,000","29,000,000","26,000,000","24,000,000","32,000,000","11,000,000","13,000,000","21,000,000","30,000,000","26,267,000","23,180,000","18,045,000","8,440,000","8,193,000","9,926,000","10,643,000","9,781,000","9,691,000","14,115,000","20,482,000","14,991,000","6,305,000","11,799,000"
