name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
TotalAssets,"15,241,179,000","15,407,403,000","16,004,224,000","15,860,059,000","16,699,262,000","17,523,019,000","18,093,868,000","18,448,151,000","19,241,863,000","27,118,671,000","28,632,289,000","27,637,730,000","29,337,903,000","27,708,639,000","25,179,926,000","23,262,755,000","21,330,728,000","21,222,070,000","21,187,384,000","20,818,469,000","20,426,650,000","16,684,908,000","17,168,701,000","17,590,239,000","15,306,957,000","15,344,646,000","15,939,645,000","15,751,639,000","17,340,659,000","19,155,005,000","17,490,969,000","12,565,917,000","6,707,030,000","6,936,081,000","7,028,255,000","7,183,638,000","7,432,055,000","7,742,489,000","7,538,992,000","8,306,585,000","8,254,562,000","7,747,135,000","9,714,205,000","10,089,109,000","10,258,434,000","8,073,700,000","7,233,452,000","6,878,182,000","6,156,195,000","4,618,328,000","4,369,480,000","4,207,705,000","1,676,048,000","1,477,501,000","1,372,227,000","1,971,156,000","1,910,044,000"
	CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"501,089,000","165,393,000","181,002,000","255,624,000","65,363,000","74,026,000","81,057,000","56,261,000","59,716,000","281,896,000","83,837,000","57,407,000","50,467,000","40,176,000","23,412,000","892,898,000","773,757,000","1,205,845,000",
		CashCashEquivalentsAndShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"458,107,000","116,227,000","131,273,000","206,299,000","9,824,000","16,080,000","16,295,000","7,173,000","11,949,000","236,214,000","44,200,000","24,279,000","21,023,000","13,121,000","12,200,000","882,947,000","765,545,000","1,166,475,000","1,321,150,000"
			CashAndCashEquivalents,"165,728,000","385,741,000","328,455,000","346,951,000","317,489,000","269,090,000","325,717,000","302,553,000","261,491,000","109,878,000","160,894,000","54,034,000","122,850,000","47,486,000","121,046,000","90,671,000","100,752,000","63,569,000","38,055,000","168,743,000","82,556,000","177,714,000","156,608,000","67,421,000","190,453,000","114,062,000","40,097,000","49,548,000","119,517,000","164,620,000","241,643,000","73,871,000","40,602,000","77,629,000","125,491,000","168,153,000","649,526,000","621,153,000","458,107,000","116,227,000","131,273,000","206,299,000","9,824,000","16,080,000","16,295,000","7,173,000","11,949,000","236,214,000","44,200,000","24,279,000","21,023,000","13,121,000","12,200,000","27,480,000","6,167,000","49,889,000","91,370,000"
				CashEquivalents,"165,728,000","385,741,000","328,455,000","346,951,000","317,489,000","269,090,000","325,717,000","302,553,000","261,491,000","109,878,000","160,894,000","54,034,000","122,850,000","47,486,000",,,,"63,569,000",,,,"177,714,000",,,,"114,062,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"498,915,000",,,"855,467,000","759,378,000","1,116,586,000","1,229,780,000"
		Receivables,"72,418,000","69,513,000","74,011,000","75,314,000","77,562,000","81,158,000","86,727,000","89,387,000","93,343,000","562,648,000","125,601,000","196,452,000","1,537,224,000","123,442,000","114,798,000","106,877,000","98,669,000","100,789,000","110,656,000","98,079,000","99,669,000","79,697,000","84,328,000","109,644,000","65,053,000","66,247,000","127,454,000","71,584,000","1,036,717,000","1,643,155,000","73,227,000","45,786,000","119,658,000","286,535,000","234,740,000","37,535,000","36,473,000","39,330,000","42,982,000","49,166,000","49,729,000","49,325,000","55,539,000","57,946,000","64,762,000","49,088,000","47,767,000","45,682,000","39,637,000","33,128,000","29,444,000","27,055,000","11,212,000","9,951,000","8,212,000","9,863,000","123,574,000"
			AccountsReceivable,"72,418,000","69,513,000","74,011,000","75,314,000","77,562,000","81,158,000","86,727,000","89,387,000","93,343,000","116,423,000","125,601,000","121,393,000","122,746,000","123,442,000","114,798,000","106,877,000","98,669,000","100,789,000","99,421,000","98,079,000","99,669,000","79,697,000","84,328,000","109,644,000","65,053,000","66,247,000","69,774,000","71,584,000","74,596,000","71,099,000","73,227,000","45,786,000","31,122,000","32,994,000","37,186,000","37,535,000","36,473,000","39,330,000",,,,,,,"6,192,000",,,,"47,185,000",,,,,,,,"113,581,000"
			AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,982,000","49,166,000","49,729,000","49,325,000","55,539,000","57,946,000","58,570,000","49,088,000","47,767,000","45,682,000","39,637,000","33,128,000","29,444,000","27,055,000","11,212,000","9,951,000","8,212,000","9,863,000","9,993,000"
			OtherReceivables,,,,,,,,,,"446,225,000",,"75,059,000","1,414,478,000",,,,,,"11,235,000",,,,,,,,"57,680,000",,"962,121,000","1,572,056,000",,,"88,536,000","253,541,000","197,554,000",,,,,,,,,,,,,,,,,,,,,,
