name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005
TotalAssets,"2,087,744,000","2,014,634,000","2,093,944,000","1,946,049,000","2,032,465,000","1,976,595,000","2,226,721,000","2,273,257,000","2,437,841,000","2,465,070,000","2,536,978,000","2,557,246,000","2,549,168,000","1,620,584,000","1,474,629,000","1,445,016,000","1,431,618,000","1,413,613,000","1,431,578,000","1,439,545,000","1,471,464,000","1,428,476,000","1,431,915,000","1,458,975,000","1,456,990,000","1,369,109,000","1,458,028,000","1,514,064,000","1,521,960,000","1,438,243,000","1,450,232,000","1,433,767,000","1,431,345,000","1,421,244,000","1,391,774,000","1,366,173,000","1,284,774,000","1,262,103,000","1,302,558,000","1,307,675,000","1,263,607,000","1,207,900,000","1,185,029,000","1,192,455,000","1,044,570,000","1,008,897,000","965,396,000","904,431,000","886,796,000","850,756,000","857,775,000","748,516,000","757,583,000","721,197,000","785,383,000","738,624,000","700,026,000","693,882,000","680,734,000","674,886,000","650,351,000","608,303,000","589,320,000","545,271,000","548,474,000","507,715,000","483,031,000","478,236,000","407,693,000","395,437,000"
	CurrentAssets,"999,425,000","914,216,000","970,317,000","803,761,000","863,297,000","780,585,000","776,902,000","770,460,000","949,207,000","900,810,000","926,863,000","924,157,000","896,725,000","955,219,000","983,260,000","977,093,000","878,956,000","863,009,000","921,966,000","854,886,000","882,132,000","759,266,000","748,117,000","770,955,000","767,854,000","795,668,000","677,100,000","870,360,000","940,502,000","768,470,000","787,697,000","756,755,000","821,307,000","812,764,000","795,505,000","776,905,000","799,674,000","821,790,000","899,345,000","916,601,000","906,326,000","868,007,000","752,566,000","744,970,000","741,745,000","717,181,000","715,743,000","645,822,000","638,679,000","606,990,000","611,386,000","496,653,000","495,429,000","454,047,000","512,130,000","478,670,000","450,966,000","451,622,000","474,029,000","493,883,000","484,548,000","457,971,000","452,379,000","413,712,000","419,505,000","378,117,000","350,548,000","347,567,000","277,809,000","247,846,000"
		CashCashEquivalentsAndShortTermInvestments,"54,802,000","72,691,000","83,069,000","46,458,000","49,301,000","59,581,000","114,531,000","206,720,000","250,874,000","111,538,000","113,777,000","77,266,000","121,930,000","169,087,000","294,267,000","289,115,000","268,870,000","300,537,000","329,551,000","271,367,000","253,866,000","209,187,000","139,474,000","165,791,000","157,074,000","258,522,000","90,019,000","291,828,000","335,573,000","230,372,000","224,775,000","239,053,000","312,777,000","336,119,000","282,157,000","269,167,000","295,615,000","313,178,000","337,642,000","380,969,000","371,275,000","375,700,000","303,972,000","350,727,000","337,830,000","335,174,000","309,820,000","271,950,000","294,221,000","289,285,000","265,920,000","178,966,000","163,523,000","156,186,000","130,485,000","133,167,000","123,384,000","131,806,000","141,110,000","175,318,000","175,286,000","171,855,000","172,541,000","151,251,000","159,288,000","124,759,000","57,065,000","42,329,000",,"8,339,000"
			CashAndCashEquivalents,"54,802,000","72,691,000","83,069,000","46,458,000","49,301,000","59,581,000","114,531,000","206,720,000","250,874,000","86,564,000","87,838,000","51,762,000","70,671,000","99,369,000","222,419,000","215,996,000","197,162,000","175,932,000","149,485,000","89,305,000","79,673,000","110,657,000","60,962,000","62,324,000","59,462,000","32,495,000","90,019,000","151,007,000","206,868,000","59,171,000","96,394,000","87,406,000","132,900,000","112,021,000","86,909,000","68,929,000","82,405,000","81,097,000","134,322,000","61,059,000","76,547,000","79,003,000","101,675,000","49,615,000","49,883,000","93,617,000","103,755,000","72,986,000","141,863,000","125,020,000","96,491,000","39,279,000","82,121,000","54,782,000","45,570,000","57,687,000","118,284,000","61,801,000","46,410,000","74,843,000","76,036,000","73,205,000","97,191,000","104,326,000","159,288,000","124,759,000","57,065,000","42,329,000",,"8,339,000"
			OtherShortTermInvestments,,,,,,"0","0","0","0","24,974,000","25,939,000","25,504,000","51,259,000","69,718,000","71,848,000","73,119,000","71,708,000","124,605,000","180,066,000","182,062,000","174,193,000","98,530,000","78,512,000","103,467,000","97,612,000","226,027,000","0","140,821,000","128,705,000","171,201,000","128,381,000","151,647,000","179,877,000","224,098,000","195,248,000","200,238,000","213,210,000","232,081,000","203,320,000","319,910,000","294,728,000","296,697,000","202,297,000","301,112,000","287,947,000","241,557,000","206,065,000","198,964,000","152,358,000","164,265,000","169,429,000","139,687,000","81,402,000","101,404,000","84,915,000","75,480,000","5,100,000","70,005,000","94,700,000","100,475,000","99,250,000","98,650,000","75,350,000","46,925,000",,,,,,
		Receivables,"222,297,000","199,826,000","231,391,000","199,371,000","213,447,000","196,049,000","61,840,000","49,240,000","81,953,000","89,151,000","87,313,000","85,162,000","78,287,000","68,870,000","14,902,000","17,259,000","13,571,000","19,236,000","20,417,000","17,742,000","16,865,000","19,006,000","21,363,000","18,929,000","15,297,000","15,464,000","18,264,000","18,596,000","24,181,000","24,407,000","26,610,000","27,868,000","22,776,000","26,646,000","23,853,000","21,742,000","19,686,000","26,784,000","26,245,000","24,788,000","18,790,000","16,996,000","14,860,000","14,653,000","12,372,000","12,514,000","10,931,000","10,297,000","6,195,000","5,529,000","5,397,000","5,893,000","7,368,000","7,187,000","11,888,000","11,881,000","15,917,000","14,343,000","12,811,000","12,468,000","12,844,000","8,284,000","9,564,000","6,757,000","4,156,000","4,088,000","32,055,000","4,184,000",,"2,291,000"
			AccountsReceivable,"54,069,000","30,692,000","55,647,000","30,379,000","42,453,000","34,554,000","51,905,000","27,255,000","53,033,000","62,204,000","79,094,000","86,594,000","80,517,000","69,809,000","14,902,000","17,259,000","13,571,000","19,236,000","20,417,000","17,742,000","16,865,000","19,006,000","21,363,000","18,929,000","15,297,000","15,464,000","18,264,000","18,596,000","24,181,000","24,407,000","26,610,000","27,868,000","22,776,000","26,646,000","23,853,000","21,742,000","19,686,000","26,784,000","26,245,000","24,788,000","18,790,000","16,996,000","14,860,000","14,653,000","12,372,000","12,514,000","10,931,000","10,297,000","6,195,000","5,529,000","5,397,000","5,893,000","7,368,000","7,187,000","11,888,000","11,881,000","15,917,000","14,343,000","12,811,000","12,468,000","12,844,000","8,284,000","3,735,000","6,757,000","4,144,000","4,088,000","17,276,000","3,956,000",,"2,291,000"
				GrossAccountsReceivable,,,,,,,,,,,"79,094,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"162,788,000","162,240,000","166,934,000","158,890,000","158,890,000","149,824,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"6,573,000","8,026,000","10,043,000","11,295,000","13,305,000","12,865,000","11,200,000","23,973,000","31,467,000","28,166,000","10,854,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,829,000",,"12,000",,"14,779,000","228,000",,
			ReceivablesAdjustmentsAllowances,"-1,133,000","-1,132,000","-1,233,000","-1,193,000","-1,201,000","-1,194,000","-1,265,000","-1,988,000","-2,547,000","-1,219,000","-2,635,000","-1,432,000","-2,230,000","-939,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"672,490,000","586,429,000","602,101,000","504,316,000","540,088,000","473,183,000","545,954,000","445,044,000","533,638,000","632,587,000","677,696,000","706,168,000","642,045,000","645,317,000","624,167,000","596,956,000","539,700,000","501,903,000","546,553,000","527,305,000","575,171,000","499,995,000","562,701,000","556,183,000","563,317,000","484,236,000","521,243,000","505,170,000","512,096,000","450,836,000","486,260,000","414,988,000","419,983,000","397,768,000","424,066,000","404,512,000","395,310,000","393,794,000","422,467,000","367,228,000","373,255,000","334,390,000","377,945,000","318,263,000","334,495,000","309,013,000","332,446,000","309,143,000","286,657,000","262,284,000","289,395,000","264,295,000","278,229,000","244,008,000","319,244,000","286,869,000","267,797,000","262,037,000","274,927,000","258,119,000","257,988,000","237,737,000","235,047,000","222,029,000","225,183,000","216,698,000","229,387,000","231,192,000",,"208,015,000"
		PrepaidAssets,"49,836,000","55,270,000","53,756,000","53,616,000","60,461,000","51,772,000","54,577,000","69,456,000","82,742,000","67,534,000","48,077,000","55,561,000","54,463,000","71,945,000","49,924,000","73,763,000","56,815,000","41,333,000","25,445,000","38,472,000","36,230,000","31,078,000","24,579,000","30,052,000","32,166,000","37,446,000","22,209,000","31,599,000","46,794,000","43,108,000","26,566,000","52,515,000","45,377,000","34,101,000","41,086,000","39,116,000","37,179,000","20,637,000","22,891,000","23,870,000","26,870,000","24,448,000","19,950,000","26,646,000","25,221,000","29,945,000","28,958,000","21,658,000","21,064,000","20,762,000","21,819,000","21,404,000","21,511,000","24,790,000","24,237,000","24,850,000","22,430,000","23,134,000","25,404,000","28,934,000","19,190,000","22,049,000","15,487,000","14,303,000","12,230,000","13,981,000","15,196,000","16,088,000",,"8,940,000"
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,365,000","23,167,000","21,858,000","19,747,000","23,486,000","22,331,000","20,394,000","18,130,000","24,343,000","42,368,000","51,884,000","67,397,000","90,100,000","119,746,000","116,136,000","116,473,000","35,839,000","34,681,000","31,827,000","30,535,000","33,588,000","32,774,000","30,542,000","29,130,000","28,855,000","26,095,000","24,798,000","21,876,000","26,276,000","21,903,000","21,438,000","20,302,000","19,777,000","19,044,000","19,240,000","18,046,000","19,740,000","19,372,000","18,648,000","18,591,000","16,845,000","22,975,000",,"20,261,000"
