name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
TotalAssets,"169,887,000","195,548,000","223,533,000","238,009,000","257,623,000","273,339,000","300,036,000","114,058,000","126,621,000","138,118,000","150,143,000","163,168,000","72,066,000","77,151,000"
	CurrentAssets,"167,934,000","193,582,000","221,807,000","236,222,000","255,776,000","271,345,000","298,033,000","113,193,000","126,218,000","138,049,000","150,073,000","163,108,000","70,699,000","77,131,000"
		CashCashEquivalentsAndShortTermInvestments,"165,376,000","188,258,000","215,081,000","230,028,000","249,984,000","268,387,000","291,870,000","102,833,000","125,285,000","136,400,000","147,835,000","162,654,000","69,796,000","75,975,000"
			CashAndCashEquivalents,"150,489,000","150,483,000","164,935,000","157,538,000","187,960,000","187,242,000","192,679,000","63,247,000","47,245,000","64,788,000","147,835,000","162,654,000","69,796,000","75,975,000"
			OtherShortTermInvestments,"14,887,000","37,775,000","50,146,000","72,490,000","62,024,000","81,145,000","99,191,000","39,586,000","78,040,000","71,612,000",,,,
		PrepaidAssets,"2,558,000","5,324,000","6,726,000","6,194,000","5,792,000","2,958,000","6,163,000","10,360,000","933,000","1,649,000","2,238,000","454,000","903,000","1,156,000"
		OtherCurrentAssets,,"5,324,000",,,,"2,958,000",,,,"1,649,000",,,,
	TotalNonCurrentAssets,"1,953,000","1,966,000","1,726,000","1,787,000","1,847,000","1,994,000","2,003,000","865,000","403,000","69,000","70,000","60,000","1,367,000","20,000"
		NetPPE,"1,485,000","1,549,000","1,612,000","1,672,000","1,732,000","1,793,000","1,847,000",,"226,000",,,,,
			GrossPPE,"1,485,000","1,549,000","1,612,000","1,672,000","1,732,000","1,793,000","1,847,000",,"226,000",,,,,
				OtherProperties,"1,485,000","1,549,000","1,612,000","1,672,000","1,732,000","1,793,000","1,847,000",,"226,000",,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,"1,327,000",
		OtherNonCurrentAssets,"468,000","417,000","114,000","115,000","115,000","201,000","156,000","865,000","177,000","69,000","70,000","60,000","40,000","20,000"
TotalLiabilitiesNetMinorityInterest,"23,352,000","26,439,000","24,905,000","17,876,000","11,603,000","14,627,000","13,578,000","10,395,000","8,298,000","9,392,000","6,759,000","4,779,000","2,404,000","127,070,000"
	CurrentLiabilities,"22,097,000","25,128,000","23,540,000","16,459,000","10,136,000","13,111,000","12,014,000","10,393,000","8,286,000","9,369,000","6,725,000","4,740,000","2,404,000","2,342,000"
		PayablesAndAccruedExpenses,"20,433,000","24,369,000","21,123,000","14,638,000","8,834,000","12,322,000","10,269,000","9,254,000","7,190,000","7,763,000","5,759,000","4,177,000","2,258,000","2,038,000"
			Payables,"4,450,000","6,706,000","6,784,000","2,307,000","4,605,000","3,428,000","4,636,000","2,536,000","1,535,000","947,000","93,000","3,248,000","952,000","1,373,000"
				AccountsPayable,"4,450,000","6,706,000","6,784,000","2,307,000","4,605,000","3,428,000","4,636,000","2,536,000","1,535,000","947,000","93,000","3,248,000","952,000","1,373,000"
			CurrentAccruedExpenses,"15,983,000","17,663,000","14,339,000","12,331,000","4,229,000","8,894,000","5,633,000","6,718,000","5,655,000","6,816,000","5,666,000","929,000","1,306,000","665,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"1,452,000","554,000","2,218,000","1,594,000","965,000","495,000","1,442,000","993,000","740,000","1,606,000","966,000","563,000","146,000","304,000"
		CurrentDebtAndCapitalLeaseObligation,"212,000","205,000","199,000","227,000","337,000","294,000","303,000",,"230,000",,,,,
			CurrentCapitalLeaseObligation,"212,000","205,000","199,000","227,000","337,000","294,000","303,000",,"230,000",,,,,
		OtherCurrentLiabilities,,,,,,,,"146,000","126,000",,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,255,000","1,311,000","1,365,000","1,417,000","1,467,000","1,516,000","1,564,000","2,000","12,000","23,000","34,000","39,000","0","124,728,000"
		LongTermDebtAndCapitalLeaseObligation,"1,255,000","1,311,000","1,365,000","1,417,000","1,467,000","1,516,000","1,564,000",,,,,,,
			LongTermCapitalLeaseObligation,"1,255,000","1,311,000","1,365,000","1,417,000","1,467,000","1,516,000","1,564,000",,,,,,,
		PreferredSecuritiesOutsideStockEquity,,,,,,,,,,"0","0","0","0","124,728,000"
		OtherNonCurrentLiabilities,,,,,,,,"2,000","12,000","23,000","34,000","39,000",,
TotalEquityGrossMinorityInterest,"146,535,000","169,109,000","198,628,000","220,133,000","246,020,000","258,712,000","286,458,000","103,663,000","118,323,000","128,726,000","143,384,000","158,389,000","69,662,000","-49,919,000"
	StockholdersEquity,"146,535,000","169,109,000","198,628,000","220,133,000","246,020,000","258,712,000","286,458,000","103,663,000","118,323,000","128,726,000","143,384,000","158,389,000","69,662,000","-49,919,000"
		CapitalStock,"4,000","4,000","4,000","4,000","4,000","4,000","4,000","3,000","3,000","3,000","3,000","3,000","2,000","0"
			CommonStock,"4,000","4,000","4,000","4,000","4,000","4,000","4,000","3,000","3,000","3,000","3,000","3,000","2,000","0"
		AdditionalPaidInCapital,"482,894,000","479,436,000","476,521,000","473,688,000","470,635,000","468,238,000","466,254,000","261,983,000","260,481,000","259,049,000","258,090,000","257,541,000","161,587,000","36,646,000"
		RetainedEarnings,"-336,333,000","-310,304,000","-277,880,000","-253,550,000","-224,617,000","-209,527,000","-179,816,000","-158,413,000","-142,206,000","-130,320,000","-114,709,000","-99,155,000","-91,927,000","-86,565,000"
		GainsLossesNotAffectingRetainedEarnings,"-30,000","-27,000","-17,000","-9,000","-2,000","-3,000","16,000","90,000","45,000","-6,000",,,,
TotalCapitalization,"146,535,000","169,109,000","198,628,000","220,133,000","246,020,000","258,712,000","286,458,000","103,663,000","118,323,000","128,726,000","143,384,000","158,389,000","69,662,000","-49,919,000"
CommonStockEquity,"146,535,000","169,109,000","198,628,000","220,133,000","246,020,000","258,712,000","286,458,000","103,663,000","118,323,000","128,726,000","143,384,000","158,389,000","69,662,000","-49,919,000"
CapitalLeaseObligations,"1,467,000","1,516,000","1,564,000","1,644,000","1,804,000","1,810,000","1,867,000",,"230,000",,,,,
NetTangibleAssets,"146,535,000","169,109,000","198,628,000","220,133,000","246,020,000","258,712,000","286,458,000","103,663,000","118,323,000","128,726,000","143,384,000","158,389,000","69,662,000","-49,919,000"
WorkingCapital,"145,837,000","168,454,000","198,267,000","219,763,000","245,640,000","258,234,000","286,019,000","102,800,000","117,932,000","128,680,000","143,348,000","158,368,000","68,295,000","74,789,000"
InvestedCapital,"146,535,000","169,109,000","198,628,000","220,133,000","246,020,000","258,712,000","286,458,000","103,663,000","118,323,000","128,726,000","143,384,000","158,389,000","69,662,000","-49,919,000"
TangibleBookValue,"146,535,000","169,109,000","198,628,000","220,133,000","246,020,000","258,712,000","286,458,000","103,663,000","118,323,000","128,726,000","143,384,000","158,389,000","69,662,000","-49,919,000"
TotalDebt,"1,467,000","1,516,000","1,564,000","1,644,000","1,804,000","1,810,000","1,867,000",,"230,000",,,,,
ShareIssued,"35,022,935","34,900,727","34,875,302","34,840,782","34,770,319","34,741,649","34,720,675","28,683,679","28,671,222","28,567,837","28,558,653","28,555,379","26,295,122","26,295,122"
OrdinarySharesNumber,"35,022,935","34,900,727","34,875,302","34,840,782","34,770,319","34,741,649","34,720,675","28,683,679","28,671,222","28,567,837","28,558,653","28,555,379","26,295,122","26,295,122"
