name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,06/30/1994,03/31/1994
OperatingCashFlow,"183,512,000","48,621,000","5,166,000","61,767,000","67,958,000","54,002,000","65,912,000","83,083,000","133,922,000","6,035,000","75,220,000","47,455,000","59,266,000","20,059,000","64,033,000","68,480,000","50,653,000","40,317,000","32,189,000","10,201,000","36,244,000","27,097,000","28,561,000","6,803,000","14,651,000","12,244,000","20,044,000","30,704,000","42,554,000","14,483,000","4,595,000","25,342,000","-89,129,000","-6,342,000","8,401,000","27,885,000","33,561,000","32,416,000","12,590,000","21,882,000","23,151,000","11,871,000","37,370,000","27,780,000","23,959,000","52,554,000","33,665,000","47,174,000","54,397,000","71,037,000","28,737,000","88,624,000","75,813,000","54,485,000","63,907,000","29,290,000","31,856,000","25,688,000","11,323,000","26,507,000","20,214,000","35,041,000","16,692,000","11,580,000","21,307,000","-6,499,000","14,547,000","15,598,000","2,767,000","10,628,000","5,140,000","8,516,000","6,322,000","9,733,000","5,769,000","3,881,000","6,755,000","5,383,000","-1,148,000","2,294,000","3,230,000","6,743,000","5,620,000","410,000","-440,000","2,072,000","8,266,000","-975,000","-1,928,000","1,551,000","-8,020,000","16,726,000","-5,500,000","-3,200,000","-400,000","-2,242,000","900,000","500,000","-300,000","-1,634,841","2,400,000","-1,100,000","-600,000","-600,000","1,300,000",,,"200,000","-700,000"
	CashFlowFromContinuingOperatingActivities,"183,512,000","48,621,000","5,166,000","61,767,000","67,958,000","54,002,000","65,912,000","83,083,000","133,922,000","6,035,000","75,220,000","47,455,000","59,266,000","20,059,000","64,033,000","68,480,000","50,653,000","40,317,000","32,189,000","10,201,000","36,244,000","27,097,000","28,561,000","6,803,000","14,651,000","12,244,000","20,044,000","30,704,000","42,554,000","14,483,000","4,595,000","25,342,000","-89,129,000","-6,342,000","8,401,000","27,885,000","33,561,000","32,416,000","12,590,000","21,882,000","23,151,000","11,871,000","37,370,000","27,780,000","23,959,000","52,554,000","33,665,000","47,174,000","54,397,000","71,037,000","28,737,000","88,624,000","75,813,000","54,485,000","63,907,000","29,290,000","31,856,000","25,688,000","11,323,000","26,507,000","20,214,000","35,041,000","16,692,000","11,580,000","21,307,000","-6,499,000","14,547,000","15,598,000","2,767,000","10,628,000","5,140,000","8,516,000","6,322,000","9,733,000","5,769,000","3,881,000","6,755,000","5,383,000","-1,148,000","2,294,000","3,230,000","6,743,000","5,620,000","410,000","-440,000","2,072,000","8,266,000","-975,000","-1,928,000","1,551,000","-8,020,000","16,726,000","-5,500,000","-3,200,000","-400,000","-2,242,000","900,000","500,000","-300,000","-1,634,841","2,400,000","-1,100,000","-600,000","-600,000","1,300,000",,,"200,000","-700,000"
		NetIncomeFromContinuingOperations,"191,587,000","31,713,000","34,010,000","45,245,000","80,619,000","50,292,000","45,580,000","72,411,000","35,147,000","32,046,000","27,969,000","34,325,000","34,040,000","31,573,000","27,720,000","31,548,000","33,541,000","27,320,000","-3,706,000","14,661,000","4,529,000","15,199,000","8,972,000","11,501,000","10,843,000","6,315,000","13,072,000","8,575,000","10,873,000","-34,832,000","9,331,000","8,597,000","7,671,000","-12,510,000","-9,978,000","-91,777,000","1,847,000","2,133,000","-122,007,000","9,995,000","7,966,000","5,463,000","4,320,000","-423,697,000","21,711,000","15,324,000","22,269,000","21,808,000","32,366,000","36,830,000","38,039,000","36,024,000","35,123,000","27,037,000","26,341,000","23,493,000","20,384,000","16,464,000","16,715,000","20,216,000","14,917,000","13,265,000","11,359,000","10,559,000","9,053,000","7,284,000","7,302,000","7,760,000","7,930,000","7,110,000","6,136,000","5,186,000","4,961,000","4,221,000","3,363,000","2,381,000","1,514,000","1,149,000","-6,128,000","1,218,000","3,596,000","2,066,000","2,166,000","2,579,000","-1,576,000","2,217,000","3,945,000","-760,000","-1,335,000","-1,291,000","-2,498,000","-16,371,000","-4,100,000","-1,900,000","-2,500,000","-2,094,000","200,000","400,000","300,000","-473,245","100,000","200,000","200,000","100,000","200,000","500,000","100,000",,
		OperatingGainsLosses,"-28,106,000","3,118,000","-8,000","69,000","-29,785,000","-1,104,000","-1,520,000","-1,418,000","-947,000","2,869,000","1,881,000","3,679,000","-1,407,000","1,159,000","787,000","503,000","-562,000","1,270,000","1,997,000","1,111,000","-52,000","2,317,000","-219,000","-1,516,000","1,502,000","2,102,000","253,000","-603,000","-2,851,000","58,000","1,195,000","2,557,000","806,000","292,000","2,891,000","563,000","1,926,000","2,088,000","1,189,000","2,788,000","3,115,000","2,697,000","2,519,000","3,219,000","2,420,000","1,976,000","-16,945,000","6,126,000","7,626,000","5,178,000","5,218,000","4,124,000","4,996,000","4,204,000","12,306,000","15,000","-2,590,000","2,773,000","2,283,000","-63,000","349,000","48,000","-190,000","280,000","-1,821,000","2,000,000","1,815,000","4,001,000","2,936,000","1,096,000","725,000","2,099,000","1,052,000","1,643,000","1,075,000","685,000","504,000","503,000","1,427,000","693,000","611,000","679,000","656,000","-911,000","-282,000","242,000","4,374,000","-1,419,000","-721,000","165,000",,,"-4,700,000","100,000","300,000",,"300,000","200,000","200,000",,"300,000","100,000","200,000","200,000","100,000","100,000","100,000",,
			GainLossOnSaleOfBusiness,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,"0","-184,000","0","0","0","0","-2,322,000","-645,000","56,000","-1,451,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"-133,000","5,000","-60,000","-72,000","-6,000","14,000","47,000","17,000","-149,000","55,000","135,000","8,000","2,000","-4,000","-24,000","88,000","87,000","563,000","22,000","-169,000","163,000","-16,000","26,000","34,000","162,000","360,000","-170,000","415,000","334,000","196,000","418,000","1,486,000","2,356,000","332,000","1,503,000","531,000","497,000","211,000","405,000","218,000","343,000","505,000","644,000","483,000","657,000","656,000","922,000","295,000","1,848,000","171,000","229,000","58,000","437,000","98,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-27,973,000","3,113,000","52,000","141,000","-29,779,000","-1,118,000","-1,567,000","-1,435,000","2,493,000","-477,000","-1,218,000","812,000","-3,716,000","-1,216,000","-1,231,000","-1,625,000","-2,976,000","-1,860,000","-232,000","-900,000","-2,355,000","106,000","-1,986,000","-3,244,000","-363,000","5,000","-1,122,000","-1,924,000","-4,826,000","-1,951,000","-757,000","-563,000","-884,000","-787,000","-466,000","-354,000","-337,000","-363,000","-1,654,000","35,000","79,000","-155,000","170,000","223,000","-166,000","-83,000","-331,000","-238,000","16,000","-698,000","-267,000","-180,000","-492,000","-424,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,"0","0","-3,291,000","3,291,000","2,964,000","2,859,000","2,307,000","2,379,000","2,042,000","2,040,000","2,327,000","2,567,000","2,207,000","2,180,000","2,140,000","2,227,000","1,741,000","1,694,000","1,703,000","1,737,000","1,545,000","1,090,000","1,641,000","1,813,000","1,534,000","1,634,000","1,656,000","1,392,000","1,798,000","1,837,000","2,123,000","2,240,000","2,438,000","2,535,000","2,693,000","2,347,000","1,705,000","2,513,000","1,929,000","1,403,000",,"6,069,000","5,762,000","5,705,000","5,256,000","4,246,000","5,051,000","4,530,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"71,964,000","18,104,000","19,321,000","17,966,000","16,573,000","17,405,000","18,838,000","18,874,000","15,834,000","14,396,000","14,879,000","13,885,000","14,329,000","11,240,000","3,379,000","3,164,000","3,125,000","3,593,000","3,984,000","4,185,000","4,537,000","4,417,000","5,016,000","5,214,000","4,975,000","4,473,000","4,238,000","4,646,000","4,615,000","6,537,000","6,198,000","6,515,000","7,698,000","7,936,000","8,653,000","9,051,000","9,556,000","10,123,000","10,013,000","9,975,000","9,905,000","10,166,000","10,652,000","9,826,000","9,726,000","9,355,000","9,292,000","8,832,000","8,279,000","8,186,000","7,630,000","7,481,000","6,919,000","6,282,000","4,678,000","5,466,000","5,813,000","4,449,000","4,150,000","3,853,000","3,030,000","2,741,000","2,859,000","2,607,000","2,719,000","2,373,000","1,988,000","2,123,000","1,530,000","1,332,000","1,092,000","1,229,000","911,000","894,000","796,000","774,000","762,000","740,000","697,000","697,000","780,000","773,000","1,219,000","816,000","722,000","682,000","771,000","632,000","827,000","642,000","814,000","6,507,000","-3,900,000","-500,000","-400,000","2,140,000","-300,000","-300,000","-300,000","1,544,676","-200,000","-200,000","-200,000","-100,000","-200,000","-200,000","-100,000","0","-100,000"
			DepreciationAndAmortization,"71,964,000","18,104,000","19,321,000","17,966,000","16,573,000","17,405,000","18,838,000","18,874,000","15,834,000","14,396,000","14,879,000","13,885,000","14,329,000","11,240,000","3,379,000","3,164,000","3,125,000","3,593,000","3,984,000","4,185,000","4,537,000","4,417,000","5,016,000","5,214,000","4,975,000","4,473,000","4,238,000","4,646,000","4,615,000","6,537,000","6,198,000","6,515,000","7,698,000","7,936,000","8,653,000","9,051,000","9,556,000","10,123,000","10,013,000","9,975,000","9,905,000","10,166,000","10,652,000","9,826,000","9,726,000","9,355,000","9,292,000","8,832,000","8,279,000","8,186,000","7,630,000","7,481,000","6,919,000","6,282,000","4,678,000","5,466,000","5,813,000","4,449,000","4,150,000","3,853,000","3,030,000","2,741,000","2,859,000","2,607,000","2,719,000","2,373,000","1,988,000","2,123,000","1,530,000","1,332,000","1,092,000","1,229,000","911,000","894,000","796,000","774,000","762,000","740,000","697,000","697,000","780,000","773,000","1,219,000","816,000","722,000","682,000","771,000","632,000","827,000","642,000","814,000","6,507,000","-3,900,000","-500,000","-400,000","2,140,000","-300,000","-300,000","-300,000","1,544,676","-200,000","-200,000","-200,000","-100,000","-200,000","-200,000","-100,000","0","-100,000"
				Depreciation,"71,964,000","18,104,000","19,321,000","17,966,000","16,573,000","17,405,000","18,838,000","18,874,000","15,834,000","14,396,000","14,879,000","13,885,000","14,329,000","11,240,000","3,379,000","3,164,000","3,125,000","3,593,000","3,984,000","4,185,000","4,537,000","4,417,000","5,016,000","5,214,000","4,975,000","4,473,000","4,238,000","4,646,000","4,615,000","6,537,000","6,198,000","6,515,000","7,698,000","7,936,000","8,653,000","9,051,000","9,556,000","10,123,000",,,,,,,,,,,,,,,,,,,"5,419,000","4,424,000",,,,,"2,769,000","2,487,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,900,000","-500,000","-400,000",,"-300,000","-300,000","-300,000",,"-200,000","-200,000","-200,000","-100,000","-200,000","-200,000","-100,000","0","-100,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"394,000","25,000",,,,,"90,000","120,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"394,000","25,000",,,,,"90,000","120,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
