name,ttm,03/31/2022
MarketCap,"681,510,395","713,534,750"
EnterpriseValue,"1,087,904,395","713,534,750"
EnterprisesValueRevenueRatio,,"3.831"
EnterprisesValueEBITDARatio,,"-92.307"
