name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014
TotalAssets,"5,159,900,000","5,109,900,000","5,007,500,000","4,977,400,000","4,937,600,000","4,929,100,000","5,728,300,000","5,126,500,000","4,752,500,000","5,566,800,000","5,449,600,000","5,577,700,000","5,642,300,000","4,416,100,000","3,178,800,000","1,804,800,000","1,772,400,000","1,764,100,000","1,823,600,000","1,780,000,000","1,728,000,000","1,682,700,000","1,731,500,000","1,596,800,000","1,584,400,000","1,617,500,000","1,629,600,000","1,117,100,000","1,069,600,000","1,162,300,000","1,194,700,000"
	CurrentAssets,"1,594,000,000","1,550,300,000","1,439,500,000","1,414,200,000","1,357,300,000","1,340,000,000","2,210,900,000","1,618,100,000","1,266,100,000","2,067,700,000","2,036,800,000","2,075,400,000","2,178,400,000","1,208,800,000","1,171,100,000","1,090,900,000","1,047,800,000","1,039,000,000","1,020,200,000","981,000,000","922,900,000","874,800,000","889,500,000","1,062,500,000","1,043,400,000","1,086,100,000","1,126,500,000","661,300,000","625,700,000","713,100,000","747,100,000"
		CashCashEquivalentsAndShortTermInvestments,"213,200,000","221,200,000","238,900,000","207,700,000","261,000,000","305,600,000","459,800,000","595,600,000","277,900,000","293,500,000","258,500,000","206,400,000","332,900,000","607,300,000","522,100,000","510,900,000","490,300,000","454,300,000","378,000,000","404,400,000","372,200,000","297,700,000","287,300,000","567,100,000","576,300,000","556,400,000","502,100,000","82,500,000","90,100,000","92,500,000","89,600,000"
			CashAndCashEquivalents,"213,200,000","221,200,000","238,900,000","207,700,000","261,000,000","305,600,000","459,800,000","595,600,000","277,900,000","293,500,000","258,500,000","206,400,000","332,900,000","607,300,000","522,100,000","510,900,000","490,300,000","454,300,000","378,000,000","404,400,000","372,200,000","297,700,000","287,300,000","567,100,000","576,300,000","556,400,000","502,100,000","82,500,000","90,100,000","92,500,000","89,600,000"
		Receivables,"395,800,000","447,600,000","358,900,000","397,300,000","376,900,000","405,300,000","358,800,000","394,600,000","401,300,000","430,600,000","387,400,000","395,500,000","398,200,000","254,800,000","261,100,000","193,200,000","197,200,000","256,500,000","267,300,000","209,800,000","204,900,000","276,800,000","241,500,000","193,800,000","178,100,000","258,800,000","240,100,000","212,000,000","174,500,000","268,900,000","272,800,000"
			AccountsReceivable,"335,900,000","370,300,000","292,900,000","332,300,000","310,600,000","335,800,000","292,000,000","317,900,000","311,600,000","369,900,000","340,200,000","341,100,000","352,600,000","216,000,000","230,400,000","165,600,000","164,600,000","214,800,000","230,200,000","173,600,000","157,500,000","218,600,000","190,900,000","145,200,000","131,000,000","181,200,000","155,500,000","175,400,000","137,000,000","202,700,000","218,500,000"
				GrossAccountsReceivable,"338,000,000","372,900,000","431,800,000","335,600,000","314,700,000","340,100,000","447,500,000","322,600,000","316,500,000","374,300,000","473,100,000","347,200,000","359,400,000","219,900,000","357,900,000","170,500,000","171,500,000","220,900,000","236,000,000","178,900,000","162,400,000","223,500,000","197,800,000","151,100,000","136,800,000","187,800,000","162,500,000","181,800,000","143,000,000","210,400,000","225,900,000"
				AllowanceForDoubtfulAccountsReceivable,"-2,100,000","-2,600,000","-138,900,000","-3,300,000","-4,100,000","-4,300,000","-155,500,000","-4,700,000","-4,900,000","-4,400,000","-132,900,000","-6,100,000","-6,800,000","-3,900,000","-127,500,000","-4,900,000","-6,900,000","-6,100,000","-5,800,000","-5,300,000","-4,900,000","-4,900,000","-6,900,000","-5,900,000","-5,800,000","-6,600,000","-7,000,000","-6,400,000","-6,000,000","-7,700,000","-7,400,000"
			TaxesReceivable,"30,200,000","41,800,000","28,300,000","29,600,000","28,800,000","34,100,000","20,400,000","23,900,000","22,600,000","32,300,000","23,100,000","20,000,000","19,100,000","27,500,000","20,800,000","19,300,000","20,600,000","30,600,000","23,400,000","21,600,000","21,400,000","32,700,000","22,900,000","18,900,000","19,100,000","27,600,000","19,900,000","18,400,000","18,100,000","30,500,000","22,900,000"
			DuefromRelatedPartiesCurrent,"6,600,000","9,100,000","16,300,000","13,500,000","13,700,000","14,200,000","30,600,000","34,700,000","44,000,000","13,000,000","7,600,000","18,900,000",,,,,,,,,,,,"2,600,000","28,000,000","17,500,000","30,400,000",,,,
			OtherReceivables,"23,100,000","26,400,000","21,400,000","21,900,000","23,800,000","21,200,000","15,800,000","18,100,000","23,100,000","15,400,000","16,500,000","15,500,000","26,500,000","11,300,000","9,900,000","8,300,000","12,000,000","11,100,000","13,700,000","14,600,000","26,000,000","25,500,000","27,700,000","27,100,000",,"32,500,000","34,300,000","18,200,000","19,400,000","35,700,000","31,400,000"
		Inventory,"854,000,000","755,900,000","728,300,000","691,100,000","600,000,000","522,500,000","511,300,000","518,600,000","470,700,000","435,800,000","469,300,000","524,300,000","491,100,000","290,200,000","323,100,000","307,800,000","292,600,000","276,200,000","317,100,000","301,200,000","277,500,000","231,600,000","289,200,000","231,900,000","218,000,000","209,000,000","275,900,000","276,300,000","271,600,000","263,600,000","292,400,000"
			RawMaterials,"162,200,000","138,800,000","118,800,000","145,600,000","122,300,000","101,200,000","85,200,000","103,300,000","85,200,000","73,700,000","70,500,000","85,600,000","89,300,000","47,700,000","40,000,000","44,500,000","42,200,000","42,900,000","36,600,000","36,700,000","37,100,000","39,200,000","46,100,000","28,500,000","27,900,000","29,700,000","32,400,000","36,100,000","35,900,000","40,600,000","38,500,000"
			WorkInProcess,"251,000,000","208,300,000","206,300,000","200,900,000","164,900,000","151,800,000","148,700,000","139,100,000","102,700,000","92,300,000","103,700,000","143,200,000","130,200,000","80,600,000","86,500,000","96,100,000","86,900,000","72,800,000","84,800,000","99,700,000","87,000,000","62,300,000","72,000,000","69,000,000","55,100,000","61,000,000","73,000,000","95,100,000","82,000,000","67,500,000","68,400,000"
			FinishedGoods,"440,800,000","408,800,000","403,200,000","344,600,000","312,800,000","269,500,000","277,400,000","276,200,000","282,800,000","269,800,000","295,100,000","295,500,000","271,600,000","161,900,000","196,600,000","167,200,000","163,500,000","160,500,000","195,700,000","164,800,000","153,400,000","130,100,000","171,100,000","134,400,000","135,000,000","118,300,000","170,500,000","145,100,000","153,700,000","155,500,000","185,500,000"
		PrepaidAssets,"110,700,000","110,300,000","98,300,000","105,000,000","106,500,000","86,700,000","76,500,000","96,400,000","97,200,000","91,000,000","71,300,000","119,700,000","99,400,000","45,000,000","52,200,000","53,800,000","54,700,000","47,700,000","52,700,000","62,100,000","64,900,000","63,100,000","70,000,000","67,500,000","63,600,000","57,500,000","53,200,000","31,500,000","34,400,000","34,400,000","35,700,000"
		RestrictedCash,,,"0","0","0","0","790,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,"6,500,000",,"49,600,000","50,100,000","43,000,000","43,600,000","43,700,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,"6,500,000",,"49,600,000","50,100,000","43,000,000","43,600,000","43,700,000"
		AssetsHeldForSaleCurrent,,,,,,,"0","0","0","805,500,000","791,700,000","807,600,000","848,200,000",,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"20,300,000","15,300,000","15,100,000","13,100,000","12,900,000","19,900,000","14,500,000","12,900,000","19,000,000","11,300,000","58,600,000","21,900,000","8,600,000","11,500,000","12,600,000","25,200,000","13,000,000","4,300,000","5,100,000","3,500,000","3,400,000","5,600,000","1,500,000","2,200,000","900,000","4,400,000","5,600,000","8,900,000","12,100,000","10,100,000","12,900,000"
	TotalNonCurrentAssets,"3,565,900,000","3,559,400,000","3,568,000,000","3,563,200,000","3,580,300,000","3,589,400,000","3,517,400,000","3,508,400,000","3,486,400,000","3,499,100,000","3,412,800,000","3,502,300,000","3,463,900,000","3,207,300,000","2,007,700,000","713,900,000","724,600,000","725,100,000","803,400,000","799,000,000","805,100,000","807,900,000","842,000,000","534,300,000","541,000,000","531,400,000","503,100,000","455,800,000","443,900,000","449,200,000","447,600,000"
		NetPPE,"493,000,000","491,200,000","495,200,000","488,100,000","482,100,000","487,900,000","474,000,000","467,900,000","438,500,000","440,600,000","362,000,000","361,000,000","363,700,000","162,600,000","166,700,000","166,900,000","171,700,000","171,700,000","176,500,000","178,200,000","182,100,000","188,900,000","201,700,000","197,200,000","202,500,000","199,400,000","205,600,000","217,800,000","217,300,000","221,300,000","212,500,000"
