name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011
TotalRevenue,"31,470,300,000","9,141,700,000","8,244,000,000","7,186,700,000","6,897,900,000","4,924,800,000","3,655,100,000","3,667,500,000","2,515,800,000","5,277,500,000","6,301,500,000","6,430,500,000","6,560,000,000","5,216,200,000","6,292,874,000","7,646,360,000","7,444,083,000","5,802,776,000","6,535,988,000","5,478,951,000","5,017,225,000","4,754,473,000","4,748,568,000","4,513,204,000","3,858,467,000","2,800,185,000","3,360,489,000","3,217,640,000","3,550,664,000","2,995,136,000","4,520,000,000","5,260,003,000","5,301,709,000","4,746,443,000","4,816,435,000","4,858,880,000","4,678,293,000","4,797,847,000","4,950,360,000","5,395,206,000","5,077,015,000","4,716,106,000","4,776,441,000","4,744,760,000"
	OperatingRevenue,"31,470,300,000","9,141,700,000","8,244,000,000","7,186,700,000","6,897,900,000","4,924,800,000","3,655,100,000","3,667,500,000","2,515,800,000","5,277,500,000","6,301,500,000","6,430,500,000","6,560,000,000","5,216,200,000","6,292,874,000","7,646,360,000","7,444,083,000","5,802,776,000","6,535,988,000","5,478,951,000","5,017,225,000","4,754,473,000","4,748,568,000","4,513,204,000","3,858,467,000","2,800,185,000","3,360,489,000","3,217,640,000","3,550,664,000","2,995,136,000","4,520,000,000","5,260,003,000","5,301,709,000","4,746,443,000","4,816,435,000","4,858,880,000","4,678,293,000","4,797,847,000","4,950,360,000","5,395,206,000","5,077,015,000","4,716,106,000","4,776,441,000","4,744,760,000"
CostOfRevenue,"30,524,700,000","8,944,900,000","7,865,700,000","7,018,000,000","6,696,100,000","4,786,400,000","3,835,600,000","3,980,800,000","2,317,500,000","6,611,700,000","6,058,500,000","6,246,500,000","6,493,200,000","4,791,200,000","6,650,832,000","7,331,158,000","6,959,978,000","5,641,510,000","6,207,767,000","4,830,919,000","5,081,235,000","4,707,303,000","4,349,512,000","4,329,973,000","3,526,042,000","2,712,094,000","3,430,787,000","3,026,304,000","3,189,715,000","2,739,333,000","4,918,049,000","4,873,533,000","5,146,178,000","4,416,583,000","4,619,944,000","4,856,344,000","4,498,562,000","4,641,116,000","5,136,018,000","5,111,680,000","4,449,748,000","4,848,336,000","5,366,931,000","4,166,227,000"
GrossProfit,"945,600,000","196,800,000","378,300,000","168,700,000","201,800,000","138,400,000","-180,500,000","-313,300,000","198,300,000","-1,334,200,000","243,000,000","184,000,000","66,800,000","425,000,000","-357,958,000","315,202,000","484,105,000","161,266,000","328,221,000","648,032,000","-64,010,000","47,170,000","399,056,000","183,231,000","332,425,000","88,091,000","-70,298,000","191,336,000","360,949,000","255,803,000","-398,049,000","386,470,000","155,531,000","329,860,000","196,491,000","2,536,000","179,731,000","156,731,000","-185,658,000","283,526,000","627,267,000","-132,230,000","-590,490,000","578,533,000"
OperatingExpense,"264,800,000","55,400,000","83,600,000","67,500,000","58,300,000","51,200,000","64,400,000","49,300,000","60,700,000","85,400,000","118,900,000","64,700,000","56,500,000","60,400,000","88,300,000","72,514,000","61,248,000","65,527,000","74,187,000","60,847,000","47,110,000","45,593,000","259,236,000","45,362,000","94,433,000","93,515,000","105,720,000","101,426,000","87,785,000","83,752,000","84,190,000","102,349,000","67,675,000","69,839,000","54,300,000","58,183,000","46,704,000","56,626,000","-470,660,000","63,397,000","47,708,000","34,356,000","-424,965,000","246,505,000"
	SellingGeneralAndAdministration,"253,000,000","53,500,000","80,400,000","64,100,000","55,000,000","47,800,000","61,500,000","46,600,000","57,900,000","82,500,000","108,100,000","64,700,000","53,600,000","57,600,000","85,537,000","69,920,000","58,685,000","62,813,000","71,578,000","58,275,000","41,090,000","43,830,000","41,477,000","44,020,000","43,373,000","37,582,000","52,704,000","53,293,000","39,223,000","36,046,000","39,695,000","34,339,000","33,013,000","36,624,000","24,351,000","30,748,000","19,141,000","30,094,000","-495,479,000","38,942,000","25,286,000","13,814,000","-443,072,000","229,776,000"
		GeneralAndAdministrativeExpense,"253,000,000","53,500,000","80,400,000","64,100,000","55,000,000","47,800,000","61,500,000","46,600,000","57,900,000","82,500,000","108,100,000","64,700,000","53,600,000","57,600,000","85,537,000","69,920,000","58,685,000","62,813,000","71,578,000","58,275,000","41,090,000","43,830,000","41,477,000","44,020,000","43,373,000","37,582,000","52,704,000","53,293,000","39,223,000","36,046,000","39,695,000","34,339,000","33,013,000","36,624,000","24,351,000","30,748,000","19,141,000","30,094,000",,"38,942,000","25,286,000","13,814,000",,
			OtherGandA,"253,000,000","53,500,000","80,400,000","64,100,000","55,000,000","47,800,000","61,500,000","46,600,000","57,900,000","82,500,000","108,100,000","64,700,000","53,600,000","57,600,000","85,537,000","69,920,000","58,685,000","62,813,000","71,578,000","58,275,000","41,090,000","43,830,000","41,477,000","44,020,000","43,373,000","37,582,000","52,704,000","53,293,000","39,223,000","36,046,000","39,695,000","34,339,000","33,013,000","36,624,000","24,351,000","30,748,000","19,141,000","30,094,000",,"38,942,000","25,286,000","13,814,000",,
	DepreciationAmortizationDepletionIncomeStatement,"11,800,000","1,900,000","3,200,000","3,400,000","3,300,000","3,400,000","2,900,000","2,700,000","2,800,000","2,900,000","3,000,000",,"2,900,000","2,800,000","2,763,000","2,594,000","2,563,000","2,714,000","2,609,000","2,572,000","6,020,000","1,763,000","217,759,000","1,342,000","51,060,000","55,933,000","53,016,000","48,133,000","48,562,000","47,706,000","44,495,000","68,010,000","34,662,000","33,215,000","29,949,000","27,435,000","27,563,000","26,532,000","24,819,000","24,455,000","22,422,000","20,542,000","18,107,000","16,729,000"
		DepreciationAndAmortizationInIncomeStatement,"11,800,000","1,900,000","3,200,000","3,400,000","3,300,000","3,400,000","2,900,000","2,700,000","2,800,000","2,900,000","3,000,000",,"2,900,000","2,800,000","2,763,000","2,594,000","2,563,000","2,714,000","2,609,000","2,572,000","6,020,000","1,763,000","217,759,000","1,342,000","51,060,000","55,933,000","53,016,000","48,133,000","48,562,000","47,706,000","44,495,000","68,010,000","34,662,000","33,215,000","29,949,000","27,435,000","27,563,000","26,532,000","24,819,000","24,455,000","22,422,000","20,542,000","18,107,000","16,729,000"
