name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
MarketCap,"815,564,773","766,188,775","778,867,023","808,449,601","787,741,796","750,552,269","739,987,063","669,834,092","676,595,824","491,916,014","871,418,232","872,686,056","867,614,757","880,715,613","810,985,250","903,536,459","863,811,283","858,317,376","854,091,293","914,524,274","924,244,264","955,239,150","879,614,290","866,939,733","804,834,401","730,054,512","697,696,039","671,798,862","764,372,916","859,494,878","764,797,567","793,249,226","903,658,647","944,258,461","997,706,597","983,097,048","1,039,200,015","1,056,428,266","925,174,974","839,790,954","814,894,925","807,939,398","807,480,046","734,772,638","899,891,416","868,829,813","901,574,655","711,472,304","636,170,145","696,103,352"
PeRatio,"15.84","12.858","10.841","10.454","6.981","48",,,,"8.752","12.969","12.219","12.076","13.19","10.781","12.148","11.815","12.162","12.03","11.511","9.634","8.937","11.763","17.538","25.743","52.364","20.797","14.648","16.667","17.912","10.849","11.675","17.882","12.888","13.834","10.036","8.68","7.553","7.688","13.562","14","13.137","14.629","13.331","6.916","6.419","5.803","5.06","4.026","3.989"
ForwardPeRatio,"11.628","11.588","11.848","11.848","11.124","11.236","11.299","10.893","11.161","6.631","11.481","11.287","11.274","11.737","10.965","11.588","11.173","11.442","11.547","12.225","13.333","12.92","11.601","11.274","11.274","9.32","9.285","8.764","9.681","10.071","11.403","12.048","11.82","11.338","12.107","10.215","8.292","8.065","6.845","9.479","9.225","8.803","9.033","8.17","9.843","9.434","10.741",,,
PegRatio,,,,,,,,,,,,,,,,,,,,,"4.445","4.307","3.866",,"3.757","3.105","3.094",,,"2.014","2.28","2.41","2.364","2.269","2.42","2.042","1.658","1.613","1.369","1.896","1.845","1.761","1.807","1.633","1.641","1.572","2.148",,,
PsRatio,"12.35","11.019","9.65","9.438","6.519","31.8","152.953","1,481.934",,"7.414","11.609","11.01","10.8","11.547","9.157","10.291","10.002","10.459","10.746","10.364","8.688","8.16","10.494","15.234","21.574","35.563","17.098","12.362","14.195","15.183","9.542","10.257","14.846","11.302","11.388","8.64","7.464","6.667","6.786","13.144","11.416","11.832","4.904","4.469","5.619","5.622","5.59","7.355","6.468","7.098"
PbRatio,"0.987","0.91","0.913","0.943","0.92","0.881","0.869","0.788","0.832","0.543","0.942","0.939","0.936","0.958","0.874","0.975","0.935","0.931","0.927","0.993","1.006","1.04","0.959","0.954","0.904","0.827","0.763","0.722","0.821","0.918","0.806","0.832","0.929","0.948","1.012","0.975","1.005","1.203","1.053","1.074","0.983","1.002","1.045","0.95","1.063","1.017","1.09","0.971","0.873","0.953"
