name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008
TotalAssets,"5,827,265,000","5,177,419,000","4,420,255,000","4,282,681,000","4,106,925,000","3,413,863,000","3,350,873,000","3,236,851,000","3,777,642,000","4,338,217,000","3,627,358,000","3,127,594,000","2,870,565,000","3,971,499,000","3,714,561,000","3,672,076,000","3,196,346,000","2,993,341,000","2,726,647,000","2,797,426,000","2,931,245,000","2,413,195,000","2,651,809,000","2,753,091,000","2,902,895,000","2,991,555,000","3,323,932,000","3,474,868,000","3,603,012,000","3,945,355,000","4,074,537,000","2,921,227,000","2,924,005,000","2,975,198,000","3,122,702,000","2,728,407,000","2,316,674,000","2,152,115,000","1,864,800,000","1,939,590,000","2,066,578,000","1,968,055,000","2,408,332,000","1,977,088,350","2,539,385,804","2,334,322,463","2,532,289,904","1,964,509,993","1,574,801,270","1,530,665,452","1,905,742,883","922,759,150","589,366,702","699,976,080"
TotalLiabilitiesNetMinorityInterest,"4,504,327,000","3,853,863,000","3,324,985,000","3,327,577,000","3,163,549,000","2,492,291,000","2,478,596,000","2,399,172,000","2,968,161,000","3,469,518,000","2,958,391,000","2,534,480,000","2,278,131,000","3,376,329,000","3,097,883,000","3,058,801,000","2,586,396,000","2,372,380,000","2,096,923,000","2,160,465,000","2,276,790,000","1,768,418,000","1,987,056,000","2,073,908,000","2,207,973,000","2,252,603,000","2,565,591,000","2,697,786,000","2,817,588,000","3,156,811,000","3,262,430,000","2,290,104,000","2,293,929,000","2,349,149,000","2,492,900,000","2,090,549,000","1,796,072,000","1,645,760,000","1,366,150,000","1,544,315,000","1,670,314,000","1,597,139,000","2,031,658,000","1,592,234,758","2,146,552,825","1,930,650,751","2,223,316,529","1,670,159,539","1,281,912,838","1,230,871,439","1,608,104,834","638,614,617","339,203,221","458,898,436"
TotalEquityGrossMinorityInterest,"1,322,938,000","1,323,556,000","1,095,270,000","955,104,000","943,376,000","921,572,000","872,277,000","837,679,000","809,481,000","868,699,000","668,967,000","593,114,000","592,434,000","595,170,000","616,678,000","613,275,000","609,950,000","620,961,000","629,724,000","636,961,000","654,455,000","644,777,000","664,753,000","679,183,000","694,922,000","738,952,000","758,341,000","777,082,000","785,424,000","788,544,000","812,107,000","631,123,000","630,076,000","626,049,000","629,802,000","637,858,000","520,602,000","506,355,000","498,650,000","395,275,000","396,264,000","370,916,000","376,674,000","384,853,592","392,832,979","403,671,712","308,973,375","294,350,454","292,888,432","299,794,013","297,638,049","284,144,533","250,163,481","241,077,644"
	StockholdersEquity,"1,294,080,000","1,291,321,000","1,063,326,000","923,486,000","909,856,000","885,215,000","835,130,000","800,896,000","774,383,000","829,265,000","635,446,000","562,470,000","562,209,000","563,833,000","593,797,000","599,567,000","594,474,000","600,099,000","615,635,000","625,931,000","636,251,000","637,661,000","655,903,000","673,995,000","689,344,000","732,049,000","752,085,000","770,719,000","779,491,000","782,155,000","805,377,000","624,107,000","623,003,000","620,401,000","625,173,000","633,162,000","515,848,000","506,355,000","498,650,000","395,275,000","396,264,000","370,916,000","376,674,000","384,853,592","392,832,979","403,671,712","308,973,375","294,350,454","292,888,432","299,794,013","297,638,049","284,144,533","250,163,481","241,077,644"
		CapitalStock,"227,492,000","226,997,000","111,086,000","111,078,000","111,078,000","111,078,000","111,078,000","111,078,000","111,078,000","111,073,000","34,000","30,000","30,000","563,833,000","583,179,000","589,000,000","584,005,000","589,722,000","605,357,000","615,702,000","626,116,000","627,620,000","645,961,000","664,109,000","679,557,000","722,360,000","742,494,000","761,181,000","770,051,000","772,811,000","796,108,000","614,862,000","613,822,000","611,282,000","616,104,000","624,096,000","506,825,000","497,373,000",,,,,,,,,,,,,"291,555,983","279,050,124","245,997,174",
			PreferredStock,"227,432,000","226,939,000","111,034,000","111,034,000","111,034,000","111,034,000","111,034,000","111,034,000","111,034,000","111,034,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"60,000","58,000","52,000","44,000","44,000","44,000","44,000","44,000","44,000","39,000","34,000","30,000","30,000","563,833,000","583,179,000","589,000,000","584,005,000","589,722,000","605,357,000","615,702,000","626,116,000","627,620,000","645,961,000","664,109,000","679,557,000","722,360,000","742,494,000","761,181,000","770,051,000","772,811,000","796,108,000","614,862,000","613,822,000","611,282,000","616,104,000","624,096,000","506,825,000","497,373,000",,,,,,,,,,,,,"291,555,983","279,050,124","245,997,174",
		AdditionalPaidInCapital,"1,199,958,000","1,161,603,000","1,057,939,000","915,817,000","915,577,000","915,658,000","916,038,000","916,186,000","916,006,000","821,747,000","734,628,000","664,764,000","664,654,000","0","10,618,000","10,567,000","10,469,000","10,377,000","10,278,000","10,229,000","10,135,000","10,041,000","9,942,000","9,886,000","9,787,000","9,689,000","9,591,000","9,538,000","9,440,000","9,344,000","9,269,000","9,245,000","9,181,000","9,119,000","9,069,000","9,066,000","9,023,000","8,982,000","498,650,000","395,275,000","396,264,000","370,916,000","376,674,000","384,853,592","392,832,979","403,671,712","308,973,375","294,350,454","292,888,432","299,794,013","6,082,066","5,094,409","4,166,307","241,077,644"
		RetainedEarnings,"-133,370,000","-97,279,000","-105,699,000","-103,409,000","-116,799,000","-141,521,000","-191,986,000","-226,368,000","-252,701,000","-103,555,000","-99,216,000","-102,324,000","-102,475,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	MinorityInterest,"28,858,000","32,235,000","31,944,000","31,618,000","33,520,000","36,357,000","37,147,000","36,783,000","35,098,000","39,434,000","33,521,000","30,644,000","30,225,000","31,337,000","22,881,000","13,708,000","15,476,000","20,862,000","14,089,000","11,030,000","18,204,000","7,116,000","8,850,000","5,188,000","5,578,000","6,903,000","6,256,000","6,363,000","5,933,000","6,389,000","6,730,000","7,016,000","7,073,000","5,648,000","4,629,000","4,696,000","4,754,000",,,,,,,,,,,,,,,,,
