name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006
OperatingCashFlow,"360,100,000","46,200,000","44,500,000","85,700,000","183,700,000","192,800,000","66,200,000","234,700,000","74,800,000","27,500,000","17,800,000","69,300,000","63,100,000","11,000,000","35,500,000","92,000,000","94,800,000","34,600,000","26,900,000","142,500,000","83,900,000","68,500,000","-48,700,000","48,500,000","102,500,000","51,500,000","35,700,000","29,500,000","65,300,000","52,100,000","-41,900,000","42,700,000","54,700,000","36,300,000","45,900,000","76,400,000","31,100,000","0","19,700,000","28,600,000","49,500,000","33,100,000","27,000,000","34,200,000","102,100,000","25,400,000","27,800,000","1,200,000","28,000,000","52,600,000","36,400,000","38,300,000","33,300,000","28,300,000","23,300,000","11,000,000","41,300,000","26,800,000","22,700,000","27,400,000","38,600,000","31,400,000","29,900,000"
	CashFlowFromContinuingOperatingActivities,"360,100,000","46,200,000","44,500,000","85,700,000","183,700,000","192,800,000","66,200,000","234,700,000","74,800,000","27,500,000","17,800,000","69,300,000","63,100,000","11,000,000","35,500,000","92,000,000","94,800,000","34,600,000","26,900,000","142,500,000","83,900,000","68,500,000","-48,700,000","48,500,000","102,500,000","51,500,000","35,700,000","29,500,000","65,300,000","52,100,000","-41,900,000","42,700,000","54,700,000","36,300,000","45,900,000","76,400,000","31,100,000","0","19,700,000","28,600,000","49,500,000","33,100,000","27,000,000","34,200,000","102,100,000","25,400,000","27,800,000","1,200,000","28,000,000","52,600,000","36,400,000","38,300,000","33,300,000","28,300,000","23,300,000","11,000,000","41,300,000","26,800,000","22,700,000","27,400,000","38,600,000","31,400,000","29,900,000"
		NetIncomeFromContinuingOperations,"204,400,000","55,800,000","50,100,000","57,000,000","41,500,000","79,000,000","77,700,000","-5,400,000","25,000,000","-72,200,000","-800,000","26,000,000","31,700,000","39,500,000","29,000,000","47,200,000","36,200,000","-21,300,000","19,100,000","37,900,000","34,600,000","34,000,000","21,900,000","37,300,000","31,300,000","27,200,000","21,000,000","19,800,000","32,500,000","31,200,000","29,700,000","22,900,000","33,400,000","33,300,000","21,600,000","23,900,000","13,700,000","13,200,000","14,600,000","24,800,000","21,300,000","27,400,000","31,300,000","23,500,000","22,500,000","33,000,000","27,100,000","20,100,000","13,300,000","29,400,000","29,500,000","22,600,000","25,400,000","27,800,000","26,500,000","19,200,000","26,700,000","23,300,000","24,000,000","18,600,000","21,500,000","33,300,000","26,100,000"
		OperatingGainsLosses,"-7,800,000","-2,400,000","1,300,000","-5,100,000","-1,600,000","-35,800,000","-33,100,000","-2,200,000","-900,000","2,200,000","-1,200,000","-2,600,000","-1,300,000","-1,400,000","-1,500,000","-1,800,000","-1,500,000","-1,600,000","-1,700,000","-6,400,000","800,000","-1,600,000","-81,200,000","-4,200,000","-100,000","3,500,000","3,100,000","11,600,000","1,700,000","2,600,000","900,000","-4,300,000","-1,400,000","-8,400,000","-600,000","800,000","-6,300,000","2,000,000","2,800,000","2,900,000","-1,000,000","-3,000,000","2,600,000","1,700,000","400,000","-1,200,000","1,000,000","5,200,000","-1,200,000","-1,100,000","-300,000","-100,000","1,500,000","7,400,000","-2,900,000","4,000,000","-3,100,000",,,"-1,200,000",,,
			GainLossOnSaleOfBusiness,"1,700,000","0","3,100,000","-1,300,000","-100,000","-34,100,000","-31,600,000","500,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000","-100,000","100,000","0","300,000","100,000",,,,,,,"-1,200,000",,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,"1,200,000",,,,"-400,000",,,,"700,000",,,"2,600,000","100,000",,,,,,,,,,,"0","0",,,"2,600,000","0","0","-200,000",,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000","200,000","400,000","200,000","-200,000","-1,000,000","-500,000","100,000","-1,300,000","-1,100,000","-2,400,000","-600,000","-400,000","-1,100,000","-1,500,000","-100,000","-300,000","1,200,000",,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"-9,500,000","-2,400,000","-1,800,000","-3,800,000","-1,500,000","-1,700,000","-1,500,000","-2,700,000","-900,000","-800,000","-1,200,000","-2,600,000","-1,300,000","-1,400,000","-1,500,000","-2,500,000","-1,500,000","-1,600,000","-1,700,000","-2,000,000","-400,000","-600,000","-81,200,000","-4,100,000","300,000","200,000","0","13,700,000","1,000,000","1,200,000","900,000","-3,000,000","-1,500,000","-500,000","-600,000","-800,000","-6,500,000","1,600,000","2,600,000",,,,"2,500,000","2,300,000","1,500,000","1,700,000","1,600,000",,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"112,400,000","27,000,000","27,900,000","28,800,000","28,700,000","28,300,000","29,300,000","32,200,000","33,900,000","38,600,000","25,900,000","14,200,000","15,100,000","15,100,000","14,100,000","14,500,000","14,200,000","14,000,000","13,800,000","14,500,000","13,500,000","13,600,000","15,000,000","14,200,000","14,300,000","15,900,000","16,000,000","13,200,000","12,700,000","13,400,000","15,000,000","14,700,000","14,700,000","14,700,000","14,300,000","19,100,000","27,400,000","27,900,000","15,000,000","9,400,000","9,300,000","9,500,000","12,200,000","10,100,000","8,700,000","8,600,000","8,700,000","9,000,000","10,500,000","4,500,000","4,500,000","4,800,000","4,700,000","4,600,000","4,500,000","5,000,000","4,800,000","4,800,000","4,500,000","5,300,000","4,600,000","4,400,000","4,200,000"
			DepreciationAndAmortization,"112,400,000","27,000,000","27,900,000","28,800,000","28,700,000","28,300,000","29,300,000","32,200,000","33,900,000","38,600,000","25,900,000","14,200,000","15,100,000","15,100,000","14,100,000","14,500,000","14,200,000","14,000,000","13,800,000","14,500,000","13,500,000","13,600,000","15,000,000","14,200,000","14,300,000","15,900,000","16,000,000","13,200,000","12,700,000","13,400,000","15,000,000","14,700,000","14,700,000","14,700,000","14,300,000","19,100,000","27,400,000","27,900,000","15,000,000","9,400,000","9,300,000","9,500,000","12,200,000","10,100,000","8,700,000","8,600,000","8,700,000","9,000,000","10,500,000","4,500,000","4,500,000","4,800,000","4,700,000","4,600,000","4,500,000","5,000,000","4,800,000","4,800,000","4,500,000","5,300,000","4,600,000","4,400,000","4,200,000"
