name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
OperatingCashFlow,"483,000,000","-216,700,000","295,600,000","192,800,000","211,300,000","124,900,000","236,400,000","150,300,000","155,800,000","76,400,000","167,900,000","150,900,000","83,200,000","80,100,000","125,500,000","141,900,000","107,900,000","71,600,000","126,400,000","107,900,000","87,000,000","53,400,000","66,300,000","98,000,000","83,600,000","69,100,000","61,000,000","73,500,000","59,000,000","16,700,000","88,300,000","79,200,000","94,000,000","26,400,000","98,500,000","49,500,000","112,800,000","-56,700,000","121,900,000","18,300,000","69,000,000","-19,700,000","79,800,000","52,900,000","80,300,000","3,600,000","68,000,000","23,700,000","47,100,000","3,000,000","79,800,000","46,900,000","35,800,000","-7,600,000","7,500,000","51,800,000","38,500,000","22,600,000","43,300,000","54,500,000","32,400,000","36,500,000","15,900,000","21,400,000","33,100,000","8,000,000","32,200,000","28,400,000","29,700,000","2,000,000","28,000,000","30,300,000","18,400,000","8,200,000","18,200,000","26,800,000","13,500,000","-1,800,000","14,400,000","25,100,000","25,300,000","8,500,000","36,500,000","11,200,000","-4,100,000","-25,900,000","19,200,000","6,700,000","-2,000,000","14,100,000"
	CashFlowFromContinuingOperatingActivities,"483,000,000","-216,700,000","295,600,000","192,800,000","211,300,000","124,900,000","236,400,000","150,300,000","155,800,000","76,400,000","167,900,000","150,900,000","83,200,000","80,100,000","125,500,000","141,900,000","107,900,000","71,600,000","126,400,000","107,900,000","87,000,000","53,400,000","64,700,000","100,100,000","83,100,000","69,100,000","61,000,000","73,500,000","59,000,000","16,700,000","88,300,000","79,200,000","94,000,000","26,400,000","98,500,000","49,500,000","112,800,000","-56,700,000","121,900,000","18,300,000","69,000,000","-19,700,000","79,800,000","52,900,000","80,200,000","6,600,000","53,300,000","23,700,000","47,100,000","3,000,000","79,800,000","46,900,000","35,800,000","-7,600,000","7,500,000","51,800,000","38,500,000","22,600,000","43,300,000","54,500,000","32,400,000","36,500,000","15,900,000","21,400,000","33,100,000","8,000,000","32,200,000","28,400,000","29,700,000","2,000,000","28,000,000","30,300,000","18,400,000","8,200,000","18,200,000","26,800,000","13,500,000","-1,700,000","14,600,000","25,200,000","25,400,000","9,000,000","36,500,000","11,200,000","-3,700,000","-25,000,000","20,000,000","6,300,000","-3,900,000","14,100,000"
		NetIncomeFromContinuingOperations,"573,200,000","212,600,000","161,800,000","134,100,000","64,700,000","84,700,000","132,100,000","93,900,000","93,700,000","82,200,000","115,700,000","106,700,000","104,600,000","75,300,000","91,100,000","90,300,000","85,900,000","66,500,000","67,600,000","69,000,000","60,100,000","30,500,000","53,000,000","53,800,000","45,700,000","38,400,000","55,500,000","48,300,000","48,000,000","43,700,000","58,900,000","54,900,000","55,800,000","46,000,000","54,500,000","46,900,000","43,300,000","39,800,000","44,500,000","118,300,000","-35,600,000","35,600,000","36,700,000","34,100,000","38,800,000","32,500,000","36,000,000","30,400,000","28,600,000","25,000,000","32,200,000","35,100,000","25,200,000","20,800,000","19,900,000","30,900,000","32,600,000","27,900,000","26,600,000","27,100,000","24,300,000","20,500,000","18,900,000","22,600,000","20,900,000","17,900,000","16,600,000","15,700,000","16,100,000","15,800,000","13,400,000","12,500,000","9,900,000","5,900,000","7,800,000","9,900,000","6,500,000","5,500,000","7,200,000","6,900,000","6,200,000","5,100,000","6,500,000","5,700,000","-10,200,000","4,800,000","9,200,000","9,800,000","3,100,000","10,200,000"
		OperatingGainsLosses,,,,"0","0","30,500,000",,,,,,,,,,,,,,,,,"5,500,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"200,000","600,000","1,100,000",,"2,500,000","0","-100,000",,,"3,100,000","-2,500,000","-800,000","-100,000","300,000","200,000",,,,,,,,,"1,000,000",,,,,,,,"-200,000",,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,"0","0",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,"100,000",,,,"0","200,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"429,400,000","86,900,000","134,000,000","125,400,000","83,100,000","29,300,000","28,700,000","29,200,000","29,000,000","29,300,000","29,300,000","27,900,000","27,100,000","27,600,000","29,300,000","27,300,000","27,600,000","28,800,000","25,600,000","31,400,000","33,200,000","22,800,000","22,300,000","22,400,000","21,500,000","21,100,000","22,400,000","21,900,000","22,800,000","23,200,000","24,200,000","23,500,000","23,400,000","23,200,000","24,000,000","23,100,000","22,100,000","21,900,000","21,900,000","21,500,000","18,100,000","16,800,000","16,800,000","16,700,000","16,800,000","13,900,000","10,200,000","12,600,000","11,200,000","11,200,000","11,500,000","10,200,000","11,300,000","11,700,000","10,900,000","12,600,000","13,100,000","10,700,000","9,100,000","9,000,000","8,900,000","7,700,000","11,100,000","7,800,000","6,500,000","6,600,000","7,100,000","6,300,000","6,100,000","6,100,000","6,400,000","7,000,000","5,800,000","5,600,000","6,000,000","5,900,000","5,600,000","5,600,000","5,500,000","5,500,000","5,700,000","5,100,000","5,300,000","4,700,000","5,100,000","5,400,000","3,200,000","3,800,000","3,500,000","4,300,000"
			DepreciationAndAmortization,"429,400,000","86,900,000","134,000,000","125,400,000","83,100,000","29,300,000","28,700,000","29,200,000","29,000,000","29,300,000","29,300,000","27,900,000","27,100,000","27,600,000","29,300,000","27,300,000","27,600,000","28,800,000","25,600,000","31,400,000","33,200,000","22,800,000","22,300,000","22,400,000","21,500,000","21,100,000","22,400,000","21,900,000","22,800,000","23,200,000","24,200,000","23,500,000","23,400,000","23,200,000","24,000,000","23,100,000","22,100,000","21,900,000","21,900,000","21,500,000","18,100,000","16,800,000","16,800,000","16,700,000","16,800,000","13,900,000","10,200,000","12,600,000","11,200,000","11,200,000","11,500,000","10,200,000","11,300,000","11,700,000","10,900,000","12,600,000","13,100,000","10,700,000","9,100,000","9,000,000","8,900,000","7,700,000","11,100,000","7,800,000","6,500,000","6,600,000","7,100,000","6,300,000","6,100,000","6,100,000","6,400,000","7,000,000","5,800,000","5,600,000","6,000,000","5,900,000","5,600,000","5,600,000","5,500,000","5,500,000","5,700,000","5,100,000","5,300,000","4,700,000","5,100,000","5,400,000","3,200,000","3,800,000","3,500,000","4,300,000"
		DeferredTax,,,,,,,,,,,,,,,,"300,000","7,600,000","-3,600,000","-11,000,000","0","-1,900,000","600,000","-16,900,000","-1,900,000","6,800,000","4,100,000","-5,100,000","-3,400,000","200,000","400,000","-53,700,000","-6,700,000","2,900,000","500,000","-15,800,000","11,700,000","5,300,000","16,200,000","-16,100,000","2,200,000","6,400,000","-10,400,000","15,600,000","4,700,000","-2,800,000","10,600,000","21,400,000","700,000","-1,500,000","-3,500,000","26,200,000","20,600,000","14,300,000","3,500,000","-63,800,000","11,800,000","7,300,000","3,700,000","-13,700,000","2,700,000","-7,200,000","-3,100,000","-9,100,000","-2,200,000","-1,700,000","900,000","-2,700,000","-5,500,000","200,000","-2,200,000","-15,300,000","9,100,000","-3,400,000","-600,000","16,400,000","-2,800,000","-4,600,000","-3,300,000","-14,200,000","200,000","-3,100,000","3,400,000","6,600,000","14,900,000","-8,800,000","5,000,000","-800,000","8,600,000","-1,800,000","-2,600,000"
			DeferredIncomeTax,,,,,,,,,,,,,,,,"300,000","7,600,000","-3,600,000","-11,000,000","0","-1,900,000","600,000","-16,900,000","-1,900,000","6,800,000","4,100,000","-5,100,000","-3,400,000","200,000","400,000","-53,700,000","-6,700,000","2,900,000","500,000","-15,800,000","11,700,000","5,300,000","16,200,000","-16,100,000","2,200,000","6,400,000","-10,400,000","15,600,000","4,700,000","-2,800,000","10,600,000","21,400,000","700,000","-1,500,000","-3,500,000","26,200,000","20,600,000","14,300,000","3,500,000","-63,800,000","11,800,000","7,300,000","3,700,000","-13,700,000","2,700,000","-7,200,000","-3,100,000","-9,100,000","-2,200,000","-1,700,000","900,000","-2,700,000","-5,500,000","200,000","-2,200,000","-15,300,000","9,100,000","-3,400,000","-600,000","16,400,000","-2,800,000","-4,600,000","-3,300,000","-14,200,000","200,000","-3,100,000","3,400,000","6,600,000","14,900,000","-8,800,000","5,000,000","-800,000","8,600,000","-1,800,000","-2,600,000"
