name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008
TotalAssets,"4,197,693,000","4,241,683,000","4,239,878,000","4,211,213,000","3,952,579,000","3,946,436,000","3,973,045,000","3,977,663,000","4,028,705,000","4,193,136,000","4,360,249,000","4,804,322,000","4,927,198,000","5,238,583,000","3,484,425,000","3,507,769,000","3,655,624,000","3,703,565,000","3,536,967,000","2,365,109,000","2,377,050,000","2,385,066,000","2,265,070,000","2,251,210,000","2,259,395,000","2,174,536,000","2,227,038,000","2,237,575,000","2,414,927,000","2,427,615,000","2,429,718,000","1,751,605,000","1,629,480,000","1,632,452,000","1,553,079,000","1,527,204,000","1,539,970,000","1,562,134,000","1,524,787,000","1,382,824,000","1,363,247,000","1,368,575,000","1,266,668,000","1,162,734,000","980,761,000","951,288,000","898,581,000","686,278,000","606,549,000","514,813,000","438,867,000","412,023,000","417,159,000","419,774,000"
	CurrentAssets,"263,038,000","223,999,000","225,400,000","158,764,000","344,272,000","233,798,000","178,718,000","125,106,000","124,468,000","255,129,000","258,662,000","221,338,000","116,392,000","364,495,000","929,196,000","82,665,000","105,765,000","81,109,000","599,677,000","73,502,000","76,508,000","91,470,000","76,103,000","71,534,000","78,628,000","70,642,000","69,101,000","65,276,000","62,629,000","98,272,000","90,718,000","65,762,000","60,412,000","68,699,000","61,867,000","35,667,000","36,761,000","35,907,000","32,164,000","32,450,000","37,948,000","34,008,000","29,678,000","23,874,000","23,692,000","23,185,000","25,121,000","17,219,000","57,150,000","35,773,000","22,859,000","17,939,000","19,636,000","19,262,000"
		CashCashEquivalentsAndShortTermInvestments,"97,656,000","83,026,000","54,881,000","18,667,000","184,462,000","42,045,000","45,035,000","24,485,000","29,657,000","93,744,000","29,002,000","21,102,000","20,153,000","35,349,000","9,644,000","18,695,000","17,380,000","16,569,000","551,707,000","12,907,000","12,808,000","29,941,000","13,749,000","9,021,000","15,698,000","8,785,000","11,306,000","7,051,000","9,537,000","13,791,000","4,928,000","5,035,000","2,979,000","7,663,000","2,697,000","3,119,000","3,586,000","5,255,000","3,169,000","1,394,000","9,275,000","3,272,000","5,724,000","1,081,000","906,000","2,437,000","2,314,000","1,023,000","27,612,000","1,478,000","2,294,000","451,000","1,566,000","97,000"
			CashAndCashEquivalents,"97,656,000","83,026,000","54,881,000","18,667,000","184,462,000","42,045,000","45,035,000","24,485,000","29,657,000","93,744,000","29,002,000","21,102,000","20,153,000","35,349,000","9,644,000","18,695,000","17,380,000","16,569,000","551,707,000","12,907,000","12,808,000","29,941,000","13,749,000","9,021,000","15,698,000","8,785,000","11,306,000","7,051,000","9,537,000","13,791,000","4,928,000","5,035,000","2,979,000","7,663,000","2,697,000","3,119,000","3,586,000","5,255,000","3,169,000","1,394,000","9,275,000","3,272,000","5,724,000","1,081,000","906,000","2,437,000","2,314,000","1,023,000","27,612,000","1,478,000","2,294,000","451,000","1,566,000","97,000"
		Receivables,"106,865,000","112,886,000","97,507,000","90,985,000","94,879,000","101,766,000","100,363,000","95,005,000","90,462,000","83,556,000","70,234,000","70,639,000","67,776,000","72,051,000","55,297,000","61,522,000","65,539,000","61,429,000","47,461,000","47,717,000","50,459,000","48,458,000","49,350,000","46,592,000","46,617,000","45,269,000","40,923,000","40,161,000","37,629,000","36,239,000","37,077,000","34,656,000","31,519,000","33,350,000","31,373,000","30,812,000","31,011,000","29,099,000","26,806,000","27,086,000","26,472,000","29,000,000","22,096,000","21,200,000","20,966,000","19,200,000","21,947,000","15,196,000","12,597,000","13,647,000","15,756,000","7,815,000","15,108,000","14,593,000"
			AccountsReceivable,"106,865,000","112,886,000","97,507,000","90,985,000","94,879,000","101,766,000","100,363,000","95,005,000","90,462,000","83,556,000","70,234,000","70,639,000","67,776,000","72,051,000","55,297,000","61,522,000","65,539,000","61,429,000","47,461,000","47,717,000","50,459,000","48,458,000","49,350,000","46,592,000","46,617,000","45,269,000","40,923,000","40,161,000","37,629,000","36,239,000","37,077,000","34,656,000","31,519,000","33,350,000","31,373,000","30,812,000","31,011,000","29,099,000",,,,,,,,,,"14,860,000",,,"10,647,000",,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"336,000",,,"5,109,000",,,
		Inventory,"57,115,000","26,598,000","71,873,000","47,698,000","47,918,000","75,177,000","20,716,000",,"0","70,877,000","155,395,000","126,014,000","23,999,000","253,501,000","408,626,000",,"18,080,000",,,,,"0","0","3,095,000","3,098,000","3,098,000","3,079,000","3,161,000","0","32,797,000","33,329,000","23,570,000","23,570,000","25,997,000","26,207,000","0",,,,,,,,,,,,,,,,,,
			FinishedGoods,"57,115,000","26,598,000","71,873,000","47,698,000","47,918,000","75,177,000","20,716,000",,"0","70,877,000","155,395,000","126,014,000","23,999,000","253,501,000","408,626,000",,"18,080,000",,,,,"0","0","3,095,000","3,098,000","3,098,000","3,079,000","3,161,000","0","32,797,000","33,329,000","23,570,000","23,570,000","25,997,000","26,207,000","0",,,,,,,,,,,,,,,,,,
		RestrictedCash,"1,402,000","1,489,000","1,139,000","1,414,000","17,013,000","14,810,000","12,604,000","5,616,000","4,349,000","6,952,000","4,031,000","3,583,000","4,464,000","3,594,000","2,354,000","2,448,000","4,766,000","3,111,000","509,000","344,000","703,000","530,000","514,000","344,000","713,000","1,022,000","1,330,000","2,454,000","3,042,000","2,280,000","2,301,000","2,501,000","2,344,000","1,689,000","1,590,000","1,736,000","2,164,000","1,553,000","2,189,000","3,970,000","2,201,000","1,736,000","1,858,000","1,593,000","1,820,000","1,548,000","860,000","1,000,000","1,105,000","0","0","0","0","1,334,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,822,000","6,534,000","7,197,000","7,996,000","1,646,000","1,757,000"
		AssetsHeldForSaleCurrent,,,,,,"75,177,000","20,716,000",,"0","70,877,000","155,395,000","126,014,000","23,999,000","0","453,275,000",,"18,080,000","0","0","12,534,000","12,538,000","12,541,000","12,490,000","12,482,000","12,502,000","12,468,000","12,463,000","12,449,000","12,421,000","13,165,000","13,083,000","23,570,000","23,570,000","25,997,000","26,207,000","0",,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,014,000","14,114,000","4,809,000","1,677,000","1,316,000","1,481,000"
	TotalNonCurrentAssets,"3,934,655,000","4,017,684,000","4,014,478,000","4,052,449,000","3,608,307,000","3,712,638,000","3,794,327,000","3,852,557,000","3,904,237,000","3,938,007,000","4,101,587,000","4,582,984,000","4,810,806,000","4,874,088,000","2,555,229,000","3,425,104,000","3,549,859,000","3,622,456,000","2,937,290,000","2,291,607,000","2,300,542,000","2,293,596,000","2,188,967,000","2,179,676,000","2,180,767,000","2,103,894,000","2,157,937,000","2,172,299,000","2,352,298,000","2,329,343,000","2,339,000,000","1,685,843,000","1,569,068,000","1,563,753,000","1,491,212,000","1,491,537,000","1,503,209,000","1,526,227,000","1,492,623,000","1,350,374,000","1,325,299,000","1,334,567,000","1,236,990,000","1,138,860,000","957,069,000","928,103,000","873,460,000","669,059,000","549,399,000","479,040,000","416,008,000","394,084,000","397,523,000","400,512,000"
		NetPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,337,958,000","1,211,295,000","1,191,091,000","1,198,050,000","1,104,560,000","1,036,462,000","877,903,000","846,447,000","793,380,000","618,074,000","526,736,000","463,730,000","398,847,000","384,832,000","387,861,000","390,441,000"
			GrossPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,510,024,000","1,376,185,000","1,355,284,000","1,354,668,000","1,254,143,000","1,179,797,000","1,014,921,000","977,493,000","918,859,000","739,640,000","643,907,000","576,757,000","508,331,000","490,902,000","490,536,000","490,475,000"
				Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"241,294,000","228,824,000","224,674,000","224,674,000","213,994,000","195,764,000","150,209,000","143,774,000","137,674,000","85,909,000","80,759,000","74,009,000","68,719,000","65,719,000","65,719,000","65,719,000"
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,268,730,000","1,147,361,000","1,130,610,000","1,129,994,000","1,040,149,000","984,033,000","864,712,000","833,719,000","781,185,000","653,731,000","563,148,000","502,748,000","439,612,000","425,183,000","424,817,000","424,756,000"
			AccumulatedDepreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-172,066,000","-164,890,000","-164,193,000","-156,618,000","-149,583,000","-143,335,000","-137,018,000","-131,046,000","-125,479,000","-121,566,000","-117,171,000","-113,027,000","-109,484,000","-106,070,000","-102,675,000","-100,034,000"
		GoodwillAndOtherIntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131,159,000","110,805,000","112,178,000","117,596,000","103,901,000","80,075,000","62,569,000","60,097,000","55,129,000","39,212,000","22,663,000","15,310,000","9,964,000","9,252,000","9,662,000","10,071,000"
			OtherIntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131,159,000","110,805,000","112,178,000","117,596,000","103,901,000","80,075,000","62,569,000","60,097,000","55,129,000","39,212,000","22,663,000","15,310,000","9,964,000","9,252,000","9,662,000","10,071,000"
		InvestmentProperties,"3,836,185,000","3,920,803,000","3,915,129,000","3,963,278,000","3,513,278,000","3,619,172,000","3,694,806,000","3,757,773,000","3,802,168,000","3,837,957,000","3,989,992,000","4,346,928,000","4,534,649,000","4,626,047,000","2,351,527,000","2,784,859,000","2,907,114,000","2,985,745,000","1,698,595,000","1,710,867,000","1,719,330,000","1,716,804,000","1,607,526,000","1,614,420,000","1,625,094,000","1,558,520,000","1,566,758,000","1,579,079,000","1,597,051,000","1,612,769,000","1,623,035,000","1,655,967,000","1,531,062,000","1,523,193,000","1,459,001,000","1,468,330,000","1,480,030,000","1,502,470,000",,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,"35,011,000","34,838,000","35,828,000","36,669,000","37,402,000","37,951,000","38,533,000","39,067,000","39,429,000","39,756,000","40,502,000","41,634,000","42,505,000","43,665,000","45,161,000","503,468,000","513,889,000","517,701,000","475,265,000","477,233,000","482,103,000","487,708,000","491,973,000","492,762,000","493,259,000","491,369,000","511,872,000","514,316,000","721,281,000","680,137,000","684,470,000",,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"35,011,000","34,838,000","35,828,000","36,669,000","37,402,000","37,951,000","38,533,000","39,067,000","39,429,000","39,756,000","40,502,000","41,634,000","42,505,000","43,665,000","45,161,000","503,468,000","513,889,000","517,701,000","475,265,000","477,233,000","482,103,000","487,708,000","491,973,000","492,762,000","493,259,000","491,369,000","511,872,000","514,316,000","721,281,000","680,137,000","684,470,000",,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsInOtherVenturesUnderEquityMethod,,,,,,,,,,,,,,,,"456,756,000","465,131,000","467,499,000","475,265,000","477,233,000","482,103,000","487,708,000","491,973,000","492,762,000","493,259,000","491,369,000","511,872,000","514,316,000","721,281,000","680,137,000","684,470,000",,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinJointVenturesatCost,"35,011,000","34,838,000","35,828,000","36,669,000","37,402,000","37,951,000","38,533,000","39,067,000","39,429,000","39,756,000","40,502,000","41,634,000","42,505,000","43,665,000","45,161,000","46,712,000","48,758,000","50,202,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286,000",,,,,,,,,,,,,,,,,
		DuefromRelatedPartiesNonCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286,000",,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"55,448,000","53,883,000","52,182,000","46,185,000","44,680,000","42,626,000","44,485,000","45,029,000","42,612,000","40,107,000","37,890,000","34,697,000","30,788,000","25,672,000","22,181,000","22,900,000","22,622,000","22,977,000","22,250,000","21,251,000","21,232,000","21,079,000","20,012,000","20,214,000","17,909,000","24,174,000","23,203,000","24,077,000","23,616,000","24,232,000","18,337,000","15,274,000","14,988,000","15,529,000","13,889,000","14,013,000","13,572,000","13,379,000","11,865,000","10,122,000","10,148,000","8,624,000","3,547,000","3,947,000","4,376,000","4,937,000","5,468,000","6,157,000",,,"7,197,000",,,
		NonCurrentPrepaidAssets,,,,,,,,,,,,,,,,,,,"651,696,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"8,011,000","8,160,000","11,339,000","6,317,000","12,947,000","12,889,000","16,503,000","10,688,000","20,028,000","20,187,000","33,203,000","159,725,000","202,864,000","178,704,000","136,360,000","113,877,000","106,234,000","96,033,000","89,484,000","82,256,000","77,877,000","68,005,000","69,456,000","52,280,000","44,505,000","29,831,000","56,104,000","54,827,000","10,350,000","12,205,000","13,158,000","14,602,000","23,018,000","25,031,000","18,322,000","9,194,000","9,321,000","10,378,000","11,641,000","18,152,000","11,882,000","10,297,000","24,982,000","18,376,000","12,221,000","16,622,000","19,483,000","5,616,000",,,,,,
TotalLiabilitiesNetMinorityInterest,"2,740,611,000","2,744,974,000","2,733,898,000","2,682,663,000","2,331,581,000","2,337,044,000","2,336,373,000","2,311,233,000","2,338,331,000","2,487,382,000","2,693,636,000","3,107,836,000","3,140,194,000","3,459,615,000","2,245,064,000","2,226,119,000","2,340,770,000","2,353,026,000","2,159,440,000","1,456,430,000","1,448,480,000","1,450,062,000","1,314,330,000","1,293,998,000","1,298,498,000","1,217,885,000","1,213,594,000","1,210,332,000","1,180,725,000","1,130,166,000","1,116,386,000","778,382,000","647,948,000","642,777,000","552,617,000","506,085,000","510,783,000","534,683,000","653,794,000","504,522,000","477,342,000","476,907,000","368,479,000","417,469,000","229,712,000","193,891,000","131,113,000","132,898,000","48,385,000","162,763,000","72,895,000","52,420,000","5,515,000","6,321,000"
	CurrentLiabilities,"144,507,000","149,990,000","139,947,000","532,668,000","117,071,000","123,485,000","123,727,000","322,449,000","462,039,000","146,882,000","352,252,000","232,601,000","200,417,000","359,694,000","565,166,000","539,857,000","653,442,000","664,299,000","632,822,000","224,921,000","216,486,000","217,584,000","81,272,000","60,360,000","364,466,000","170,526,000","164,670,000","112,932,000","81,517,000","29,125,000","213,454,000","220,671,000","175,136,000","182,966,000","94,322,000","46,776,000","50,061,000","72,427,000","43,085,000","33,251,000","32,516,000","476,907,000","28,518,000","20,945,000","15,126,000","193,891,000","20,934,000","9,179,000","12,259,000","162,763,000","4,970,000","49,670,000","5,515,000","6,321,000"
		PayablesAndAccruedExpenses,"143,881,000","149,396,000","138,888,000","145,241,000","116,987,000","122,594,000","123,396,000","122,449,000","114,039,000","132,189,000","126,012,000","165,648,000","120,239,000","180,423,000","88,168,000","87,857,000","83,167,000","94,299,000","67,822,000","69,840,000","56,434,000","57,539,000","56,211,000","60,265,000","53,359,000","53,429,000","50,540,000","53,644,000","26,306,000","28,632,000","27,830,000","24,909,000","24,360,000","25,690,000","25,034,000","21,776,000","22,561,000","22,927,000","29,047,000","22,530,000","22,034,000","24,762,000","28,518,000","20,945,000","15,126,000","15,784,000","20,934,000","9,179,000","7,271,000","14,822,000","4,970,000","5,795,000","2,564,000","3,036,000"
			Payables,"143,881,000","149,396,000","138,888,000","145,241,000","116,987,000","122,594,000","123,396,000","122,449,000","114,039,000","132,189,000","126,012,000","165,648,000","120,239,000","180,423,000","88,168,000","87,857,000","83,167,000","94,299,000","67,822,000","69,840,000","56,434,000","57,539,000","56,211,000","60,265,000","53,359,000","53,429,000","50,540,000","53,644,000","26,306,000","28,632,000","27,830,000","24,909,000","24,360,000","25,690,000","25,034,000","21,776,000","22,561,000","22,927,000","29,047,000","22,530,000","22,034,000","24,762,000","28,518,000","20,945,000","15,126,000","15,784,000","20,934,000","9,179,000","7,271,000","14,822,000","4,970,000",,,
				AccountsPayable,"136,017,000","142,609,000","126,317,000","127,359,000","103,617,000","116,480,000","116,047,000","115,593,000","106,066,000","125,048,000","118,338,000","159,055,000","114,613,000","145,536,000","64,868,000","80,728,000","74,623,000","89,440,000","63,525,000","64,479,000","52,762,000","54,019,000","52,237,000","56,687,000","48,979,000","50,543,000","48,747,000","50,500,000","23,944,000","26,471,000","25,881,000","22,175,000","21,940,000","23,216,000","23,250,000","18,927,000","19,820,000","19,208,000","21,816,000","19,652,000","18,438,000","20,691,000","21,885,000","17,885,000","12,614,000",,,,"1,215,000","837,000","3,150,000",,,
				DuetoRelatedPartiesCurrent,"7,864,000","6,787,000","12,571,000","17,882,000","13,370,000","6,114,000","7,349,000","6,856,000","7,973,000","7,141,000","7,674,000","6,593,000","5,626,000","34,887,000","23,300,000","7,129,000","8,544,000","4,859,000","4,297,000","5,361,000","3,672,000","3,520,000","3,974,000","3,578,000","4,380,000","2,886,000","1,793,000","3,144,000","2,362,000","2,161,000","1,949,000","2,734,000","2,420,000","2,474,000","1,784,000","2,849,000","2,741,000","3,719,000","7,231,000","2,878,000","3,596,000","4,071,000","6,633,000","3,060,000","2,512,000",,,,,,"1,820,000",,,
				OtherPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,056,000","13,985,000",,,,
		CurrentDebtAndCapitalLeaseObligation,,,,"385,000,000",,,,"200,000,000","348,000,000",,"210,000,000","65,000,000","80,000,000","175,000,000","467,000,000","452,000,000","570,000,000","570,000,000","565,000,000","155,000,000","160,000,000","160,000,000","25,000,000",,"311,000,000","117,000,000","114,000,000","59,000,000","55,000,000",,"184,500,000","195,500,000","150,500,000","157,000,000","69,000,000","25,000,000","27,500,000","49,500,000","14,038,000","10,721,000","10,482,000","452,145,000",,,,"178,107,000",,,"4,988,000","147,941,000","2,550,000","2,750,000","2,951,000","3,285,000"
			CurrentDebt,,,,"385,000,000",,,,"200,000,000","348,000,000",,"210,000,000","65,000,000","80,000,000","175,000,000","467,000,000","452,000,000","570,000,000","570,000,000","565,000,000","155,000,000","160,000,000","160,000,000","25,000,000",,"311,000,000","117,000,000","114,000,000","59,000,000","55,000,000",,"184,500,000","195,500,000","150,500,000","157,000,000","69,000,000","25,000,000","27,500,000","49,500,000",,,,"440,883,000",,,,"164,428,000",,,,"144,375,000",,,,"134,000"
				CurrentNotesPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,383,000",,,,"46,428,000",,,,"0",,"0","0","134,000"
