name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalAssets,"3,594,123,000","3,640,047,000","3,711,866,000","3,740,883,000","3,789,665,000","3,726,648,000","3,673,521,000","3,611,596,000","3,350,994,000","3,330,420,000","3,211,226,000","3,193,479,000","3,196,536,000","2,524,306,000","2,497,414,000","2,481,754,000","2,514,480,000","2,468,644,000","2,463,150,000","2,418,372,000","2,376,458,000","2,359,017,000","2,128,697,000","2,107,835,000","2,143,991,000","2,150,541,000","2,153,941,000","2,148,670,000","2,153,514,000","2,141,076,000","2,153,838,000","2,166,482,000","2,121,512,000","2,102,670,000","2,087,767,000","2,032,751,000","1,975,350,000","1,913,632,000","470,856,000","454,513,000","444,091,000","434,477,000","417,916,000","409,370,000","393,352,000","362,332,000","362,977,000","353,699,000","360,767,000","341,656,000","317,209,000","296,605,000","291,394,000","285,656,000","255,772,000","247,065,000","233,289,000","223,126,000","201,699,000","201,290,000","184,840,000","180,789,000","164,183,000","161,018,000","147,296,000","141,817,000","137,122,000","136,895,000","125,149,000","118,716,000","114,793,000"
	CurrentAssets,"521,073,000","540,271,000","648,627,000","654,464,000","686,154,000","624,185,000","615,497,000","576,921,000","284,165,000","228,888,000","228,129,000","187,140,000","187,635,000","193,891,000","174,458,000","160,257,000","196,346,000","192,461,000","195,786,000","167,906,000","166,465,000","154,399,000","146,146,000","150,563,000","159,659,000","152,713,000","167,141,000","205,013,000","254,149,000","223,158,000","230,437,000","224,681,000","189,001,000","165,170,000","147,672,000","173,210,000","206,953,000","136,017,000","93,663,000","91,146,000","82,376,000","84,802,000","86,072,000","79,506,000","75,277,000","76,208,000","84,238,000","79,095,000","90,266,000","136,703,000","110,207,000","94,608,000","96,763,000","95,125,000","88,645,000","81,053,000","74,198,000","81,147,000","63,357,000","65,105,000","51,151,000","48,855,000","53,425,000","51,245,000","43,182,000","40,442,000","39,656,000","41,349,000","38,185,000","33,689,000","36,126,000"
		CashCashEquivalentsAndShortTermInvestments,"257,227,000","283,692,000","412,402,000","418,638,000","442,124,000","405,837,000","365,300,000","270,442,000","49,230,000","44,925,000","48,529,000","22,656,000","20,129,000","15,450,000","21,304,000","22,912,000","20,324,000","23,227,000","42,265,000","34,337,000","21,494,000","14,633,000","19,484,000","45,026,000","40,152,000","11,539,000","21,393,000","76,920,000","123,661,000","87,886,000","109,008,000","112,283,000","75,734,000","29,585,000","35,010,000","62,999,000","96,735,000","34,109,000","11,319,000","8,954,000","5,886,000","5,866,000","9,302,000","7,115,000","7,629,000","14,874,000","23,228,000","21,650,000","30,344,000","82,169,000","55,399,000","42,472,000","42,283,000","45,311,000","46,484,000","33,899,000","32,279,000","38,468,000","22,856,000","28,193,000","5,988,000","11,252,000","15,390,000","12,770,000","9,099,000","8,088,000","6,849,000","8,599,000","5,240,000","7,429,000","10,531,000"
			CashAndCashEquivalents,"257,227,000","260,980,000","412,402,000","418,638,000","442,124,000","384,344,000","365,300,000","270,442,000","49,230,000","27,872,000","48,529,000","22,656,000","20,129,000","15,450,000","21,304,000","22,912,000","20,324,000","23,227,000","42,265,000","34,337,000","21,494,000","14,633,000","19,484,000","45,026,000","40,152,000","11,539,000","21,393,000","76,920,000","123,661,000","87,886,000","109,008,000","112,283,000","75,734,000","29,585,000","35,010,000","62,999,000","96,735,000","34,109,000","11,319,000","8,954,000","5,886,000","5,866,000","9,302,000","7,115,000","7,629,000","14,874,000","23,228,000","21,650,000","30,344,000","82,169,000","55,399,000","42,472,000","42,283,000","45,311,000","46,484,000","33,899,000","32,279,000","38,468,000","22,856,000","28,193,000","5,988,000","11,252,000","15,390,000","12,770,000","9,099,000","8,088,000","6,849,000","8,599,000","5,240,000","7,429,000","10,531,000"
			OtherShortTermInvestments,,"22,712,000",,,,"21,493,000",,,,"17,053,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"187,705,000","214,304,000","160,316,000","141,253,000","166,642,000","184,989,000","150,099,000","221,532,000","171,566,000","148,855,000","117,573,000","111,529,000","130,298,000","131,178,000","104,965,000","90,975,000","107,272,000","117,138,000","96,105,000","81,805,000","98,104,000","97,212,000","83,175,000","71,898,000","84,312,000","97,295,000","73,331,000","67,740,000","74,709,000","83,066,000","64,660,000","58,084,000","59,361,000","78,691,000","55,418,000","56,664,000","57,535,000","62,714,000","47,869,000","47,022,000","42,277,000","42,829,000","42,905,000","38,644,000","38,103,000","32,906,000","33,299,000","28,738,000","29,132,000","29,717,000","30,988,000","26,182,000","29,839,000","25,411,000","23,718,000","27,937,000","24,767,000","26,952,000","27,010,000","22,564,000","32,185,000","25,041,000","26,470,000","26,738,000","26,117,000","23,334,000","24,578,000","23,945,000","22,603,000","18,712,000","18,304,000"
			AccountsReceivable,"187,705,000","210,971,000","160,316,000","141,253,000","166,642,000","176,617,000","150,099,000","221,532,000","171,566,000","148,855,000","117,573,000","111,529,000","130,298,000","131,178,000","104,965,000","90,975,000","107,272,000","117,138,000","96,105,000","81,805,000","98,104,000","97,212,000","83,175,000","71,898,000","84,312,000","97,295,000","73,331,000","67,740,000","74,709,000","83,066,000","64,660,000","58,084,000","59,361,000","78,691,000","55,418,000","56,664,000","57,535,000","62,714,000","47,869,000","47,022,000","42,277,000","42,829,000","42,905,000","38,644,000","38,103,000","32,906,000","33,299,000","28,738,000","29,132,000","29,717,000","30,988,000","26,182,000","29,839,000","25,411,000","23,718,000","27,937,000","24,767,000","26,952,000","27,010,000","22,564,000","32,185,000","25,041,000","26,470,000","26,738,000","26,117,000","23,334,000","24,578,000","23,945,000","22,603,000","18,712,000","18,304,000"
				GrossAccountsReceivable,"190,737,000","213,977,000","163,147,000","143,655,000","168,810,000","178,974,000","153,926,000","229,883,000","173,402,000","150,081,000",,,,"133,692,000",,,,"119,567,000",,,,"98,266,000",,,,"98,851,000",,,,"84,301,000",,,,"79,864,000",,,,"64,341,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-3,032,000","-3,006,000","-2,831,000","-2,402,000","-2,168,000","-2,357,000","-3,827,000","-8,351,000","-1,836,000","-1,226,000",,,,"-2,514,000",,,,"-2,429,000",,,,"-1,054,000",,,,"-1,556,000",,,,"-1,235,000",,,,"-1,173,000",,,,"-1,627,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,"3,333,000",,,,"8,372,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
