name,ttm,03/31/2022,12/31/2021,03/31/2021,12/31/2020
OperatingCashFlow,"20,976,000","18,349,000","-3,334,000","18,956,000","12,809,000"
	CashFlowFromContinuingOperatingActivities,"20,976,000","18,349,000","-3,334,000","18,956,000","12,809,000"
		NetIncomeFromContinuingOperations,"-8,225,000","16,858,000","-17,981,000","-2,056,000","1,953,000"
		OperatingGainsLosses,,"2,279,000","27,740,000","136,667","925,000"
			GainLossOnSaleOfPPE,"-30,000","52,000","208,000","0","925,000"
			GainLossOnInvestmentSecurities,,"2,227,000","15,307,000","136,667",
		DepreciationAmortizationDepletion,"27,087,000","7,149,000","7,807,000","5,588,000","4,830,000"
			DepreciationAndAmortization,"27,087,000","7,149,000","7,807,000","5,588,000","4,830,000"
				Depreciation,"12,763,000","3,488,000","4,199,000","2,252,000","1,847,000"
				AmortizationCashFlow,"14,324,000","3,661,000","3,608,000","3,336,000","2,983,000"
					AmortizationOfIntangibles,"14,324,000","3,661,000","3,608,000","3,336,000","2,983,000"
		DeferredTax,"-1,854,000","-1,310,000","-902,000","478,000","6,167,000"
			DeferredIncomeTax,"-1,854,000","-1,310,000","-902,000","478,000","6,167,000"
		ProvisionandWriteOffofAssets,"4,314,000","-78,000","3,637,000","-17,000","4,019,000"
		UnrealizedGainLossOnInvestmentSecurities,,,,"-4,366",
		StockBasedCompensation,"7,994,000","3,162,000","2,215,000","131,000","131,000"
		OtherNonCashItems,"-3,047,000","2,798,000","-14,638,000","17,902,000","891,000"
		ChangeInWorkingCapital,"-53,720,000","-12,509,000","-11,212,000","-3,070,000","-6,107,000"
			ChangeInReceivables,"-3,651,000","-12,275,000","5,660,000","-8,160,000","4,329,000"
				ChangesInAccountReceivables,"-3,651,000","-12,275,000","5,660,000","-8,160,000","4,329,000"
			ChangeInInventory,"-58,424,000","-5,384,000","-19,077,000","7,967,000","-11,202,000"
			ChangeInPrepaidAssets,"-7,268,000","4,286,000","-9,936,000","-1,854,000","-610,000"
			ChangeInPayablesAndAccruedExpense,"15,623,000","864,000","12,141,000","-1,023,000","1,376,000"
				ChangeInPayable,"3,509,000","-3,712,000","-1,038,000","1,506,000","6,528,000"
					ChangeInAccountPayable,"3,509,000","-3,712,000","-1,038,000","1,506,000","6,528,000"
				ChangeInAccruedExpense,"12,114,000","4,576,000","13,179,000","-2,529,000","-5,152,000"
					ChangeInInterestPayable,"-2,977,000","-172,000","-2,918,000","-424,000","2,089,000"
InvestingCashFlow,"-138,189,000","-7,204,000","-62,158,000","-3,104,000","-158,915,000"
	CashFlowFromContinuingInvestingActivities,"-138,189,000","-7,204,000","-62,158,000","-3,104,000","-158,915,000"
		CapitalExpenditureReported,"-17,869,000","-5,740,000","-4,765,000","-3,104,000","-2,780,000"
		NetPPEPurchaseAndSale,"517,000","153,000","41,000","0","698,000"
			SaleOfPPE,"517,000","153,000","41,000","0","698,000"
		NetIntangiblesPurchaseAndSale,,,"0",,"0"
			PurchaseOfIntangibles,,,"0",,"0"
		NetBusinessPurchaseAndSale,"-120,837,000","-1,617,000","-57,434,000","0","-156,833,000"
			PurchaseOfBusiness,"-120,837,000","-1,617,000","-57,434,000","0","-156,833,000"
FinancingCashFlow,"73,933,000","-3,288,000","47,890,000","-64,000","163,044,000"
	CashFlowFromContinuingFinancingActivities,"73,933,000","-3,288,000","47,890,000","-64,000","163,044,000"
		NetIssuancePaymentsOfDebt,"-35,753,000","-3,288,000","70,503,000","-64,000","167,754,000"
			NetLongTermDebtIssuance,"-35,753,000","-3,288,000","70,503,000","-64,000","167,754,000"
				LongTermDebtPayments,"-690,753,000","-3,288,000","-584,497,000","-64,000","-2,246,000"
		NetOtherFinancingCharges,,,"-22,613,000",,"-4,710,000"
EndCashPosition,"44,182,000","44,081,000","36,325,000","87,462,000","71,674,000"
	ChangesInCash,"-43,280,000","7,857,000","-17,602,000","15,788,000","16,938,000"
	EffectOfExchangeRateChanges,,"-101,000",,"0",
	BeginningCashPosition,"87,462,000","36,325,000","53,927,000","71,674,000","54,736,000"
IncomeTaxPaidSupplementalData,"9,382,000","0","0","1,266,000","1,374,000"
InterestPaidSupplementalData,"36,429,000","8,129,000","9,316,000","9,767,000","8,950,000"
CapitalExpenditure,"-17,869,000","-5,740,000","-4,765,000","-3,104,000","-2,780,000"
RepaymentOfDebt,"-690,753,000","-3,288,000","-584,497,000","-64,000","-2,246,000"
FreeCashFlow,"3,107,000","12,609,000","-8,099,000","15,852,000","10,029,000"
