name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004
		NetIssuancePaymentsOfDebt,"-73,818,000","-3,722,000","70,875,000","-100,326,000","-40,645,000","24,934,000","9,327,000","-73,001,000","-70,365,000","-16,343,000","-54,628,000","-13,870,000","-63,240,000","82,651,000","-102,513,000","-33,580,000","413,757,000","-57,466,000","-38,501,000","-13,682,000","11,861,000","13,885,000","-59,543,000","-41,965,000","-26,323,000","43,194,000","-67,166,000","-11,806,000","9,045,000","34,632,000","-41,334,000","-11,133,000","16,437,000","50,805,000","-42,811,000","-64,737,000","45,479,000","63,664,000","-15,328,000","-36,733,000","21,277,000","91,164,000","-42,933,000","-80,978,000","41,443,000","55,779,000","-15,249,000","-44,139,000","43,878,000","34,216,000","10,417,000","-19,371,000","-19,998,000","-68,531,000","-4,985,000","-26,401,000","-38,998,000","22,414,000","-102,659,000","-42,752,000","-505,000","78,900,000","-118,374,000","-34,643,000","60,381,000","72,097,000","-94,648,000","3,294,000","3,936,000","6,524,000","-46,494,000"
			NetLongTermDebtIssuance,"-3,551,000","-3,722,000","5,739,000","-3,026,000","-2,542,000","-45,333,000","9,327,000","-73,001,000","-70,365,000","-16,343,000","-32,280,000","-16,512,000","-57,430,000","57,135,000","-83,665,000","-37,332,000","402,567,000","-57,195,000","-38,453,000","-13,627,000","8,519,000","17,227,000","-65,685,000","-40,232,000","-26,323,000","43,194,000","-66,332,000","-18,075,000","23,008,000","36,097,000","-49,041,000","-8,126,000","15,374,000","48,666,000","-41,725,000","-64,267,000","53,632,000","69,962,000","-44,336,000","-22,376,000","28,236,000","75,866,000","-3,908,000","-39,751,000","-125,000","-72,000","34,188,000","-15,009,000","-24,736,000","24,263,000","3,201,000","-14,672,000","-28,529,000","-60,000,000",,,,,,,,,,,,,,,,,
				LongTermDebtIssuance,,,"344,935,000",,,,"302,205,000","191,464,000","146,040,000","204,196,000","137,409,000","146,860,000","168,405,000","197,114,000","143,788,000","201,874,000","594,939,000","119,441,000","111,843,000","102,282,000","112,101,000","115,553,000","73,149,000","93,290,000","-6,957,000","315,630,000","62,981,000","89,381,000","134,841,000","121,806,000","90,774,000","113,796,000","141,033,000","149,191,000","109,704,000","94,881,000","195,555,000","199,828,000","113,896,000","122,708,000","150,398,000","163,268,000",,,,,,,,"24,665,000",,,,,,,,,,,,,,,,,,,,,
				LongTermDebtPayments,"-1,248,492,000","-3,722,000","-1,239,202,000","-3,026,000","-2,542,000","-45,333,000","-292,878,000","-264,465,000","-216,405,000","-220,539,000","-169,689,000","-163,372,000","-225,835,000","-139,979,000","-227,453,000","-239,206,000","-192,372,000","-176,636,000","-150,296,000","-115,909,000","-103,582,000","-98,326,000","-138,834,000","-133,522,000","-19,366,000","-272,436,000","-129,313,000","-107,456,000","-111,833,000","-85,709,000","-139,815,000","-121,922,000","-125,659,000","-100,525,000","-151,429,000","-159,148,000","-141,923,000","-129,866,000","-158,232,000","-145,084,000","-122,162,000","-87,402,000","-3,908,000","-39,751,000","-125,000","-72,000","-7,012,000","-15,009,000","-71,000","-402,000","3,201,000","-14,672,000","-28,529,000","-60,000,000",,,,,,,,,,,,,,,,,
			NetShortTermDebtIssuance,,"0",,"-97,300,000","-38,103,000","70,267,000",,,,,"-23,695,000","2,642,000","-5,810,000","25,516,000","-18,848,000","3,752,000","11,190,000","-271,000","-48,000",,,"-3,342,000","6,142,000","-1,733,000",,,"-834,000","6,269,000","-13,963,000","-1,465,000","7,707,000","-3,007,000","1,063,000","2,139,000","-1,086,000","-470,000","-8,153,000","-6,298,000","29,008,000","-14,357,000","-6,959,000","15,298,000","-38,300,000","-41,227,000","41,568,000","55,851,000",,"-29,130,000","68,614,000","9,953,000","7,216,000","80,629,000",,"-8,531,000",,,,,,,,,,,,,,,,,
				ShortTermDebtIssuance,,"0",,"261,823,000","375,973,000","262,210,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,189,000","-6,959,000","15,298,000","440,330,000","-41,227,000","41,568,000","55,851,000",,"-29,130,000","68,614,000","9,953,000",,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,,"0",,"-359,123,000","-414,076,000","-191,943,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,629,000",,"-8,531,000",,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-11,957,000","-6,820,000","-58,000","-3,000","-5,076,000","-56,000","-16,000","-1,000","-247,000","-7,000","-3,000","0","-208,000","0","0","-1,199,000","-62,000","-1,759,000",,,,,,,,,,,"0","-261,000","0","-63,000","-438,000","-554,000","-325,000","0","-2,838,000","38,686,000",,,,"-424,000",,,,,"0","0","0","-583,000","-180,000","-238,000","-832,000","-792,000",,"0","0","434,000","54,000","119,000","0","323,000","170,000","261,000","-858,000","2,341,000","189,000","199,000","38,000","8,600,000","20,513,000"
			CommonStockIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,"0","0","-1,177,000","39,892,000",,,,,,,,,,,,,,,,,,"0","0","434,000","54,000","119,000","0","323,000","170,000","261,000","-858,000","2,341,000","189,000","199,000","38,000","8,600,000","115,513,000"
			CommonStockPayments,"-11,957,000","-6,820,000","-58,000","-3,000","-5,076,000","-56,000","-16,000","-1,000","-247,000","-7,000","-3,000","0","-208,000","0","0","-1,199,000","-62,000","-1,759,000",,,,,,,,,,,"0","-261,000","0","-63,000","-438,000","-554,000","-325,000","0","-1,661,000","-1,206,000",,,,"-424,000","0","0","0","0","0","0","0","-583,000","-180,000","-238,000","-832,000","-792,000",,,,,,,,,,,,,,,,,
