name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015
	TotalNonCurrentAssets,"11,551,000","11,762,000","12,236,000","11,259,000","9,558,000","9,920,000","10,656,000","10,814,000","5,332,000","2,369,000","1,654,000","1,781,000","2,031,000","1,182,000","1,108,000","1,092,000","1,097,000","1,210,000","1,192,000","1,112,000","1,291,000","1,011,000","589,000","323,000","307,000","390,000","521,000"
		NetPPE,"7,716,000","8,246,000","8,720,000","7,743,000","8,018,000","8,355,000","8,814,000","8,760,000","805,000","44,000",,,,"0","0","1,000","5,000","10,000","17,000","24,000","32,000","40,000","47,000","55,000","62,000","71,000","78,000"
			GrossPPE,"8,737,000","9,090,000","9,398,000","8,261,000","8,412,000","8,641,000","8,992,000","8,864,000","897,000","136,000",,,,"92,000",,,,"92,000",,,,"92,000",,,,"92,000","92,000"
				Properties,"0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"1,032,000","1,985,000","1,877,000","1,540,000","1,185,000","1,138,000","1,122,000","726,000","647,000","136,000",,,,"92,000",,,,"92,000",,,,"92,000",,,,"92,000","92,000"
				OtherProperties,"6,162,000","5,573,000","5,989,000","5,443,000","5,949,000","6,334,000","6,711,000","7,108,000",,,,,,,,,,,,,,,,,,,
				Leases,"1,543,000","1,532,000","1,532,000","1,278,000","1,278,000","1,169,000","1,159,000","1,030,000","250,000",,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-1,021,000","-844,000","-678,000","-518,000","-394,000","-286,000","-178,000","-104,000","-92,000","-92,000",,,,"-92,000",,,,"-82,000",,,,"-52,000",,,,"-21,000","-14,000"
		OtherNonCurrentAssets,"3,835,000","3,516,000","3,516,000","3,516,000","1,540,000","1,565,000","1,842,000","2,054,000","4,527,000","2,325,000","1,654,000","1,781,000","2,031,000","1,182,000","1,108,000","1,091,000","1,092,000","1,200,000","1,175,000","1,088,000","1,259,000","971,000","542,000","268,000","245,000","319,000","443,000"
TotalLiabilitiesNetMinorityInterest,"22,335,000","27,442,000","27,385,000","26,340,000","34,276,000","36,307,000","33,072,000","30,626,000","23,261,000","23,191,000","21,018,000","19,104,000","20,052,000","21,394,000","16,893,000","17,230,000","16,658,000","15,986,000","13,916,000","12,210,000","11,678,000","12,945,000","12,638,000","11,703,000","4,316,000","5,156,000","5,043,000"
	CurrentLiabilities,"17,725,000","22,455,000","21,926,000","21,290,000","25,139,000","26,024,000","21,705,000","18,551,000","14,554,000","15,564,000","13,112,000","11,232,000","12,143,000","13,615,000","12,905,000","12,580,000","11,351,000","10,031,000","7,562,000","5,076,000","4,116,000","5,451,000","5,272,000","4,384,000","4,310,000","5,055,000","4,711,000"
