name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,06/30/2018,03/31/2018,12/31/2017
OperatingCashFlow,"909,193,000","238,869,000","260,542,000","221,904,000","187,878,000","118,153,000","79,122,000","65,157,000","30,964,000","134,878,000","159,008,000","179,220,000","192,829,000","116,562,000","-503,273","-265,018","64,247,000"
	CashFlowFromContinuingOperatingActivities,"909,193,000","238,869,000","260,542,000","221,904,000","187,878,000","118,153,000","79,122,000","65,157,000","30,964,000","134,878,000","159,008,000","179,220,000","192,829,000","116,562,000","-503,273","-265,018","64,247,000"
		NetIncomeFromContinuingOperations,"676,844,000","208,620,000","192,145,000","159,907,000","116,172,000","91,492,000","42,012,000","13,695,000","-29,391,000","-1,895,299,000","13,632,000","17,358,000","31,302,000","22,713,000","-3,361,424","-1,542,286","53,512,000"
		OperatingGainsLosses,,,"0","-2,043,000","1,838,000","482,000","-7,556,000","2,208,000",,,,,,,,,"9,529,000"
			GainLossOnSaleOfBusiness,,,,,,,"-5,071,000",,,,,,,,,,
			GainLossOnInvestmentSecurities,,,"0","-2,043,000","1,838,000","482,000","-2,485,000","2,208,000",,,,,,,,,"9,529,000"
			EarningsLossesFromEquityInvestments,,,"0",,,,"-5,071,000",,,,,,,,,,
		DepreciationAmortizationDepletion,"205,083,000","53,106,000","53,420,000","47,993,000","50,564,000","45,057,000","48,706,000","48,357,000","54,498,000","146,297,000","141,256,000","147,520,000","129,729,000","119,572,000",,,"40,867,000"
			DepreciationAndAmortization,"205,083,000","53,106,000","53,420,000","47,993,000","50,564,000","45,057,000","48,706,000","48,357,000","54,498,000","146,297,000","141,256,000","147,520,000","129,729,000","119,572,000",,,"40,867,000"
				Depreciation,"197,850,000","53,106,000","53,420,000","47,993,000","43,331,000","42,944,000","45,080,000","44,731,000","50,871,000","142,671,000","137,630,000","143,894,000","126,102,000","115,946,000",,,"40,867,000"
				AmortizationCashFlow,"7,233,000","0","0","0","7,233,000","2,113,000","3,626,000","3,626,000","3,627,000","3,626,000","3,626,000","3,626,000","3,627,000","3,626,000",,,
					AmortizationOfIntangibles,"7,233,000","0","0","0","7,233,000","2,113,000","3,626,000","3,626,000","3,627,000","3,626,000","3,626,000","3,626,000","3,627,000","3,626,000",,,
		DeferredTax,,,"0","0","0","0","0","0","-3,180,000","-74,654,000","2,496,000","3,414,000","4,936,000","3,415,000",,,"933,000"
			DeferredIncomeTax,,,"0","0","0","0","0","0","-3,180,000","-74,654,000","2,496,000","3,414,000","4,936,000","3,415,000",,,"933,000"
		AssetImpairmentCharge,,,"0","0","0","0","0","0","0","1,381,258,000",,,,,,,
		StockBasedCompensation,"11,916,000","2,885,000","2,593,000","2,910,000","3,528,000","2,705,000","1,158,000","2,927,000","3,065,000","2,879,000","2,713,000","2,829,000","3,115,000","2,432,000",,,
		OtherNonCashItems,"11,467,000","3,601,000","2,894,000","2,460,000","2,512,000","2,157,000","5,934,000","1,407,000","8,200,000","557,076,000","2,781,000","-7,818,000","8,267,000","6,300,000","-2,608,750","-2,073,575","-1,300,000"
		ChangeInWorkingCapital,"4,088,000","-29,343,000","9,490,000","10,677,000","13,264,000","-23,740,000","-11,132,000","-3,437,000","-2,228,000","17,321,000","-3,870,000","15,917,000","15,480,000","-37,870,000","3,268,354","3,350,843","-39,294,000"
			ChangeInReceivables,"-72,423,000","-29,883,000","-19,669,000","-10,859,000","-12,012,000","-25,670,000","-20,316,000","-717,000","17,218,000","28,031,000","14,889,000","7,604,000","-19,553,000","5,012,000",,,"-42,709,000"
				ChangesInAccountReceivables,"-72,423,000","-29,883,000","-19,669,000","-10,859,000","-12,012,000","-25,670,000","-20,316,000","-717,000","17,218,000","28,031,000","14,889,000","7,604,000","-19,553,000","5,012,000",,,"-42,709,000"
			ChangeInPrepaidAssets,"-1,534,000","-1,901,000","-553,000","1,182,000","-262,000","2,823,000","-3,332,000","169,000","220,000","-563,000","1,116,000","-1,137,000","13,555,000","-1,217,000","40,584","-11,641","624,000"
			ChangeInPayablesAndAccruedExpense,"78,838,000","4,292,000","29,715,000","20,146,000","24,685,000","-1,498,000","12,003,000","-2,569,000","-19,031,000","-9,821,000","-489,000","12,593,000","22,116,000","-41,054,000","4,619,355","4,172,600","2,983,000"
				ChangeInPayable,"60,527,000","6,743,000","20,449,000","15,325,000","18,010,000","11,499,000","-1,008,000","-1,059,000","-21,620,000","6,726,000",,,,,"-734,306","400,141",
					ChangeInTaxPayable,,,,,,,,,,,,,,,"-734,306","400,141",
						ChangeInIncomeTaxPayable,,,,,,,,,,,,,,,"-734,306","400,141",
					ChangeInAccountPayable,"60,527,000","6,743,000","20,449,000","15,325,000","18,010,000","11,499,000","-1,008,000","-1,059,000","-21,620,000","6,726,000",,,,,,,
				ChangeInAccruedExpense,"18,311,000","-2,451,000","9,266,000","4,821,000","6,675,000","-12,997,000","13,011,000","-1,510,000","2,589,000","-16,547,000",,,,,"5,353,661","3,772,459",
			ChangeInOtherWorkingCapital,"-793,000","-1,851,000","-3,000","208,000","853,000","605,000","513,000","-320,000","-635,000","-326,000","-19,386,000","-3,143,000","-638,000","-611,000","-1,391,585","-810,116",
InvestingCashFlow,"-271,766,000","-71,208,000","-80,000,000","-70,836,000","-49,722,000","-42,884,000","-19,147,000","-26,682,000","-60,359,000","-163,800,000","-70,171,000","-98,867,000","-171,896,000","-183,314,000",,,"-58,771,000"
	CashFlowFromContinuingInvestingActivities,"-271,766,000","-71,208,000","-80,000,000","-70,836,000","-49,722,000","-42,884,000","-19,147,000","-26,682,000","-60,359,000","-163,800,000","-70,171,000","-98,867,000","-171,896,000","-183,314,000",,,"-58,771,000"
		NetPPEPurchaseAndSale,"-251,232,000","-70,284,000","-72,549,000","-67,767,000","-40,632,000","-41,910,000","-45,915,000","-22,265,000","-59,822,000","-94,210,000","-70,176,000","-97,550,000","-132,874,000","-134,435,000",,,"-59,221,000"
			PurchaseOfPPE,"-280,490,000","-84,230,000","-73,682,000","-68,388,000","-52,446,000","-41,910,000","-45,915,000","-22,265,000","-59,822,000","-94,210,000","-70,176,000","-97,550,000","-132,874,000","-134,435,000",,,"-59,221,000"
			SaleOfPPE,"29,258,000","13,946,000","1,133,000","621,000","13,558,000",,,,,,,,,,,,
		NetBusinessPurchaseAndSale,"-18,842,000","-1,055,000","-7,528,000","-1,408,000","-8,851,000","-558,000","27,074,000","-3,920,000","-392,000","-69,390,000","0","-1,318,000","-38,577,000","-49,076,000",,,"450,000"
			PurchaseOfBusiness,"-18,842,000","-1,055,000","-7,528,000","-1,408,000","-8,851,000","-558,000","0","-3,920,000","-392,000","-69,390,000","0","-1,318,000","-38,577,000","-53,326,000",,,"0"
			SaleOfBusiness,,,,,,,"27,074,000",,"0","0","0","0","0","4,250,000",,,
