name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001
TotalAssets,"81,198,000,000","82,931,000,000","81,690,000,000","82,288,000,000","82,317,000,000","83,842,000,000","83,195,000,000","82,642,000,000","82,474,000,000","83,806,000,000","83,718,000,000","32,859,000,000","24,073,000,000","23,770,000,000","23,694,000,000","23,868,000,000","24,405,000,000","24,517,000,000","24,294,000,000","24,970,000,000","25,086,000,000","26,031,000,000","26,134,000,000","26,384,000,000","26,430,000,000","26,268,800,000","14,187,800,000","14,303,500,000","14,500,000,000","14,520,500,000","14,172,100,000","14,440,800,000","14,270,900,000","13,960,100,000","14,490,700,000","13,750,100,000","13,699,200,000","13,549,700,000","13,626,000,000","13,943,000,000","13,904,400,000","13,848,300,000","13,885,500,000","14,161,600,000","14,114,300,000","14,161,800,000","13,555,700,000","13,766,300,000","13,834,000,000","13,997,600,000","7,430,500,000","7,439,800,000","7,416,400,000","7,514,000,000","7,549,972,000","9,778,445,000","9,832,230,000","9,794,583,000","9,593,757,000","7,795,216,000","7,688,467,000","7,630,560,000","7,432,119,000","7,342,785,000","7,406,782,000","972,435,000","934,094,000","929,770,000","897,359,000","922,209,000","863,620,000","859,830,000","859,456,000","785,047,000","755,830,000","769,069,000","718,049,000","702,141,000","678,191,000","657,903,000","647,348,000","697,573,000","619,073,000","586,805,000"
	CurrentAssets,"10,145,000,000","10,708,000,000","10,011,000,000","9,438,000,000","9,105,000,000","9,898,000,000","9,934,000,000","8,600,000,000","8,346,000,000","8,692,000,000","9,325,000,000","12,505,000,000","3,611,000,000","3,733,000,000","3,597,000,000","3,494,000,000","3,735,000,000","3,606,000,000","3,324,000,000","4,062,000,000","3,409,000,000","4,282,000,000","3,523,000,000","3,678,000,000","3,629,000,000","3,511,400,000","2,436,300,000","2,482,600,000","2,597,000,000","2,473,100,000","2,562,900,000","2,834,900,000","2,688,300,000","2,351,900,000","2,834,100,000","2,051,300,000","1,923,100,000","1,844,200,000","1,875,400,000","2,157,600,000","1,767,600,000","1,682,700,000","1,604,200,000","1,705,600,000","1,644,700,000","1,673,000,000","1,483,500,000","1,618,200,000","1,593,200,000","1,666,100,000","1,057,300,000","1,094,900,000","1,136,000,000","1,179,800,000","1,205,498,000","1,737,601,000","1,840,097,000","1,829,495,000","1,579,923,000","1,458,826,000","1,373,175,000","1,300,539,000","1,166,949,000","1,139,885,000","1,169,150,000","444,902,000","388,172,000","397,222,000","383,977,000","408,717,000","358,944,000","345,450,000","336,591,000","321,628,000","329,064,000","347,812,000","326,004,000","312,000,000","307,297,000","262,733,000","230,577,000","282,906,000","234,845,000","233,705,000"
		CashCashEquivalentsAndShortTermInvestments,"1,547,000,000","2,010,000,000","1,390,000,000","1,301,000,000","1,039,000,000","1,959,000,000","1,826,000,000","1,183,000,000","1,373,000,000","1,152,000,000","1,305,000,000","9,756,000,000","576,000,000","703,000,000","632,000,000","683,000,000","725,000,000","665,000,000","720,000,000","786,000,000","705,000,000","683,000,000","701,000,000","765,000,000","702,000,000","687,600,000","441,500,000","446,400,000","489,000,000","492,800,000","611,800,000","793,700,000","737,700,000","547,500,000","811,600,000","653,100,000","590,600,000","517,600,000","605,400,000","553,300,000","513,400,000","459,400,000","428,600,000","471,100,000","417,000,000","373,900,000","437,900,000","545,500,000","507,900,000","481,700,000","250,400,000","265,900,000","311,200,000","220,900,000","238,458,000","207,035,000","327,965,000","355,278,000","279,076,000","220,890,000","222,004,000","211,753,000","174,690,000","143,694,000","260,483,000","169,306,000","143,322,000","142,468,000","94,098,000","86,656,000","43,458,000","57,331,000","46,530,000","22,280,000","44,666,000","39,819,000","34,597,000","14,166,000","17,843,000","21,392,000","23,939,000","27,674,000","43,175,000","47,443,000"
			CashAndCashEquivalents,"1,547,000,000","2,010,000,000","1,390,000,000","1,301,000,000","1,039,000,000","1,959,000,000","1,826,000,000","1,183,000,000","1,373,000,000","1,152,000,000","1,305,000,000","9,756,000,000","576,000,000","703,000,000","632,000,000","683,000,000","725,000,000","665,000,000","720,000,000","786,000,000","705,000,000","683,000,000","701,000,000","765,000,000","702,000,000","687,600,000","441,500,000","446,400,000","489,000,000","492,800,000","611,800,000","793,700,000","737,700,000","547,500,000","811,600,000","653,100,000","590,600,000","517,600,000","576,600,000","533,800,000","481,700,000","415,500,000","386,800,000","427,300,000","384,100,000","338,000,000","389,400,000","502,000,000","463,900,000","430,900,000","205,600,000","227,900,000","272,000,000","220,900,000","238,458,000","207,035,000","327,965,000","355,278,000","279,076,000","220,890,000","222,004,000","211,753,000","174,690,000","143,694,000","211,355,000","137,979,000","105,261,000","101,667,000","50,625,000","41,801,000","43,458,000","57,331,000","46,530,000","22,280,000","44,666,000","39,819,000","34,597,000","14,166,000","17,843,000","21,392,000","23,939,000","27,674,000","43,175,000","47,443,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,800,000","19,500,000","31,700,000","43,900,000","41,800,000","43,800,000","32,900,000","35,900,000","48,500,000","43,500,000","44,000,000","50,800,000","44,800,000","38,000,000","39,200,000",,,,,,,,,,,,"49,128,000","31,327,000","38,061,000","40,801,000","43,473,000","44,855,000",,,,,,,,,,,,,,
		Receivables,"5,296,000,000","4,127,000,000","4,560,000,000","4,575,000,000","4,681,000,000","4,433,000,000","4,445,000,000","4,387,000,000","4,302,000,000","4,350,000,000","4,242,000,000","1,914,000,000","2,070,000,000","2,042,000,000","2,097,000,000","1,995,000,000","2,111,000,000","2,011,000,000","1,869,000,000","1,819,000,000","1,921,000,000","1,879,000,000","1,983,000,000","2,026,000,000","2,196,000,000","2,090,200,000","1,419,200,000","1,522,800,000","1,542,600,000","1,345,200,000","1,418,400,000","1,360,000,000","1,299,400,000","1,264,000,000","1,258,200,000","1,130,400,000","1,103,600,000","1,126,200,000","1,090,300,000","1,099,800,000","1,071,600,000","1,033,600,000","965,000,000","1,005,800,000","1,014,100,000","1,085,600,000","831,700,000","856,000,000","877,900,000","890,800,000","639,300,000","649,600,000","663,400,000","721,400,000","733,901,000","1,221,235,000","1,174,493,000","1,164,503,000","1,025,368,000","948,481,000","897,871,000","806,299,000","733,275,000","736,629,000","699,101,000","257,749,000","195,131,000","229,946,000","198,877,000","218,681,000","184,479,000","193,659,000","194,925,000","200,237,000","188,373,000","210,736,000","202,577,000","183,233,000","207,225,000","163,275,000","165,329,000","213,256,000","152,068,000","171,610,000"
			AccountsReceivable,"3,655,000,000","3,772,000,000","3,468,000,000","3,466,000,000","3,508,000,000","3,314,000,000","3,146,000,000","3,104,000,000","3,116,000,000","3,242,000,000","3,065,000,000","1,366,000,000","1,451,000,000","1,472,000,000","1,398,000,000","1,408,000,000","1,562,000,000","1,416,000,000","1,598,000,000","1,456,000,000","1,596,000,000","1,411,000,000","1,649,000,000","1,646,000,000","1,727,000,000","1,499,700,000","1,125,100,000","1,127,300,000","1,130,700,000","968,100,000","1,050,500,000","1,018,200,000","987,900,000","869,500,000","992,800,000","948,500,000","936,200,000","799,600,000","886,000,000","892,900,000","889,300,000","858,500,000","808,300,000","865,100,000","864,100,000","856,100,000","736,600,000","737,000,000","717,500,000","765,400,000","518,100,000","521,800,000","498,800,000","538,100,000","518,640,000","914,204,000","857,881,000","825,915,000","759,311,000","736,939,000","688,456,000","623,065,000","567,885,000","555,977,000","526,220,000","115,825,000","105,576,000","99,870,000","106,534,000","120,767,000","99,895,000","96,929,000","94,949,000","108,158,000","88,759,000","90,675,000","87,816,000","104,597,000","86,756,000","86,825,000","88,201,000","102,511,000","85,136,000","85,367,000"
				GrossAccountsReceivable,"3,744,000,000","3,848,000,000","3,548,000,000","3,566,000,000","3,590,000,000","3,396,000,000","3,212,000,000","3,169,000,000","3,190,000,000","3,302,000,000","3,102,000,000","1,393,000,000","1,478,000,000","1,489,000,000","1,427,000,000","1,436,000,000","1,619,000,000","1,479,000,000","1,654,000,000","1,495,000,000","1,627,000,000","1,452,000,000","1,683,000,000","1,674,000,000","1,748,000,000","1,515,900,000","1,144,300,000","1,145,100,000","1,148,000,000","983,700,000","1,071,800,000","1,040,700,000","1,008,900,000","885,700,000","1,015,600,000","969,800,000","959,700,000","819,500,000","913,400,000","930,100,000","929,100,000","891,600,000","840,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-89,000,000","-76,000,000","-80,000,000","-100,000,000","-82,000,000","-82,000,000","-66,000,000","-65,000,000","-74,000,000","-60,000,000","-37,000,000","-27,000,000","-27,000,000","-17,000,000","-29,000,000","-28,000,000","-57,000,000","-63,000,000","-56,000,000","-39,000,000","-31,000,000","-41,000,000","-34,000,000","-28,000,000","-21,000,000","-16,200,000","-19,200,000","-17,800,000","-17,300,000","-15,600,000","-21,300,000","-22,500,000","-21,000,000","-16,200,000","-22,800,000","-21,300,000","-23,500,000","-19,900,000","-27,400,000","-37,200,000","-39,800,000","-33,100,000","-32,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,"30,500,000","29,700,000","34,900,000","32,400,000","33,600,000","33,800,000","38,200,000","34,900,000","35,800,000","41,000,000","38,100,000","45,200,000","42,000,000","66,100,000","59,400,000","59,400,000","56,900,000","51,800,000","30,700,000","33,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
