name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,12/31/2013
	MinorityInterest,"577,900,000","549,000,000","533,400,000","1,234,600,000","1,201,100,000","1,201,000,000","1,193,000,000","1,199,000,000","1,209,700,000","1,200,600,000","2,350,600,000","2,307,600,000","2,269,700,000","2,194,100,000","2,168,300,000","2,115,300,000","2,065,400,000","2,034,500,000","2,038,400,000","2,036,500,000",,,,,,,,,,
TotalCapitalization,"2,742,300,000","2,747,600,000","2,730,800,000","2,001,300,000","2,070,200,000","2,025,100,000","2,021,700,000","1,950,900,000","1,942,800,000","1,885,000,000","517,400,000","509,700,000","521,400,000","516,800,000","519,300,000","519,500,000","520,000,000","520,800,000","523,200,000","523,200,000","2,273,000,000","1,935,900,000","2,097,500,000","1,276,700,000","1,283,600,000","303,300,000","275,600,000","1,258,300,000","1,248,500,000","1,103,400,000"
CommonStockEquity,"203,900,000","204,100,000","135,700,000","184,000,000","184,000,000","125,000,000","126,200,000","128,200,000","130,700,000","131,500,000","506,400,000","509,700,000","514,400,000","516,800,000","519,300,000","519,500,000","520,000,000","520,800,000","523,200,000","523,200,000","2,273,000,000","1,935,900,000","2,097,500,000","1,276,700,000","1,283,600,000","303,300,000","275,600,000","287,000,000","293,500,000","270,300,000"
NetTangibleAssets,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,273,000,000","1,935,900,000","2,097,500,000","1,276,700,000","1,283,600,000","303,300,000","275,600,000","287,000,000","293,500,000","270,300,000"
WorkingCapital,"3,400,000","-37,800,000","-17,200,000","-16,600,000","19,500,000","-23,600,000","-28,600,000","-69,900,000","-32,600,000","-80,200,000","-47,200,000","-18,000,000","2,300,000","-16,300,000","-6,600,000","18,000,000","36,600,000","37,000,000","57,800,000","52,700,000","-251,400,000","-586,800,000","-197,400,000","-14,000,000","-14,400,000","-1,018,000,000","-1,059,900,000","-72,600,000","-92,700,000","-155,900,000"
InvestedCapital,"2,764,800,000","2,767,600,000","2,748,300,000","2,016,300,000","2,082,700,000","2,035,100,000","2,029,200,000","1,955,900,000","1,945,300,000","1,885,000,000","517,400,000","509,700,000","521,400,000","516,800,000","519,300,000","519,500,000","520,000,000","520,800,000","523,200,000","523,200,000",,,,,,"989,800,000","1,018,900,000","990,100,000","960,200,000","833,100,000"
TangibleBookValue,"203,900,000","204,100,000","135,700,000","184,000,000","184,000,000","125,000,000","126,200,000","128,200,000","130,700,000","131,500,000","506,400,000","509,700,000","514,400,000","516,800,000","519,300,000","519,500,000","520,000,000","520,800,000","523,200,000","523,200,000","2,273,000,000","1,935,900,000","2,097,500,000","1,276,700,000","1,283,600,000","303,300,000","275,600,000","287,000,000","293,500,000","270,300,000"
TotalDebt,"2,560,900,000","2,563,500,000","2,612,600,000","1,832,300,000","1,898,700,000","1,910,100,000","1,903,000,000","1,827,700,000","1,814,600,000","1,753,500,000","11,000,000",,"7,000,000","981,100,000",,,,,,,,,,,,"989,800,000","1,018,900,000","990,100,000","960,200,000","833,100,000"
NetDebt,"2,557,900,000","2,561,300,000","2,610,000,000","1,828,500,000","1,897,200,000","1,907,500,000","1,900,000,000","1,825,200,000","1,811,500,000","1,750,200,000","7,500,000",,"3,500,000","871,800,000",,,,,,,,,,,,"989,800,000","1,018,900,000","990,100,000","960,200,000","833,100,000"
ShareIssued,"33,767,846","33,672,068","25,038,417","25,038,417","25,038,417","18,028,308","18,028,308","18,028,308","18,016,048","17,960,655","54,624,963","54,624,963","54,612,503","54,576,685","54,576,685","54,576,685","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308"
OrdinarySharesNumber,"33,767,846","33,672,068","25,038,417","25,038,417","25,038,417","18,028,308","18,028,308","18,028,308","18,016,048","17,960,655","54,624,963","54,624,963","54,612,503","54,576,685","54,576,685","54,576,685","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308","54,559,308"
