name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,03/31/2016
TotalRevenue,"226,170,000","64,504,000","58,943,000","53,856,000","48,867,000","42,885,000","37,093,000","34,327,000","24,346,000","21,130,000","17,672,000","11,555,000","8,617,000","6,823,000","4,783,000","3,926,000","3,314,000","2,764,000","2,282,000","1,559,000","1,289,000","1,325,000","267,000","0","321,000"
	OperatingRevenue,"225,780,000","64,114,000","58,943,000","53,856,000","48,867,000","42,885,000","37,093,000","34,327,000","23,962,000","20,619,000","18,613,000","11,198,000","8,280,000","6,576,000","4,703,000","3,716,000","3,246,000","2,677,000","2,228,000","1,495,000","1,289,000","1,290,000","180,000","0","180,000"
CostOfRevenue,"5,655,000","1,982,000","1,826,000","1,365,000","482,000","770,000","1,019,000","2,919,000","414,000","600,000","374,000","357,000","337,000","247,000","80,000","210,000","68,000","87,000","54,000","64,000",,,"87,000",,"87,000"
GrossProfit,"220,515,000","62,522,000","57,117,000","52,491,000","48,385,000","42,115,000","36,074,000","31,408,000","23,932,000","20,530,000","17,298,000","11,198,000","8,280,000","6,576,000","4,703,000","3,716,000","3,246,000","2,677,000","2,228,000","1,495,000",,,"234,000",,"234,000"
OperatingExpense,"72,943,000","22,645,000","18,655,000","16,198,000","15,445,000","14,439,000","13,213,000","10,985,000","9,756,000","8,253,000","6,696,000","4,377,000","4,208,000","3,136,000","2,896,000","2,145,000","2,010,000","1,953,000","1,655,000","1,200,000","1,641,000","1,916,000","719,000","200,000","919,000"
	SellingGeneralAndAdministration,"26,138,000","8,777,000","6,450,000","5,307,000","5,604,000","5,600,000","4,487,000","3,339,000","3,010,000","3,346,000","3,151,000","2,156,000","2,593,000","1,918,000","1,982,000","1,442,000","1,474,000","1,477,000","1,293,000","983,000","1,466,000","1,755,000","628,000","200,000","828,000"
		GeneralAndAdministrativeExpense,"26,138,000","8,777,000","6,450,000","5,307,000","5,604,000","5,600,000","4,487,000","3,339,000","3,010,000","3,346,000","3,151,000","2,156,000","2,593,000","1,918,000","1,982,000","1,442,000","1,474,000","1,477,000","1,293,000","983,000","1,466,000","1,755,000","628,000","200,000","828,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,"770,000","58,000",,"58,000"
			OtherGandA,"26,138,000","8,777,000","6,450,000","5,307,000","5,604,000","5,600,000","4,487,000","3,339,000","3,010,000","3,346,000","3,151,000","2,156,000","2,593,000","1,918,000","1,982,000","1,442,000","1,474,000","1,477,000","1,293,000","983,000","1,466,000","985,000","628,000","200,000","770,000"
	DepreciationAmortizationDepletionIncomeStatement,"46,805,000","13,868,000","12,205,000","10,891,000","9,841,000","8,839,000","8,726,000","7,646,000","6,746,000","4,907,000","3,545,000","2,221,000","1,615,000","1,218,000","914,000","703,000","536,000","476,000","362,000","217,000","175,000","161,000","27,000",,"27,000"
		DepreciationAndAmortizationInIncomeStatement,"46,805,000","13,868,000","12,205,000","10,891,000","9,841,000","8,839,000","8,726,000","7,646,000","6,746,000","4,907,000","3,545,000","2,221,000","1,615,000","1,218,000","914,000","703,000","536,000","476,000","362,000","217,000","175,000","161,000","27,000",,"27,000"
			DepreciationIncomeStatement,,,,"10,891,000","9,841,000","8,839,000","8,726,000","7,646,000","6,746,000","4,907,000","3,545,000","2,221,000","1,615,000","1,218,000","914,000","703,000","536,000","476,000","362,000","217,000","175,000","161,000","27,000",,"27,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,"64,000"
OperatingIncome,"147,572,000","39,877,000","38,462,000","36,293,000","32,940,000","27,676,000","22,861,000","20,423,000","14,176,000","12,277,000","10,602,000","6,821,000","4,072,000","3,440,000","1,807,000","1,571,000","1,236,000","724,000","573,000","295,000","-352,000","-591,000","-539,000","-200,000","-685,000"
NetNonOperatingInterestIncomeExpense,"-20,649,000","-4,709,000","-6,140,000","-6,199,000","-3,601,000","-1,749,000","-1,528,000","-1,208,000","-866,000","-405,000","-700,000","-301,000","-660,000","201,000","859,000","261,000","306,000","221,000",,,,,,,
	InterestIncomeNonOperating,"330,000","57,000","72,000","110,000","91,000","124,000","338,000","653,000","989,000","1,444,000","1,144,000","1,537,000","1,172,000","993,000","859,000","261,000","306,000","221,000",,,,,,,
	InterestExpenseNonOperating,"19,273,000","4,766,000","4,506,000","6,309,000","3,692,000","1,873,000","1,626,000","1,623,000","1,620,000","1,849,000","1,613,000","1,611,000","1,607,000","695,000",,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,"240,000","238,000","235,000",,"231,000","227,000","225,000","97,000",,,,,,,,,,,
OtherIncomeExpense,,"-118,000","-3,692,000",,,,,,,,,,,,,,,,"-117,000","39,000","-70,000",,"-3,507,000",,"-3,507,000"
	GainOnSaleOfSecurity,,"-118,000","-3,692,000",,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"0",,,,,,,,,,,,,,"0","0",,,"0","0","-113,000",,"-3,507,000",,"-3,507,000"
