name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014
OperatingCashFlow,"125,375,000","34,808,000","28,369,000","35,169,000","27,029,000","31,849,000","26,062,000","28,728,000","19,553,000","17,115,000","23,377,000","27,250,000","21,137,000","32,909,000","15,067,000","24,828,000","19,237,000","21,750,000","18,766,000","20,945,000","20,245,000","18,989,000","19,306,000","18,364,000","17,173,000","16,096,000","20,848,000","491,000","473,000","-119,000","387,000","317,000"
	CashFlowFromContinuingOperatingActivities,"125,375,000","34,808,000","28,369,000","35,169,000","27,029,000","31,849,000","26,062,000","28,728,000","19,553,000","17,115,000","23,377,000","27,250,000","21,137,000","32,909,000","15,067,000","24,828,000","19,237,000","21,750,000","18,766,000","20,945,000","20,245,000","18,989,000","19,306,000","18,364,000","17,173,000","16,096,000","20,848,000","491,000","473,000","-119,000","387,000","317,000"
		NetIncomeFromContinuingOperations,"87,409,000","22,286,000","23,735,000","21,208,000","20,180,000","20,622,000","20,307,000","19,404,000","18,520,000","19,336,000","18,993,000","18,409,000","17,936,000","17,601,000","21,334,000","17,605,000","27,626,000","16,364,000","18,474,000","19,337,000","18,448,000","15,633,000","32,525,000","15,240,000","14,802,000","94,283,000","5,308,000","111,000","134,000","146,000","-79,000","21,000"
		OperatingGainsLosses,,,"0","0","0","-431,000",,,,,,,,,"-4,392,000","8,000","-10,882,000","-233,000","-3,159,000","-3,937,000",,,"-16,763,000","-296,000",,,"0","25,000",,,"9,000","3,000"
			GainLossOnSaleOfPPE,"0","0","0","0","0","-431,000","0",,,,"0","0",,,"-4,392,000",,,,"-3,199,000","-4,042,000",,,,,,,"0","25,000",,,"9,000","3,000"
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,"0","0","0","0","0","-228,000",,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,"8,000","-10,882,000","-5,000","40,000","-3,937,000",,,"-16,763,000","-296,000",,,,,,,,
		DepreciationAmortizationDepletion,"36,294,000","9,704,000","9,371,000","8,831,000","8,388,000","8,236,000","7,763,000","7,522,000","7,094,000","7,054,000","6,780,000","6,653,000","6,518,000","6,361,000","6,042,000","5,743,000","5,224,000","5,345,000","5,557,000","5,425,000","5,420,000","5,409,000","5,230,000","5,059,000","5,101,000","5,187,000","3,153,000","208,000","185,000","212,000","232,000","213,000"
			DepreciationAndAmortization,"36,294,000","9,704,000","9,371,000","8,831,000","8,388,000","8,236,000","7,763,000","7,522,000","7,094,000","7,054,000","6,780,000","6,653,000","6,518,000","6,361,000","6,042,000","5,743,000","5,224,000","5,345,000","5,557,000","5,425,000","5,420,000","5,409,000","5,230,000","5,059,000","5,101,000","5,187,000","3,153,000","208,000","185,000","212,000","232,000","213,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,"208,000",,,"232,000","213,000"
