name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
			OtherReceivables,,,,,,,,,,,,,,,,,"6,642,000","6,198,000","5,210,000","4,542,000","4,057,000","4,332,000","3,851,000","2,848,000","2,417,000","2,639,000","3,461,000","4,084,000","3,430,000",,,"0","6,910,000","6,508,000","0",,"5,821,000",,,,,,,,,,"0","0","0","3,703,000","0","0","0","4,428,000","3,373,000","6,116,000","4,531,000","3,576,000","3,061,000","0","3,871,000","4,126,000","3,901,000","3,845,000","4,435,000","6,996,000","6,613,000","4,618,000","4,369,000","4,750,000",,"0","0","0","0",,
		PrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,000","45,000","58,000",,"12,000","25,000","37,000",,"13,000","29,000","42,000",,"12,000","25,000","37,000",,"12,000","25,000","37,000",,"12,000","25,000","37,000",,"20,000","25,000","37,000",,"12,000","25,000","37,000",,"12,000","25,000","37,000",,"12,000","23,000","27,000","22,000","37,000","50,000","51,000","25,000","27,000","36,000","113,000","69,000","49,000","69,000","89,000"
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0",,"0","0","0",,"0","0","0","0",,
	TotalNonCurrentAssets,"109,404,000","100,146,000","73,755,000","77,071,000","67,708,000","70,106,000","73,281,000","82,182,000","85,183,000","88,601,000","92,071,000","95,852,000","100,201,000","57,805,000","59,888,000","62,290,000","64,574,000","66,692,000","69,217,000","71,523,000","50,724,000","52,442,000","54,392,000","56,486,000","58,743,000","60,949,000","63,146,000","66,213,000","68,493,000","71,044,000","73,078,000","79,277,000","82,070,000","84,587,000","87,529,000","91,076,000","94,344,000","97,730,000","101,520,000","105,519,000","110,001,000","114,313,000","119,021,000","123,836,000","128,417,000","132,659,000","136,801,000","141,869,000","146,408,000","133,522,000","137,818,000","142,342,000","110,649,000","113,870,000","117,396,000","121,171,000","124,869,000","128,621,000","132,592,000","136,539,000","140,412,000","144,238,000","148,412,000","153,211,000","158,037,000","162,758,000","167,381,000","173,096,000","178,414,000","183,489,000","188,327,000","169,856,000","174,842,000","180,138,000","185,499,000","213,689,000","242,573,000"
		NetPPE,"109,404,000","100,146,000","73,755,000","77,071,000","67,708,000","70,106,000","73,281,000","82,182,000","85,183,000","88,601,000","92,071,000","95,852,000","100,201,000","57,805,000","59,888,000","62,290,000","64,574,000","66,692,000","69,186,000","71,479,000","50,668,000","52,423,000","54,359,000","56,439,000","58,694,000","60,930,000","63,146,000","66,213,000","68,493,000","71,025,000","73,059,000","79,258,000","82,051,000","84,568,000","87,510,000","91,057,000","94,325,000","97,711,000","101,501,000","105,500,000","109,982,000","114,294,000","119,002,000","123,817,000","128,398,000","132,640,000","136,782,000","141,850,000","146,389,000","133,503,000","137,799,000","142,323,000","110,630,000","113,851,000","117,377,000","121,152,000","124,850,000","128,602,000","132,573,000","136,520,000","140,393,000","144,214,000","148,376,000","153,163,000","157,976,000","162,684,000","167,381,000","173,096,000","178,414,000","183,489,000","188,327,000","169,856,000","174,842,000","180,138,000","185,499,000","213,689,000","242,573,000"
			GrossPPE,"455,933,000","442,209,000","413,038,000","413,452,000","401,605,000","401,705,000","402,429,000","408,169,000","408,230,000","408,291,000","408,325,000","408,478,000","408,897,000","364,819,000","364,819,000","364,825,000","364,825,000","364,759,000","364,394,000","363,892,000","341,188,000","341,188,000","341,188,000","341,188,000","341,188,000","341,188,000","341,190,000","341,210,000","341,148,000","341,215,000","341,092,000","344,681,000","344,708,000","344,708,000","344,708,000","344,708,000","344,708,000","344,708,000","344,708,000","344,708,000","344,708,000","344,708,000","344,708,000","344,706,000","344,706,000","344,706,000","344,702,000","344,702,000","344,702,000","327,581,000","327,575,000","327,575,000","292,409,000","292,330,000","292,330,000","292,330,000","292,380,000","292,342,000","292,403,000","292,387,000","292,387,000","292,387,000","292,387,000","292,387,000","292,387,000","292,387,000","292,387,000","292,444,000","292,397,000","292,335,000","291,804,000","268,230,000","268,194,000","268,189,000","268,154,000","268,154,000","268,152,000"
				LandAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"291,818,000","291,818,000","291,868,000","291,830,000","291,891,000","291,875,000","291,875,000","291,875,000","291,875,000","291,875,000","291,875,000","291,875,000","291,875,000","291,932,000","291,883,000","291,855,000","291,804,000","268,230,000","268,194,000","268,189,000",,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","514,000","480,000",,,,,,,
				OtherProperties,"1,114,000","1,168,000","1,222,000","1,278,000","1,334,000","1,392,000","1,451,000","1,510,000","1,571,000","1,632,000","1,695,000","1,759,000","1,823,000",,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0",,"0","0","0",,"0","0","0",,,
				Leases,"989,000","989,000","989,000","989,000","989,000","989,000","989,000","989,000","989,000","989,000","989,000","989,000","989,000","1,614,000","1,614,000","1,614,000","1,614,000","1,573,000","1,208,000","725,000","625,000","625,000","625,000","625,000","625,000","625,000","625,000","625,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000","512,000",,,,,,,,,,,,,,,,,,,,,,,
