name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
MarketCap,"7,749,778,069","10,426,981,493","15,877,400,938","17,024,222,233","14,364,235,724","12,548,931,122","15,831,769,662","12,203,034,220","11,637,147,689","7,257,042,956","9,800,963,629","7,101,153,401","7,070,428,889","7,208,413,805","4,809,758,457","5,785,235,951","4,537,182,792"
EnterpriseValue,"8,661,278,069","11,236,181,493","16,674,900,938","17,867,222,233","15,203,935,724","13,072,631,122","16,286,469,662","12,687,734,220","12,097,747,689","7,691,742,956","10,241,263,629","7,579,253,401","7,522,928,889","7,660,913,805","5,293,558,457","6,284,935,951","5,786,182,792"
PeRatio,"1,454.857",,,,,,"1,522.286","165.3","155.431","94.472","79.02","81.064",,,,,"395.486"
ForwardPeRatio,"80.645","128.205","476.191",,"256.41","227.273","161.29","129.87","188.679","85.47","102.041","75.758","128.205","133.333","80","105.263",
PegRatio,"5.358",,,,,,,,"5.458","2.478",,,,,,,
PsRatio,"7.091","10.039","16.157","18.363","16.594","14.681","19.201","14.822","14.084","9.038","12.342","9.081","9.276","7.839","5.89","7.292","5.795"
PbRatio,"3.62","4.681","7.146","7.739","6.652","5.981","7.775","6.145","6.172","3.855","5.289","4.041","4.224","4.711","3.126","3.833","5.21"
EnterprisesValueRevenueRatio,"7.997","38.31","59.11","69.468","60.719","55.747","73.099","62.073","62.813","34.539","46.173","37.465","38.324","37.609","26.428","34.994","32.271"
EnterprisesValueEBITDARatio,"497.775","4,885.296","921.265","11,167.014","-3,305.203","1,634.079","-2,326.639","1,006.963","765.68","216.669","320.039","382.791","236.57","190.57","148.279","212.329","3,045.359"
