name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999
TotalAssets,"5,077,173,000","5,086,908,000","4,997,280,000","4,785,121,000","4,519,192,000","4,899,339,000","4,677,920,000","4,573,357,000","4,440,977,000","3,875,360,000","3,390,275,000","3,177,275,000","2,990,236,000","2,891,896,000","2,605,476,000","2,561,066,000","2,517,146,000","2,493,739,000","2,480,800,000","2,418,572,000","2,387,917,000","2,397,095,000","2,306,323,000","2,253,783,000","2,242,140,000","2,316,081,000","2,312,290,000","2,262,351,000","2,221,279,000","2,236,424,000","2,184,950,000","2,175,485,000","2,166,200,000","2,214,839,000","2,230,554,000","2,147,803,000","2,065,909,000","2,037,652,000","1,911,201,000","1,838,066,000","1,758,271,000","1,698,689,000","1,568,549,000","1,597,134,000","1,538,523,000","1,475,837,000","1,362,192,000","1,267,273,000","1,187,110,000","1,139,744,000","1,068,645,000","1,017,588,000","982,963,000","986,418,000","939,223,000","934,473,000","937,979,000","992,411,000","944,288,000","886,810,000","836,100,000","787,570,000","729,511,000","674,334,000","636,747,000","588,777,000","537,499,000","505,446,000","457,870,000","407,489,000","362,859,000","312,911,000","297,976,000","272,296,000","148,173,000","139,784,000","133,774,000","128,910,000","126,289,000","125,548,000","126,228,000","124,422,000","124,663,000","134,123,000","100,082,000","117,384,000","122,420,000","106,126,000","94,389,000","85,200,000","42,800,000","36,500,000"
	CurrentAssets,"1,734,831,000","1,687,973,000","1,611,100,000","1,466,711,000","1,335,648,000","2,029,810,000","1,793,476,000","1,665,434,000","1,408,731,000","1,737,471,000","1,511,586,000","1,504,901,000","1,807,460,000","1,619,636,000","1,417,658,000","1,469,050,000","1,407,229,000","1,380,817,000","1,459,308,000","1,445,901,000","1,444,843,000","1,427,496,000","1,288,801,000","1,207,963,000","1,193,981,000","1,208,133,000","1,188,140,000","1,185,508,000","1,052,124,000","1,026,857,000","998,848,000","945,123,000","950,419,000","870,943,000","816,371,000","834,309,000","804,424,000","791,789,000","776,081,000","782,887,000","746,518,000","804,102,000","763,673,000","797,228,000","690,839,000","684,539,000","605,955,000","560,086,000","525,823,000","526,313,000","468,182,000","401,445,000","396,423,000","423,199,000","323,369,000","408,059,000","476,564,000","484,280,000","386,650,000","505,040,000","538,542,000","507,408,000","462,975,000","454,496,000","415,191,000","324,795,000","294,424,000","263,531,000","247,378,000","206,655,000","175,132,000","138,587,000","157,156,000","161,130,000","69,744,000","89,576,000","88,833,000","86,663,000","105,799,000","103,762,000","103,087,000","100,878,000","101,898,000","107,787,000","72,406,000","90,015,000","100,633,000","95,373,000","88,821,000","81,100,000","39,800,000","34,400,000"
		CashCashEquivalentsAndShortTermInvestments,"887,134,000","858,954,000","910,607,000","767,919,000","643,271,000","1,373,344,000","1,209,889,000","1,093,571,000","821,145,000","1,162,218,000","972,282,000","986,487,000","1,313,777,000","1,132,596,000","1,039,412,000","1,084,500,000","1,024,673,000","1,004,556,000","1,016,928,000","1,014,248,000","1,014,624,000","973,843,000","882,395,000","810,708,000","775,005,000","791,502,000","774,342,000","797,707,000","666,467,000","654,104,000","645,379,000","611,363,000","623,760,000","578,191,000","542,143,000","551,325,000","522,848,000","517,737,000","532,151,000","519,657,000","489,611,000","556,537,000","542,550,000","585,334,000","475,256,000","485,572,000","428,496,000","398,356,000","385,249,000","370,162,000","317,128,000","264,069,000","258,521,000","278,487,000","190,186,000","267,296,000","331,378,000","350,524,000","258,465,000","393,939,000","431,260,000","415,323,000","374,173,000","373,028,000","344,006,000","258,846,000","236,181,000","208,117,000","196,126,000","163,712,000","140,501,000","112,430,000","130,818,000","137,902,000","44,878,000","64,164,000","63,159,000","61,865,000","80,333,000","78,912,000","75,466,000","72,420,000","69,783,000","68,597,000","30,279,000","36,023,000","53,017,000","62,311,000","64,304,000","60,000,000","27,800,000","26,900,000"
			CashAndCashEquivalents,"586,543,000","512,406,000","580,977,000","583,811,000","532,166,000","1,026,829,000","849,556,000","714,268,000","572,888,000","735,457,000","599,219,000","688,350,000","726,662,000","480,121,000","424,707,000","599,268,000","595,917,000","611,996,000","673,228,000","690,912,000","655,773,000","572,934,000","514,571,000","429,597,000","398,325,000","433,297,000","390,460,000","562,180,000","367,605,000","268,954,000","281,502,000","241,973,000","239,836,000","231,328,000","189,693,000","198,280,000","229,662,000","184,563,000","211,181,000","195,607,000","209,459,000","257,488,000","216,784,000","299,804,000","206,215,000","168,133,000","168,754,000","143,813,000","148,524,000","147,285,000","110,837,000","88,289,000","119,688,000","122,307,000","78,303,000","109,184,000","142,756,000","69,524,000","54,296,000","48,040,000","46,834,000","31,085,000","37,746,000","21,163,000","23,003,000","18,730,000","51,867,000","11,587,000","21,792,000","23,803,000","24,901,000","22,165,000","22,162,000","27,712,000","10,351,000","18,998,000","13,520,000","9,581,000","20,801,000","18,496,000","28,403,000","13,680,000","69,783,000","68,597,000","30,279,000","36,023,000","53,017,000","56,225,000","61,225,000","60,000,000","24,800,000","26,900,000"
			OtherShortTermInvestments,"300,591,000","346,548,000","329,630,000","184,108,000","111,105,000","346,515,000","360,333,000","379,303,000","248,257,000","426,761,000","373,063,000","298,137,000","587,115,000","652,475,000","614,705,000","485,232,000","428,756,000","392,560,000","343,700,000","323,336,000","358,851,000","400,909,000","367,824,000","381,111,000","376,680,000","358,205,000","383,882,000","235,527,000","298,862,000","385,150,000","363,877,000","369,390,000","383,924,000","346,863,000","352,450,000","353,045,000","293,186,000","333,174,000","320,970,000","324,050,000","280,152,000","299,049,000","325,766,000","285,530,000","269,041,000","317,439,000","259,742,000","254,543,000","236,725,000","222,877,000","206,291,000","175,780,000","138,833,000","156,180,000","111,883,000","158,112,000","188,622,000","281,000,000","204,169,000","345,899,000","384,426,000","384,238,000","336,427,000","351,865,000","321,003,000","240,116,000","184,314,000","196,530,000","174,334,000","139,909,000","115,600,000","90,265,000","108,656,000","110,190,000","34,527,000","45,166,000","49,639,000","52,284,000","59,532,000","60,416,000","47,063,000","58,740,000",,,,,,"6,086,000","3,079,000",,"3,000,000",
		Receivables,"665,366,000","655,324,000","555,932,000","559,280,000","536,271,000","510,216,000","434,279,000","304,874,000","439,704,000","439,786,000","401,436,000","320,465,000","321,484,000","325,688,000","295,352,000","297,375,000","290,919,000","291,093,000","291,924,000","295,085,000","293,872,000","313,211,000","268,175,000","263,249,000","266,185,000","279,158,000","279,434,000","261,068,000","262,624,000","255,864,000","242,242,000","243,072,000","223,472,000","220,784,000","204,205,000","205,138,000","192,796,000","209,078,000","185,172,000","193,705,000","184,043,000","187,862,000","165,676,000","154,741,000","142,903,000","141,986,000","112,132,000","102,829,000","89,385,000","108,657,000","106,973,000","91,635,000","90,067,000","100,472,000","97,057,000","98,064,000","101,797,000","98,764,000","91,774,000","77,693,000","73,142,000","67,246,000","62,750,000","56,683,000","51,953,000","49,203,000","41,703,000","37,749,000","34,822,000","28,101,000","22,665,000","19,789,000","19,158,000","17,496,000","19,325,000","20,372,000","20,550,000","19,322,000","20,404,000","20,278,000","20,649,000","20,548,000","22,628,000","25,637,000","25,113,000","30,838,000","38,237,000","26,912,000","21,147,000","16,000,000","10,400,000","5,900,000"
			AccountsReceivable,"414,218,000","419,282,000","340,536,000","382,897,000","374,404,000","346,670,000","296,183,000","304,874,000","338,655,000","354,668,000","322,029,000","320,465,000","321,484,000","325,688,000","295,352,000","297,375,000","290,919,000","291,093,000","291,924,000","295,085,000","293,872,000","313,211,000","268,175,000","263,249,000","266,185,000","279,158,000","279,434,000","261,068,000","262,624,000","255,864,000","242,242,000","243,072,000","223,472,000","220,784,000","204,205,000","205,138,000","192,796,000","209,078,000","185,172,000","193,705,000","184,043,000","187,862,000","165,676,000","154,741,000","142,903,000","141,986,000","112,132,000","102,829,000","89,385,000","108,657,000","106,973,000","91,635,000","90,067,000","100,472,000","97,057,000","98,064,000","101,797,000","98,764,000","91,774,000","77,693,000","73,142,000","67,246,000","62,750,000","56,683,000","51,953,000","49,203,000","41,703,000","37,749,000","34,822,000","28,101,000","22,665,000","19,789,000","19,158,000","17,496,000","19,325,000","20,372,000","20,550,000","19,322,000","20,404,000","20,278,000","20,649,000","20,548,000","22,628,000","25,637,000","25,113,000",,,,,,,
				GrossAccountsReceivable,"418,554,000","422,544,000","344,232,000","386,763,000","377,824,000","350,026,000","299,288,000","308,217,000","341,960,000","357,972,000","325,288,000","323,027,000","323,810,000","328,312,000","297,392,000","299,511,000","292,793,000","293,145,000","293,739,000","296,942,000","295,877,000","315,820,000","270,237,000","264,949,000","267,911,000","281,152,000","281,413,000","263,953,000","265,901,000","259,390,000","247,200,000","247,683,000","227,677,000","225,110,000","207,464,000","208,232,000","195,909,000","212,387,000","188,426,000","196,721,000","187,164,000","190,897,000",,"157,562,000","145,555,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-4,336,000","-3,262,000","-3,696,000","-3,866,000","-3,420,000","-3,356,000","-3,105,000","-3,343,000","-3,305,000","-3,304,000","-3,259,000","-2,562,000","-2,326,000","-2,624,000","-2,040,000","-2,136,000","-1,874,000","-2,052,000","-1,815,000","-1,857,000","-2,005,000","-2,609,000","-2,062,000","-1,700,000","-1,726,000","-1,994,000","-1,979,000","-2,885,000","-3,277,000","-3,526,000","-4,958,000","-4,611,000","-4,205,000","-4,326,000","-3,259,000","-3,094,000","-3,113,000","-3,309,000","-3,254,000","-3,016,000","-3,121,000","-3,035,000",,"-2,821,000","-2,652,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"251,148,000","236,042,000","215,396,000","176,383,000","161,867,000","163,546,000","138,096,000",,"101,049,000","85,118,000","79,407,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,254,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
