name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,12/31/2008
TotalAssets,"1,099,127,000","1,050,384,000","1,053,894,000","1,026,627,000","998,599,000","1,022,442,000","1,007,779,000","693,060,000","693,425,000","705,791,000","706,765,000","729,160,000","748,882,000","738,831,000","742,144,000","798,366,000","808,714,000","824,862,000","877,014,000","937,627,000","446,097,000","422,652,000","408,376,000","391,912,000","366,257,000","334,505,000","342,610,000","339,301,000","141,509,000","135,711,000","137,200,000","134,963,000","131,956,000","124,929,000","120,182,000","117,653,000","112,245,000","110,597,000","113,657,000","115,718,000","108,533,000","112,376,000","113,163,000","122,126,000","119,240,000","118,918,000","115,200,000","110,572,000","109,435,000","35,773,000","23,449,000","16,723,000"
	CurrentAssets,"454,576,000","404,104,000","418,280,000","378,108,000","344,980,000","361,718,000","350,053,000","190,578,000","180,609,000","181,770,000","165,120,000","172,650,000","179,320,000","180,611,000","174,253,000","209,695,000","201,065,000","201,304,000","219,418,000","258,169,000","248,429,000","214,043,000","186,844,000","251,407,000","226,696,000","190,002,000","167,477,000","159,049,000","102,031,000","100,914,000","113,900,000","107,534,000","107,364,000","93,716,000","92,646,000","90,826,000","86,952,000","98,018,000","104,045,000","106,414,000","95,093,000","95,079,000","106,973,000","110,382,000","108,424,000","109,190,000","109,995,000","105,951,000","105,857,000","30,740,000","20,553,000","14,903,000"
		CashCashEquivalentsAndShortTermInvestments,"170,162,000","130,572,000","169,424,000","130,312,000","148,095,000","148,901,000","96,570,000","107,362,000","98,373,000","92,708,000","66,115,000","66,629,000","71,102,000","73,142,000","67,185,000","74,059,000","55,645,000","71,872,000","71,576,000","87,568,000","152,758,000","130,814,000","98,222,000","176,481,000","150,050,000","111,256,000","84,946,000","73,369,000","64,942,000","69,095,000","81,795,000","75,123,000","73,269,000","61,944,000","62,475,000","61,802,000","58,901,000","72,075,000","77,426,000","81,296,000","76,095,000","75,182,000","87,874,000","91,108,000","91,824,000","94,486,000","97,881,000","91,999,000","94,513,000","17,921,000","13,383,000","9,720,000"
			CashAndCashEquivalents,"151,111,000","130,572,000","169,424,000","130,312,000","148,095,000","148,901,000","96,570,000","107,362,000","98,373,000","92,708,000","66,115,000","66,629,000","71,102,000","73,142,000","67,185,000","74,059,000","55,645,000","71,872,000","71,576,000","87,568,000","89,121,000","82,896,000","56,076,000","147,582,000","76,840,000","67,956,000","58,149,000","56,731,000","22,769,000","20,696,000","34,055,000","31,248,000","28,500,000","26,450,000","26,500,000","24,718,000","17,174,000","21,810,000","26,634,000","12,512,000","23,796,000","28,026,000","43,521,000","21,934,000","33,147,000","21,563,000","21,290,000","17,780,000","68,875,000","17,921,000","13,383,000","7,919,000"
			OtherShortTermInvestments,"19,051,000",,,,,,,,,,,,,,,,,,"0","0","63,637,000","47,918,000","42,146,000","28,899,000","73,210,000","43,300,000","26,797,000","16,638,000","42,173,000","48,399,000","47,740,000","43,875,000","44,769,000","35,494,000","35,975,000","37,084,000","41,727,000","50,265,000","50,792,000","68,784,000","52,299,000","47,156,000","44,353,000","69,174,000","58,677,000","72,923,000","76,591,000","74,219,000","25,638,000","0","0","1,801,000"
		Receivables,"125,693,000","119,724,000","106,867,000","135,321,000","91,993,000","100,204,000","134,315,000","41,434,000","44,796,000","50,411,000","56,339,000","56,618,000","59,639,000","59,491,000","58,633,000","83,648,000","90,632,000","66,099,000","75,618,000","82,695,000","57,836,000","50,487,000","49,672,000","44,340,000","41,040,000","42,399,000","41,766,000","41,561,000","20,666,000","18,523,000","20,455,000","20,688,000","21,378,000","20,058,000","18,874,000","17,855,000","18,019,000","14,558,000","16,279,000","14,948,000","11,069,000","10,421,000","8,385,000","8,322,000","7,593,000","3,047,000","4,538,000","8,350,000","8,086,000","9,707,000","4,877,000","1,351,000"
			AccountsReceivable,"125,693,000","119,724,000","106,867,000","135,321,000","87,521,000","67,442,000","105,355,000","41,434,000","44,796,000","50,411,000","56,339,000","56,618,000","59,639,000","59,491,000","58,633,000","83,648,000","90,632,000","66,099,000","75,618,000","82,695,000","57,836,000","50,487,000","49,672,000","44,340,000","41,040,000","42,399,000","41,766,000","41,561,000","20,666,000","18,523,000","20,455,000","20,688,000","21,378,000","20,058,000","18,874,000","17,855,000","18,019,000","14,558,000","16,279,000","14,948,000","11,069,000","10,421,000","8,385,000","8,322,000","7,593,000","3,047,000","4,538,000","8,350,000","8,086,000","9,707,000","4,877,000","1,351,000"
			OtherReceivables,,,,,"4,472,000","32,762,000","28,960,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"139,041,000","131,703,000","127,347,000","98,502,000","92,154,000","97,839,000","104,471,000","34,284,000","31,088,000","31,510,000","37,642,000","42,875,000","42,753,000","41,738,000","41,757,000","44,338,000","45,758,000","53,434,000","63,692,000","77,559,000","31,685,000","26,583,000","32,119,000","25,604,000","29,421,000","32,443,000","36,265,000","38,822,000","12,849,000","10,858,000","9,576,000","9,763,000","11,042,000","10,032,000","9,675,000","9,355,000","8,662,000","9,891,000","8,946,000","8,537,000","6,766,000","8,082,000","9,228,000","6,675,000","5,236,000","7,425,000","6,357,000","4,241,000","2,877,000","2,850,000","1,969,000","3,675,000"
			WorkInProcess,"74,191,000","72,369,000","63,436,000","56,736,000","46,901,000","35,852,000","48,023,000","14,638,000","14,485,000","14,525,000","17,518,000","14,786,000","15,365,000","17,618,000","20,992,000","17,497,000","21,102,000","21,823,000","27,093,000","35,528,000","20,992,000","13,947,000","20,881,000","14,323,000","14,866,000","15,713,000","19,667,000","21,778,000","6,859,000","4,169,000","3,424,000","3,540,000","4,507,000","4,384,000","3,410,000","3,336,000","2,438,000","3,233,000","4,276,000","3,634,000","3,432,000","3,641,000","6,329,000","5,626,000","4,109,000","5,691,000","4,027,000","4,088,000","2,227,000","1,615,000","1,504,000","2,969,000"
