name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
TotalRevenue,"579,312,000","147,354,000","147,287,000","147,572,000","137,099,000","144,524,000","146,625,000","145,806,000","145,603,000","149,885,000","160,184,000","167,411,000","176,032,000","174,777,000","103,656,000","106,102,000","108,085,000","108,717,000","107,170,000","70,179,000","69,887,000","69,296,000","66,030,000","64,478,000","64,061,000","63,611,000","61,685,000","62,092,000","62,113,000","62,659,000","64,625,000","64,158,000","62,428,000","59,820,000","58,271,000","56,401,000","57,261,000","57,678,000","56,265,000","54,083,000","50,273,000","50,455,000","52,232,000","45,719,000","41,923,000","39,076,000","36,728,000","30,746,000","25,940,000","23,355,000","20,653,000","19,656,000","19,405,000","19,242,000","19,468,000","18,438,000","18,862,000","18,657,000"
	OperatingRevenue,"579,312,000","147,354,000","147,287,000","147,572,000","137,099,000","144,524,000","146,625,000","145,806,000","145,603,000","149,885,000","160,184,000","167,411,000","176,032,000","174,777,000","103,656,000","106,102,000","108,085,000","108,717,000","107,170,000","70,179,000","69,887,000","69,296,000","66,030,000","64,478,000","64,061,000","63,611,000","61,685,000","62,092,000","62,113,000","62,659,000","64,625,000","64,158,000","62,428,000","59,820,000","58,271,000","56,401,000","57,261,000","57,678,000","56,265,000","54,083,000","50,273,000","50,455,000","52,232,000","45,719,000","41,923,000","39,076,000","36,728,000","30,746,000","25,940,000","23,355,000","20,653,000","19,656,000","19,405,000","19,242,000","19,468,000","18,438,000","18,862,000","18,657,000"
CostOfRevenue,"72,461,000","16,645,000","19,837,000","20,067,000","15,912,000","16,154,000","16,418,000","16,113,000","15,781,000","16,807,000","18,354,000","18,824,000","18,147,000","18,392,000","12,306,000","12,072,000","12,365,000","12,964,000","12,962,000","8,862,000","7,941,000","8,177,000","7,893,000","7,591,000","7,566,000","7,653,000","7,087,000","7,735,000","7,674,000","7,410,000","7,384,000","7,027,000","7,166,000","6,812,000","6,650,000","6,255,000","6,648,000","6,503,000","-6,642,000","10,868,000","9,819,000","9,368,000","9,292,000","9,228,000","8,177,000","7,964,000","12,617,000","3,292,000","4,497,000","2,568,000","2,296,000","2,031,000","2,113,000","0","-5,951,000","2,011,000","1,982,000","0"
GrossProfit,"506,851,000","130,709,000","127,450,000","127,505,000","121,187,000","128,370,000","130,207,000","129,693,000","129,822,000","133,078,000","141,830,000","148,587,000","157,885,000","156,385,000","91,350,000","94,030,000","95,720,000","95,753,000","94,208,000","61,317,000","61,946,000","61,119,000","58,137,000","56,887,000","56,495,000","55,958,000","54,598,000","54,357,000","54,439,000","55,249,000","57,241,000","57,131,000","55,262,000","53,008,000","51,621,000","50,146,000","50,613,000","51,175,000","62,907,000","43,215,000","40,454,000","41,087,000","42,940,000","36,491,000","33,746,000","31,112,000","24,111,000","27,454,000","21,443,000","20,787,000","18,357,000","17,625,000","17,292,000","19,242,000","25,419,000","16,427,000","16,880,000","18,657,000"
OperatingExpense,"392,601,000","100,403,000","99,742,000","93,907,000","98,549,000","107,230,000","102,336,000","103,216,000","102,362,000","102,944,000","109,455,000","122,823,000","119,819,000","125,761,000","50,852,000","94,520,000","74,737,000","83,337,000","82,287,000","44,322,000","45,108,000","43,065,000","40,185,000","41,557,000","38,932,000","38,935,000","38,310,000","38,350,000","37,203,000","38,000,000","38,304,000","38,977,000","35,211,000","35,261,000","33,997,000","32,497,000","31,280,000","30,510,000","44,470,000","26,258,000","24,197,000","23,964,000","25,686,000","20,848,000","18,739,000","17,498,000","10,356,000","16,137,000","10,987,000","12,428,000","11,421,000","9,762,000","9,105,000","10,730,000","17,242,000","9,181,000","8,506,000","10,592,000"
	SellingGeneralAndAdministration,"46,976,000","12,571,000","8,288,000","7,837,000","18,280,000","17,704,000","12,678,000","14,623,000","12,405,000","14,121,000","15,204,000","17,508,000","16,214,000","18,104,000","-5,581,000","30,166,000","10,467,000","16,296,000","13,345,000","8,674,000","9,258,000","8,568,000","7,486,000","9,299,000","7,681,000","7,700,000","7,523,000","8,908,000","7,736,000","8,575,000","8,569,000","9,656,000","8,160,000","8,793,000","7,412,000","8,296,000","7,292,000","7,236,000","19,770,000","3,637,000","2,719,000","3,039,000","3,243,000","2,746,000","2,566,000","2,343,000","-4,100,000","4,669,000","1,623,000","3,991,000","3,806,000","3,045,000","2,396,000","2,262,000","2,279,000","2,533,000","2,144,000","2,257,000"
		GeneralAndAdministrativeExpense,"46,976,000","12,571,000","8,288,000","7,837,000","18,280,000","17,704,000","12,678,000","14,623,000","12,405,000","14,121,000","15,204,000","17,508,000","16,214,000","18,104,000","-5,581,000","30,166,000","10,467,000","16,296,000","13,345,000","8,674,000","9,258,000","8,568,000","7,486,000","9,299,000","7,681,000","7,700,000","7,523,000","8,908,000","7,736,000","8,575,000","8,569,000","9,656,000","8,160,000","8,793,000","7,412,000","8,296,000","7,292,000","7,236,000",,,,,,,,,,,,,,,,,,,,
			OtherGandA,"46,976,000","12,571,000","8,288,000","7,837,000","18,280,000","17,704,000","12,678,000","14,623,000","12,405,000","14,121,000","15,204,000","17,508,000","16,214,000","18,104,000","-5,581,000","30,166,000","10,467,000","16,296,000","13,345,000","8,674,000","9,258,000","8,568,000","7,486,000","9,299,000","7,681,000","7,700,000","7,523,000","8,908,000","7,736,000","8,575,000","8,569,000","9,656,000","8,160,000","8,793,000","7,412,000","8,296,000","7,292,000","7,236,000",,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"237,876,000","60,469,000","62,503,000","59,533,000","55,371,000","64,087,000","62,226,000","62,227,000","64,170,000","62,943,000","63,512,000","74,939,000","73,913,000","77,521,000","33,044,000","42,569,000","42,671,000","44,204,000","47,639,000","20,781,000","20,663,000","20,505,000","18,440,000","18,404,000","17,985,000","18,324,000","17,021,000","17,161,000","17,299,000","17,215,000","17,339,000","17,636,000","16,191,000","15,427,000","14,739,000","14,032,000","13,972,000","13,696,000","13,885,000","13,056,000","12,153,000","12,072,000","12,227,000","10,379,000","9,097,000","8,386,000","7,637,000","6,321,000","5,401,000","4,880,000","3,983,000","3,828,000","3,797,000","3,564,000","3,612,000","3,552,000","3,520,000","3,498,000"
		DepreciationAndAmortizationInIncomeStatement,"237,876,000","60,469,000","62,503,000","59,533,000","55,371,000","64,087,000","62,226,000","62,227,000","64,170,000","62,943,000","63,512,000","74,939,000","73,913,000","77,521,000","33,044,000","42,569,000","42,671,000","44,204,000","47,639,000","20,781,000","20,663,000","20,505,000","18,440,000","18,404,000","17,985,000","18,324,000","17,021,000","17,161,000","17,299,000","17,215,000","17,339,000","17,636,000","16,191,000","15,427,000","14,739,000","14,032,000","13,972,000","13,696,000","13,885,000","13,056,000","12,153,000","12,072,000","12,227,000","10,379,000","9,097,000","8,386,000","7,637,000","6,321,000","5,401,000","4,880,000","3,983,000","3,828,000","3,797,000","3,564,000","3,612,000","3,552,000","3,520,000","3,498,000"
