name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014
TotalRevenue,"1,666,916,000","401,636,000","422,354,000","414,769,000","428,157,000","352,619,000","343,409,000","353,178,000","108,470,000","377,388,000","460,786,000","465,858,000","482,868,000","447,022,000","431,471,000","412,332,000","416,188,000","421,039,000","394,021,000","400,370,000","403,493,000","417,732,000","394,554,000","347,140,000","351,486,000","359,247,000","347,951,000","323,597,000","337,818,000","342,769,000","333,736,000","309,656,000"
	OperatingRevenue,"1,586,546,000","382,455,000","401,875,000","393,699,000","408,517,000","337,062,000","329,420,000","338,691,000","102,024,000","356,031,000","434,663,000","438,035,000","455,963,000","421,100,000","404,417,000","385,947,000","391,271,000","398,483,000","402,499,000","407,531,000","409,016,000","423,078,000","401,898,000","356,029,000","360,638,000","367,424,000","357,959,000","331,733,000","344,812,000","350,632,000","342,285,000","316,192,000"
CostOfRevenue,"572,816,000","140,941,000","147,179,000","144,784,000","139,912,000","120,614,000","117,642,000","114,080,000","63,509,000","206,068,000","228,669,000","251,937,000","262,104,000","207,231,000","206,380,000","202,680,000","197,050,000","187,953,000","181,652,000","183,499,000","185,547,000","184,600,000","182,129,000","153,423,000","151,685,000","148,052,000","149,479,000","142,705,000","145,729,000","144,331,000","146,715,000","140,413,000"
GrossProfit,"1,094,100,000","260,695,000","275,175,000","269,985,000","288,245,000","232,005,000","225,767,000","239,098,000","44,961,000","171,320,000","232,117,000","213,921,000","220,764,000","239,791,000","225,091,000","209,652,000","219,138,000","233,086,000","212,369,000","216,871,000","217,946,000","233,132,000","212,425,000","193,717,000","199,801,000","211,195,000","198,472,000","180,892,000","192,089,000","198,438,000","187,021,000","169,243,000"
OperatingExpense,"491,437,000","119,721,000","124,839,000","126,627,000","120,250,000","133,165,000","136,269,000","136,788,000","123,156,000","159,807,000","156,530,000","165,584,000","166,437,000","149,918,000","139,553,000","148,595,000","70,561,000","121,400,000","-4,982,000","141,483,000","141,956,000","139,706,000","130,278,000","118,989,000","118,961,000","114,865,000","107,929,000","118,923,000","126,365,000","113,670,000","111,867,000","115,157,000"
	SellingGeneralAndAdministration,"354,476,000","86,296,000","91,488,000","92,602,000","84,090,000","78,910,000","78,648,000","79,491,000","65,232,000","101,273,000","98,932,000","107,756,000","110,602,000","99,065,000","92,952,000","104,360,000","98,071,000","95,109,000","91,527,000","98,515,000","94,781,000","94,423,000","87,713,000","82,739,000","80,152,000","75,090,000","73,916,000","85,323,000","90,269,000","78,349,000","79,152,000","83,238,000"
	DepreciationAmortizationDepletionIncomeStatement,"136,961,000","33,425,000","33,351,000","34,025,000","36,160,000","54,255,000","57,636,000","57,297,000","57,924,000","58,534,000","57,598,000","57,925,000","55,835,000","50,853,000","46,864,000","44,235,000","45,992,000","43,164,000","43,496,000","42,661,000","46,807,000","45,253,000","42,565,000","36,240,000","38,436,000","39,427,000","33,969,000","32,893,000","35,810,000","35,193,000","32,361,000","31,806,000"
		DepreciationAndAmortizationInIncomeStatement,"136,961,000","33,425,000","33,351,000","34,025,000","36,160,000","54,255,000","57,636,000","57,297,000","57,924,000","58,534,000","57,598,000","57,925,000","55,835,000","50,853,000","46,864,000","44,235,000","45,992,000","43,164,000","43,496,000","42,661,000","46,807,000","45,253,000","42,565,000","36,240,000","38,436,000","39,427,000","33,969,000","32,893,000","35,810,000","35,193,000","32,361,000","31,806,000"
	OtherTaxes,,,,,,,"-15,000","0",,,"0","-97,000","0","0","-263,000","0","-73,502,000","-16,873,000","-139,070,000",,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,"307,000","368,000","30,000","0","10,000","373,000","348,000","44,000","707,000","286,000","128,000","354,000","113,000"
