name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013
MarketCap,"457,968,553","767,394,523","791,786,517","731,636,078","801,646,684","946,109,770","852,895,733","423,810,850","384,104,207","207,114,571","811,393,242","831,715,720","822,128,398","697,567,955","611,659,118","680,847,440","606,801,372","470,087,118","444,790,558","482,206,820","473,193,609","404,442,671","434,402,136","413,716,320","441,900,862","452,586,767","502,448,427","441,847,087","263,749,704","252,750,000","247,000,000","245,250,000","245,500,000","246,250,000","240,500,000","242,500,000","252,500,000"
EnterpriseValue,"961,929,553","1,249,992,523","1,275,668,517","1,162,061,078","1,213,078,684","1,330,407,770","1,128,740,733","750,157,850","623,910,207","329,967,571","931,949,242","946,622,720","948,222,398","774,260,955","696,132,118","779,515,440","699,498,372","539,580,118","498,389,558","548,692,820","535,397,609","434,904,671","451,155,136","428,564,320","423,097,862","410,126,767","458,143,899","441,821,133","263,539,342","252,898,953","247,148,953","245,398,953","245,648,953","246,398,953","240,648,953","242,648,953","252,648,953"
PeRatio,"44.286",,,,,,,,,"14.893","81.75","52.375","57.903","63.542",,"165.222","331.25",,,,,"89.6","33.75","9.89","10.82","23.116","27.775",,,,,,,,,,
ForwardPeRatio,"19.231",,,"23.148",,,,,,"8.177","25.381",,,,,"36.232","52.91","103.093","98.039","107.527","61.728","44.843","36.364","34.602",,,,,,,,,,,,,
PsRatio,"2.123","5.137","9.514","39.481","275.104","11.414","5.414","1.655","1.153","0.601","2.356","2.465","2.649","2.282","2.012","2.237","2.073","1.718","1.733","1.986","1.996","1.718","1.875","1.815","1.97","2.157","2.426",,,,,,,,,,
PbRatio,,,,,"193.308","27.064","14.2","5.047","3.568","1.68","6.338","6.372","6.372","5.994","5.078","5.927","5.326","4.381","3.507","4.287","4.162","3.554","3.425","3.53","3.757","3.973","4.237","2.242","1.333","1.269","1.238","1.228","1.228","1.23","1.2","1.208","18,906.776"
EnterprisesValueRevenueRatio,"4.512","18.424","19.46","18.014","79.463","747.42","3,092.44","736.171","-2,328.023","4.062","12.295","9.374","12.37","8.636","9.859","8.935","10.069","6.548","7.883","6.487","9.634","6.889","8.038","6.055","7.854","6.661","9.858","7.545",,,,,,,,,
EnterprisesValueEBITDARatio,"-16.957","-55.793","-268.788","-215.037","-50.192","-58.49","-59.199","-43.197","-20.739","60.038","122.593","48.485","88.01","36.539","500.095","50.392","88.187","28.439","149.308","30.173","182.979","85.092","-194.547","28.184","214.227","26.351","169.409","51.539","-340.678","-179.325","-973.683","-1,079.265","-965.4","-1,048.68","-1,130.237","-831.667","-1,252.734"
