name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003
TotalAssets,"10,591,750,000","10,474,477,000","9,708,359,000","9,463,092,000","9,336,612,000","9,395,848,000","8,761,104,000","8,529,894,000","8,549,486,000","8,532,377,000","8,318,430,000","8,390,719,000","8,132,514,000","7,847,978,000","7,798,690,000","7,721,949,000","7,470,624,000","7,455,137,000","7,086,955,000","7,037,463,000","7,034,357,000","7,091,446,000","6,742,056,000","6,458,998,000","6,291,419,000","6,071,407,000","6,002,836,000","4,833,750,000","4,464,145,000","4,402,107,000","4,225,895,000","4,208,890,000","4,123,491,000","3,977,140,000","3,518,239,000","3,432,616,000","3,229,096,000","3,223,477,000","3,012,922,000","2,708,343,000","2,523,136,000","2,516,250,000","2,374,228,000","2,310,857,000","2,253,117,000","2,248,468,000","2,175,150,000","2,179,115,000","2,237,462,000","2,407,556,000","2,369,150,000","2,382,444,000","2,303,736,000","2,291,008,000","2,243,686,000","2,249,277,000","2,049,284,000","2,054,075,000","2,019,575,000","1,983,939,000","1,951,610,000","1,669,825,000","1,668,536,000","1,477,969,000","1,428,268,000","1,420,192,000","1,429,555,000","901,910,000","797,153,000","748,484,000","737,600,000","584,453,000","476,645,000","383,751,000"
	CurrentAssets,"72,666,000","495,381,000","81,282,000","59,749,000","62,795,000","421,819,000","80,574,000","61,751,000","97,930,000","70,733,000","66,715,000","55,644,000","46,828,000","72,690,000","66,583,000","69,106,000","54,064,000","88,891,000","85,627,000","53,088,000","47,793,000","74,353,000","44,290,000","56,775,000","97,495,000","255,660,000","1,347,177,000","203,388,000","83,790,000","135,184,000","87,704,000","87,236,000","76,007,000","197,941,000","112,430,000","230,692,000","64,828,000","90,263,000","77,922,000","238,712,000","77,263,000","70,769,000","125,431,000","76,377,000","92,416,000","87,309,000","128,331,000","129,815,000","215,101,000","227,248,000","194,177,000","220,630,000","135,386,000","156,561,000","199,085,000","268,004,000",,,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"65,978,000","71,126,000","65,565,000","56,006,000","60,330,000","109,124,000","74,803,000","56,397,000","93,297,000","65,746,000","62,277,000","47,667,000","38,988,000","57,496,000","45,378,000","49,194,000","35,527,000","55,683,000","63,732,000","31,648,000","29,311,000","43,858,000","18,692,000","41,058,000","49,753,000","75,799,000","1,115,532,000","175,893,000","45,304,000","47,663,000","49,216,000","53,945,000","47,015,000","126,723,000","81,699,000","206,932,000","35,575,000","30,785,000","43,608,000","185,502,000","37,575,000","26,484,000","33,895,000","35,187,000","42,555,000","46,750,000","21,798,000","28,354,000","108,740,000","131,950,000","100,992,000","131,551,000","54,478,000","63,972,000","112,076,000","185,837,000","21,010,000","39,189,000","91,030,000","136,121,000","321,471,000","70,801,000","151,686,000","4,250,000","11,061,000","28,653,000","7,093,000","95,042,000","12,286,000","24,329,000","32,006,000","2,775,000",,"11,746,000"
			CashAndCashEquivalents,"65,978,000","71,126,000","65,565,000","56,006,000","60,330,000","109,124,000","74,803,000","56,397,000","93,297,000","65,746,000","62,277,000","47,667,000","38,988,000","57,496,000","45,378,000","49,194,000","35,527,000","55,683,000","63,732,000","31,648,000","29,311,000","43,858,000","18,692,000","41,058,000","49,753,000","75,799,000","1,115,532,000","175,893,000","45,304,000","47,663,000","49,216,000","53,945,000","47,015,000","126,723,000","81,699,000","206,932,000","35,575,000","30,785,000","43,608,000","185,502,000","37,575,000","26,484,000","33,895,000","35,187,000","42,555,000","46,750,000","21,798,000","28,354,000","108,740,000","131,950,000","100,992,000","131,551,000","54,478,000","63,972,000","112,076,000","185,837,000","21,010,000","17,377,000","41,830,000","45,790,000","35,111,000","70,801,000","151,686,000","4,250,000","11,061,000","28,653,000","7,093,000","95,042,000","12,286,000","24,329,000","32,006,000","2,775,000",,"11,746,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,006,000","2,775,000",,"11,746,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,356,000",,,,,,"0","21,812,000","49,200,000","90,331,000","286,360,000",,,,,,,,,,,,,
		Receivables,,"419,187,000",,,,"293,810,000",,,,,,,,,,,,"2,847,000","4,618,000","4,676,000","6,251,000","16,611,000","9,156,000","485,000","15,739,000","137,660,000","3,016,000","2,071,000","3,136,000","53,385,000","12,283,000","12,640,000","8,966,000","41,412,000","7,928,000","3,258,000","9,096,000","34,568,000","10,930,000","15,976,000","15,415,000","18,517,000","61,184,000","8,490,000","9,334,000","10,061,000","24,593,000","20,589,000","23,004,000","5,114,000","3,377,000","5,666,000","5,035,000","11,335,000","11,591,000","9,238,000","9,529,000","7,386,000","9,447,000","8,321,000","5,966,000","15,880,000","7,064,000","11,793,000","16,590,000","23,683,000","31,101,000","3,264,000","2,254,000",,"714,000","13,312,000",,"2,066,000"
			AccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,"46,774,000",,,,"31,946,000",,,,"32,025,000",,,,"19,881,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,"381,121,000",,,,"288,921,000",,,,,,,,,,,,"0",,,,"15,860,000",,,,"88,681,000",,,,"9,661,000",,,,"5,818,000",,,,"7,670,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"1,845,000",,,,"3,609,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,"2,847,000","4,618,000","4,676,000","6,251,000","16,611,000","9,156,000","485,000","15,739,000","2,205,000","3,016,000","2,071,000","3,136,000","11,778,000","12,283,000","12,640,000","8,966,000","7,542,000","7,928,000","3,258,000","9,096,000","11,078,000","10,930,000","15,976,000","15,415,000","18,517,000","61,184,000","8,490,000","9,334,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,"38,066,000",,,,"4,889,000",,,,,,,,,,,,"2,847,000",,,,"751,000",,,,"2,205,000",,,,"1,188,000",,,,"1,724,000",,,,"3,408,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"11,463,000",,,,"8,891,000",,,,"8,355,000",,,,"7,934,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
