name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
OperatingCashFlow,"-50,626,000","-19,151,000","-12,369,000","-8,756,000","-10,350,000","-14,872,000","-5,485,000","-5,490,000","-4,779,000","-5,074,000","-3,423,000"
	CashFlowFromContinuingOperatingActivities,"-50,626,000","-19,151,000","-12,369,000","-8,756,000","-10,350,000","-14,872,000","-5,485,000","-5,490,000","-4,779,000","-5,074,000","-3,423,000"
		NetIncomeFromContinuingOperations,"-78,386,000","-23,646,000","-19,739,000","-18,385,000","-16,616,000","-16,429,000","-12,936,000","-8,229,000","-6,117,000","-5,493,000","-5,146,000"
		DepreciationAmortizationDepletion,"2,951,000","875,000","836,000","680,000","560,000","482,000","474,000","431,000","424,000","277,000","208,000"
			DepreciationAndAmortization,"2,951,000","875,000","836,000","680,000","560,000","482,000","474,000","431,000","424,000","277,000","208,000"
		AmortizationOfSecurities,"1,359,000","314,000","378,000","407,000","260,000","152,000","76,000","85,000","54,000","46,000","-18,000"
		StockBasedCompensation,"27,950,000","8,062,000","6,671,000","6,786,000","6,431,000","6,039,000","4,784,000","1,177,000","808,000","579,000","401,000"
		OtherNonCashItems,"1,478,000","551,000",,,,,"0",,,,"1,000"
		ChangeInWorkingCapital,"-5,978,000","-5,307,000","-1,520,000","1,756,000","-985,000","-5,116,000","2,117,000","1,036,000","52,000","-483,000","1,131,000"
			ChangeInReceivables,"-3,946,000","-315,000","-1,600,000","-869,000","-1,162,000","-251,000","394,000","-15,000","-203,000","-112,000","-208,000"
				ChangesInAccountReceivables,"-2,793,000","-298,000","-1,330,000","-269,000",,,,,,,
			ChangeInInventory,"-2,304,000","300,000","-1,588,000","113,000","-1,129,000","-990,000",,,"0","0",
			ChangeInPrepaidAssets,"-3,145,000","-2,850,000","-770,000","642,000","-167,000","-2,589,000","136,000","-206,000","184,000","-106,000","60,000"
			ChangeInPayablesAndAccruedExpense,"3,214,000","-2,517,000","3,055,000","1,761,000","915,000","-1,224,000","2,149,000","1,210,000","-313,000","-352,000","1,134,000"
