name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
TotalAssets,"1,799,591,000","1,938,056,000","2,007,325,000","2,058,669,000","2,111,941,000","2,208,278,000","2,181,059,000","1,476,637,000","1,545,592,000","1,623,782,000","1,641,486,000","1,291,572,000","1,283,911,000","1,119,222,000","1,028,627,000","511,773,000","379,411,000","391,653,000","367,720,000","383,078,000","248,645,000","269,345,000","288,177,000","305,563,000","335,232,000","368,041,000","396,100,000","273,822,000","299,520,000","333,219,000","220,795,000","237,558,000","255,840,000","151,902,821","167,244,115","175,468,084","64,405,584","13,072,352"
	CurrentAssets,"774,009,000","954,368,000","1,011,140,000","1,066,233,000","1,122,365,000","1,231,745,000","1,244,174,000","605,024,000","691,922,000","779,284,000","806,862,000","474,966,000","479,079,000","320,857,000","313,281,000","375,646,000","241,996,000","249,063,000","221,259,000","226,972,000","240,727,000","261,286,000","280,607,000","297,434,000","326,434,000","355,949,000","384,164,000","264,574,000","289,761,000","323,571,000","213,516,000","230,314,000","249,380,000","145,024,449","160,137,810","168,158,078","56,572,149","4,595,265"
		CashCashEquivalentsAndShortTermInvestments,"587,793,000","773,376,000","867,943,000","947,081,000","988,406,000","1,103,650,000","1,141,019,000","498,891,000","595,859,000","686,563,000","708,649,000","363,541,000","407,162,000","227,586,000","249,404,000","296,106,000","178,270,000","191,246,000","169,310,000","181,069,000","202,577,000","231,666,000","248,338,000","272,893,000","298,712,000","338,925,000","371,521,000","255,219,000","280,467,000","315,241,000","209,389,000","226,859,000","246,585,000","142,467,527","157,227,384","165,678,055","54,746,512","2,725,702"
			CashAndCashEquivalents,"144,178,000","189,718,000","189,818,000","177,347,000","146,632,000","208,812,000","433,970,000","158,461,000","123,287,000","288,028,000","523,577,000","136,094,000","201,144,000","169,498,000","206,913,000","223,788,000","97,675,000","111,792,000","141,838,000","133,011,000","54,106,000","58,321,000","50,286,000","35,658,000","40,165,000","58,022,000","140,712,000","29,220,000","36,825,000","49,748,000","52,873,000","21,172,000","115,855,000","15,414,403","24,044,819","154,095,269","54,746,512","2,725,702"
			OtherShortTermInvestments,"443,615,000","583,658,000","678,125,000","769,734,000","841,774,000","894,838,000","707,049,000","340,430,000","472,572,000","398,535,000","185,072,000","227,447,000","206,018,000","58,088,000","42,491,000","72,318,000","80,595,000","79,454,000","27,472,000","48,058,000","148,471,000","173,345,000","198,052,000","237,235,000","258,547,000","280,903,000","230,809,000","225,999,000","243,642,000","265,493,000","156,516,000","205,687,000","130,730,000","127,053,124","133,182,565","11,582,786",,
		Receivables,"141,288,000","110,455,000","96,645,000","78,801,000","94,124,000","69,929,000","56,786,000","53,644,000","52,623,000","55,538,000","60,383,000","77,104,000","46,350,000","67,907,000","42,197,000","59,383,000","45,611,000","40,394,000","38,744,000","33,767,000","32,173,000","24,929,000","27,409,000","19,765,000","22,618,000","11,094,000","8,016,000","5,114,000","3,178,000","4,445,000","1,296,000","858,000","838,000","957,722","783,851","870,641","946,142","1,013,813"
			AccountsReceivable,"141,288,000","110,455,000","96,645,000","78,801,000","94,124,000","69,929,000","56,786,000","53,644,000","52,623,000","55,538,000","60,383,000","77,104,000","46,350,000","67,907,000","42,197,000","59,383,000","45,611,000","40,394,000","38,744,000","33,767,000","32,173,000","24,929,000","27,409,000","19,765,000","22,618,000","11,094,000","8,016,000","5,114,000","3,178,000","4,445,000","1,296,000",,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0",,,,,,,"858,000","838,000","957,722","783,851","870,641","946,142","1,013,813"
		Inventory,"15,281,000","15,856,000","15,613,000","16,441,000","16,234,000","18,697,000","19,481,000","18,373,000","19,133,000","19,285,000","17,107,000","16,897,000","16,219,000","16,117,000","13,660,000","13,852,000","12,355,000","10,754,000","7,792,000","6,912,000","1,354,000",,,,,,,,,,,,,,,,,
			RawMaterials,"1,501,000","1,418,000","1,464,000","687,000","678,000","824,000","946,000","877,000","871,000","874,000","1,853,000","2,089,000","1,333,000","1,431,000","399,000","727,000","768,000","452,000","182,000",,,,,,,,,,,,,,,,,,,
