name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014
OperatingCashFlow,"736,604,000","64,469,000","552,017,000","210,211,000","-90,093,000","272,653,000","308,514,000","113,910,000","-115,240,000","176,911,000","97,615,000","122,352,000","-109,209,000","132,211,000","76,206,000","134,831,000","-118,974,000","109,933,000","72,995,000","128,674,000","-60,955,000","77,454,000","113,218,000","106,368,000","-67,776,000","48,028,000","24,536,000","47,444,000","-106,489,000","73,373,000","105,821,000","84,027,000","-66,714,000"
	CashFlowFromContinuingOperatingActivities,"736,604,000","64,469,000","552,017,000","210,211,000","-90,093,000","272,653,000","308,514,000","113,910,000","-115,240,000","176,911,000","97,615,000","122,352,000","-109,209,000","132,211,000","76,206,000","134,831,000","-118,974,000","109,933,000","72,995,000","128,674,000","-60,955,000","77,454,000","113,218,000","106,368,000","-67,776,000","48,028,000","24,536,000","47,444,000","-106,489,000","73,373,000","105,821,000","84,027,000","-66,714,000"
		NetIncomeFromContinuingOperations,"438,324,000","65,173,000","174,308,000","112,883,000","85,960,000","99,366,000","118,515,000","48,790,000","46,100,000","59,014,000","48,894,000","33,109,000","42,776,000","45,348,000","43,955,000","40,121,000","29,682,000","38,099,000","61,583,000","33,357,000","39,244,000","34,076,000","33,980,000","20,876,000","19,411,000","22,780,000","22,661,000","9,255,000","15,071,000","24,785,000","24,185,000","16,612,000","14,357,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,"355,000","481,000","-403,000","1,049,000","-177,000","-148,000","9,000"
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,"355,000","481,000","-403,000","1,049,000","-177,000","-148,000","9,000"
		DepreciationAmortizationDepletion,"48,537,000","19,948,000","20,074,000","4,344,000","4,171,000","3,937,000","3,949,000","3,670,000","3,672,000","5,011,000","4,336,000","3,981,000","3,963,000","3,666,000","3,635,000","3,706,000","3,468,000","1,785,000","1,971,000","2,175,000","1,974,000","1,955,000","2,845,000","1,814,000","2,239,000","2,433,000","1,921,000","1,713,000","1,432,000","1,322,000","1,390,000","1,406,000","1,390,000"
			DepreciationAndAmortization,"48,537,000","19,948,000","20,074,000","4,344,000","4,171,000","3,937,000","3,949,000","3,670,000","3,672,000","5,011,000","4,336,000","3,981,000","3,963,000","3,666,000","3,635,000","3,706,000","3,468,000","1,785,000","1,971,000","2,175,000","1,974,000","1,955,000","2,845,000","1,814,000","2,239,000","2,433,000","1,921,000","1,713,000","1,432,000","1,322,000","1,390,000","1,406,000","1,390,000"
		DeferredTax,"-71,068,000","-57,727,000","-5,273,000","-3,046,000","-5,022,000","-19,240,000","-7,575,000","1,972,000","3,606,000","-371,000","-2,712,000","-9,098,000","2,527,000","-5,280,000","-805,000","-5,196,000","594,000","-1,292,000","-5,698,000","-2,250,000","2,671,000","-6,015,000","2,856,000","-2,790,000","-144,000","-4,363,000","671,000","49,000","-522,000","-1,137,000","-6,221,000","-391,000","391,000"
			DeferredIncomeTax,"-71,068,000","-57,727,000","-5,273,000","-3,046,000","-5,022,000","-19,240,000","-7,575,000","1,972,000","3,606,000","-371,000","-2,712,000","-9,098,000","2,527,000","-5,280,000","-805,000","-5,196,000","594,000","-1,292,000","-5,698,000","-2,250,000","2,671,000","-6,015,000","2,856,000","-2,790,000","-144,000","-4,363,000","671,000","49,000","-522,000","-1,137,000","-6,221,000","-391,000","391,000"
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,"532,000","-685,000","2,406,000","-952,000","838,000","1,469,000","672,000"
		ProvisionandWriteOffofAssets,"3,718,000","-908,000","-933,000","5,189,000","370,000","2,461,000","1,646,000","1,240,000","1,943,000","4,801,000","200,000","-107,000","-21,000",,"370,000","229,000","384,000",,"534,000","365,000","614,000","1,564,000","1,000,000","705,000","739,000",,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,"4,228,000","1,764,000","1,889,000","189,000","386,000","494,000","140,000","89,000","-822,000","107,000","-3,000","-15,000","-164,000","-414,000",,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"91,875,000","19,477,000","19,152,000","18,956,000","34,290,000","15,642,000","12,642,000","16,941,000","17,196,000","16,554,000","16,682,000","18,347,000","12,762,000","12,021,000","13,781,000","13,569,000","17,190,000","1,186,000","22,363,000","13,006,000","10,556,000","6,503,000","10,872,000","10,640,000","11,342,000","9,686,000","10,054,000","8,085,000","7,232,000","6,093,000","6,381,000","3,485,000","7,241,000"
