name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,12/31/2019
TotalAssets,"474,472,000","426,414,000","382,805,000","273,716,000","252,259,000","195,310,000","189,497,000","187,607,000"
	CurrentAssets,"137,700,000","93,448,000","108,869,000","91,509,000","69,964,000","56,147,000","52,632,000","46,511,000"
		CashCashEquivalentsAndShortTermInvestments,"2,534,000","5,006,000","14,189,000","13,171,000","4,227,000","10,073,000","4,245,000","7,082,000"
			CashAndCashEquivalents,"2,534,000","5,006,000","14,189,000","13,171,000","4,227,000","10,073,000","4,245,000","7,082,000"
		Receivables,"73,036,000","45,032,000","55,142,000","49,774,000","38,133,000","30,798,000","36,960,000","29,797,000"
			AccountsReceivable,"56,887,000","31,499,000","44,588,000","42,977,000","28,138,000","27,004,000","28,379,000","27,292,000"
				GrossAccountsReceivable,"57,379,000","32,015,000","45,104,000","43,179,000","28,340,000","27,206,000","28,581,000","27,494,000"
				AllowanceForDoubtfulAccountsReceivable,"-492,000","-516,000","-516,000","-202,000","-202,000","-202,000","-202,000","-202,000"
			OtherReceivables,"16,149,000","13,533,000","10,554,000","6,797,000","9,995,000","3,794,000","8,581,000","2,505,000"
		Inventory,"49,479,000","38,368,000","27,832,000","21,272,000","21,092,000","15,121,000","11,299,000","8,834,000"
			RawMaterials,"49,479,000","38,368,000","27,832,000","21,272,000","21,092,000","15,121,000","11,299,000","8,834,000"
			FinishedGoods,,,,,,,"0","0"
			InventoriesAdjustmentsAllowances,,,,,"-2,269,000","-2,269,000","-2,569,000","-2,081,000"
		OtherCurrentAssets,"12,651,000","5,042,000","11,706,000","7,292,000","6,512,000","155,000","128,000","798,000"
	TotalNonCurrentAssets,"336,772,000","332,966,000","273,936,000","182,207,000","182,295,000","139,163,000","136,865,000","141,096,000"
		NetPPE,"16,032,000","15,574,000","14,358,000","13,622,000","13,160,000","12,763,000","12,704,000","10,947,000"
			GrossPPE,"22,057,000","21,174,000","19,534,000","18,349,000","17,476,000","16,832,000","16,377,000","13,591,000"
				Properties,"0","0","0","0","0","0","0","0"
				LandAndImprovements,"840,000","840,000","840,000","840,000","840,000","840,000","940,000","840,000"
				BuildingsAndImprovements,"8,630,000","7,801,000","6,638,000","5,992,000","5,621,000","5,621,000","5,521,000","4,965,000"
				MachineryFurnitureEquipment,"12,587,000","12,533,000","12,056,000","11,517,000","11,015,000","10,371,000","9,916,000","7,786,000"
			AccumulatedDepreciation,"-6,025,000","-5,600,000","-5,176,000","-4,727,000","-4,316,000","-4,069,000","-3,673,000","-2,644,000"
		GoodwillAndOtherIntangibleAssets,"132,402,000","134,672,000","136,829,000","118,172,000","120,168,000","122,164,000","124,161,000","130,149,000"
			Goodwill,"69,436,000","69,436,000","69,321,000","50,176,000","50,176,000","50,176,000","50,176,000","50,176,000"
			OtherIntangibleAssets,"62,966,000","65,236,000","67,508,000","67,996,000","69,992,000","71,988,000","73,985,000","79,973,000"
		NonCurrentDeferredAssets,"175,539,000","176,958,000","121,545,000","49,573,000","48,492,000",,,
			NonCurrentDeferredTaxesAssets,"175,539,000","176,958,000","121,545,000","49,573,000","48,492,000",,,
		OtherNonCurrentAssets,"12,799,000","5,762,000","1,204,000","840,000","475,000","4,236,000",,
TotalLiabilitiesNetMinorityInterest,"475,920,000","433,912,000","393,932,000","308,438,000","295,117,000","379,433,000","370,013,000","37,701,000"
	CurrentLiabilities,"38,708,000","31,554,000","35,776,000","27,223,000","24,975,000","24,101,000","23,434,000","24,541,000"
		PayablesAndAccruedExpenses,"36,708,000","29,554,000","33,776,000","23,723,000","21,475,000","20,601,000","16,534,000","11,647,000"
			Payables,"21,944,000","19,985,000","18,664,000","14,224,000","12,941,000","14,634,000","10,668,000","10,383,000"
				AccountsPayable,"17,879,000","19,985,000","18,664,000","14,224,000","12,941,000","14,634,000","10,668,000","10,383,000"
				OtherPayable,"4,065,000",,,,,,,
			CurrentAccruedExpenses,"14,764,000","9,569,000","15,112,000","9,499,000","8,534,000","5,967,000","5,866,000","1,264,000"
		CurrentDebtAndCapitalLeaseObligation,"2,000,000","2,000,000","2,000,000","3,500,000","3,500,000","3,500,000","6,900,000","12,894,000"
			CurrentDebt,"2,000,000","2,000,000","2,000,000","3,500,000","3,500,000","3,500,000","6,900,000","12,894,000"
				OtherCurrentBorrowings,"2,000,000","2,000,000","2,000,000","3,500,000","3,500,000","3,500,000","6,900,000","12,894,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"437,212,000","402,358,000","358,156,000","281,215,000","270,142,000","355,332,000","346,579,000","13,160,000"
		LongTermDebtAndCapitalLeaseObligation,"279,829,000","245,053,000","250,276,000","237,859,000","228,450,000","355,332,000","346,579,000","13,160,000"
			LongTermDebt,"279,829,000","245,053,000","250,276,000","237,859,000","228,450,000","355,332,000","346,579,000","13,160,000"
		TradeandOtherPayablesNonCurrent,"152,309,000","156,374,000","107,880,000","43,356,000","41,692,000",,,
		OtherNonCurrentLiabilities,"5,074,000","931,000",,,,,,
TotalEquityGrossMinorityInterest,"-1,448,000","-7,498,000","-11,127,000","-34,722,000","-42,858,000","-184,123,000","-180,516,000","149,906,000"
	StockholdersEquity,"7,885,000","2,553,000","855,000","-14,897,000","-20,265,000","-184,123,000","-180,516,000","149,906,000"
		CapitalStock,"2,000","2,000","2,000","2,000","2,000",,,
			PreferredStock,"0",,,"0","0",,,
			CommonStock,"2,000","2,000","2,000","2,000","2,000",,,
		AdditionalPaidInCapital,"98,376,000","95,684,000","92,149,000","78,883,000","78,073,000",,,
		RetainedEarnings,"-90,493,000","-93,133,000","-91,296,000","-93,782,000","-98,340,000",,,
	MinorityInterest,"-9,333,000","-10,051,000","-11,982,000","-19,825,000","-22,593,000",,,
TotalCapitalization,"287,714,000","247,606,000","251,131,000","222,962,000","208,185,000","171,209,000","166,063,000","163,066,000"
CommonStockEquity,"7,885,000","2,553,000","855,000","-14,897,000","-20,265,000","-184,123,000","-180,516,000","149,906,000"
NetTangibleAssets,"-124,517,000","-132,119,000","-135,974,000","-133,069,000","-140,433,000","-306,287,000","-304,677,000","19,757,000"
WorkingCapital,"98,992,000","61,894,000","73,093,000","64,286,000","44,989,000","32,046,000","29,198,000","21,970,000"
InvestedCapital,"289,714,000","249,606,000","253,131,000","226,462,000","211,685,000","358,832,000","353,479,000","26,054,000"
