name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
TotalRevenue,"24,610,000","5,935,000","4,856,000","10,622,000","0","2,660,000","3,243,000","3,355,000","0"
	OperatingRevenue,"24,610,000","5,935,000","4,856,000","10,622,000","0","2,660,000","3,243,000","3,355,000","0"
CostOfRevenue,"12,437,000","4,026,000","4,660,000","2,311,000","1,440,000","1,242,000","1,170,000","1,033,000",
GrossProfit,"12,173,000","1,909,000","196,000","8,311,000","1,757,000","1,418,000","2,073,000","2,322,000",
OperatingExpense,"175,403,000","38,674,000","38,447,000","45,962,000","1,538,681","25,157,000","20,448,000","20,327,000","208,233"
	SellingGeneralAndAdministration,"80,175,000","16,460,000","13,208,000","21,644,000","28,863,000","7,626,000","5,973,000","8,327,000",
	ResearchAndDevelopment,"93,036,000","21,673,000","24,687,000","23,765,000","22,911,000","16,990,000","13,924,000","11,217,000",
	DepreciationAmortizationDepletionIncomeStatement,"2,192,000","541,000","552,000","553,000","546,000","541,000","551,000","783,000",
		DepreciationAndAmortizationInIncomeStatement,"2,192,000","541,000","552,000","553,000","546,000","541,000","551,000","783,000",
			Amortization,"2,192,000","541,000","552,000","553,000","546,000","541,000","551,000","783,000",
				AmortizationOfIntangiblesIncomeStatement,"2,192,000","541,000","552,000","553,000","546,000","541,000","551,000","783,000",
	OtherOperatingExpenses,,,,,"1,538,681",,,,"208,233"
OperatingIncome,"-163,230,000","-36,765,000","-38,251,000","-37,651,000","-1,538,681","-23,739,000","-18,375,000","-18,005,000","-208,233"
NetNonOperatingInterestIncomeExpense,"-2,221,000","6,000","-751,000","-788,000","9,175","-612,000","-590,000","-614,000","497,975"
	InterestIncomeNonOperating,"198,000","6,000","8,000","55,000","9,175","140,000","134,000","92,000","497,975"
	InterestExpenseNonOperating,"2,419,000","0","759,000","843,000","817,000","752,000","724,000","706,000",
OtherIncomeExpense,"84,025,000","-26,108,000","34,982,000","88,377,000","-5,556,898","-57,188,000","22,806,000","-27,691,000","-12,437,750"
	GainOnSaleOfSecurity,"29,055,000","-20,932,000","11,224,000","39,937,000","-5,557,500","-36,505,000","-6,621,000","-36,960,000","-12,437,750"
	SpecialIncomeCharges,"56,952,000","-4,849,000","23,300,000","48,549,000","-10,048,000","-20,656,000","29,430,000","8,765,000",
		RestructuringAndMergernAcquisition,"-56,952,000","4,849,000","-23,300,000","-48,549,000","10,048,000","20,656,000","-29,430,000","-142,599,000",
		ImpairmentOfCapitalAssets,,,"0","0",,,"0","129,400,000",
		GainOnSaleOfBusiness,,,"0","0",,,"0","-4,434,000",
