name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,12/31/2002
TotalAssets,"1,095,001,000","1,102,090,000","1,071,069,000","1,034,110,000","1,036,644,000","1,045,002,000","1,064,925,000","1,070,643,000","1,071,326,000","1,056,260,000","1,011,760,000","1,013,188,000","1,018,655,000","1,028,872,000","1,060,446,000","1,059,950,000","1,071,247,000","1,071,732,000","1,070,148,000","1,071,405,000","856,834,000","855,209,000","858,487,000","786,023,000","782,961,000","783,877,000","783,628,000","685,603,000","639,355,000","634,297,000","545,472,000","505,125,000","504,692,000","507,974,000","454,632,000","451,491,000","405,831,000","385,371,000","365,886,000","278,637,000","274,742,000","273,493,000","248,690,000","252,128,000","195,394,000","196,445,000","198,365,000","176,292,000","177,587,000","182,000,000","184,914,000","187,355,000","187,670,000","177,945,000","167,547,000","169,009,000","175,147,000","175,144,000","176,217,000","169,360,000","170,617,000","167,087,000","167,955,012","171,047,101","171,372,946","171,462,049","155,093,203","146,938,951","145,928,629","142,616,940","141,525,438","133,590,789","145,502,645","134,066,391","121,092,550","121,515,904","126,963,776"
	CurrentAssets,"49,197,000","52,474,000","46,098,000","58,617,000","57,016,000","60,623,000","74,334,000","76,128,000","71,460,000","51,181,000","45,551,000","44,965,000","47,688,000","57,000,000","49,685,000","40,534,000","50,410,000","44,890,000","41,461,000","41,265,000","37,115,000","34,074,000","35,306,000","32,181,000","30,678,000","27,949,000","28,613,000","27,225,000","23,976,000","23,350,000","24,271,000","21,302,000","19,897,000","21,481,000","28,426,000","24,042,000","21,075,000","25,462,000","27,968,000","18,624,000","27,039,000","26,605,000","50,963,000","79,170,000","30,596,000","23,064,000","39,706,000","19,848,000","16,378,000","23,602,000","20,953,000","22,671,000","21,626,000","21,945,000","9,635,000","12,899,000","15,662,000","16,908,000","25,844,000","17,965,000","18,481,000","14,046,000","12,837,926","14,307,885","14,055,680","13,808,305","13,644,494","12,667,535","11,291,179","13,169,131","11,149,693","11,263,799","22,584,855","10,624,010","10,101,290","13,147,083","14,656,202"
		CashCashEquivalentsAndShortTermInvestments,"11,136,000","15,721,000","10,858,000","22,274,000","22,820,000","25,777,000","38,990,000","39,924,000","36,774,000","15,530,000","5,539,000","5,425,000","4,580,000","13,658,000","9,389,000","3,125,000","9,337,000","7,849,000","6,580,000","9,817,000","7,020,000","4,685,000","9,242,000","6,394,000","2,877,000","3,022,000","6,074,000","6,673,000","5,335,000","5,209,000","7,194,000","6,024,000","4,402,000","7,368,000","10,379,000","6,932,000","4,548,000","7,947,000","15,251,000","10,416,000","14,940,000","15,822,000","41,331,000","69,648,000","20,785,000","17,591,000","30,949,000","10,059,000","10,870,000","14,430,000","11,475,000","17,054,000","16,600,000","17,065,000","5,257,000","8,055,000","10,511,000","10,811,000","19,880,000","11,714,000","12,412,000","8,298,000","5,802,692","7,072,483","1,715,364","848,998","1,566,355","1,020,174","1,397,755","631,978","496,239","641,857","1,230,077","578,687","763,009","1,116,799","6,091,699"
			CashAndCashEquivalents,"11,136,000","15,721,000","10,858,000","22,274,000","22,820,000","25,777,000","38,990,000","39,924,000","36,774,000","15,530,000","5,539,000","5,425,000","4,580,000","13,658,000","9,389,000","3,125,000","9,337,000","7,817,000","6,338,000","9,267,000","6,503,000","4,168,000","8,786,000","5,927,000","2,447,000","2,587,000","5,660,000","6,251,000","4,320,000","4,236,000","6,268,000","5,042,000","3,442,000","6,491,000","9,506,000","6,020,000","2,843,000","6,544,000","8,339,000","3,863,000","8,288,000","5,695,000","32,660,000","57,776,000","18,334,000","17,591,000","26,617,000","3,910,000","4,762,000","6,275,000","6,721,000","14,018,000","14,782,000","12,989,000","5,257,000","8,055,000","10,511,000","10,811,000","19,880,000","11,714,000","12,412,000","8,298,000","4,421,731","2,657,866","1,715,364","848,998","1,566,355","1,020,174","1,397,755","631,978","496,239","641,857","1,230,077","578,687","763,009","1,116,799","6,091,699"
			OtherShortTermInvestments,,,,,,,,,,,,,,"0","0",,"0","32,000","242,000","550,000","517,000","517,000","456,000","467,000","430,000","435,000","414,000","422,000","1,015,000","973,000","926,000","982,000","960,000","877,000","873,000","912,000","1,705,000","1,403,000","6,912,000","6,553,000","6,652,000","10,127,000","8,671,000","11,872,000","2,451,000",,"4,332,000","6,149,000","6,108,000","8,155,000","4,754,000","3,036,000","1,818,000","4,076,000",,,,,,,,,"1,380,961","4,414,617",,,,,,,,,,,,,
		Receivables,"24,947,000","23,242,000","22,642,000","21,993,000","24,040,000","23,344,000","24,906,000","25,745,000","23,792,000","23,331,000","28,272,000","28,490,000","29,372,000","27,697,000","21,906,000","20,464,000","24,675,000","23,504,000","22,212,000","20,482,000","20,680,000","19,951,000","16,970,000","16,717,000","16,471,000","15,466,000","14,099,000","12,830,000","12,188,000","11,834,000","10,735,000","10,316,000","10,523,000","9,929,000","9,169,000","8,850,000","9,059,000","8,599,000","7,177,000","6,727,000","6,472,000","6,053,000","5,309,000","4,998,000","5,195,000","4,726,000","4,393,000","4,515,000","4,470,000","4,514,000","9,478,000","5,617,000","5,026,000","4,880,000","4,378,000","4,844,000","5,151,000","5,611,000","5,358,000","5,943,000","5,821,000","5,366,000","7,035,234","7,235,402","7,814,669","7,651,644","7,465,371","7,536,388","7,573,265","7,558,791","7,586,943","7,231,156","6,660,134","6,856,674","6,475,221","6,423,553","5,673,203"
			AccountsReceivable,"23,451,000","22,195,000","21,812,000","21,275,000","23,052,000","22,878,000","23,405,000","23,833,000","22,511,000","22,551,000","22,029,000","21,888,000","22,508,000","21,363,000","21,749,000","20,464,000","24,675,000","23,504,000","22,212,000","20,482,000","20,680,000","19,951,000","16,970,000","16,717,000","16,471,000","15,466,000","14,099,000","12,830,000","12,188,000","11,834,000","10,735,000","10,316,000","10,523,000","9,929,000","9,169,000","8,850,000","9,059,000","7,947,000","1,784,000","6,727,000","6,472,000","6,053,000","5,309,000","4,998,000","5,195,000","4,726,000","4,393,000","4,515,000","4,470,000","4,514,000","9,478,000","5,617,000","5,026,000","4,880,000","4,378,000","4,844,000","5,151,000","5,611,000","5,358,000","2,007,000","2,010,000","1,727,000","1,061,717","949,011","1,259,745","1,248,985","892,327","913,373","1,098,392","1,008,621","836,784","675,747","354,869","526,855","99,658","263,566","703,637"
				GrossAccountsReceivable,"38,797,000","37,091,000","37,731,000","37,461,000","39,844,000","39,304,000","38,870,000","38,131,000","34,456,000","33,724,000","32,710,000","32,189,000","32,654,000","31,109,000","31,040,000","29,533,000","34,219,000","32,651,000","30,416,000","28,523,000","28,427,000","27,209,000","24,837,000","24,044,000","23,456,000","22,113,000","20,092,000","18,323,000","17,336,000","16,798,000","15,647,000","14,907,000","14,549,000","13,626,000","12,680,000","11,820,000","11,658,000","10,232,000","3,767,000","8,351,000",,,"6,493,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-15,346,000","-14,896,000","-15,919,000","-16,186,000","-16,792,000","-16,426,000","-15,465,000","-14,298,000","-11,945,000","-11,173,000","-10,681,000","-10,301,000","-10,146,000","-9,746,000","-9,291,000","-9,069,000","-9,544,000","-9,147,000","-8,204,000","-8,041,000","-7,747,000","-7,258,000","-7,867,000","-7,327,000","-6,985,000","-6,647,000","-5,993,000","-5,493,000","-5,148,000","-4,964,000","-4,912,000","-4,591,000","-4,026,000","-3,697,000","-3,511,000","-2,970,000","-2,599,000","-2,285,000","-1,983,000","-1,624,000",,,"-1,184,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,"0","5,661,000","5,661,000","5,661,000","5,661,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
