name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,12/31/2006
TotalAssets,"1,895,000,000","2,169,000,000","2,134,000,000","2,245,000,000","2,203,000,000","2,193,000,000","2,117,000,000","2,102,000,000","2,151,000,000","2,057,000,000","1,979,000,000","2,123,000,000","2,286,000,000","2,360,000,000","2,136,000,000","2,203,000,000","2,355,000,000","2,556,000,000","2,307,000,000","2,338,000,000","2,483,000,000","2,413,000,000","2,314,000,000","2,382,000,000","2,464,000,000","2,530,000,000","2,609,000,000","2,735,000,000","3,103,000,000","3,132,000,000","3,018,000,000","3,136,000,000","3,178,000,000","3,096,000,000","3,118,000,000","3,042,000,000","3,017,000,000","3,066,000,000","3,051,000,000","2,915,000,000","2,812,000,000","2,616,000,000","2,486,000,000","2,461,000,000","2,359,000,000","1,883,000,000","1,755,000,000","1,662,000,000","1,576,000,000","1,569,000,000","1,539,000,000","1,504,000,000","1,459,000,000","1,430,000,000","1,296,000,000","1,352,000,000","1,302,000,000","1,294,000,000","1,075,000,000","1,003,000,000"
	CurrentAssets,"863,000,000","1,106,000,000","1,064,000,000","1,146,000,000","1,075,000,000","1,044,000,000","965,000,000","948,000,000","974,000,000","1,014,000,000","978,000,000","1,129,000,000","1,302,000,000","1,428,000,000","1,284,000,000","1,383,000,000","1,530,000,000","1,750,000,000","1,508,000,000","1,548,000,000","1,704,000,000","1,621,000,000","1,517,000,000","1,595,000,000","1,677,000,000","1,734,000,000","1,514,000,000","1,577,000,000","1,591,000,000","1,572,000,000","1,506,000,000","1,637,000,000","1,659,000,000","1,563,000,000","1,560,000,000","1,493,000,000","1,509,000,000","1,534,000,000","1,553,000,000","1,440,000,000","1,614,000,000","1,412,000,000","1,261,000,000","1,222,000,000","1,367,000,000","1,406,000,000","1,272,000,000","1,208,000,000","1,160,000,000","1,152,000,000","1,147,000,000","1,098,000,000","1,049,000,000","1,014,000,000","858,000,000","909,000,000","854,000,000","873,000,000","673,000,000","502,000,000"
		CashCashEquivalentsAndShortTermInvestments,"404,000,000","592,000,000","613,000,000","684,000,000","538,000,000","529,000,000","533,000,000","494,000,000","394,000,000","494,000,000","528,000,000","635,000,000","723,000,000","715,000,000","768,000,000","882,000,000","939,000,000","1,089,000,000","1,025,000,000","1,085,000,000","1,164,000,000","974,000,000","988,000,000","909,000,000","917,000,000","839,000,000","874,000,000","921,000,000","881,000,000","834,000,000","848,000,000","934,000,000","922,000,000","695,000,000","862,000,000","826,000,000","853,000,000","729,000,000","909,000,000","821,000,000","978,000,000","772,000,000","691,000,000","682,000,000","778,000,000","883,000,000","741,000,000","724,000,000","712,000,000","661,000,000","704,000,000","638,000,000","571,000,000","442,000,000","378,000,000","367,000,000","339,000,000","270,000,000","196,000,000","0"
			CashAndCashEquivalents,"404,000,000","592,000,000","613,000,000","684,000,000","538,000,000","529,000,000","533,000,000","494,000,000","394,000,000","494,000,000","528,000,000","635,000,000","723,000,000","715,000,000","768,000,000","882,000,000","939,000,000","1,089,000,000","1,025,000,000","1,085,000,000","1,164,000,000","974,000,000","988,000,000","909,000,000","917,000,000","839,000,000","874,000,000","921,000,000","881,000,000","834,000,000","848,000,000","934,000,000","922,000,000","695,000,000","862,000,000","826,000,000","853,000,000","729,000,000","909,000,000","821,000,000","978,000,000","772,000,000","691,000,000","682,000,000","778,000,000","883,000,000","741,000,000","724,000,000","712,000,000","661,000,000","704,000,000","638,000,000","506,000,000","402,000,000","328,000,000","317,000,000","339,000,000","270,000,000","196,000,000","0"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","65,000,000","40,000,000","50,000,000","50,000,000",,,,
		Receivables,"330,000,000","421,000,000","290,000,000","299,000,000","367,000,000","405,000,000","321,000,000","339,000,000","448,000,000","398,000,000","328,000,000","377,000,000","445,000,000","588,000,000","372,000,000","369,000,000","451,000,000","554,000,000","366,000,000","356,000,000","442,000,000","548,000,000","426,000,000","465,000,000","519,000,000","580,000,000","486,000,000","511,000,000","583,000,000","619,000,000","522,000,000","550,000,000","607,000,000","717,000,000","546,000,000","514,000,000","510,000,000","668,000,000","524,000,000","505,000,000","499,000,000","494,000,000","441,000,000","416,000,000","467,000,000","402,000,000","411,000,000","381,000,000","334,000,000","387,000,000","326,000,000","342,000,000","359,000,000","451,000,000","380,000,000","445,000,000","417,000,000","507,000,000","394,000,000","379,000,000"
			AccountsReceivable,"330,000,000","336,000,000","290,000,000","299,000,000","367,000,000","342,000,000","321,000,000","339,000,000","448,000,000","407,000,000","328,000,000","377,000,000","445,000,000","590,000,000","372,000,000","369,000,000","451,000,000","559,000,000","366,000,000","356,000,000","442,000,000","561,000,000","426,000,000","465,000,000","519,000,000","591,000,000","486,000,000","511,000,000","583,000,000","635,000,000","522,000,000","550,000,000","607,000,000","731,000,000","546,000,000","514,000,000","510,000,000","683,000,000","524,000,000","505,000,000","499,000,000","494,000,000","441,000,000","416,000,000","467,000,000","402,000,000","411,000,000","381,000,000","334,000,000","387,000,000","326,000,000","342,000,000","359,000,000","451,000,000","380,000,000","445,000,000","417,000,000","507,000,000","394,000,000","379,000,000"
				GrossAccountsReceivable,,"345,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"507,000,000",,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-9,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-13,000,000",,,,,,,,,,,,,,,,,,
			TaxesReceivable,,"85,000,000",,,,"74,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,"3,000,000",,,,"8,000,000",,,,"12,000,000",,,,"7,000,000",,,,"6,000,000",,,,"6,000,000",,,,"3,000,000",,,,"4,000,000",,,,"3,000,000",,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,"-14,000,000",,,,"-17,000,000",,,,"-14,000,000",,,,"-12,000,000",,,,"-19,000,000",,,,"-17,000,000",,,,"-19,000,000",,,,"-18,000,000",,,,"-18,000,000",,,,,,,,,,,,,,,,,,,,,,
		Inventory,"16,000,000","26,000,000","17,000,000","20,000,000","16,000,000","29,000,000","14,000,000","26,000,000","28,000,000","31,000,000","36,000,000","35,000,000","52,000,000","28,000,000","45,000,000","28,000,000","43,000,000","30,000,000","45,000,000","42,000,000","40,000,000","34,000,000","44,000,000","37,000,000","54,000,000","49,000,000","52,000,000","46,000,000","42,000,000","38,000,000","44,000,000","50,000,000","42,000,000","56,000,000","67,000,000","70,000,000","65,000,000","47,000,000","41,000,000","35,000,000","54,000,000","61,000,000","64,000,000","59,000,000","66,000,000","65,000,000","65,000,000","46,000,000","56,000,000","47,000,000","46,000,000","45,000,000","52,000,000","44,000,000","42,000,000","42,000,000","48,000,000","51,000,000","39,000,000","39,000,000"
			RawMaterials,"9,000,000","9,000,000","10,000,000","10,000,000","10,000,000","11,000,000","11,000,000","12,000,000","11,000,000","12,000,000","12,000,000","12,000,000","12,000,000","12,000,000","12,000,000","11,000,000","12,000,000","12,000,000","12,000,000","13,000,000","14,000,000","14,000,000","15,000,000","16,000,000","17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","23,000,000","21,000,000","21,000,000","21,000,000","22,000,000","20,000,000","21,000,000","20,000,000","24,000,000","25,000,000","28,000,000","26,000,000","24,000,000","22,000,000","22,000,000","20,000,000","19,000,000","22,000,000","21,000,000",,,,,,,
			FinishedGoods,"7,000,000","17,000,000","7,000,000","10,000,000","6,000,000","18,000,000","3,000,000","14,000,000","17,000,000","19,000,000","24,000,000","23,000,000","40,000,000","16,000,000","33,000,000","17,000,000","31,000,000","18,000,000","33,000,000","29,000,000","26,000,000","20,000,000","29,000,000","21,000,000","37,000,000","32,000,000","35,000,000","29,000,000","25,000,000","21,000,000","27,000,000","33,000,000","25,000,000","39,000,000","44,000,000","49,000,000","44,000,000","26,000,000","19,000,000","15,000,000","33,000,000","41,000,000","40,000,000","34,000,000","38,000,000","39,000,000","41,000,000","24,000,000","34,000,000","27,000,000","27,000,000","23,000,000","31,000,000","22,000,000","20,000,000","20,000,000","25,000,000","29,000,000","17,000,000",
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,000,000","22,000,000","22,000,000","23,000,000","22,000,000","22,000,000",
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"28,000,000",,,,"34,000,000",,,,"36,000,000",,,,,,,,,,,,,,,,"42,000,000",,,,"25,000,000",,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"28,000,000",,,,"34,000,000",,,,"36,000,000",,,,,,,,,,,,,,,,"42,000,000",,,,"25,000,000",,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,"0","0","0","130,000,000","139,000,000","214,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"113,000,000","67,000,000","144,000,000","143,000,000","154,000,000","81,000,000","97,000,000","89,000,000","104,000,000","91,000,000","86,000,000","82,000,000","82,000,000","97,000,000","99,000,000","104,000,000","97,000,000","77,000,000","72,000,000","65,000,000","58,000,000","65,000,000","59,000,000","54,000,000","48,000,000","52,000,000","102,000,000","99,000,000","85,000,000","53,000,000","92,000,000","103,000,000","88,000,000","61,000,000","85,000,000","83,000,000","81,000,000","54,000,000","79,000,000","79,000,000","83,000,000","85,000,000","65,000,000","65,000,000","56,000,000","56,000,000","55,000,000","57,000,000","58,000,000","57,000,000","71,000,000","73,000,000","67,000,000","35,000,000","58,000,000","55,000,000","50,000,000","20,000,000","44,000,000","84,000,000"
	TotalNonCurrentAssets,"1,032,000,000","1,063,000,000","1,070,000,000","1,099,000,000","1,128,000,000","1,149,000,000","1,152,000,000","1,154,000,000","1,177,000,000","1,043,000,000","1,001,000,000","994,000,000","984,000,000","931,000,000","852,000,000","820,000,000","825,000,000","806,000,000","799,000,000","790,000,000","779,000,000","792,000,000","797,000,000","787,000,000","787,000,000","796,000,000","1,095,000,000","1,158,000,000","1,512,000,000","1,560,000,000","1,512,000,000","1,499,000,000","1,519,000,000","1,532,000,000","1,558,000,000","1,550,000,000","1,508,000,000","1,532,000,000","1,498,000,000","1,475,000,000","1,198,000,000","1,204,000,000","1,225,000,000","1,239,000,000","992,000,000","477,000,000","483,000,000","454,000,000","416,000,000","417,000,000","392,000,000","406,000,000","410,000,000","416,000,000","438,000,000","443,000,000","448,000,000","421,000,000","402,000,000","501,000,000"
