name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
OperatingCashFlow,"35,393,000","1,294,000","13,934,000","5,753,000","14,412,000","13,066,000","5,579,000","17,558,000","12,973,000","15,156,000","9,938,000","9,541,000","8,638,000","6,448,000","12,652,000","10,227,000","11,666,000","5,694,000","7,295,000","2,324,000","10,260,000","6,186,000","883,000","1,207,000","226,000","5,752,000","-8,206,000","3,243,000","1,371,000","4,162,000","4,101,000","-3,501,000","5,416,000","2,620,000","6,459,000","3,882,000","20,040,000","10,237,000","11,268,000","10,371,000","5,350,000","17,432,000","14,268,000","10,677,000","19,594,000","28,859,000","20,874,000","8,844,000","8,546,000","13,886,000","4,269,000","11,808,000","6,668,000","16,531,000","9,632,000","-261,000"
	CashFlowFromContinuingOperatingActivities,"35,393,000","1,294,000","13,934,000","5,753,000","14,412,000","13,066,000","5,579,000","17,558,000","12,973,000","15,156,000","9,938,000","9,541,000","8,638,000","6,448,000","12,652,000","10,227,000","11,666,000","5,694,000","7,295,000","2,324,000","10,260,000","6,186,000","883,000","1,207,000","226,000","5,752,000","-8,206,000","3,243,000","1,371,000","4,162,000","4,101,000","-3,501,000","5,416,000","2,620,000","6,459,000","3,882,000","20,040,000","10,237,000","11,268,000","10,371,000","5,350,000","17,432,000","14,268,000","10,677,000","19,594,000","28,859,000","20,874,000","8,844,000","8,546,000","13,886,000","4,269,000","11,808,000","6,668,000","16,531,000","9,632,000","-261,000"
		NetIncomeFromContinuingOperations,"3,066,000","2,230,000","-5,628,000","3,093,000","3,371,000","5,037,000","466,000","14,681,000","1,502,000","13,919,000","1,549,000","1,132,000","3,416,000","941,000","52,826,000","5,297,000","5,421,000","7,117,000","1,947,000","1,445,000","-1,368,000","579,000","-7,850,000","-3,569,000","-4,407,000","-2,881,000","-6,053,000","-6,079,000","-5,028,000","-3,216,000","-5,477,000","-6,287,000","-98,763,000","-2,673,000","-44,029,000","-939,000","-1,582,000","-2,162,000","376,000",,,,,,,"6,339,000","6,928,000","7,501,000","6,411,000","5,250,000","2,410,000","6,513,000",,"6,393,000","2,350,000","3,304,000"
		OperatingGainsLosses,,,,,"0","0","0","-16,615,000","-2,759,000","-10,819,000",,,,,,,,,,,"-15,000","-11,000","0","-143,000","-21,000","-44,000","-51,000","-65,000","-32,000","-141,000","-708,000","-2,450,000",,,,,,,,,,,,,,,,,,"-10,000","0","-5,000",,,,"-81,000"
			GainLossOnSaleOfBusiness,"0","0","0","0","0","0","0","-16,615,000","-2,759,000","-10,819,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-10,000","0","-5,000",,,"81,000","-81,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,"-21,000",,,,"-3,363,000","32,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"16,851,000","4,247,000","4,213,000","4,200,000","4,191,000","3,874,000","4,003,000","4,133,000","2,959,000","2,851,000","2,854,000","2,812,000","2,595,000","2,361,000","2,371,000","1,648,000","1,790,000","1,906,000","1,810,000","2,261,000","2,394,000","2,660,000","2,950,000","3,373,000","3,650,000","3,721,000","3,772,000","3,944,000","4,089,000","4,370,000","4,986,000","5,422,000","6,142,000","6,611,000","6,668,000","6,676,000","6,659,000","7,208,000","10,179,000","8,279,000","8,493,000","8,032,000","7,517,000","7,108,000","7,020,000","7,632,000","6,723,000","5,897,000","5,113,000","5,075,000","4,651,000","3,952,000","3,592,000","4,035,000","4,237,000","4,114,000"
			DepreciationAndAmortization,"16,851,000","4,247,000","4,213,000","4,200,000","4,191,000","3,874,000","4,003,000","4,133,000","2,959,000","2,851,000","2,854,000","2,812,000","2,595,000","2,361,000","2,371,000","1,648,000","1,790,000","1,906,000","1,810,000","2,261,000","2,394,000","2,660,000","2,950,000","3,373,000","3,650,000","3,721,000","3,772,000","3,944,000","4,089,000","4,370,000","4,986,000","5,422,000","6,142,000","6,611,000","6,668,000","6,676,000","6,659,000","7,208,000","10,179,000","8,279,000","8,493,000","8,032,000","7,517,000","7,108,000","7,020,000","7,632,000","6,723,000","5,897,000","5,113,000","5,075,000","4,651,000","3,952,000","3,592,000","4,035,000","4,237,000","4,114,000"
		DeferredTax,"-1,674,000","-1,204,000","-2,170,000","555,000","1,145,000","757,000","-1,019,000","4,525,000","288,000","3,569,000","-427,000","116,000","2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
