name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986
TotalRevenue,"127,328,000","31,007,000","31,537,000","31,204,000","33,580,000","31,037,000","32,495,000","33,428,000","22,116,000","24,261,000","28,162,000","28,564,000","26,701,000","23,285,000","23,432,504","22,660,139","20,584,498","17,259,859","16,971,005","16,046,253","15,168,064","12,241,073","11,408,672","11,205,224","10,381,883","8,111,759","7,808,848","8,153,675","6,417,253","4,951,316","4,793,614","4,671,340","4,214,193","3,138,256","2,984,678","2,957,462","2,862,289","2,142,932","2,044,912","1,980,849","2,012,513","1,653,430","1,361,646","1,140,768","2,244,111","3,625,007","42,117","26,373","3,254","19,529","24,234,743","24,215","610,311","42,107","32,586","14,022","5,075","21,029",,,,,"0","34,383",,"92,277","254,157","68,717","39,182","81,296",,,"1,520,146","2,479,300","1,988,822","1,978,007","1,624,416","1,645,690","1,740,640","2,013,949","1,583,000","1,514,495","2,725,000","3,511,676","4,171,778","4,056,484","4,188,894","4,353,064","3,934,825","3,300,000","3,000,000","3,100,000","3,200,000","3,100,000","2,900,000","2,700,000","3,300,000","3,300,000","3,600,000","3,300,000","3,000,000","3,000,000","3,000,000","2,600,000","3,800,000","3,300,000","3,500,000","3,300,000","4,200,000","3,700,000","2,900,000","2,800,000","2,300,000","2,500,000","3,100,000","2,900,000","2,300,000","1,900,000","2,100,000","2,100,000","2,000,000","1,900,000","2,100,000","2,200,000","2,100,000","2,000,000","1,700,000","-13,100,000","10,400,000","7,500,000","1,900,000","1,600,000","1,600,000","1,700,000","1,500,000","1,600,000","1,400,000","1,400,000","1,400,000","1,100,000","1,200,000","1,200,000","1,200,000"
	OperatingRevenue,"127,328,000","31,007,000","31,537,000","31,204,000","33,580,000","31,037,000","32,495,000","33,428,000","22,116,000","24,261,000","28,162,000","28,564,000","26,701,000","23,285,000","23,432,504","22,660,139","20,584,498","17,259,859","16,971,005","16,046,253","15,168,064","12,241,073","11,408,672","11,205,224","10,381,883","8,111,759","7,808,848","8,153,675","6,417,253","4,951,316","4,793,614","4,671,340","4,214,193","3,138,256","2,984,678","2,957,462","2,862,289","2,142,932","2,044,912","1,980,849","2,012,513","1,653,430","1,361,646","1,140,768","2,244,111","3,625,007","42,117","26,373","3,254","19,529","24,234,743","24,215","610,311","42,107","32,586","14,022","5,075","21,029",,,,,"0","34,383",,"92,277","254,157","68,717","39,182","81,296",,,"1,520,146","2,479,300","1,988,822","1,978,007","1,624,416","1,645,690","1,740,640","2,013,949","1,583,000","1,514,495","2,725,000","3,511,676","4,171,778","4,056,484","4,188,894","4,353,064","3,934,825","3,300,000","3,000,000","3,100,000","3,200,000","3,100,000","2,900,000","2,700,000","3,300,000","3,300,000","3,600,000","3,300,000","3,000,000","3,000,000","3,000,000","2,600,000","3,800,000","3,300,000","3,500,000","3,300,000","4,200,000","3,700,000","2,900,000","2,800,000","2,300,000","2,500,000","3,100,000","2,900,000","2,300,000","1,900,000","2,100,000","2,100,000","2,000,000","1,900,000","2,100,000","2,200,000","2,100,000","2,000,000","1,700,000","-13,100,000","10,400,000","7,500,000","1,900,000","1,600,000","1,600,000","1,700,000","1,500,000","1,600,000","1,400,000","1,400,000","1,400,000","1,100,000","1,200,000","1,200,000","1,200,000"
CostOfRevenue,"23,305,000","5,546,000","5,428,000","5,239,000","7,092,000","5,172,000","5,463,000","5,697,000","5,605,000","4,816,000","4,881,000","4,510,000","4,244,000","3,714,000","3,640,395","3,464,010","3,106,215","2,712,380","2,614,458","2,504,278","2,277,201","1,915,648","1,829,804","1,697,443","1,534,412","1,405,591","1,415,258","1,410,416","1,039,841","982,881","956,884","896,178","887,820","701,300","596,070","650,212","633,293","560,243","478,567","542,235","501,917","439,158","533,132","1,130,332","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,"105,835",,,,"1,146,872","1,733,535","1,468,982","1,638,530","1,233,409","1,154,391","1,651,649","1,419,673","1,115,000","1,026,144","1,784,000","3,011,524","2,569,995","2,534,179","2,390,533","2,545,182","2,215,761","1,900,000","1,900,000","1,800,000","1,900,000","2,000,000","1,700,000","1,700,000","2,300,000","2,200,000","2,200,000","1,900,000","1,700,000","1,700,000","1,600,000","1,400,000","2,000,000","1,800,000","1,800,000","1,700,000","2,300,000","2,200,000","1,400,000","1,600,000","1,400,000","1,500,000","1,700,000","1,900,000","1,300,000","1,100,000","1,000,000","1,300,000","1,000,000","1,000,000","1,200,000","1,400,000","1,300,000","1,100,000","900,000","-6,700,000","5,200,000","4,200,000","1,000,000",,,,,,,,,,,,
GrossProfit,"104,023,000","25,461,000","26,109,000","25,965,000","26,488,000","25,865,000","27,032,000","27,731,000","16,511,000","19,445,000","23,281,000","24,054,000","22,457,000","19,571,000","19,792,109","19,196,129","17,478,283","14,547,479","14,356,547","13,541,975","12,890,863","10,325,425","9,578,868","9,507,781","8,847,471","6,706,168","6,393,590","6,743,259","5,377,412","3,968,435","3,836,730","3,775,162","3,326,373","2,436,956","2,388,608","2,307,250","2,228,996","1,582,689","1,566,345","1,438,614","1,510,596","1,214,272","828,514","10,436","2,244,111","3,625,007","42,117","26,373","3,254","19,529","24,234,743","24,215","610,311","42,107",,,,,,,,,,,,,,,"-66,653",,,,"373,274","745,765","519,840","339,477","391,007","491,299","88,991","594,276","468,000","488,351","941,000","500,152","1,601,783","1,522,305","1,798,361","1,807,882","1,719,064","1,400,000","1,100,000","1,300,000","1,300,000","1,100,000","1,200,000","1,000,000","1,000,000","1,100,000","1,400,000","1,400,000","1,300,000","1,300,000","1,400,000","1,200,000","1,800,000","1,500,000","1,700,000","1,600,000","1,900,000","1,500,000","1,500,000","1,200,000","900,000","1,000,000","1,400,000","1,000,000","1,000,000","800,000","1,100,000","800,000","1,000,000","900,000","900,000","800,000","800,000","900,000","800,000","-6,400,000","5,200,000","3,300,000","900,000",,,,,,,,,,,,
OperatingExpense,"134,539,000","36,781,000","31,462,000","32,654,000","33,642,000","32,085,000","32,406,000","28,776,000","24,765,000","27,954,000","30,700,000","30,166,000","30,129,000","29,774,000","25,647,860","24,030,710","22,295,910","19,539,520","16,163,523","15,040,400","14,336,516","13,525,657","12,298,269","10,689,468","10,453,441","9,328,972","9,045,501","8,661,085","7,530,681","6,512,139","6,545,729","5,578,066","5,624,117","5,428,098","5,185,936","4,584,244","4,423,325","3,906,243","3,797,415","3,481,602","3,097,399","3,155,347","2,817,638","2,636,870","1,730,922","2,137,987","563,568","639,878","341,877","394,475","8,151,786","155,221","471,489","177,099","155,304","599,869","186,417","187,912","130,309","469,283","171,558","129,202","177,818","96,308","106,062","143,850","116,582","87,850",,"459,607","884,291","141,137","371,769","666,089","710,281","676,249","818,277","781,974","746,688","930,198","1,198,000","1,256,619","2,135,000","2,200,376","2,038,087","2,162,630","2,361,233","2,636,884","2,356,317","2,200,000","1,800,000","1,800,000","1,600,000","1,800,000","1,400,000","1,200,000","1,300,000","1,200,000","1,200,000","1,200,000","1,300,000","1,500,000","1,400,000","1,200,000","1,600,000","2,200,000","1,700,000","2,000,000","1,600,000","1,500,000","1,500,000","1,200,000","800,000","800,000","900,000","800,000","800,000","800,000","800,000","500,000","700,000","600,000","600,000","500,000","600,000","700,000","500,000","-4,200,000","3,800,000","2,100,000","700,000",,,,,,,,,,,,
	SellingGeneralAndAdministration,"109,835,000","30,506,000","25,160,000","26,250,000","27,919,000","26,337,000","27,475,000","24,546,000","20,694,000","23,340,000","25,788,000","25,985,000","25,847,000","25,635,000","21,841,395","20,723,854","19,694,673","17,481,078","14,191,954","13,245,108","12,815,393","12,114,521","11,119,767","9,571,110","9,516,618","8,350,632","8,151,780","7,725,070","6,794,282","5,841,103","5,562,007","4,896,836","5,068,359","4,615,483","4,559,364","3,990,601","3,925,007","3,499,300","3,424,093","3,091,207","2,730,036","2,859,216","2,429,021","2,515,461",,,,,,,,,,,,"599,869","186,417","187,912","130,309","469,283","171,558","129,202","177,818","96,308","106,062","143,850","116,582","87,850",,"459,607","884,291","141,137","250,208","518,849","543,265","565,214","721,028","680,442","650,000","821,072","1,082,000","1,086,594","1,918,000","1,761,349","1,818,851","1,773,441","1,981,037","2,186,315","1,884,018","1,600,000","1,300,000","1,200,000","1,200,000","1,300,000","900,000","800,000","800,000","700,000","800,000","700,000","700,000","900,000","600,000","500,000","800,000","1,500,000","900,000","1,100,000","1,000,000","900,000","800,000","600,000","400,000","700,000","800,000","600,000","700,000","700,000","700,000","500,000","600,000","500,000","500,000","400,000","600,000","600,000","400,000","-3,500,000","3,000,000","1,900,000","600,000",,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"33,592,000","9,618,000","7,426,000","7,880,000","8,669,000","8,364,000","7,670,000","6,820,000","6,404,000","5,502,000","6,984,000","7,740,000","7,380,000","9,201,000","6,372,962","6,070,547","5,668,764","5,011,727","4,071,349","3,778,612","3,377,105","3,504,039","2,770,561","2,481,051","2,736,255","2,144,757","2,319,808","2,212,457","1,982,020","1,908,581","1,694,808","1,645,859","1,713,447","1,894,776","1,477,381","1,233,360","1,398,619","1,605,759","1,447,940","1,393,890","1,148,161","1,230,608","-631,666","2,016,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,189,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"33,592,000","9,618,000","7,426,000","7,880,000","8,669,000","8,364,000","7,670,000","6,820,000","6,404,000","5,502,000","6,984,000","7,740,000","7,380,000","9,201,000","6,372,962","6,070,547","5,668,764","5,011,727","4,071,349","3,778,612","3,377,105","3,504,039","2,770,561","2,481,051","2,736,255","2,144,757","2,319,808","2,212,457","1,982,020","1,908,581","1,694,808","1,645,859","1,713,447","1,894,776","1,477,381","1,233,360","1,398,619","1,605,759","1,447,940","1,393,890","1,148,161","1,230,608","2,309,864","827,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"76,243,000","20,888,000","17,734,000","18,370,000","19,250,000","17,973,000","19,805,000","17,726,000","14,290,000","17,838,000","18,804,000","18,245,000","18,467,000","16,434,000","15,468,433","14,653,307","14,025,909","12,469,351","10,120,605","9,466,496","9,438,288","8,610,482","8,349,206","7,090,059","6,780,363","6,205,875","5,831,972","5,512,613","4,812,262","3,932,522","3,867,199","3,250,977","3,354,912","2,720,707","3,081,983","2,757,241","2,526,388","1,893,541","1,976,153","1,697,317","1,581,875","1,628,608","3,060,687","499,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
