name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
MarketCap,"1,837,373,570","3,184,325,032","5,011,879,104","5,867,549,353","5,676,768,921","6,600,166,030","4,549,162,295","2,821,868,319","1,168,479,295","567,766,970","739,553,785","542,102,828","686,464,164","662,837,425","429,112,442","1,119,879,720","637,359,740","619,344,518","410,369,311","180,202,212","148,791,143","191,158,460","208,052,396","278,944,323","89,479,370","55,375,541","42,141,283","36,920,337","37,218,147","19,426,763","14,327,238","13,471,823","16,578,510","11,998,412","47,795,318"
EnterpriseValue,"1,708,298,570","3,077,164,032","4,915,009,104","5,760,756,353","5,573,107,921","6,500,843,030","4,458,129,295","2,759,219,319","1,125,318,295","528,944,067","706,117,223","510,865,377","665,983,945","661,282,321","427,557,338","1,118,324,616","635,804,636","615,996,608","407,021,401","178,647,108","147,022,477","189,509,630","207,108,300","278,058,130","89,054,869","54,803,727","41,692,379","36,678,930","37,082,411","19,135,276","14,120,422","13,328,111","16,539,443","11,960,243","47,631,692"
PeRatio,"22.759","41.51","71.681","94.69","162.313","216.905","185.647","366.727",,,,,,,,,,,,,,,,,,,,,"183.643","199.203",,,,,
ForwardPeRatio,,,,,,,,,,,,"166.667",,,,"454.546",,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,"45.975",,,,,,,,,,,,,,,,,,,
PsRatio,"0.46","0.885","1.628","2.288","2.848","3.839","3.079","2.324","1.017","0.54","0.811","0.688","1.1","1.254","1.003","3.518","3.118","4.525","3.115","1.963","2.085","3.441","4.82","7.976","3.287","2.355","2.21","2.347","2.699","1.548","1.086","14.331","17.658","23.561",
PbRatio,"7.519","14.333","26.58","34.277","39.806","46.617","41.016","36.026","20.95","10.925","16.476","13.333","22.11","22.169","18.148","72.493","112.598","134.373","90.299","46.997","54.649","75.646","102.586","218.927","131.302","90.471","67.294","100.887","118.59","46.962","65.847","120.641","1,203.696","637.637","1,466.384"
EnterprisesValueRevenueRatio,"0.407","3.044","4.564","5.188","5.574","11.135","7.317","4.892","3.183","1.949","2.577","1.81","2.497","4.211","2.843","7.112","4.87","9.941","8.77","3.714","3.715","8.61","11.507","17.647","6.705","7.673","6.501","4.944","6.64","5.548","3.969","3.437","4.659","5.017","19.109"
EnterprisesValueEBITDARatio,"42.117","480.807","1,498.478","447.924","309.273","1,041.969","493.265","170.039","121.788","493.879","374.178","-510.781","-410.297","-116.873","-87.381","-254.739","-368.619","-58.764","-23.496","-23.308","44.03","-6,283.893","-43.885","-18.999","-14.878","-91.155","-41.103","24.178","-7.442","2,514.491","210.957","243.112","407.436","-104.523","-290.794"
