name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015
TotalRevenue,"350,912,000","94,943,000","82,477,000","91,915,000","81,577,000","79,187,000","77,237,000","78,489,000","74,934,000","74,564,000","76,231,000","72,863,000","79,109,000","71,541,000","75,092,000","74,888,000","71,108,000","70,119,000","72,021,000","69,469,000","71,354,000","56,980,000","44,606,000","44,519,000","44,047,000","43,446,000","42,902,000","43,323,000","43,269,000"
	OperatingRevenue,"350,912,000","94,943,000","82,477,000","91,915,000","81,577,000","79,187,000","77,237,000","78,489,000","74,934,000","74,564,000","76,231,000","72,863,000","79,109,000","71,541,000","66,908,000","66,407,000","61,765,000","61,077,000","63,397,000","62,287,000","62,841,000","51,739,000","41,353,000","41,357,000","41,176,000","40,500,000","40,216,000","40,218,000","40,216,000"
CostOfRevenue,"61,131,000","19,139,000","15,279,000","13,384,000","13,329,000","13,439,000","13,247,000","14,226,000","12,541,000","12,282,000","14,344,000","12,398,000","13,137,000","12,836,000","14,059,000","13,497,000","13,157,000","13,355,000","12,598,000","10,760,000","12,194,000","7,042,000","3,483,000","3,511,000","3,283,000","3,337,000","3,207,000","3,525,000","3,439,000"
GrossProfit,"289,781,000","75,804,000","67,198,000","78,531,000","68,248,000","65,748,000","63,990,000","64,263,000","62,393,000","62,282,000","61,887,000","60,465,000","65,972,000","58,705,000","61,033,000","61,391,000","57,951,000","56,764,000","59,423,000","58,709,000","59,160,000","49,938,000","41,123,000","41,008,000","40,764,000","40,109,000","39,695,000","39,798,000","39,830,000"
OperatingExpense,"206,797,000","55,845,000","49,399,000","52,380,000","49,173,000","50,436,000","47,340,000","48,416,000","52,472,000","49,779,000","46,090,000","43,236,000","46,968,000","47,206,000","47,728,000","54,858,000","47,787,000","47,609,000","52,184,000","51,368,000","50,925,000","41,072,000","31,494,000","32,944,000","32,502,000","33,371,000","33,094,000","32,407,000","33,034,000"
	SellingGeneralAndAdministration,"70,964,000","18,157,000","16,444,000","19,618,000","16,745,000","18,117,000","14,610,000","13,465,000","17,029,000","15,444,000","14,288,000","13,335,000","16,044,000","15,120,000","15,090,000","19,526,000","12,349,000","11,110,000","11,205,000","10,236,000","10,487,000","9,594,000","6,828,000","7,498,000","6,964,000","7,878,000","7,708,000","7,020,000","7,648,000"
		GeneralAndAdministrativeExpense,"70,964,000","18,157,000","16,444,000","19,618,000","16,745,000","18,117,000","14,610,000","13,465,000","17,029,000","15,444,000","14,288,000","13,335,000","16,044,000","15,120,000","15,090,000","19,526,000","12,349,000","11,110,000","11,205,000","10,236,000","10,487,000","9,594,000","6,828,000","7,498,000","6,964,000","7,878,000","7,708,000","7,020,000","7,648,000"
			SalariesAndWages,"16,415,000","3,498,000","3,485,000","4,149,000","5,283,000","4,347,000","3,343,000","3,235,000","3,247,000","3,211,000","3,211,000","3,217,000","3,268,000","3,021,000","2,666,000","2,150,000",,,,,,,,,,,,,
			OtherGandA,"54,549,000","14,659,000","12,959,000","15,469,000","11,462,000","13,770,000","11,267,000","10,230,000","13,782,000","12,233,000","11,077,000","10,118,000","12,776,000","12,099,000","12,424,000","17,376,000","12,349,000","11,110,000","11,205,000","10,236,000","10,487,000","9,594,000","6,828,000","7,498,000","6,964,000","7,878,000","7,708,000","7,020,000","7,648,000"
	DepreciationAmortizationDepletionIncomeStatement,"135,833,000","37,688,000","32,955,000","32,762,000","32,428,000","32,319,000","32,730,000","34,951,000","35,443,000","34,335,000","31,802,000","29,901,000","30,924,000","32,086,000","32,638,000","35,332,000","35,438,000","36,499,000","40,979,000","41,132,000","40,438,000","31,478,000","24,666,000","25,446,000","25,538,000","25,493,000","25,386,000","25,387,000","25,386,000"
