name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
TotalRevenue,"83,616,000","7,349,000","19,607,000","26,740,000","29,920,000","45,690,000","56,139,000","48,250,000","45,384,000","-114,621,000","-24,261,000","29,785,000","19,965,000","22,180,000","7,621,000","14,107,000","28,434,000","26,257,000","14,697,000","10,646,000","9,577,000","19,273,000","6,534,000","4,896,000","9,609,000","-19,092,000","6,370,000","7,389,000","16,370,000","22,720,000","6,789,000","16,369,000","24,346,000","25,199,000","17,002,000","13,750,000","13,660,000","42,353,000","9,613,000","42,295,000","15,999,000","34,996,000","4,223,000","1,833,000","1,653,973","14,814,425","17,728,757","21,633,398","6,980,140","11,242,255","18,282,802","41,555,143","47,350,187","17,095,802","-12,825,611","4,333,023","20,419,642","-3,449,941"
	OperatingRevenue,"83,616,000","7,349,000","19,607,000","26,740,000","29,920,000","45,690,000","56,139,000","48,250,000","45,384,000","-114,621,000","-24,261,000","29,785,000","19,965,000","22,180,000","7,621,000","14,107,000","28,434,000","26,257,000","14,697,000","10,646,000","9,577,000","19,273,000","6,534,000","4,896,000","9,609,000","-19,092,000","6,370,000","7,389,000","16,370,000","22,720,000","6,789,000","16,369,000","24,346,000","25,199,000","17,002,000","13,750,000","13,660,000","42,353,000","9,613,000","42,295,000","15,999,000","34,996,000","4,223,000","1,833,000","1,653,973","14,814,425","17,728,757","21,633,398","6,980,140","11,242,255","18,282,802","41,555,143","47,350,187","17,095,802","-12,825,611","4,333,023","20,419,642","-3,449,941"
OperatingExpense,"42,610,000","15,301,000","11,080,000","7,317,000","8,913,000","9,052,000","9,017,000","7,497,000","9,046,000","7,771,000","-27,806,000","22,311,000","8,287,000","7,489,000","8,691,000","6,633,000","6,250,000","4,933,000","6,499,000","4,051,000","4,136,000","3,543,000","4,603,000","4,346,000","4,607,000","4,094,000","4,509,000","3,462,000","3,147,000","3,303,000","4,030,000","3,222,000","3,142,000","2,361,000","1,914,000","1,927,000","1,955,000","1,607,000","1,666,000",,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"21,295,000","5,370,000","6,857,000","4,581,000","4,488,000","4,981,000","4,498,000","4,033,000","3,537,000","4,452,000","4,237,000","3,794,000","3,469,000","4,024,000","4,332,000","3,794,000","3,819,000","2,967,000","191,000","3,378,000","3,569,000","3,080,000","4,227,000","3,757,000","3,995,000","3,574,000","4,046,000","3,096,000","2,835,000","2,936,000","3,878,000","2,864,000","2,797,000","2,034,000","1,476,000","1,404,000","1,523,000","1,279,000","-15,548,000","12,430,000","4,903,000","2,663,000","2,261,000","2,536,000","2,617,427","3,153,805","3,996,145","5,072,352","2,757,743","2,313,161","2,886,631","10,832,709","10,826,611","2,199,535","1,829,262","1,978,335","3,820,525","1,747,576"
		GeneralAndAdministrativeExpense,"21,295,000","5,370,000","6,857,000","4,581,000","4,488,000","4,981,000","4,498,000","4,033,000","3,537,000","4,452,000","4,237,000","3,794,000","3,469,000","4,024,000","4,332,000","3,794,000","3,819,000","2,967,000","191,000","3,378,000","3,569,000","3,080,000","4,227,000","3,757,000","3,995,000","3,574,000","4,046,000","3,096,000","2,835,000","2,936,000","3,878,000","2,864,000","2,797,000","2,034,000","1,476,000","1,404,000","1,523,000","1,279,000","-15,548,000","12,430,000","4,903,000","2,663,000","2,261,000","2,536,000","2,617,427","3,153,805","3,996,145","5,072,352","2,757,743","2,313,161","2,886,631","10,832,709","10,826,611","2,199,535","1,829,262","1,978,335","3,820,525","1,747,576"
			SalariesAndWages,,,,,,,,,,,"1,342,000","808,000","903,000","1,072,000","639,000","808,000","823,000","676,000","2,572,000","97,000","95,000","94,000","100,000","101,000","99,000","100,000","99,000","98,000","98,000","98,000","76,000","65,000","64,000","63,000","50,000","43,000","43,000","42,000","-1,093,000","354,000","396,000","477,000","239,000","526,000","508,490",,"251,593","669,533",,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,"120,000",,,"121,000","120,000","120,000","125,000","120,000","120,000","120,000","136,000","146,000","144,000","150,000","156,000","159,000","162,000","143,000","177,000","161,000","191,000","193,000","189,000","177,000","176,000","173,000","180,000","189,000","177,000","177,000","177,000","178,000","176,000","190,564","166,563","269,363","285,000","285,000",,,"151,638","109,066","109,067","82,241","154,516","108,750","108,750"
			OtherGandA,,,,,,,,,,,"2,663,000","186,000","1,661,000","1,722,000","185,000","186,000","1,958,000","1,635,000","-8,669,000","3,075,000","3,189,000","3,126,000","3,036,000","3,430,000","3,550,000","3,536,000","3,628,000","3,619,000","3,637,000","4,160,000","3,965,000","5,750,000","3,507,000","3,465,000","6,539,000","5,646,000","4,704,000","5,009,000","11,393,000","11,899,000","4,330,000","2,009,000","1,844,000","1,834,000","1,918,373","2,987,242","3,475,189","4,117,819","2,472,743",,"-368,685","10,681,071","10,717,545","2,090,468","-642,415","1,823,819","3,711,775","1,638,826"
	OtherOperatingExpenses,"14,432,000","7,371,000","2,866,000","1,182,000","3,013,000","2,651,000","3,556,000","2,379,000","4,568,000","2,531,000","-33,886,000","17,878,000","3,915,000","2,393,000","3,932,000","2,200,000","1,774,000","1,456,000","4,267,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"41,006,000","-7,952,000","8,527,000","19,423,000","21,007,000","36,638,000","47,122,000","40,753,000","36,338,000","-122,392,000","3,545,000","7,474,000","11,678,000","14,691,000","-1,070,000","7,474,000","22,184,000","21,324,000","8,198,000","6,595,000","5,441,000","15,730,000","1,931,000","550,000","5,002,000","-23,186,000","1,861,000","3,927,000","13,223,000","19,417,000","2,759,000","13,147,000","21,204,000","22,838,000","15,088,000","11,823,000","11,705,000","40,746,000","24,786,000",,,,,,,,,,,,,,,,,,,
