name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
OperatingCashFlow,"-48,831,000","-12,460,000","-14,843,000","-9,225,000","-12,303,000","-7,165,000","-4,757,000","-3,776,000","-3,817,000","-6,988,000","-6,041,000","-5,145,000","-3,945,000","-5,708,000","-5,697,000","-2,349,000","-3,455,000","-4,350,000","-4,186,000","-3,057,000","-5,337,000","-8,047,000","-4,311,000","-4,840,000","-5,861,000","-5,504,000","-7,148,000","-6,127,000","-5,396,000","-9,489,000","-6,384,000","-7,386,000","-12,234,000","-12,986,000","-15,328,000","-12,533,000","-10,181,000","-9,006,000","-20,746,000","-22,885,000","-7,530,000","-16,897,000","-7,851,000","-5,837,000","-9,319,000","-10,604,000","-5,026,000","-6,520,000","-4,641,000","-4,709,000","-5,023,000","-4,702,000","-3,463,000","-2,911,000"
	CashFlowFromContinuingOperatingActivities,"-48,831,000","-12,460,000","-14,843,000","-9,225,000","-12,303,000","-7,165,000","-4,757,000","-3,776,000","-3,817,000","-6,988,000","-6,041,000","-5,145,000","-3,945,000","-5,708,000","-5,697,000","-2,349,000","-3,455,000","-4,350,000","-4,186,000","-3,057,000","-5,337,000","-8,047,000","-4,311,000","-4,840,000","-5,861,000","-5,504,000","-7,148,000","-6,127,000","-5,396,000","-9,489,000","-6,384,000","-7,386,000","-12,234,000","-12,986,000","-15,328,000","-12,533,000","-10,181,000","-9,006,000","-20,746,000","-22,885,000","-7,530,000","-16,897,000","-7,851,000","-5,837,000","-9,319,000","-10,604,000","-5,026,000","-6,520,000","-4,641,000","-4,709,000","-5,023,000","-4,702,000","-3,463,000","-2,911,000"
		NetIncomeFromContinuingOperations,"-64,819,000","-15,673,000","-16,513,000","-14,380,000","-18,253,000","-10,057,000","-18,054,000","-6,836,000","-6,043,000","-9,253,000","-6,815,000","-8,619,000","-7,090,000","-6,136,000","-7,102,000","-6,880,000","-11,492,000","-2,502,000","-4,386,000","-4,153,000","-10,157,000","-5,934,000","-2,289,000","-9,849,000","-21,485,000","-3,605,000","-7,962,000","-6,519,000","-14,370,000","-7,343,000","-11,079,000","-938,000","-17,156,000","-11,972,000","-17,329,000","-15,885,000","-15,222,000","-18,370,000","-13,177,000","-12,051,000","-16,177,000","-19,307,000",,"-12,305,000","-12,466,000","-9,283,000","-6,344,000","-17,308,000","-8,601,000","-7,859,000","-7,060,000","-5,386,000","-3,522,000","-3,917,000"
		OperatingGainsLosses,,,"-4,000","177,000","4,270,000","53,000","9,196,000","-247,000","213,000","93,000","10,000","-17,000","-150,000","-247,000","-356,000","2,000","4,028,000","-3,335,000","4,000","-1,248,000","1,448,000","-33,000","-4,171,000","-1,159,000","13,015,000","-5,248,000","1,999,000","0","-1,775,000","-285,000","0",,"0","0","2,445,000","-1,619,000","626,000","926,000","-2,040,000","-15,641,000","437,000","-201,000","1,585,000","-1,049,000","-274,000","-80,000","-1,460,000","1,982,000","660,000","590,000","102,000","-43,000","-2,000","455,000"
			GainLossOnSaleOfPPE,,,,,,,"587,000","0",,,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","11,000","0","0","0","0","0","12,000","0","10,000","0"
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,"0","0","0","0","0","0","2,181,000","21,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,"-6,000","-43,000","53,000","8,609,000","-247,000","175,000","93,000","-13,000","2,000","-150,000","-247,000","-356,000","2,000","4,028,000","-3,335,000",,,,,,,,,,,,,,,,,"2,445,000","-1,619,000","-2,023,000","1,330,000","-17,040,000","-641,000","437,000","-201,000","1,585,000","-1,049,000",,,,,,,,,,
		DepreciationAmortizationDepletion,"5,421,000","1,442,000","1,556,000","1,200,000","1,223,000","1,149,000","1,151,000","1,476,000","1,629,000","1,649,000","1,807,000","1,628,000","1,609,000","1,612,000","1,617,000","1,618,000","1,639,000","1,646,000","1,647,000","1,653,000","1,665,000","1,676,000","1,709,000","1,756,000","1,661,000","1,621,000","1,676,000","1,616,000","1,619,000","1,662,000","1,666,000","1,610,000","778,000","826,000","835,000","864,000","845,000","849,000","776,000","898,000","851,000","788,000","1,228,000","1,196,000","1,163,000","1,013,000","1,015,000","634,000","730,000","809,000","681,000","353,000","240,000","237,000"
			DepreciationAndAmortization,"5,421,000","1,442,000","1,556,000","1,200,000","1,223,000","1,149,000","1,151,000","1,476,000","1,629,000","1,649,000","1,807,000","1,628,000","1,609,000","1,612,000","1,617,000","1,618,000","1,639,000","1,646,000","1,647,000","1,653,000","1,665,000","1,676,000","1,709,000","1,756,000","1,661,000","1,621,000","1,676,000","1,616,000","1,619,000","1,662,000","1,666,000","1,610,000","778,000","826,000","835,000","864,000","845,000","849,000","776,000","898,000","851,000","788,000","1,228,000","1,196,000","1,163,000","1,013,000","1,015,000","634,000","730,000","809,000","681,000","353,000","240,000","237,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,486,000","1,009,000",,,,,,,,"892,000",,,,,,,,,,,,,,
