name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003
TotalAssets,"33,162,200,000","19,671,900,000","19,372,200,000","18,940,500,000","18,443,400,000","17,648,700,000","17,069,500,000","16,471,400,000","14,411,400,000","14,644,200,000","14,701,600,000","14,414,600,000","13,498,200,000","13,300,200,000","13,355,800,000","12,235,700,000","12,273,400,000","12,213,255,000","12,206,473,000","12,236,342,000","9,061,234,000","9,063,895,000","8,973,847,000","8,605,376,000","8,690,680,000","8,728,196,000","8,604,530,000","8,386,218,000","8,528,542,000","8,609,936,000","8,481,352,000","7,651,379,000","7,617,825,000","7,564,651,000","7,500,100,000","7,291,508,000","7,439,317,000","7,721,761,000","7,461,152,000","7,305,176,000","7,394,306,000","7,325,527,000","7,307,154,000","7,202,791,000","7,429,126,000","7,500,970,000","7,329,201,000","7,225,376,000","7,215,640,000","7,137,653,000","6,923,218,000","6,776,918,000","6,722,837,000","6,628,347,000","6,363,964,000","6,284,356,000","5,216,797,000","5,011,607,000","4,934,826,000","4,959,855,000","4,974,134,000","4,823,959,000","4,780,673,000","4,632,647,000","4,562,313,000","4,457,739,000","4,277,610,000","4,201,211,000","4,217,293,000","4,063,162,000","4,002,056,000","3,883,535,000","3,879,744,000"
TotalLiabilitiesNetMinorityInterest,"29,721,100,000","17,685,300,000","17,387,400,000","16,969,600,000","16,510,000,000","15,688,900,000","15,091,900,000","14,472,500,000","12,455,300,000","12,630,300,000","12,719,000,000","12,466,000,000","11,761,300,000","11,606,300,000","11,701,400,000","10,777,400,000","10,841,000,000","10,785,639,000","10,787,063,000","10,830,964,000","8,059,638,000","8,081,302,000","7,991,343,000","7,640,251,000","7,748,666,000","7,777,703,000","7,665,955,000","7,461,363,000","7,614,092,000","7,701,012,000","7,595,488,000","6,812,853,000","6,792,187,000","6,763,070,000","6,707,240,000","6,521,554,000","6,667,944,000","6,970,575,000","6,663,282,000","6,518,841,000","6,615,031,000","6,554,507,000","6,539,199,000","6,443,446,000","6,687,429,000","6,764,168,000","6,584,498,000","6,485,188,000","6,483,073,000","6,563,219,000","6,352,534,000","6,223,050,000","6,174,752,000","6,089,285,000","5,861,875,000","5,779,904,000","4,772,354,000","4,570,492,000","4,508,203,000","4,538,238,000","4,563,759,000","4,435,477,000","4,415,209,000","4,273,000,000","4,212,466,000","4,115,573,000","3,951,490,000","3,890,260,000","3,908,967,000","3,760,863,000","3,720,341,000","3,599,564,000","3,605,518,000"
TotalEquityGrossMinorityInterest,"3,441,100,000","1,986,600,000","1,984,800,000","1,970,900,000","1,933,400,000","1,959,800,000","1,977,600,000","1,998,900,000","1,956,100,000","2,013,900,000","1,982,600,000","1,948,600,000","1,736,900,000","1,693,900,000","1,654,400,000","1,458,300,000","1,432,400,000","1,427,616,000","1,419,410,000","1,405,378,000","1,001,596,000","982,593,000","982,504,000","965,125,000","942,014,000","950,493,000","938,575,000","924,855,000","914,450,000","908,924,000","885,864,000","838,526,000","825,638,000","801,581,000","792,860,000","769,954,000","771,373,000","751,186,000","797,870,000","786,335,000","779,275,000","771,020,000","767,955,000","759,345,000","741,697,000","736,802,000","744,703,000","740,188,000","732,567,000","574,434,000","570,684,000","553,868,000","548,085,000","539,062,000","502,089,000","504,452,000","444,443,000","441,115,000","426,623,000","421,617,000","410,375,000","388,482,000","365,464,000","359,647,000","349,847,000","342,166,000","326,120,000","310,951,000","308,326,000","302,299,000","281,715,000","283,971,000","274,226,000"
	StockholdersEquity,"3,441,100,000","1,986,600,000","1,984,800,000","1,970,900,000","1,933,400,000","1,959,800,000","1,977,600,000","1,998,900,000","1,956,100,000","2,013,900,000","1,982,600,000","1,948,600,000","1,736,900,000","1,693,900,000","1,654,400,000","1,458,300,000","1,432,400,000","1,427,616,000","1,419,410,000","1,405,378,000","1,001,596,000","982,593,000","982,504,000","965,125,000","942,014,000","950,493,000","938,575,000","924,855,000","914,450,000","908,924,000","885,864,000","838,526,000","825,638,000","801,581,000","792,860,000","769,954,000","771,373,000","751,186,000","797,870,000","786,335,000","779,275,000","771,020,000","767,955,000","759,345,000","741,697,000","736,802,000","744,703,000","740,188,000","732,567,000","574,434,000","570,684,000","553,868,000","548,085,000","539,062,000","502,089,000","504,452,000","444,443,000","441,115,000","426,623,000","421,617,000","410,375,000","388,482,000","365,464,000","359,647,000","349,847,000","342,166,000","326,120,000","310,951,000","308,326,000","302,299,000","281,715,000","283,971,000","274,226,000"
		CapitalStock,"2,668,600,000","945,000,000","943,600,000","941,600,000","938,500,000","941,100,000","976,800,000","1,021,200,000","1,018,700,000","1,049,300,000","1,047,800,000","1,045,600,000","866,600,000","866,700,000","865,500,000","690,700,000","688,000,000","686,991,000","686,508,000","685,289,000","297,173,000","296,071,000","293,960,000","290,366,000","288,782,000","311,720,000","309,167,000","313,125,000","310,544,000","323,596,000","321,132,000","283,697,000","286,553,000","285,535,000","283,352,000","279,232,000","274,929,000","271,335,000","320,553,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,,"0"
			PreferredStock,"0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,,"0"
			CommonStock,"2,668,600,000","945,000,000","943,600,000","941,600,000","938,500,000","941,100,000","976,800,000","1,021,200,000","1,018,700,000","1,049,300,000","1,047,800,000","1,045,600,000","866,600,000","866,700,000","865,500,000","690,700,000","688,000,000","686,991,000","686,508,000","685,289,000","297,173,000","296,071,000","293,960,000","290,366,000","288,782,000","311,720,000","309,167,000","313,125,000","310,544,000","323,596,000","321,132,000","283,697,000","286,553,000","285,535,000","283,352,000","279,232,000","274,929,000","271,335,000","270,553,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270,553,000","269,698,000","268,411,000","266,842,000","266,317,000","265,639,000","264,932,000","264,174,000","263,719,000","263,317,000","262,366,000","112,135,000","113,313,000","111,150,000","112,515,000","117,613,000","114,177,000","118,675,000","29,773,000","38,395,000","43,308,000","46,215,000","45,477,000","46,707,000","42,880,000","42,944,000","43,569,000","43,695,000","36,466,000","36,609,000","36,803,000","37,342,000","32,245,000","32,365,000","33,187,000"
		RetainedEarnings,"974,500,000","1,052,600,000","1,026,900,000","1,005,200,000","988,200,000","962,100,000","938,900,000","912,500,000","897,600,000","953,600,000","921,400,000","892,500,000","874,700,000","851,800,000","828,300,000","802,600,000","776,700,000","752,588,000","731,879,000","718,093,000","707,016,000","694,650,000","679,722,000","664,337,000","648,631,000","638,367,000","623,967,000","612,875,000","599,727,000","587,862,000","572,362,000","560,469,000","546,444,000","532,087,000","517,456,000","499,761,000","483,904,000","463,860,000","458,506,000","448,372,000","441,370,000","435,144,000","427,556,000","421,309,000","417,117,000","413,253,000","408,036,000","404,985,000","403,991,000","397,224,000","390,095,000","382,153,000","373,193,000","362,477,000","340,502,000","327,854,000","416,425,000","406,419,000","392,470,000","380,164,000","372,039,000","350,416,000","338,364,000","326,926,000","314,843,000","304,288,000","292,839,000","283,784,000","275,172,000","266,478,000","258,547,000","249,133,000","242,105,000"
		GainsLossesNotAffectingRetainedEarnings,"-202,000,000","-11,000,000","14,300,000","24,100,000","6,700,000","56,600,000","61,900,000","65,200,000","39,800,000","11,000,000","13,400,000","10,500,000","-4,400,000","-24,600,000","-39,400,000","-35,000,000","-32,300,000","-11,963,000","1,023,000","1,996,000","-2,593,000","-8,128,000","8,822,000","10,422,000","4,601,000","406,000","5,441,000","-1,145,000","4,179,000","-2,534,000","-7,630,000","-5,640,000","-7,359,000","-16,041,000","-7,948,000","-9,039,000","12,540,000","15,991,000","18,811,000","18,265,000","19,494,000","19,034,000","24,082,000","22,397,000","9,648,000","9,375,000","22,948,000","21,886,000","16,210,000","15,075,000","17,276,000","10,565,000","12,377,000","8,972,000","-2,590,000","7,923,000","-1,755,000","-3,699,000","-9,155,000","-4,762,000","-7,141,000","-8,641,000","-15,780,000","-10,223,000","-8,565,000","-5,817,000","-3,185,000","-9,442,000","-3,649,000","-1,521,000","-9,077,000","2,473,000","-1,066,000"
			UnrealizedGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-330,000","-368,000","-444,000","-500,000","-425,000","-462,000","-433,000",,
			OtherEquityAdjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-7,141,000","-8,641,000","-15,780,000","-10,223,000","-8,235,000","-5,449,000","-2,741,000","-8,942,000","-3,224,000","-1,059,000","-8,644,000",,
TotalCapitalization,"3,724,600,000","2,185,000,000","2,184,200,000","2,170,300,000","2,132,800,000","2,158,100,000","2,177,000,000","2,198,100,000","2,056,900,000","2,113,500,000","2,083,400,000","2,051,300,000","1,839,600,000","1,795,300,000","1,765,200,000","1,556,500,000","1,530,600,000","1,543,228,000","1,539,934,000","1,530,891,000","1,112,068,000","1,091,529,000","1,092,938,000","1,075,545,000","1,052,431,000","1,059,275,000","1,064,151,000","1,050,403,000","1,039,979,000","1,027,834,000","1,027,596,000","957,916,000","945,029,000","919,286,000","912,475,000","889,572,000","891,008,000","869,120,000","917,517,000","905,993,000","940,181,000","931,935,000","929,139,000","920,540,000","902,903,000","898,019,000","905,931,000","901,926,000","895,316,000","771,502,000","771,890,000","757,227,000","753,796,000","746,925,000","714,649,000","725,662,000","552,683,000","487,862,000","473,734,000","474,092,000","473,214,000","458,284,000","460,630,000","455,176,000","445,739,000","440,421,000","427,038,000","412,232,000","411,490,000","386,072,000","365,950,000","372,068,000","363,054,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000",,,,,,,,,,,,,,,,,
CommonStockEquity,"3,441,100,000","1,986,600,000","1,984,800,000","1,970,900,000","1,933,400,000","1,959,800,000","1,977,600,000","1,998,900,000","1,956,100,000","2,013,900,000","1,982,600,000","1,948,600,000","1,736,900,000","1,693,900,000","1,654,400,000","1,458,300,000","1,432,400,000","1,427,616,000","1,419,410,000","1,405,378,000","1,001,596,000","982,593,000","982,504,000","965,125,000","942,014,000","950,493,000","938,575,000","924,855,000","914,450,000","908,924,000","885,864,000","838,526,000","825,638,000","801,581,000","792,860,000","769,954,000","771,373,000","751,186,000","747,870,000","736,335,000","729,275,000","721,020,000","717,955,000","709,345,000","691,697,000","686,802,000","694,703,000","690,188,000","682,567,000","524,434,000","520,684,000","503,868,000","498,085,000","489,062,000","452,089,000","454,452,000","444,443,000","441,115,000","426,623,000","421,617,000","410,375,000","388,482,000","365,464,000","359,647,000","349,847,000","342,166,000","326,120,000","310,951,000","308,326,000","302,299,000","281,715,000","283,971,000","274,226,000"
CapitalLeaseObligations,,"1,000,000",,,,"1,100,000",,,,"1,200,000",,,,"1,300,000",,,,,,,,"1,517,000",,,,"1,582,000",,,,"1,643,000",,,,"1,692,000",,,,"1,735,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"2,161,200,000","1,295,500,000","1,292,500,000","1,275,800,000","1,235,200,000","1,263,000,000","1,278,100,000","1,296,200,000","1,247,500,000","1,300,000,000","1,265,200,000","1,228,600,000","1,108,100,000","1,062,600,000","1,021,700,000","941,100,000","914,300,000","909,033,000","899,039,000","884,499,000","760,304,000","741,668,000","741,816,000","735,671,000","712,197,000","719,760,000","707,405,000","694,253,000","683,554,000","676,030,000","653,187,000","637,599,000","624,326,000","599,843,000","590,796,000","567,749,000","569,112,000","548,923,000","595,572,000","584,030,000","576,767,000","568,435,000","564,654,000","554,374,000","536,299,000","531,135,000","537,290,000","530,611,000","521,946,000","362,885,000","355,705,000","338,019,000","337,452,000","331,705,000","277,203,000","288,182,000","385,091,000","381,336,000","367,519,000","363,878,000","349,919,000","326,921,000","303,915,000","298,586,000","289,137,000","282,761,000","268,547,000","253,322,000","251,095,000","245,550,000","224,240,000","229,027,000","218,757,000"
InvestedCapital,"3,724,600,000","2,185,000,000","2,184,200,000","2,170,300,000","2,132,800,000","2,158,100,000","2,177,000,000","2,198,100,000","2,056,900,000","2,113,500,000","2,083,400,000","2,051,300,000","1,839,600,000","1,795,300,000","1,765,200,000","1,556,500,000","1,530,600,000","1,543,228,000","1,539,934,000","1,530,891,000","1,112,068,000","1,091,529,000","1,092,938,000","1,075,545,000","1,052,431,000","1,059,275,000","1,064,151,000","1,050,403,000","1,039,979,000","1,027,834,000","1,027,596,000","957,916,000","945,029,000","919,286,000","912,475,000","889,572,000","891,008,000","869,120,000","867,523,000","856,000,000","890,187,000","881,942,000","884,261,000","875,980,000","858,425,000","853,010,000","861,605,000","859,122,000","851,161,000","726,925,000","727,656,000","765,610,000","761,965,000","776,141,000","794,937,000","687,692,000","561,413,000","496,026,000","478,430,000","474,312,000","478,908,000","464,225,000","503,827,000","455,818,000","453,234,000","446,856,000","434,606,000","416,233,000","419,485,000","394,123,000","374,216,000","379,467,000","370,191,000"
TangibleBookValue,"2,161,200,000","1,295,500,000","1,292,500,000","1,275,800,000","1,235,200,000","1,263,000,000","1,278,100,000","1,296,200,000","1,247,500,000","1,300,000,000","1,265,200,000","1,228,600,000","1,108,100,000","1,062,600,000","1,021,700,000","941,100,000","914,300,000","909,033,000","899,039,000","884,499,000","760,304,000","741,668,000","741,816,000","735,671,000","712,197,000","719,760,000","707,405,000","694,253,000","683,554,000","676,030,000","653,187,000","637,599,000","624,326,000","599,843,000","590,796,000","567,749,000","569,112,000","548,923,000","545,572,000","534,030,000","526,767,000","518,435,000","514,654,000","504,374,000","486,299,000","481,135,000","487,290,000","480,611,000","471,946,000","312,885,000","305,705,000","288,019,000","287,452,000","281,705,000","227,203,000","238,182,000","385,091,000","381,336,000","367,519,000","363,878,000","349,919,000","326,921,000","303,915,000","298,586,000","289,137,000","282,761,000","268,547,000","253,322,000","251,095,000","245,550,000","224,240,000","229,027,000","218,757,000"
TotalDebt,"283,500,000","199,400,000","199,400,000","199,400,000","199,400,000","199,400,000","199,400,000","199,200,000","100,800,000","100,800,000","100,800,000","102,700,000","102,700,000","102,700,000","110,800,000","98,200,000","98,200,000","115,612,000","120,524,000","125,513,000","110,472,000","110,453,000","110,434,000","110,420,000","110,417,000","110,364,000","125,576,000","125,548,000","125,529,000","120,553,000","141,732,000","119,390,000","119,391,000","119,397,000","119,615,000","119,618,000","119,635,000","119,669,000","119,653,000","119,665,000","160,912,000","160,922,000","166,306,000","166,635,000","166,728,000","166,208,000","166,902,000","168,934,000","168,594,000","202,491,000","206,972,000","261,742,000","263,880,000","287,079,000","342,848,000","233,240,000","116,970,000","54,911,000","51,807,000","52,695,000","68,533,000","75,743,000","138,363,000","96,171,000","103,387,000","104,690,000","108,486,000","105,282,000","111,159,000","91,824,000","92,501,000","95,496,000","95,965,000"
NetDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,854,000",,"80,551,000","127,483,000",,,,,,,,,,,,,,,,,,
ShareIssued,"109,503,010","62,200,456","62,231,143","62,240,231","62,230,343","62,095,799","63,114,931","64,560,704","64,552,581","65,246,339","65,229,761","65,228,818","60,836,119","60,623,247","60,609,549","56,760,542","56,699,415","56,465,559","56,455,888","56,445,267","45,144,008","44,926,146","44,879,998","44,746,214","44,707,485","45,428,225","45,345,007","45,506,583","45,429,468","45,788,415","45,672,922","44,255,012","44,390,095","44,155,063","44,089,962","43,835,881","43,614,942","43,290,323","43,252,383","43,228,750","43,190,975","42,987,526","42,979,732","42,964,921","42,961,253","42,800,694","42,798,040","42,803,349","42,776,940","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292"
OrdinarySharesNumber,"109,503,010","62,200,456","62,231,143","62,240,231","62,230,343","62,095,799","63,114,931","64,560,704","64,552,581","65,246,339","65,229,761","65,228,818","60,836,119","60,623,247","60,609,549","56,760,542","56,699,415","56,465,559","56,455,888","56,445,267","45,144,008","44,926,146","44,879,998","44,746,214","44,707,485","45,428,225","45,345,007","45,506,583","45,429,468","45,788,415","45,672,922","44,255,012","44,390,095","44,155,063","44,089,962","43,835,881","43,614,942","43,290,323","43,252,383","43,228,750","43,190,975","42,987,526","42,979,732","42,964,921","42,961,253","42,800,694","42,798,040","42,803,349","42,776,940","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292","41,243,292"
PreferredSharesNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000",,,,,,,,,,,,,,,,,
