name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalAssets,"342,853,000","381,590,000","225,256,000","280,461,000","278,606,000","353,258,000","250,969,000","330,352,000","179,642,000","214,447,000","255,270,000","308,814,000","236,482,000","143,451,000","174,030,000","210,881,000","244,188,000","277,835,000","313,093,000","185,242,000","214,612,000","245,213,000","263,791,000","277,466,000","286,036,000","295,572,000","306,394,000","315,958,000","325,221,000","143,344,000","60,530,000","69,287,000","70,223,000","78,293,860","86,575,812","19,534,137","22,265,076","7,312,441","99,430,000","38,153,000","44,272,000","51,407,000","57,087,000","64,305,000","72,220,000","78,340,000","84,963,000","68,280,000","72,396,000","77,877,000","82,872,000","25,877,000","30,488,711"
	CurrentAssets,"290,819,000","328,972,000","170,668,000","275,174,000","272,575,000","345,896,000","242,803,000","321,371,000","172,629,000","211,714,000","253,460,000","307,121,000","235,221,000","142,632,000","168,210,000","188,883,000","201,408,000","203,924,000","206,823,000","170,948,000","188,013,000","213,577,000","213,467,000","209,088,000","197,054,000","214,394,000","218,845,000","225,713,000","279,826,000","106,767,000","54,579,000","61,319,000","58,279,000","60,619,649","72,964,046","19,389,123","22,123,319","7,138,406","93,818,000","32,603,000","38,448,000","45,263,000","50,499,000","57,342,000","64,833,000","71,286,000","77,825,000","61,477,000","65,487,000","71,340,000","76,404,000","23,084,000","28,107,216"
		CashCashEquivalentsAndShortTermInvestments,"218,502,000","259,333,000","103,672,000","219,186,000","217,939,000","304,962,000","215,748,000","300,736,000","157,317,000","200,781,000","243,861,000","301,226,000","228,528,000","136,023,000","159,218,000","180,173,000","197,223,000","200,199,000","203,371,000","167,408,000","181,884,000","211,583,000","210,101,000","207,178,000","194,470,000","212,261,000","215,596,000","224,782,000","278,108,000","105,841,000","52,961,000","59,724,000","56,702,000","60,062,484","71,895,828","16,626,859","20,886,216","6,511,521","92,392,000","32,225,000","37,858,000","44,853,000","49,746,000","56,762,000","63,923,000","70,286,000","76,985,000","60,721,000","64,661,000","70,228,000","75,638,000","22,685,000","27,698,068"
			CashAndCashEquivalents,"150,364,000","208,892,000","103,672,000","219,186,000","217,939,000","304,962,000","215,748,000","298,489,000","149,386,000","166,130,000","211,978,000","274,344,000","174,836,000","36,973,000","26,755,000","24,380,000","30,823,000","34,468,000","21,024,000","20,373,000","19,867,000","38,165,000","47,140,000","48,768,000","37,207,000","77,336,000","80,824,000","129,787,000","208,641,000","85,038,000","40,232,000","47,944,000","48,638,000","56,537,361","71,895,828","16,626,859","20,886,216","6,511,521","64,685,000","28,206,000","31,605,000","40,499,000","41,386,000","45,678,000","63,923,000","70,286,000","76,985,000","53,687,000","64,661,000","70,228,000","75,638,000","22,685,000","27,698,068"
			OtherShortTermInvestments,"68,138,000","50,441,000",,,,"0","0","2,247,000","7,931,000","34,651,000","31,883,000","26,882,000","53,692,000","99,050,000","132,463,000","155,793,000","166,400,000","165,731,000","182,347,000","147,035,000","162,017,000","173,418,000","162,961,000","158,410,000","157,263,000","134,925,000","134,772,000","94,995,000","69,467,000","20,803,000","12,729,000","11,780,000","8,064,000","3,525,123",,,,,"27,707,000","4,019,000","6,253,000","4,354,000","8,360,000","11,084,000",,,,"7,034,000",,,,,
		Receivables,"25,116,000","22,934,000","21,710,000","21,854,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccountsReceivable,"25,116,000","22,934,000","21,710,000","21,854,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"35,654,000","34,394,000","33,972,000","23,714,000","20,030,000","16,136,000","9,061,000","8,248,000","1,841,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RawMaterials,"33,846,000","31,850,000","30,282,000","21,293,000","17,505,000","13,788,000","4,103,000","4,961,000","1,143,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"440,000","663,000","1,302,000","703,000","2,078,000","2,028,000","4,541,000","2,869,000","523,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
