name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
TotalAssets,"2,634,160,000","2,639,565,000","2,284,161,000","2,288,873,000","2,200,399,000","2,213,664,000","2,194,448,000","2,174,769,000","2,230,454,000","2,107,914,000","2,077,839,000","2,040,014,000","2,023,654,000","1,803,871,000","1,795,531,000","1,805,779,000","1,801,606,000","1,744,475,000","1,667,643,000","1,630,873,000","1,611,379,000","1,598,464,000","1,556,720,000","1,539,448,000","1,526,166,000","1,506,424,000","1,519,737,000","1,524,144,000","1,484,046,000","1,487,402,000","1,508,509,000","1,537,027,000","1,691,025,000","1,723,402,000","1,864,392,000","1,819,299,000","1,836,345,000","1,841,909,000","1,808,867,000","1,769,600,000","1,804,722,000","1,760,206,000","1,753,818,000","1,772,361,000","1,692,242,000","1,590,477,000","1,504,004,000","1,476,159,000","1,358,193,000","1,100,747,000","1,031,123,000","1,028,588,000","1,069,555,000","1,021,712,000","950,638,000","948,765,000","944,587,000","937,503,000","812,377,000","818,887,000","608,046,000","613,252,000","571,762,000","579,324,000","581,868,000","555,985,000","567,050,000","543,483,000","485,159,000","467,582,000","458,976,000","446,574,000","448,889,000","436,134,000","413,009,000","385,555,000","377,070,000","364,388,000","266,219,000","254,895,000","246,700,000"
	CurrentAssets,"593,819,000","597,521,000","591,746,000","583,627,000","487,145,000","496,379,000","546,919,000","523,533,000","572,328,000","454,734,000","433,576,000","437,849,000","537,518,000","439,985,000","422,723,000","429,674,000","424,014,000","367,164,000","497,210,000","459,624,000","437,436,000","421,313,000","384,644,000","363,642,000","392,873,000","369,172,000","377,155,000","383,571,000","420,486,000","419,144,000","436,086,000","458,519,000","687,797,000","750,245,000","767,597,000","721,026,000","733,852,000","745,152,000","706,655,000","668,476,000","712,214,000","688,066,000","744,602,000","763,732,000","705,850,000","630,236,000","670,190,000","639,670,000","520,369,000","496,611,000","426,415,000","424,298,000","463,862,000","425,823,000","364,138,000","381,700,000","376,033,000","364,619,000","305,578,000","310,238,000","290,571,000","294,910,000","273,044,000","280,772,000","283,447,000","257,562,000","267,136,000","244,368,000","277,432,000","249,032,000","241,590,000","231,803,000","237,119,000","233,393,000","210,509,000","185,449,000","181,444,000","229,911,000","162,776,000","214,678,000","207,598,000"
		CashCashEquivalentsAndShortTermInvestments,"60,286,000","53,374,000","145,414,000","64,874,000","6,924,000","41,193,000","101,712,000","29,668,000","88,604,000","8,854,000","33,313,000","5,924,000","120,535,000","5,294,000","14,951,000","7,197,000","10,382,000","9,451,000","148,737,000","108,210,000","91,627,000","64,936,000","70,901,000","40,117,000","60,404,000","41,314,000","51,191,000","4,312,000","43,628,000","23,781,000","54,639,000","30,675,000","275,629,000","269,001,000","258,666,000","193,578,000","172,301,000","134,896,000","208,930,000","124,661,000","119,277,000","114,483,000","181,894,000","206,950,000","72,980,000","84,829,000","152,137,000","162,274,000","5,564,000","86,190,000","51,830,000","33,441,000","9,598,000","4,375,000","6,955,000","10,014,000","9,984,000","8,048,000","3,538,000","3,634,000","34,117,000","41,484,000","47,337,000","3,135,000","4,788,000","5,662,000","13,288,000","7,489,000","64,642,000","22,935,000","17,030,000","6,609,000","4,547,000","9,166,000","19,810,000","20,413,000","12,651,000","81,096,000","22,399,000","84,916,000","81,324,000"
			CashAndCashEquivalents,"60,286,000","53,374,000","145,414,000","64,874,000","6,924,000","41,193,000","101,712,000","29,668,000","88,604,000","8,854,000","33,313,000","5,924,000","120,535,000","5,294,000","14,951,000","7,197,000","10,382,000","9,451,000","148,737,000","108,210,000","91,627,000","64,936,000","70,901,000","40,117,000","60,404,000","41,314,000","51,191,000","4,312,000","43,628,000","23,781,000","54,639,000","30,675,000","275,629,000","269,001,000","258,666,000","193,578,000","172,301,000","134,896,000","208,930,000","124,661,000","119,277,000","114,483,000","181,894,000","206,950,000","72,980,000","84,829,000","152,137,000","162,274,000","5,564,000","86,190,000","51,830,000","33,441,000","9,598,000","4,375,000","6,955,000","10,014,000","9,984,000","8,048,000","3,538,000","3,634,000","34,117,000","41,484,000","47,337,000","3,135,000","4,788,000","5,662,000","13,288,000","7,489,000","64,642,000","22,935,000","17,030,000","6,609,000","4,547,000","9,166,000","19,810,000","20,413,000","12,651,000","81,096,000","22,399,000","84,916,000","81,324,000"
		Receivables,"480,763,000","498,175,000","407,241,000","475,565,000","443,094,000","422,589,000","410,676,000","449,604,000","450,255,000","420,972,000","367,042,000","393,062,000","390,851,000","405,378,000","367,569,000","370,864,000","364,180,000","311,410,000","321,081,000","318,128,000","315,595,000","320,677,000","292,292,000","299,090,000","311,554,000","304,253,000","303,418,000","355,798,000","358,366,000","377,156,000","367,399,000","408,063,000","392,232,000","457,898,000","491,275,000","512,010,000","541,996,000","548,309,000","474,844,000","521,109,000","569,591,000","540,468,000","541,133,000","541,848,000","620,730,000","528,765,000","503,464,000","466,092,000","503,984,000","399,239,000","363,972,000","378,677,000","445,398,000","407,248,000","343,231,000","354,102,000","351,394,000","337,467,000","286,693,000","287,321,000","243,200,000","236,436,000","205,737,000","258,463,000","264,351,000","239,676,000","236,011,000","217,998,000","194,238,000","215,767,000","212,327,000","211,201,000","212,959,000","204,539,000","174,120,000","151,740,000","155,608,000","133,122,000","116,511,000","102,440,000","101,090,000"
			AccountsReceivable,"352,496,000","370,115,000","313,336,000","364,760,000","318,417,000","312,991,000","306,362,000","357,092,000","332,917,000","311,061,000","292,323,000","316,960,000","304,214,000","301,716,000","281,682,000","275,063,000","281,196,000","236,113,000","260,481,000","249,940,000","246,093,000","247,114,000","240,941,000","228,272,000","222,717,000","233,735,000","214,865,000","282,157,000","266,470,000","319,065,000","284,170,000","309,746,000","299,842,000","370,975,000","395,718,000","411,646,000","430,424,000","420,598,000",,,"569,591,000","540,468,000",,"541,848,000",,,,,,,,,,,"280,096,000",,"351,394,000","337,467,000","286,693,000","287,321,000","243,200,000","236,436,000","205,737,000","258,463,000","264,351,000","239,676,000","236,011,000","217,998,000","194,238,000","215,767,000","212,327,000","211,201,000","212,959,000","204,539,000","174,120,000","151,740,000","155,608,000","133,122,000","116,511,000","102,440,000","101,090,000"
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"579,566,000","550,197,000",,"551,338,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-9,975,000","-9,729,000",,"-9,490,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"9,657,000","22,140,000","17,838,000","16,721,000","14,339,000","21,968,000","27,821,000","6,586,000","16,593,000","21,996,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"130,842,000","118,387,000","91,251,000","112,002,000","128,099,000","106,007,000","94,454,000","100,290,000","112,554,000","99,493,000","82,054,000","82,540,000","92,843,000","109,895,000","92,582,000","102,590,000","89,282,000","81,454,000","66,837,000","75,693,000","76,392,000","81,071,000","60,178,000","80,426,000","97,061,000","78,991,000","97,465,000","82,642,000","101,640,000","67,921,000","93,549,000","108,814,000","102,241,000","96,959,000","105,647,000","110,157,000","120,990,000","137,160,000",,,,,,,,,,,,,,,,,"63,135,000",,,,,,,,,,,,,,,,,,,,,,,,,,
