name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006
TotalAssets,"107,412,000,000","110,242,000,000","108,544,000,000","110,985,000,000","113,871,000,000","112,889,000,000","124,349,000,000","113,792,000,000","112,657,000,000","113,996,000,000","110,786,000,000","110,707,000,000","110,720,000,000","109,553,000,000","105,842,000,000","102,751,000,000","101,967,000,000","100,087,000,000","97,608,000,000","93,757,000,000","94,795,000,000","92,308,000,000","90,541,000,000","87,511,000,000","88,093,000,000","86,936,000,000","85,611,000,000","84,911,000,000","84,178,000,000","83,126,000,000","80,596,000,000","78,937,000,000","79,584,000,000","79,340,000,000","75,544,000,000","74,944,000,000","76,139,000,000","73,491,000,000","75,283,000,000","73,908,664,000","72,083,405,000","70,486,018,000","68,783,937,000","65,725,667,000","63,437,533,000","63,506,609,000","60,784,968,000","60,057,553,000","62,153,678,000","66,818,951,000","46,020,987,000","42,698,290,000","41,518,288,000","40,606,518,000","39,892,382,000","37,317,815,000","34,233,542,000","37,328,059,000","37,376,105,000","36,141,011,000","35,672,568,000","29,763,803,000","29,067,242,000"
TotalLiabilitiesNetMinorityInterest,"93,979,000,000","96,834,000,000","95,281,000,000","97,814,000,000","101,717,000,000","102,005,000,000","114,097,000,000","104,149,000,000","102,992,000,000","102,137,000,000","99,069,000,000","99,214,000,000","99,461,000,000","98,423,000,000","94,826,000,000","91,862,000,000","91,096,000,000","89,195,000,000","86,421,000,000","82,498,000,000","83,530,000,000","80,985,000,000","79,194,000,000","76,114,000,000","76,777,000,000","75,661,000,000","74,308,000,000","73,648,000,000","72,967,000,000","71,992,000,000","69,295,000,000","67,556,000,000","68,563,000,000","68,531,000,000","64,942,000,000","64,496,000,000","65,840,000,000","63,618,000,000","65,505,000,000","64,762,751,000","63,184,547,000","61,657,066,000","60,541,726,000","57,719,751,000","55,914,233,000","56,607,444,000","54,328,122,000","53,946,256,000","56,115,411,000","59,803,903,000","37,585,440,000","34,312,088,000","34,102,648,000","34,607,167,000","33,976,559,000","31,317,422,000","28,383,851,000","31,673,718,000","31,776,683,000","30,473,729,000","29,892,284,000","24,235,145,000","23,292,470,000"
TotalEquityGrossMinorityInterest,"13,433,000,000","13,408,000,000","13,263,000,000","13,171,000,000","12,154,000,000","10,884,000,000","10,252,000,000","9,643,000,000","9,665,000,000","11,859,000,000","11,717,000,000","11,493,000,000","11,259,000,000","11,130,000,000","11,016,000,000","10,889,000,000","10,871,000,000","10,892,000,000","11,187,000,000","11,259,000,000","11,265,000,000","11,323,000,000","11,347,000,000","11,397,000,000","11,316,000,000","11,275,000,000","11,303,000,000","11,263,000,000","11,211,000,000","11,134,000,000","11,301,000,000","11,381,000,000","11,021,000,000","10,809,000,000","10,602,000,000","10,448,000,000","10,299,000,000","9,873,000,000","9,778,000,000","9,145,913,000","8,898,858,000","8,828,952,000","8,242,211,000","8,005,916,000","7,523,300,000","6,899,165,000","6,456,846,000","6,111,297,000","6,038,267,000","7,015,048,000","8,435,547,000","8,386,202,000","7,415,640,000","5,999,351,000","5,915,823,000","6,000,393,000","5,849,691,000","5,654,341,000","5,599,422,000","5,667,282,000","5,780,284,000","5,528,658,000","5,774,772,000"
	StockholdersEquity,"13,433,000,000","13,408,000,000","13,263,000,000","13,171,000,000","12,154,000,000","10,884,000,000","10,252,000,000","9,643,000,000","9,665,000,000","11,859,000,000","11,717,000,000","11,493,000,000","11,259,000,000","11,130,000,000","11,016,000,000","10,889,000,000","10,871,000,000","10,892,000,000","11,187,000,000","11,259,000,000","11,265,000,000","11,323,000,000","11,347,000,000","11,397,000,000","11,316,000,000","11,275,000,000","11,303,000,000","11,263,000,000","11,211,000,000","11,134,000,000","11,301,000,000","11,381,000,000","11,021,000,000","10,809,000,000","10,602,000,000","10,448,000,000","10,299,000,000","9,873,000,000","9,778,000,000","9,145,913,000","8,898,858,000","8,828,952,000","8,242,211,000","8,005,916,000","7,523,300,000","6,899,165,000","6,456,846,000","6,111,297,000","6,038,267,000","7,015,048,000","8,435,547,000","8,386,202,000","7,415,640,000","5,999,351,000","5,915,823,000","6,000,393,000","5,849,691,000","5,654,341,000","5,599,422,000","5,667,282,000","5,780,284,000","5,528,658,000","5,774,772,000"
		CapitalStock,"1,062,000,000","1,062,000,000","1,062,000,000","1,062,000,000","1,062,000,000","1,062,000,000","1,062,000,000","1,062,000,000","569,000,000","569,000,000","569,000,000","569,000,000","569,000,000","569,000,000","569,000,000","569,000,000","569,000,000","569,000,000","566,000,000","566,000,000","566,000,000","565,000,000","565,000,000","565,000,000","565,000,000","565,000,000","565,000,000","565,000,000","565,000,000","565,000,000","565,000,000","565,000,000","565,000,000","565,000,000","565,000,000","565,000,000","566,000,000",,"565,000,000","5,526,000","5,523,000","5,515,000","5,497,000","5,495,000","5,484,000","5,480,000","5,471,000",,"5,462,000","1,166,914,000","1,163,514,000","1,160,185,000","1,156,810,000","4,828,000","4,805,000","4,802,000","4,796,000","4,793,000","4,777,000","4,773,000","100,000","100,000","100,000"
			PreferredStock,"1,056,000,000","1,056,000,000","1,056,000,000","1,056,000,000","1,056,000,000","1,056,000,000","1,056,000,000","1,056,000,000","563,000,000","563,000,000","563,000,000","563,000,000","563,000,000","563,000,000","563,000,000","563,000,000","563,000,000","563,000,000","560,000,000","560,000,000","560,000,000","560,000,000","560,000,000","560,000,000","560,000,000","560,000,000","560,000,000","560,000,000","560,000,000","560,000,000","560,000,000","560,000,000","560,000,000","560,000,000","560,000,000","560,000,000","560,000,000",,"560,000,000",,,,,,,,"0",,"0","1,161,454,000","1,158,066,000","1,154,739,000","1,151,979,000",,,,,,,,,,
			CommonStock,"6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","6,000,000",,"5,000,000","5,526,000","5,523,000","5,515,000","5,497,000","5,495,000","5,484,000","5,480,000","5,471,000",,"5,462,000","5,460,000","5,448,000","5,446,000","4,831,000","4,828,000","4,805,000","4,802,000","4,796,000","4,793,000","4,777,000","4,773,000","100,000","100,000","100,000"
		AdditionalPaidInCapital,"4,390,000,000","4,369,000,000","4,345,000,000","4,319,000,000","4,280,000,000","4,257,000,000","4,235,000,000","4,216,000,000","4,217,000,000","4,206,000,000","4,188,000,000","4,167,000,000","4,148,000,000","4,130,000,000","4,107,000,000","4,089,000,000","4,068,000,000","4,042,000,000","4,016,000,000","3,997,000,000","3,979,000,000","3,962,000,000","3,946,000,000","3,932,000,000","3,913,000,000","3,885,000,000","3,868,000,000","3,853,000,000","3,841,000,000","3,790,000,000","3,775,000,000","3,758,000,000","3,739,000,000","3,687,000,000","3,671,000,000","3,650,000,000","3,632,000,000",,"3,593,000,000","3,570,371,000","3,555,104,000","3,528,480,000","3,507,754,000","3,492,663,000","3,469,557,000","3,452,513,000","3,435,318,000",,"3,593,692,000","3,584,512,000","3,573,231,000","3,563,986,000","3,029,992,000","2,938,043,000","2,938,657,000","2,924,923,000","2,908,676,000","2,885,610,000","2,846,127,000","2,825,662,000","2,698,585,000","2,657,900,000","2,636,265,000"
		RetainedEarnings,"25,833,000,000","24,766,000,000","23,846,000,000","22,936,000,000","21,373,000,000","19,955,000,000","19,292,000,000","18,673,000,000","19,175,000,000","21,290,000,000","20,720,000,000","20,107,000,000","19,484,000,000","18,906,000,000","18,354,000,000","17,787,000,000","17,211,000,000","16,687,000,000","16,452,000,000","15,989,000,000","15,568,000,000","15,130,000,000","14,696,000,000","14,188,000,000","13,698,000,000","13,250,000,000","12,880,000,000","12,400,000,000","11,936,000,000","11,467,000,000","11,182,000,000","10,659,000,000","10,138,000,000","9,611,000,000","9,115,000,000","8,629,000,000","8,136,000,000",,"7,373,000,000","6,877,990,000","6,303,466,000","5,820,609,000","5,243,318,000","4,763,180,000","4,147,598,000","3,580,338,000","3,126,488,000",,"2,538,164,000","2,362,685,000","3,873,262,000","3,705,608,000","3,296,234,000","3,136,977,000","3,046,956,000","3,116,818,000","2,966,053,000","2,761,159,000","2,717,905,000","2,803,535,000","2,951,295,000","2,742,053,000","3,008,421,000"
		TreasuryStock,"17,639,000,000","16,695,000,000","15,922,000,000","15,107,000,000","14,554,000,000","14,435,000,000","14,430,000,000","14,430,000,000","14,430,000,000","14,087,000,000","13,686,000,000","13,267,000,000","12,806,000,000","12,319,000,000","11,854,000,000","11,394,000,000","10,838,000,000","10,254,000,000","9,699,000,000","9,143,000,000","8,693,000,000","8,173,000,000","7,695,000,000","7,114,000,000","6,688,000,000","6,265,000,000","5,830,000,000","5,395,000,000","4,970,000,000","4,550,000,000","4,151,000,000","3,529,000,000","3,351,000,000","2,986,000,000","2,640,000,000","2,289,000,000","1,951,000,000",,"1,678,000,000","1,276,648,000","924,219,000","477,048,000","462,679,000","235,443,000","32,981,000","32,887,000","27,883,000",,"25,111,000","25,025,000","19,642,000","18,605,000","14,854,000","14,418,000","8,257,000","7,167,000","4,405,000","2,412,000","1,419,000",,,,
