name,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000
TotalAssets,"559,738,000","538,212,000","514,635,000","520,644,000","501,602,000","511,966,000","529,162,000","529,181,000","485,974,000","496,352,000","496,611,000","428,370,000","435,131,000","431,290,000","408,439,000","432,674,000","420,134,000","382,318,000","352,075,000","364,128,000","345,355,000","366,819,000","402,835,000","422,238,000","406,798,000","416,977,000","404,726,000","416,981,000","402,015,000","412,495,000","405,148,000","420,078,000","414,597,000","420,047,000","417,647,000","417,640,000","427,632,000","425,100,000","425,797,000","430,719,000","435,502,000","434,845,000","456,890,000","476,397,000","472,161,000","471,771,000","473,200,000","474,580,000","481,373,000","394,677,000","412,019,000","408,834,000","406,729,000","408,625,000","410,502,000","389,898,000","383,741,000","416,515,000","464,461,000","462,752,000","432,550,000","391,660,000","398,611,000","357,751,000","354,437,000","329,523,000","319,762,000","288,958,000","270,192,000","233,800,000","226,263,000","194,077,000","179,362,000","162,209,000","155,937,000","146,706,000","139,955,000","132,625,000","131,477,000","123,183,000","115,906,000","110,837,000","105,345,000","97,199,000","72,726,086","71,973,044"
	CurrentAssets,"277,760,000","260,017,000","233,252,000","235,265,000","212,045,000","218,558,000","231,514,000","230,999,000","181,989,000","189,442,000","183,379,000","191,657,000","198,033,000","195,438,000","172,461,000","194,881,000","180,170,000","170,456,000","154,111,000","166,845,000","149,035,000","168,070,000","203,867,000","227,034,000","212,215,000","222,599,000","209,293,000","221,706,000","206,090,000","213,894,000","204,417,000","217,462,000","211,054,000","216,142,000","215,645,000","217,177,000","223,997,000","221,598,000","222,227,000","228,235,000","228,868,000","227,668,000","231,113,000","249,874,000","242,698,000","231,199,000","231,221,000","229,989,000","226,384,000","239,003,000","256,804,000","253,908,000","256,312,000","252,593,000","249,190,000","237,170,000","243,539,000","226,550,000","295,330,000","285,844,000","265,973,000","218,417,000","227,728,000","197,101,000","200,802,000","188,011,000","182,590,000","152,919,000","137,168,000","108,297,000","119,769,000","88,178,000","78,263,000","69,726,000","81,118,000","79,448,000","72,426,000","72,642,000","59,378,000","60,153,000","70,939,000","65,914,000","61,613,000","53,729,000","27,728,305","26,564,737"
		CashCashEquivalentsAndShortTermInvestments,"82,189,000","70,633,000","61,899,000","74,391,000","84,008,000","97,195,000","114,551,000","95,624,000","35,944,000","43,033,000","45,723,000","49,026,000","47,967,000","40,823,000","27,053,000","56,470,000","43,217,000","56,284,000","49,607,000","62,329,000","44,607,000","63,563,000","102,921,000","116,046,000","96,462,000","110,099,000","101,220,000","112,238,000","92,326,000","103,257,000","100,115,000","114,277,000","107,323,000","110,452,000","121,387,000","119,012,000","118,876,000","113,928,000","122,869,000","128,115,000","121,402,000","120,663,000","129,817,000","144,873,000","146,674,000","144,530,000","140,905,000","138,015,000","135,743,000","156,773,000","163,741,000","145,977,000","133,657,000","121,742,000","106,814,000","99,626,000","114,668,000","104,145,000","176,095,000","166,643,000","149,213,000","113,929,000","125,439,000","94,176,000","104,061,000","95,656,000","92,741,000","66,834,000","59,460,000","36,276,000","51,839,000","28,769,000","30,952,000","30,938,000","48,078,000","49,543,000","44,129,000","45,102,000","31,745,000","32,875,000","41,157,000","37,043,000","34,503,000","26,340,000","3,931,611","5,724,145"
			CashAndCashEquivalents,"82,189,000","70,633,000","61,899,000","74,391,000","84,008,000","97,195,000","114,551,000","95,624,000","35,944,000","43,033,000","45,723,000","43,045,000","47,967,000","40,823,000","27,053,000","56,470,000","43,217,000","56,284,000","49,607,000","62,329,000","44,607,000","58,567,000","92,937,000","91,089,000","71,491,000","80,121,000","76,235,000","87,250,000","67,335,000","73,260,000","75,131,000","80,291,000","74,339,000","77,477,000","96,404,000","94,016,000","85,883,000","93,935,000","112,872,000","105,124,000","96,414,000","109,666,000","124,568,000","139,624,000","131,432,000","139,282,000","130,659,000","124,765,000","117,491,000","133,523,000","143,247,000","120,977,000","118,657,000","101,742,000","80,814,000","81,626,000","103,668,000","64,145,000","121,095,000","111,643,000","100,213,000","68,929,000","88,439,000","67,176,000","65,061,000","21,656,000","65,741,000","66,834,000","59,460,000","36,276,000","51,839,000","28,769,000","30,952,000","30,938,000","48,078,000","49,543,000","44,129,000","45,102,000","31,745,000","32,875,000","41,157,000","37,043,000","34,503,000","26,340,000","3,931,611","5,724,145"
			OtherShortTermInvestments,,,,,,,,,"0","0","0","5,981,000",,,,,,,,"0","0","4,996,000","9,984,000","24,957,000","24,971,000","29,978,000","24,985,000","24,988,000","24,991,000","29,997,000","24,984,000","33,986,000","32,984,000","32,975,000","24,983,000","24,996,000","32,993,000","19,993,000","9,997,000","22,991,000","24,988,000","10,997,000","5,249,000","5,249,000","15,242,000","5,248,000","10,246,000","13,250,000","18,252,000","23,250,000","20,494,000","25,000,000","15,000,000","20,000,000","26,000,000","18,000,000","11,000,000","40,000,000","55,000,000","55,000,000","49,000,000","45,000,000","37,000,000","27,000,000","39,000,000","74,000,000","27,000,000",,,,,,,,,,,,,,,,,,,
		Receivables,"187,731,000","182,643,000","164,628,000","153,639,000","119,896,000","114,279,000","110,969,000","129,153,000","138,031,000","138,684,000","130,268,000","135,528,000","142,007,000","147,619,000","138,607,000","131,181,000","130,058,000","109,025,000","98,984,000","100,121,000","99,484,000","99,682,000","96,236,000","97,807,000","102,425,000","99,334,000","94,510,000","96,831,000","101,321,000","98,388,000","91,715,000","90,334,000","91,276,000","93,120,000","81,354,000","85,422,000","92,784,000","95,118,000","86,208,000","85,433,000","93,518,000","92,701,000","86,263,000","91,221,000","84,351,000","74,981,000","78,511,000","77,492,000","76,210,000","68,562,000","78,844,000","84,134,000","102,810,000","116,980,000","126,669,000","120,140,000","116,621,000","109,876,000","105,146,000","107,751,000","105,391,000","93,388,000","90,719,000","93,520,000","87,652,000","83,356,000","80,848,000","79,793,000","71,927,000","65,388,000","59,766,000","55,705,000","42,543,000","34,270,000","26,635,000","24,549,000","23,764,000","21,533,000","19,961,000","20,722,000","21,898,000","23,918,000","23,908,000","25,236,000","21,806,815","18,942,091"
			AccountsReceivable,"150,524,000","143,361,000","129,069,000","116,455,000","108,429,000","111,686,000","108,242,000","124,986,000","130,908,000","137,371,000","129,569,000","133,304,000","138,545,000","146,499,000","137,629,000","130,452,000","125,795,000","109,025,000","98,984,000","98,222,000","96,864,000","97,025,000","96,236,000","97,807,000","100,493,000","98,033,000","94,510,000","96,574,000","98,216,000","97,403,000","91,715,000","90,334,000","88,969,000","93,120,000","81,354,000","84,194,000","90,164,000","93,538,000","86,208,000","84,192,000","90,606,000","87,924,000","85,628,000","87,162,000","80,262,000","73,235,000","73,936,000","72,750,000","72,560,000","61,940,000","68,157,000","84,134,000","102,810,000","116,980,000","126,669,000","120,140,000","116,621,000","109,876,000","105,146,000","107,751,000","105,391,000","93,388,000","90,719,000","93,520,000","87,652,000","83,356,000","80,848,000","79,793,000","71,927,000","65,388,000","59,766,000","55,705,000","42,543,000","34,270,000","26,635,000","24,549,000","23,764,000","21,533,000","19,961,000","20,722,000","21,898,000","23,918,000","23,908,000",,,
				GrossAccountsReceivable,"152,588,000","145,462,000","131,100,000","118,487,000","110,835,000","114,047,000","110,806,000","128,053,000","133,468,000","140,072,000","132,288,000","135,824,000","140,678,000","148,320,000","139,531,000","132,092,000","127,877,000",,"101,746,000","100,739,000","99,491,000","99,895,000","98,992,000","100,801,000","103,701,000","101,428,000","97,672,000",,"101,670,000","101,164,000","95,266,000","93,473,000","92,107,000","96,303,000","84,705,000","87,622,000",,"97,208,000","90,036,000","88,184,000","95,079,000","92,449,000","90,368,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,064,000","-2,101,000","-2,031,000","-2,032,000","-2,406,000","-2,361,000","-2,564,000","-3,067,000","-2,560,000","-2,701,000","-2,719,000","-2,520,000","-2,133,000","-1,821,000","-1,902,000","-1,640,000","-2,082,000",,"-2,762,000","-2,517,000","-2,627,000","-2,870,000","-2,756,000","-2,994,000","-3,208,000","-3,395,000","-3,162,000",,"-3,454,000","-3,761,000","-3,551,000","-3,139,000","-3,138,000","-3,183,000","-3,351,000","-3,428,000",,"-3,670,000","-3,828,000","-3,992,000","-4,473,000","-4,525,000","-4,740,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"37,207,000","39,282,000","35,559,000","37,184,000","11,467,000","2,593,000","2,727,000","4,167,000","7,123,000","1,313,000","699,000","2,224,000","3,462,000","1,120,000","978,000","729,000","4,263,000","0","0","1,899,000","2,620,000","2,657,000",,"0","1,932,000","1,301,000","0","257,000","3,105,000","985,000",,"0","2,307,000","0","0","1,228,000","2,620,000","1,580,000","0","1,241,000","2,912,000","4,777,000","635,000","4,059,000","4,089,000","1,746,000","4,575,000","4,742,000","3,650,000","6,622,000","10,687,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
