name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997
OperatingCashFlow,"744,579,000","54,506,000","295,565,000","74,135,000","320,373,000","68,829,000","360,439,000","188,144,000","313,659,000","125,415,000","318,510,000","218,414,000","312,664,000","117,067,000","311,006,000","231,214,000","301,761,000","91,568,000","202,099,000","199,192,000","197,840,000","121,837,000","121,303,000","215,842,000","125,632,000","81,118,000","221,665,000","140,357,000","174,226,000","5,512,000","171,096,000","106,251,000","139,960,000","55,641,000","172,964,000","120,681,000","107,296,000","106,605,000","131,999,000","88,547,000","137,306,000","74,884,000","204,480,000","167,901,000","123,720,000","119,337,000","180,104,000","176,938,000","136,931,000","131,167,000","183,021,000","185,599,000","120,799,000","127,492,000","186,619,000","160,777,000","117,112,000","72,521,000","156,764,000","121,117,000","104,798,000","101,965,000","95,067,000","105,480,000","111,737,000","61,998,000","9,832,000","87,506,000","127,941,000","63,414,000","96,385,000","79,242,000","88,129,000","41,608,000","-22,710,000","52,962,000","94,133,000","36,524,000","82,500,000","74,300,000","46,879,000","51,269,000","52,731,000","45,370,000","38,909,000","23,899,000","47,922,000","36,611,000","55,353,000","17,718,000","29,100,000","6,800,000","15,200,000","4,300,000","13,600,000","11,900,000","14,700,000","500,000","14,700,000","2,300,000"
	CashFlowFromContinuingOperatingActivities,"744,579,000","54,506,000","295,565,000","74,135,000","320,373,000","68,829,000","360,439,000","188,144,000","313,659,000","125,415,000","318,510,000","218,414,000","312,664,000","117,067,000","311,006,000","231,732,000","302,238,000","91,568,000","201,969,000","200,250,000","199,866,000","122,174,000","122,264,000","213,347,000","124,487,000","81,118,000","221,665,000","140,357,000","174,226,000","5,512,000","171,096,000","106,251,000","139,960,000","55,641,000","172,964,000","120,681,000","107,213,000","105,735,000","131,999,000","94,798,000","137,796,000","79,059,000","213,291,000","209,013,000","121,873,000","119,337,000","180,104,000","176,938,000","136,931,000","131,167,000","183,021,000","185,599,000","120,799,000","127,492,000","186,619,000","160,777,000","117,112,000","72,521,000","156,764,000","121,117,000","104,798,000","101,965,000","95,067,000","105,480,000","111,737,000","61,998,000","9,832,000","87,506,000","127,941,000","63,414,000","96,385,000","79,242,000","88,129,000","41,608,000","-22,710,000","52,962,000","94,133,000","36,524,000","82,500,000","74,300,000","46,879,000","51,269,000","52,731,000","45,370,000","38,909,000","23,899,000","47,922,000","36,611,000","55,353,000","17,718,000","29,900,000","6,800,000","15,200,000","4,300,000","13,600,000","11,900,000","14,700,000","500,000","14,700,000","2,300,000"
		NetIncomeFromContinuingOperations,"447,801,000","41,707,000","61,461,000","68,111,000","276,522,000","46,631,000","246,755,000","38,562,000","-7,113,000","64,892,000","37,104,000","108,284,000","92,475,000","30,452,000","158,831,000","67,023,000","93,543,000","45,152,000","21,479,000","24,324,000","81,122,000","58,507,000","49,525,000","7,800,000","-13,133,000","63,041,000","5,940,000","23,517,000","54,007,000","41,739,000","13,403,000","858,000","272,376,000","42,109,000","47,861,000","4,957,000","27,440,000","20,534,000","20,486,000","53,719,000","41,441,000","61,073,000","70,250,000","33,471,000","68,072,000","74,619,000","34,234,000","-150,817,000","41,752,000","25,839,000","64,673,000","43,177,000","87,512,000","26,944,000","1,355,000","11,314,000","35,886,000","33,482,000","28,001,000","51,334,000","39,052,000","34,707,000","37,135,000","26,613,000","37,842,000","27,273,000","-99,000","36,377,000","25,410,000","22,949,000","29,887,000","18,450,000","22,857,000","22,997,000","-100,268,000","14,794,000","20,133,000","21,284,000","25,217,000","8,524,000","20,766,000","12,518,000","-14,701,000","-27,589,000","-4,966,000","3,199,000","4,096,000","4,599,000","-28,245,000","-5,383,000","-22,100,000","1,800,000","3,600,000","2,400,000","-900,000","-4,600,000","-4,500,000","-1,000,000","-1,300,000",
		OperatingGainsLosses,"-299,698,000","62,751,000","-29,551,000","-16,274,000","-316,624,000","4,769,000","-210,973,000","10,018,000","30,059,000","-45,904,000","8,384,000","-27,062,000","-27,617,000","12,309,000","-78,718,000","-2,156,000","-23,579,000","22,400,000","46,718,000","60,117,000","-16,354,000","-1,245,000","-3,952,000","26,115,000","28,669,000","-8,985,000","44,327,000","42,725,000","-9,489,000","7,574,000","27,985,000","46,065,000","-9,377,000","-7,614,000","20,843,000","47,043,000","27,017,000","10,646,000","8,516,000","10,915,000","7,662,000","-301,000","4,776,000","22,858,000","4,290,000","-8,919,000","-2,558,000","-7,000,000","5,106,000","16,414,000","-27,000","2,351,000","-25,055,000","13,482,000","-11,690,000","18,388,000","16,000","675,000","9,152,000","4,266,000","-3,401,000","2,541,000","-7,721,000","-3,758,000","-10,045,000","-494,000","-134,000","-4,964,000","7,676,000","3,388,000","2,045,000","6,897,000","5,072,000","-187,000","26,490,000","13,916,000","-1,151,000","-3,560,000","-15,655,000","12,723,000","-3,207,000","5,638,000","792,000","27,586,000","-4,469,000","11,804,000","1,526,000","3,271,000","20,123,000","2,417,000","20,400,000","400,000","-3,400,000","-1,000,000","0","5,900,000","4,600,000","900,000","-400,000","2,500,000"
			GainLossOnSaleOfBusiness,"-73,158,000","105,825,000","1,586,000","627,000",,,,,,,,,,,"0",,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"-168,295,000","-705,000","-37,720,000","-935,000","-128,935,000","-4,451,000","-285,367,000","-75,840,000","-1,275,000","-1,055,000","-46,737,000","-9,284,000","-8,405,000","602,000","-63,594,000","-388,000","-546,000","-1,130,000","1,766,000","-294,000","-1,779,000","-459,000","592,000","-413,000","-626,000","-451,000","2,293,000","-1,200,000","515,000","333,000","-1,229,000","196,000","-107,000","-8,307,000","958,000","-173,000","-1,663,000","-539,000","5,915,000","-1,627,000","-607,000","719,000","-7,432,000","4,634,000","-211,000","723,000","-466,000","-4,480,000","-144,000","-1,053,000","463,000","705,000","742,000","-1,504,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"-23,095,000","-7,219,000","6,583,000","-15,966,000","-6,493,000","9,220,000","74,394,000","34,598,000","14,294,000","-44,849,000","55,121,000","-17,778,000","-19,212,000","11,707,000","-15,124,000","-1,768,000","-23,033,000","23,530,000","14,882,000","12,113,000","24,294,000","-786,000","-7,382,000","12,528,000","20,012,000","-8,534,000","16,885,000","41,769,000","-10,004,000","7,241,000","12,719,000","45,869,000","-9,270,000","693,000","19,885,000","3,898,000","28,680,000","11,185,000","2,601,000","1,914,000","8,269,000","-1,020,000","12,208,000","18,224,000","2,658,000","-8,792,000","-2,092,000","-2,520,000","5,250,000","17,467,000","-490,000","-1,385,000","-25,797,000","14,986,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,"-35,821,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"714,943,000","183,615,000","189,825,000","271,763,000","69,740,000","165,642,000","172,608,000","170,403,000","163,850,000","162,584,000","173,826,000","157,561,000","164,331,000","162,483,000","164,919,000","158,092,000","155,925,000","160,578,000","141,057,000","128,513,000","128,099,000","124,707,000","125,430,000","124,670,000","115,022,000","87,204,000","85,472,000","86,492,000","87,549,000","85,951,000","88,575,000","89,194,000","88,941,000","86,433,000","83,249,000","79,659,000","78,928,000","80,201,000","106,096,000","70,493,000","69,606,000","70,149,000","73,295,000","70,618,000","67,259,000","79,466,000","44,296,000","88,625,000","86,644,000","87,105,000","73,562,000","52,532,000","79,957,000","77,520,000","74,674,000","76,171,000","74,098,000","70,777,000","69,856,000","64,369,000","61,747,000","58,683,000","55,628,000","54,621,000","52,507,000","51,080,000","-4,178,000","47,043,000","45,955,000","45,752,000","44,897,000","43,450,000","40,896,000","38,032,000","61,351,000","33,975,000","31,797,000","31,078,000","30,441,000","30,327,000","27,695,000","26,298,000","42,506,000","40,148,000","39,654,000","36,213,000","34,547,000","35,433,000","32,466,000","26,959,000","34,200,000","11,400,000","11,900,000","9,900,000","11,000,000","9,800,000","9,200,000","7,200,000","6,800,000","6,000,000"
			DepreciationAndAmortization,"714,943,000","183,615,000","189,825,000","271,763,000","69,740,000","165,642,000","172,608,000","170,403,000","163,850,000","162,584,000","173,826,000","157,561,000","164,331,000","162,483,000","164,919,000","158,092,000","155,925,000","160,578,000","141,057,000","128,513,000","128,099,000","124,707,000","125,430,000","124,670,000","115,022,000","87,204,000","85,472,000","86,492,000","87,549,000","85,951,000","88,575,000","89,194,000","88,941,000","86,433,000","83,249,000","79,659,000","78,928,000","80,201,000","106,096,000","70,493,000","69,606,000","70,149,000","73,295,000","70,618,000","67,259,000","79,466,000","44,296,000","88,625,000","86,644,000","87,105,000","73,562,000","52,532,000","79,957,000","77,520,000","74,674,000","76,171,000","74,098,000","70,777,000","69,856,000","64,369,000","61,747,000","58,683,000","55,628,000","54,621,000","52,507,000","51,080,000","-4,178,000","47,043,000","45,955,000","45,752,000","44,897,000","43,450,000","40,896,000","38,032,000","61,351,000","33,975,000","31,797,000","31,078,000","30,441,000","30,327,000","27,695,000","26,298,000","42,506,000","40,148,000","39,654,000","36,213,000","34,547,000","35,433,000","32,466,000","26,959,000","34,200,000","11,400,000","11,900,000","9,900,000","11,000,000","9,800,000","9,200,000","7,200,000","6,800,000","6,000,000"
