name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2012,04/30/2012,07/31/2011,04/30/2011,07/31/2010,04/30/2010
OperatingCashFlow,"354,526,000","148,594,000","84,630,000","410,000","120,892,000","77,196,000","-17,470,000","-18,250,000","-30,321,000","16,817,000","71,157,000","61,099,000","70,950,000","85,740,000","100,616,000","52,089,000","85,965,000","98,946,000","63,609,000","42,957,000","62,292,000","95,814,000","56,779,000","52,840,000","45,055,000","76,655,000","65,394,000","36,109,000","33,775,000","51,705,000","50,002,000","26,262,000","-42,303,000","52,754,000","23,584,000","19,962,000","17,094,000","30,592,000","6,909,000","21,378,000","-2,779,000","9,445,000"
	CashFlowFromContinuingOperatingActivities,"354,526,000","148,594,000","84,630,000","410,000","120,892,000","77,196,000","-17,470,000","-18,250,000","-30,321,000","16,817,000","71,157,000","61,099,000","70,950,000","85,740,000","100,616,000","52,089,000","85,965,000","98,946,000","63,609,000","42,957,000","62,292,000","95,814,000","56,779,000","52,840,000","45,055,000","76,655,000","65,394,000","36,109,000","33,775,000","51,705,000","50,002,000","26,262,000","-42,303,000","52,754,000","23,584,000","19,962,000","17,094,000","30,592,000","6,909,000","21,378,000","-2,779,000","9,445,000"
		NetIncomeFromContinuingOperations,"155,989,000","66,984,000","25,650,000","10,585,000","52,770,000","19,635,000","-56,785,000","-48,043,000","-58,602,000","-43,544,000","24,982,000","482,000","32,356,000","42,443,000","29,436,000","11,856,000","33,779,000","42,150,000","35,640,000","12,157,000","30,356,000","42,796,000","27,367,000","10,755,000","21,512,000","31,161,000","22,950,000","4,554,000","12,573,000","19,542,000","14,660,000","-4,607,000","-13,878,000","11,461,000","4,877,000","-10,160,000",,,,"5,178,000",,"3,911,000"
		OperatingGainsLosses,"7,080,000","216,000","3,546,000","3,206,000","112,000","145,000","36,000","1,028,000","264,000","153,000","529,000","458,000","406,000","420,000","308,000","120,000","431,000","262,000","658,000","321,000","239,000","645,000","546,000","514,000","303,000","170,000","246,000","296,000","7,370,000","289,000","504,000","2,231,000","7,323,000","293,000","446,000","1,247,000","1,604,000","335,000","550,000","428,000","365,000","200,000"
			GainLossOnSaleOfPPE,"1,463,000","216,000","758,000","377,000","112,000","145,000","36,000","124,000","264,000","153,000","529,000","458,000","406,000","420,000","308,000","120,000","431,000","262,000","658,000","321,000","239,000","645,000","546,000","514,000","303,000","170,000","246,000","296,000","580,000","289,000","504,000","645,000","329,000","293,000","446,000","1,247,000",,,"550,000","428,000","365,000","200,000"
		DepreciationAmortizationDepletion,"136,518,000","33,288,000","33,974,000","34,381,000","34,875,000","35,099,000","33,893,000","34,384,000","35,160,000","35,352,000","35,234,000","33,340,000","32,745,000","31,141,000","31,146,000","30,574,000","29,049,000","27,506,000","28,319,000","25,672,000","24,847,000","23,928,000","23,197,000","22,864,000","21,434,000","20,810,000","20,413,000","20,032,000","19,638,000","18,577,000","18,547,000","17,648,000","17,386,000","17,287,000","17,004,000","15,683,000","15,032,000","14,795,000","13,225,000","13,070,000","12,715,000","12,501,000"
			DepreciationAndAmortization,"136,518,000","33,288,000","33,974,000","34,381,000","34,875,000","35,099,000","33,893,000","34,384,000","35,160,000","35,352,000","35,234,000","33,340,000","32,745,000","31,141,000","31,146,000","30,574,000","29,049,000","27,506,000","28,319,000","25,672,000","24,847,000","23,928,000","23,197,000","22,864,000","21,434,000","20,810,000","20,413,000","20,032,000","19,638,000","18,577,000","18,547,000","17,648,000","17,386,000","17,287,000","17,004,000","15,683,000","15,032,000","14,795,000","13,225,000","13,070,000","12,715,000","12,501,000"
		DeferredTax,"722,000","3,677,000","-1,604,000","-1,468,000","117,000","-4,840,000","14,365,000","13,879,000","-30,717,000","-892,000","1,164,000","650,000","3,148,000","1,511,000","-2,593,000","2,559,000","3,228,000","2,280,000","-6,628,000","853,000","-2,435,000","-635,000","2,516,000","951,000","-1,228,000","4,722,000","9,998,000","-2,390,000","-5,324,000","5,569,000","6,450,000","-3,445,000","-6,050,000","1,430,000","2,196,000","-4,887,000","-2,625,000","1,316,000","-2,609,000","2,036,000","-3,725,000","-1,627,000"
			DeferredIncomeTax,"722,000","3,677,000","-1,604,000","-1,468,000","117,000","-4,840,000","14,365,000","13,879,000","-30,717,000","-892,000","1,164,000","650,000","3,148,000","1,511,000","-2,593,000","2,559,000","3,228,000","2,280,000","-6,628,000","853,000","-2,435,000","-635,000","2,516,000","951,000","-1,228,000","4,722,000","9,998,000","-2,390,000","-5,324,000","5,569,000","6,450,000","-3,445,000","-6,050,000","1,430,000","2,196,000","-4,887,000","-2,625,000","1,316,000","-2,609,000","2,036,000","-3,725,000","-1,627,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,561,000","755,000",,,,
