name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,09/30/2015
TotalRevenue,"1,643,900,000","421,000,000","394,300,000","424,600,000","404,000,000","333,900,000","335,600,000","375,800,000","351,700,000","391,000,000","403,000,000","450,400,000","450,600,000","433,000,000","447,013,000","461,589,000","376,899,000","327,581,000","257,225,000","231,322,000","197,323,000","160,434,000","0","0","0","0","0"
	OperatingRevenue,"1,643,900,000","421,000,000","394,300,000","424,600,000","404,000,000","333,900,000","335,600,000","375,800,000","351,700,000","391,000,000","403,000,000","450,400,000","450,600,000","433,000,000","447,013,000","461,589,000","376,899,000","327,581,000","257,225,000","231,322,000","197,323,000","160,434,000","0","0","0","0","0"
CostOfRevenue,"1,386,200,000","360,200,000","337,200,000","353,700,000","335,200,000","290,000,000","290,700,000","311,700,000","297,900,000","345,200,000","359,900,000","412,400,000","409,700,000","397,000,000","408,221,000","412,549,000","335,786,000","293,189,000","236,541,000","206,224,000","175,017,000","146,469,000",,,,,"0"
GrossProfit,"257,700,000","60,800,000","57,100,000","70,900,000","68,800,000","43,900,000","44,900,000","64,100,000","53,800,000","45,800,000","43,100,000","38,000,000","40,900,000","36,000,000","38,792,000","49,040,000","41,113,000","34,392,000","20,684,000","25,098,000","22,306,000","13,965,000",,,,,"0"
OperatingExpense,"151,100,000","45,200,000","42,200,000","35,800,000","28,000,000","38,900,000","41,800,000","34,000,000","38,000,000","41,400,000","39,600,000","41,900,000","36,900,000","35,700,000","37,462,000","35,421,000","28,853,000","26,350,000","22,054,000","18,960,000","16,779,000","14,569,000","2,476,000","2,858,000","2,129,000","2,528,000","198,000"
	SellingGeneralAndAdministration,"136,600,000","41,600,000","38,600,000","32,300,000","24,200,000","35,000,000","37,800,000","30,100,000","34,000,000","36,900,000","35,100,000","37,100,000","31,900,000","30,800,000","32,553,000","30,740,000","24,963,000","22,656,000","18,854,000","15,997,000","14,168,000","12,288,000","2,476,000","2,858,000","2,129,000","2,528,000","198,000"
		GeneralAndAdministrativeExpense,"134,900,000","41,200,000","38,200,000","31,800,000","23,700,000","34,400,000","37,300,000","29,800,000","33,700,000","36,200,000","33,800,000","35,800,000","30,600,000","29,600,000","31,479,000","29,733,000","24,312,000","22,020,000","18,314,000","15,509,000","13,613,000","11,905,000","2,476,000","2,858,000","2,129,000","2,528,000","198,000"
			SalariesAndWages,,,,,,,,,,,,,,,,"114,776,000","90,614,000","82,344,000","76,734,000","64,955,000","58,186,000","50,121,000",,,,,
			InsuranceAndClaims,"67,900,000","23,400,000","20,700,000","13,900,000","9,900,000","16,800,000","20,000,000","16,300,000","15,600,000","15,000,000","11,800,000","13,400,000","12,200,000","12,500,000","13,476,000","12,738,000","10,428,000","9,184,000","8,446,000","6,351,000","5,042,000","4,123,000",,,,,
			OtherGandA,"67,000,000","17,800,000","17,500,000","17,900,000","13,800,000","17,600,000","17,300,000","13,500,000","18,100,000","21,200,000","22,000,000","22,400,000","18,400,000","17,100,000","18,003,000","16,995,000","13,884,000","12,836,000","9,868,000","9,158,000","8,571,000","7,782,000","2,476,000","2,858,000","2,129,000","2,528,000","198,000"
