name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
		StockBasedCompensation,"54,639,000","14,200,000","12,420,000","14,428,000","13,617,000","12,974,000","12,137,000","12,678,000","11,987,000","11,441,000","12,389,000","12,620,000","13,155,000","12,462,000","11,098,000","15,130,000","13,298,000","12,978,000","12,864,000","14,105,000","13,375,000","12,563,000","14,299,000","12,854,000","11,132,000","11,759,000","11,724,000","12,222,000","12,001,000","10,128,000","9,696,000","14,916,000","9,372,000","9,993,000","9,643,000","10,577,000","8,835,000","7,594,000","6,971,000","9,807,000","8,454,000","8,130,000","7,165,000","7,093,000","14,064,000","14,950,000","9,977,000","16,891,000","13,225,000","12,085,000","11,761,000","11,309,000","14,168,000","13,928,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,"-9,492,000","-2,858,000","-6,690,000","-6,018,000","956,000","-8,054,000","-5,373,000","-5,993,000","2,512,000","6,743,000","-15,309,000","0","10,775,000","-12,453,000","-5,834,000","-11,808,000","2,329,000","-9,127,000","-8,071,000","-3,567,000","-11,569,000","-997,000","2,761,000","-3,615,000","35,268,000","-154,741,000","-4,356,000","-8,097,000","74,703,000","-6,054,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"5,527,000","600,000","617,000","1,012,000","3,243,000","1,155,000","6,063,000","5,463,000","-9,793,000","1,692,000","1,542,000","1,232,000","1,041,000","-147,000","-106,000","1,300,000","2,893,000","4,005,000","12,726,000","-8,350,000","665,000","-5,662,000","2,597,000","-4,990,000","2,688,000","-4,056,000","2,535,000","-2,215,000","2,141,000","-2,524,000","2,516,000","3,668,000","2,798,000","2,371,000","-4,217,000","7,513,000","-678,000","10,742,000","-4,669,000","4,703,000","9,941,000","1,006,000","6,161,000","5,177,000","-502,000","2,129,000","1,039,000","-4,514,000","6,679,000","6,270,000","7,357,000","-37,495,000","-2,078,000","329,000","298,377,000","259,901,000","88,796,000","73,590,000","148,831,000","64,505,000","-5,009,000","42,581,000","6,475,000","17,059,000","29,266,000","16,000",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,"-100,000"
		ChangeInWorkingCapital,"-84,384,000","22,900,000","-149,207,000","75,971,000","-34,127,000","22,279,000","14,507,000","-55,308,000","46,027,000","-175,418,000","24,662,000","33,503,000","-6,351,000","4,749,000","73,749,000","26,156,000","42,201,000","-69,246,000","72,520,000","41,338,000","42,108,000","11,771,000","68,454,000","35,496,000","25,681,000","20,683,000","51,966,000","41,231,000","60,011,000","20,054,000","71,471,000","3,569,000","58,003,000","1,924,000","-33,402,000","20,115,000","30,947,000","39,691,000","-26,480,000","24,950,000","42,643,000","23,959,000","54,392,000","24,449,000","-6,438,000","22,084,000","16,435,000","-3,104,000","79,377,000","16,517,000","9,180,000","15,508,000","83,710,000","-54,592,000","32,738,000","56,401,000","21,261,000","-21,548,000","119,745,000","-31,912,000","40,011,000","-49,736,000","31,590,000","2,583,000","-11,946,000","18,069,000","38,986,000","31,959,000","32,620,000","-20,552,000","53,913,000","10,882,000","15,844,000","-22,637,000","35,976,000","17,199,000","15,552,000","35,667,000","-26,942,000","15,521,000","3,380,000","-63,408,000","-51,620,000","-29,831,000","-14,007,000","5,361,000","-23,852,000","39,541,000","48,349,000","-1,749,000","5,157,000","400,000","2,300,000","-2,200,000","1,500,000","1,200,000","1,900,000","-700,000"
			ChangeInReceivables,,,,,,,,,,,,,,,,,,,,,,,"2,665,000","-738,000","981,000","-3,779,000","1,980,000","-301,000","264,000","-1,282,000","-28,872,000","2,618,000","27,987,000","-1,806,000","1,025,000","-1,262,000","17,000","-2,280,000","-275,000","1,389,000","821,000","1,392,000","-213,000","-392,000","1,339,000","-985,000","1,993,000","1,070,000","5,505,000","4,579,000","11,279,000","5,717,000","338,000","8,464,000","23,500,000","-638,000","32,211,000","-1,025,000","8,930,000","-2,425,000","-64,984,000","-45,859,000","15,679,000","-26,682,000","25,834,000","17,525,000","1,709,000","11,699,000","-17,234,000","-59,993,000","-15,028,000","-36,701,000","-9,670,000","-4,423,000","-6,514,000","1,462,000","18,301,000","14,701,000","33,164,000","38,378,000","35,673,000","51,542,000","-57,078,000","-25,540,000","-28,119,000","-32,087,000","-49,597,000","-24,345,000","-3,520,000","-10,503,000","-2,658,000","-3,600,000","-3,300,000","-3,400,000","-1,300,000","-3,000,000","-300,000","-1,800,000"
				ChangesInAccountReceivables,,,,,,,,,,,,,,,,,,,,,,,"2,665,000","-738,000","981,000","-3,779,000","1,980,000","-301,000","264,000","-1,282,000","2,477,000","-2,317,000","1,573,000","-1,806,000","1,025,000","-1,262,000","17,000","-2,280,000","-275,000","1,389,000","821,000","1,392,000","-213,000","-392,000","1,339,000","-985,000","1,993,000","1,070,000","5,505,000","4,579,000","11,279,000","5,717,000","338,000","8,464,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInPrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,"-8,834,000","2,384,000","8,906,000","6,524,000","-4,695,000","-4,402,000","10,453,000","-3,084,000",,,,"7,925,000","-4,373,000","2,670,000","-4,201,000","3,210,000","-26,431,000","11,232,000","-6,865,000","12,720,000",,,"-16,761,000","3,975,000","-21,179,000","-25,323,000","17,708,000","9,689,000","-40,147,000","2,945,000","19,164,000","-29,380,000","-5,285,000","6,714,000","-10,264,000","20,594,000","469,000","2,392,000",,,"13,545,000","-2,564,000","-88,565,000","-2,930,000","9,267,000","18,502,000","-40,505,000","-13,543,000","6,372,000","6,527,000","509,000","-3,812,000","12,256,000","7,350,000","1,925,000","-8,778,000","6,945,000","7,371,000","-10,974,000","-37,637,000","-3,381,000","-4,827,000","217,000","3,317,000",,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"8,195,000","-14,900,000","21,024,000","31,258,000","-29,174,000","-7,613,000","8,139,000","-31,708,000","53,205,000","-27,409,000","7,086,000","32,241,000","-7,742,000","-31,609,000","27,348,000","-8,586,000","15,379,000","-36,271,000","25,007,000","21,042,000","29,323,000","-59,889,000","48,529,000","20,368,000","2,884,000","-31,537,000","6,355,000","19,436,000","24,038,000","-28,816,000","47,959,000","-1,671,000","33,710,000","-34,579,000","-27,894,000","17,095,000","25,541,000","4,549,000","-3,711,000","7,433,000","28,228,000","-44,872,000","25,500,000","15,398,000","-5,922,000","-16,814,000","26,345,000","11,474,000","30,867,000","-33,734,000","29,177,000","6,916,000","57,920,000","-59,468,000","13,931,000","-10,289,000","-22,485,000","-81,620,000","81,422,000","-51,900,000","21,416,000","-127,657,000","-20,691,000","12,088,000","31,346,000","-38,127,000","29,087,000","-12,158,000","67,100,000","16,286,000","54,861,000","27,304,000","5,151,000","-42,405,000","27,421,000","3,609,000","-11,046,000","18,163,000","-24,518,000","4,926,000","12,959,000","-41,954,000","-6,321,000","7,454,000","1,723,000","8,034,000","10,430,000","28,501,000","31,636,000","1,236,000","-1,707,000","-1,000,000","1,300,000","600,000","0","2,700,000","600,000","-1,300,000"
				ChangeInPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,462,000","8,664,000","62,012,000","-42,467,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"715,000","-1,748,000","-4,092,000","-17,001,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
