name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
MarketCap,"9,013,393,527","7,796,240,012","7,966,988,762","6,736,785,434","6,473,894,016","5,947,268,901","5,882,600,555","4,802,908,847","4,805,203,021","3,816,264,110","6,458,480,532","6,602,673,697","6,335,927,185","6,528,598,917","5,669,075,967","5,640,103,020","5,861,046,239","5,277,934,985","5,597,579,541","6,023,230,239","6,447,755,881","6,360,096,972","6,574,604,756","6,706,061,058","6,896,710,578","6,142,099,105","4,644,585,255","4,070,817,057","4,233,129,924","4,814,354,587","4,432,767,760","3,830,393,302","4,012,599,527","3,918,302,595","3,375,054,535","3,578,333,200","4,260,222,451","4,750,577,618","4,828,206,229","4,036,186,307","3,360,014,861","3,339,474,809","2,973,139,663","2,636,571,183","2,469,817,274","2,224,134,231","2,123,971,056","2,032,314,089","1,435,443,684","1,446,432,678","1,467,063,598","1,401,314,737","1,157,585,134","736,159,358","866,424,483","1,433,323,316","1,177,386,172","748,603,033","732,346,933","798,899,131","665,889,171","701,790,797","652,050,488","584,180,862","427,608,189","445,744,576","426,312,000","412,903,800","286,108,200","264,915,000","283,711,350","234,134,400"
EnterpriseValue,"12,934,260,527","11,682,225,012","12,136,771,762","10,929,258,434","10,596,358,016","9,972,885,901","9,912,738,555","8,761,039,847","8,646,507,021","7,632,534,110","10,235,210,532","10,077,718,697","9,681,734,185","9,484,959,917","8,591,996,967","8,414,752,020","8,939,754,239","8,261,271,985","8,347,523,541","8,357,788,239","8,621,946,881","8,463,253,972","9,026,503,756","9,089,987,058","9,132,704,578","9,093,420,105","7,520,684,255","6,795,273,057","6,940,088,924","7,762,011,587","7,337,700,760","6,677,441,302","6,771,975,527","6,623,938,595","5,784,077,535","6,003,068,200","6,536,596,451","6,950,228,618","7,027,857,229","5,645,427,307","4,814,630,861","4,764,605,809","4,181,798,663","3,845,230,183","3,629,062,274","3,479,137,231","3,355,567,056","3,128,696,089","2,585,652,684","2,593,421,678","2,624,425,598","2,564,087,737","2,290,137,134","2,021,014,358","2,117,745,483","2,650,530,316","2,404,599,172","1,303,701,033","1,253,703,933","1,323,895,131","1,168,985,171","1,054,977,797","1,045,226,488","1,004,490,862","847,918,189","857,316,576","680,513,000","667,104,800","619,630,200","572,875,000","480,675,350","421,671,400"
PeRatio,"161.55","233.208","477.417","692.143","1,168","84.647","85.54","43.65","36.041","46.25","61.078","80.133","53.674","56.643","52.392","52.101","99.721","77.24","102.575","91.979","73.906","63.453","61.444","66.934","69.566","46.167","40.529","38.147","40.096","76.554","75.2","65.089","79.667","88.929","67.104","71.146","71.333","72.782","74.05","66.485","74.967","55.9","50.554","44.831","40.828","60","122.154","202.933",,,,,,,,,"99.429","88.258",,,,"378.625","113.88","87.966","85.69","92.536","117.708","114.006",,,,
ForwardPeRatio,,,,,,,,,,,,,,,,,,,,,"47.847",,"50.251","55.866","75.758","50.761","59.172","49.751",,"33.784","32.573","28.736","30.121","29.412","16.949","18.083","31.646","34.843","36.496","42.735","36.9","38.168","48.309","45.045","42.735","40.816","62.5",,,,,,,,,,"42.194",,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.809","3.675","3.238","3.397","3.318","1.912","2.04","3.567","3.929","4.111","4.822","4.156","3.799","5.544","5.638","7.781","7.644","11.846",,,,,,,,,,"8.436",,,,,,,,,,,,,,,
PsRatio,"9.205","8.297","8.781","7.678","7.595","6.878","6.635","5.264","5.091","4.069","6.964","7.224","7.052","7.44","6.601","6.685","7.124","6.595","7.163","7.632","8.039","7.869","7.953","8.01","8.12","7.128","6.187","5.309","5.455","6.175","6.065","5.522","5.951","5.987","5.172","5.685","6.871","7.873","8.01","7.631","7.999","7.998","7.335","6.504","6.225","5.672","5.463","5.053","4.47","4.491","4.421","4.145","3.303","2.686","3.333","5.871","5.117","4.823","4.763","5.328","5.057","5.339","4.682","4.39","4.276","4.425","4.285","4.15","4.019","4.075","4.519","3.843"
PbRatio,"2.913","2.501","2.671","2.219","2.111","1.91","1.866","1.486","1.452","1.158","1.939","1.953","1.842","1.875","1.621","1.56","1.695","1.514","1.599","1.694","1.849","1.846","1.907","1.961","1.992","2.217","1.667","1.44","1.486","1.845","1.742","1.486","1.538","1.493","1.283","1.368","1.617","1.794","1.823","2.827","2.329","2.428","2.326","2.009","1.92","1.826","1.75","1.667","1.65","1.647","1.632","1.524","1.22","0.954","1.1","1.775","1.411","1.703","1.648","2.24","1.851","1.899","1.84","2.496","1.827","1.848","1.894","1.835","2.143","1.874","2.052","1.696"
EnterprisesValueRevenueRatio,"13.152","42.675","44.573","47.752","50.817","42.853","42.552","43.227","46.6","30.603","40.007","44.258","44.54","39.173","34.945","39.419","44.463","37.482","36.682","42.439","48.165","43.865","44.254","46.28","49.105","45.468","37.195","37.581","39.017","40.324","37.281","36.702","39.377","36.16","31.988","37.748","42.328","41.959","45.141","47.518","45.013","42.636","40.828","39.529","40.225","34.23","34.193","35.3","33.719","31.804","32.75","32.686","31.256","25.997","27.05","36.745","55.217","31.459","29.638","36.253","35.035","30.185","31.186","32.551","29.002","30.521","26.124","30.493","30.971","29.317","26.801","30.768"
EnterprisesValueEBITDARatio,"28.223","81.311","85.681","127.534","121.422","87.93","81.874","116.234","110.051","43.27","82.693","86.227","90.988","74.364","58.979","95.233","66.245","71.841","64.962","106.046","126.551","83.18","95.272","111.845","98.273","73.992","69.625","89.851","78.511","53.822","70.887","98.379","81.141","69.18","60.632","99.906","88.983","80.984","88.672","129.717","95.593","82.032","81.36","103.161","86.53","64.734","65.291","79.306","76.275","64.434","64.053","82.37","74.636","55.171","64.672","112.277","127.288","63.103","57.281","97.417","83.565","129.525","59.537","81.673","69.269","58.829","55.725","84.124","83.621","60.366","54.803","234.784"
