name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004
		CurrentDeferredLiabilities,"350,952,000","374,499,000","329,426,000","339,670,000","290,025,000","312,236,000","322,452,000","332,570,000","288,682,000","314,335,000","320,982,000","327,299,000","281,082,000","295,991,000","302,840,000","306,365,000","254,877,000","276,456,000","277,008,000","280,816,000","237,101,000","244,500,000","248,152,000","250,449,000","222,415,000","230,216,000","227,161,000","225,076,000","205,876,000","212,283,000","195,319,000","190,228,000","173,155,000","181,475,000","185,406,000","180,932,000","166,986,000","173,899,000","177,218,000","175,076,000","152,708,000","153,665,000","155,015,000","146,895,000","135,489,000","141,149,000","143,086,000","138,175,000","125,905,000","129,412,000","128,168,000","126,892,000","112,110,000","113,802,000","119,600,000","107,000,000","94,879,000","93,106,000","93,975,000","86,109,000","75,103,000","72,015,000","71,573,000","67,957,000","58,893,000","59,459,000","59,736,000","57,795,000","50,918,000","52,303,000","51,727,000","51,187,000","43,765,000"
			CurrentDeferredRevenue,"350,952,000","374,499,000","329,426,000","339,670,000","290,025,000","312,236,000","322,452,000","332,570,000","288,682,000","314,335,000","320,982,000","327,299,000","281,082,000","295,991,000","302,840,000","306,365,000","254,877,000","276,456,000","277,008,000","280,816,000","237,101,000","244,500,000","248,152,000","250,449,000","222,415,000","230,216,000","227,161,000","225,076,000","205,876,000","212,283,000","195,319,000","190,228,000","173,155,000","181,475,000","185,406,000","180,932,000","166,986,000","173,899,000","177,218,000","175,076,000","152,708,000","153,665,000","155,015,000","146,895,000","135,489,000","141,149,000","143,086,000","138,175,000","125,905,000","129,412,000","128,168,000","126,892,000","112,110,000","113,802,000","119,600,000","107,000,000","94,879,000","93,106,000","93,975,000","86,109,000","75,103,000","72,015,000","71,573,000","67,957,000","58,893,000","59,459,000","59,736,000","57,795,000","50,918,000","52,303,000","51,727,000","51,187,000","43,765,000"
		OtherCurrentLiabilities,"8,004,000",,"378,000","328,000","1,201,000",,,"3,094,000","6,469,000",,"7,098,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"10,360,000","15,844,000",,"4,065,000",,,,,,,,,,,,,"19,439,000","14,942,000",,"11,965,000","1,606,000","7,406,000","7,062,000","25,000","518,000","513,000","2,307,000","504,000",,,,"4,557,000",,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,164,715,000","1,144,925,000","597,981,000","620,461,000","622,046,000","605,180,000","589,061,000","627,122,000","667,749,000","607,362,000","651,117,000","710,712,000","735,590,000","435,867,000","474,541,000","530,207,000","519,263,000","476,520,000","381,943,000","434,581,000","397,113,000","382,549,000","411,391,000","441,002,000","461,118,000","446,967,000","286,487,000","306,142,000","340,403,000","336,263,000","212,798,000","222,274,000","220,005,000","188,384,000","205,613,000","227,781,000","242,184,000","246,368,000","254,995,000","108,262,000","11,800,000","12,547,000","9,846,000","13,198,000","9,414,000","9,319,000","8,689,000","8,809,000","7,674,000","7,892,000","7,312,000","7,187,000","6,761,000","7,999,000","44,811,000","4,058,000","5,590,000","4,595,000","4,426,000","4,686,000","4,008,000","2,145,000","1,834,000","2,148,000","1,749,000","1,279,000","1,209,000","890,000","793,000",,,,"7,000"
		LongTermDebtAndCapitalLeaseObligation,"1,013,894,000","990,869,000","527,888,000","549,146,000","553,668,000","535,550,000","523,659,000","565,505,000","611,811,000","555,224,000","595,689,000","653,928,000","678,948,000","379,624,000","416,680,000","471,236,000","458,592,000","429,648,000","329,380,000","380,162,000","351,995,000","338,018,000","370,642,000","398,865,000","417,989,000","404,229,000","237,293,000","253,130,000","281,413,000","276,196,000","166,771,000","167,770,000","168,770,000","135,750,000","161,200,000","184,250,000","201,000,000","205,500,000","235,000,000","94,600,000",,,,,,,,,,,"477,000","798,000","1,134,000","1,491,000","40,843,000","352,000","449,000","586,000","693,000","790,000","930,000",,,,,,,,,,,,"7,000"
			LongTermDebt,"963,109,000","937,483,000","514,418,000","531,973,000","537,924,000","518,193,000","497,953,000","478,919,000","520,576,000","459,600,000","495,556,000","553,812,000","576,068,000","379,624,000","416,680,000","471,236,000","458,592,000","429,648,000","329,380,000","380,162,000","351,995,000","338,018,000","370,642,000","398,865,000","417,989,000","404,229,000","237,293,000","253,130,000","281,413,000","276,196,000","166,771,000","167,770,000","168,770,000","135,750,000","161,200,000","184,250,000","201,000,000","205,500,000","235,000,000","94,600,000",,,,,,,,,,,"420,000","717,000","1,007,000","1,288,000","40,562,000",,,,,,,,,,,,,,,,,,"7,000"
			LongTermCapitalLeaseObligation,"50,785,000","53,386,000","13,470,000","17,173,000","15,744,000","17,357,000","25,706,000","86,586,000","91,235,000","95,624,000","100,133,000","100,116,000","102,880,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,000","81,000","127,000","203,000","281,000","352,000","449,000","586,000","693,000","790,000","930,000",,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"149,315,000","152,712,000","60,672,000","61,976,000","58,939,000","58,764,000","52,792,000","49,734,000","45,001,000","46,396,000","49,251,000","50,982,000","52,340,000","46,855,000","50,834,000","51,497,000","53,155,000","41,240,000","44,764,000","46,847,000","37,317,000","35,998,000","33,282,000","34,035,000","35,129,000","35,115,000","42,169,000","46,265,000","51,545,000","52,630,000","39,887,000","46,510,000","44,937,000","45,979,000","38,563,000","37,899,000","36,818,000","35,587,000","15,477,000","10,525,000","9,443,000","9,772,000","6,992,000","10,593,000","6,126,000","6,900,000","7,077,000","7,316,000","6,189,000","6,172,000","5,449,000","5,597,000","4,946,000",,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesLiabilities,"144,590,000","148,465,000","56,144,000","56,227,000","54,444,000","54,086,000","46,989,000","45,108,000","43,286,000","44,594,000","47,237,000","48,658,000","48,050,000","44,291,000","47,405,000","48,055,000","48,080,000","37,597,000","39,352,000","40,780,000","29,636,000","29,558,000","26,688,000","27,823,000","28,546,000","27,996,000","34,800,000","37,469,000","42,443,000","43,639,000","30,447,000","36,323,000","36,532,000","36,880,000","29,944,000","27,291,000","26,758,000","24,468,000","5,052,000","1,348,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredRevenue,"4,725,000","4,247,000","4,528,000","5,749,000","4,495,000","4,678,000","5,803,000","4,626,000","1,715,000","1,802,000","2,014,000","2,324,000","4,290,000","2,564,000","3,429,000","3,442,000","5,075,000","3,643,000","5,412,000","6,067,000","7,681,000","6,440,000","6,594,000","6,212,000","6,583,000","7,119,000","7,369,000","8,796,000","9,102,000","8,991,000","9,440,000","10,187,000","8,405,000","9,099,000","8,619,000","10,608,000","10,060,000","11,119,000","10,425,000","9,177,000","9,443,000","9,772,000","6,992,000","10,593,000","6,126,000","6,900,000","7,077,000","7,316,000","6,189,000","6,172,000","5,449,000","5,597,000","4,946,000",,,,,,,,,,,,,,,,,,,,
