name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
TotalRevenue,"0","0","0","0","0","0"
	OperatingRevenue,"0","0","0","0","0","0"
OperatingExpense,"1,449,492","262,467","587,765","305,332","293,928","290,296"
	SellingGeneralAndAdministration,"1,449,492","262,467","587,765","305,332","293,928","290,296"
		GeneralAndAdministrativeExpense,"1,449,492","262,467","587,765","305,332","293,928","290,296"
			OtherGandA,"1,449,492","262,467","587,765","305,332","293,928","290,296"
OperatingIncome,"-1,449,492","-262,467","-587,765","-305,332","-293,928","-290,296"
NetNonOperatingInterestIncomeExpense,"0","0","0",,"0","-575,330"
	TotalOtherFinanceCost,,,"0",,,"575,330"
OtherIncomeExpense,"10,462,632","2,372,214","3,881,532","975,693","3,233,193","1,935,534"
	GainOnSaleOfSecurity,"10,462,632","2,372,214","3,881,532","975,693","3,233,193","1,935,534"
PretaxIncome,"9,013,140","2,109,747","3,293,767","670,361","2,939,265","1,069,908"
NetIncomeCommonStockholders,"9,013,140","2,109,747","3,293,767","670,361","2,939,265","1,069,908"
	NetIncome,"9,013,140","2,109,747","3,293,767","670,361","2,939,265","1,069,908"
		NetIncomeIncludingNoncontrollingInterests,"9,013,140","2,109,747","3,293,767","670,361","2,939,265","1,069,908"
			NetIncomeContinuousOperations,"9,013,140","2,109,747","3,293,767","670,361","2,939,265","1,069,908"
DilutedNIAvailtoComStockholders,"9,013,140","2,109,747","3,293,767","670,361","2,939,265","1,069,908"
BasicEPS,,"0.05",,"0.017","0.072","0.027"
DilutedEPS,,"0.05",,"0.017","0.072","0.027"
BasicAverageShares,,"40,625,000",,"40,625,000","40,625,000","40,284,722"
DilutedAverageShares,,"40,625,000",,"40,625,000","40,625,000","40,284,722"
TotalOperatingIncomeAsReported,,"-262,467",,,,
TotalExpenses,"1,449,492","262,467","587,765","305,332","293,928","290,296"
NetIncomeFromContinuingAndDiscontinuedOperation,"9,013,140","2,109,747","3,293,767","670,361","2,939,265","1,069,908"
NormalizedIncome,"2,735,560.8","686,418.6","460,248.64","-41,894.89","579,034.11","-343,031.82"
NetInterestIncome,"0","0","0",,"0","-575,330"
EBIT,"-1,449,492","-262,467","-587,765","-305,332","-293,928","-290,296"
EBITDA,"-1,449,492"
NetIncomeFromContinuingOperationNetMinorityInterest,"9,013,140","2,109,747","3,293,767","670,361","2,939,265","1,069,908"
TotalUnusualItemsExcludingGoodwill,"10,462,632","2,372,214","3,881,532","975,693","3,233,193","1,935,534"
TotalUnusualItems,"10,462,632","2,372,214","3,881,532","975,693","3,233,193","1,935,534"
NormalizedEBITDA,"-11,912,124","-2,634,681","-4,469,297","-1,281,025","-3,527,121","-2,225,830"
TaxRateForCalcs,"0.4","0.4","0.27","0.27","0.27","0.27"
TaxEffectOfUnusualItems,"4,185,052.8","948,885.6","1,048,013.64","263,437.11","872,962.11","522,594.18"
